,date,value,name_B088FBF9GB
0,2020-06-15,165821.0,Plush Pillows
1,2020-06-16,165821.0,Plush Pillows
2,2020-06-17,131920.0,Plush Pillows
3,2020-06-18,84073.0,Plush Pillows
4,2020-06-19,55391.0,Plush Pillows
5,2020-06-20,55391.0,Plush Pillows
6,2020-06-21,55391.0,Plush Pillows
7,2020-06-22,55391.0,Plush Pillows
8,2020-06-23,55391.0,Plush Pillows
9,2020-06-24,47209.0,Plush Pillows
10,2020-06-25,47209.0,Plush Pillows
11,2020-06-26,112147.0,Plush Pillows
12,2020-06-27,112147.0,Plush Pillows
13,2020-06-28,112147.0,Plush Pillows
14,2020-06-29,86696.0,Plush Pillows
15,2020-06-30,58350.0,Plush Pillows
16,2020-07-01,34532.0,Plush Pillows
17,2020-07-02,34532.0,Plush Pillows
18,2020-07-03,78822.0,Plush Pillows
19,2020-07-04,78822.0,Plush Pillows
20,2020-07-05,78822.0,Plush Pillows
21,2020-07-06,39210.0,Plush Pillows
22,2020-07-07,51870.0,Plush Pillows
23,2020-07-08,41147.0,Plush Pillows
24,2020-07-09,50751.0,Plush Pillows
25,2020-07-10,66783.0,Plush Pillows
26,2020-07-11,66783.0,Plush Pillows
27,2020-07-12,66783.0,Plush Pillows
28,2020-07-13,66783.0,Plush Pillows
29,2020-07-14,20059.0,Plush Pillows
30,2020-07-15,19464.0,Plush Pillows
31,2020-07-16,24814.0,Plush Pillows
32,2020-07-17,25209.0,Plush Pillows
33,2020-07-18,25209.0,Plush Pillows
34,2020-07-19,25209.0,Plush Pillows
35,2020-07-20,24378.0,Plush Pillows
36,2020-07-21,24378.0,Plush Pillows
37,2020-07-22,37877.0,Plush Pillows
38,2020-07-23,28519.0,Plush Pillows
39,2020-07-24,45496.0,Plush Pillows
40,2020-07-25,45496.0,Plush Pillows
41,2020-07-26,45496.0,Plush Pillows
42,2020-07-27,21677.0,Plush Pillows
43,2020-07-28,21677.0,Plush Pillows
44,2020-07-29,25791.0,Plush Pillows
45,2020-07-30,25791.0,Plush Pillows
46,2020-07-31,20426.0,Plush Pillows
47,2020-08-01,20426.0,Plush Pillows
48,2020-08-02,20426.0,Plush Pillows
49,2020-08-03,37710.0,Plush Pillows
50,2020-08-04,37710.0,Plush Pillows
51,2020-08-05,37710.0,Plush Pillows
52,2020-08-06,28161.0,Plush Pillows
53,2020-08-07,27630.0,Plush Pillows
54,2020-08-08,31483.0,Plush Pillows
55,2020-08-09,31483.0,Plush Pillows
56,2020-08-10,25924.0,Plush Pillows
57,2020-08-11,25924.0,Plush Pillows
58,2020-08-12,43885.0,Plush Pillows
59,2020-08-13,43885.0,Plush Pillows
60,2020-08-14,32472.0,Plush Pillows
61,2020-08-15,32472.0,Plush Pillows
62,2020-08-16,32472.0,Plush Pillows
63,2020-08-17,58446.0,Plush Pillows
64,2020-08-18,79520.0,Plush Pillows
65,2020-08-19,44031.0,Plush Pillows
66,2020-08-20,57962.0,Plush Pillows
67,2020-08-21,51219.0,Plush Pillows
68,2020-08-22,51219.0,Plush Pillows
69,2020-08-23,51219.0,Plush Pillows
70,2020-08-24,56243.0,Plush Pillows
71,2020-08-25,56243.0,Plush Pillows
72,2020-08-26,63305.0,Plush Pillows
73,2020-08-27,52157.0,Plush Pillows
74,2020-08-28,80607.0,Plush Pillows
75,2020-08-29,56214.0,Plush Pillows
76,2020-08-30,56214.0,Plush Pillows
77,2020-08-31,56214.0,Plush Pillows
78,2020-09-01,28341.0,Plush Pillows
79,2020-09-02,34285.0,Plush Pillows
80,2020-09-03,34285.0,Plush Pillows
81,2020-09-04,34285.0,Plush Pillows
82,2020-09-05,37615.0,Plush Pillows
83,2020-09-06,37615.0,Plush Pillows
84,2020-09-07,37615.0,Plush Pillows
85,2020-09-08,39856.0,Plush Pillows
86,2020-09-09,39856.0,Plush Pillows
87,2020-09-10,39856.0,Plush Pillows
88,2020-09-11,41447.0,Plush Pillows
89,2020-09-12,41447.0,Plush Pillows
90,2020-09-13,41447.0,Plush Pillows
91,2020-09-14,41447.0,Plush Pillows
92,2020-09-15,38952.0,Plush Pillows
93,2020-09-16,38952.0,Plush Pillows
94,2020-09-17,38952.0,Plush Pillows
95,2020-09-18,16276.0,Plush Pillows
96,2020-09-19,16276.0,Plush Pillows
97,2020-09-20,15775.0,Plush Pillows
98,2020-09-21,14250.0,Plush Pillows
99,2020-09-22,10438.0,Plush Pillows
100,2020-09-23,10438.0,Plush Pillows
101,2020-09-24,9556.0,Plush Pillows
102,2020-09-25,10894.0,Plush Pillows
103,2020-09-26,10894.0,Plush Pillows
104,2020-09-27,11831.0,Plush Pillows
105,2020-09-28,12449.0,Plush Pillows
106,2020-09-29,12449.0,Plush Pillows
107,2020-09-30,14216.0,Plush Pillows
108,2020-10-01,14216.0,Plush Pillows
109,2020-10-02,13071.0,Plush Pillows
110,2020-10-03,13071.0,Plush Pillows
111,2020-10-04,18773.0,Plush Pillows
112,2020-10-05,18773.0,Plush Pillows
113,2020-10-06,21235.0,Plush Pillows
114,2020-10-07,13383.0,Plush Pillows
115,2020-10-08,13383.0,Plush Pillows
116,2020-10-09,9103.0,Plush Pillows
117,2020-10-10,9103.0,Plush Pillows
118,2020-10-11,9103.0,Plush Pillows
119,2020-10-12,9103.0,Plush Pillows
120,2020-10-13,17753.0,Plush Pillows
121,2020-10-14,17753.0,Plush Pillows
122,2020-10-15,10493.0,Plush Pillows
123,2020-10-16,10493.0,Plush Pillows
124,2020-10-17,10493.0,Plush Pillows
125,2020-10-18,13349.0,Plush Pillows
126,2020-10-19,13349.0,Plush Pillows
127,2020-10-20,17348.0,Plush Pillows
128,2020-10-21,17348.0,Plush Pillows
129,2020-10-22,16837.0,Plush Pillows
130,2020-10-23,14331.0,Plush Pillows
131,2020-10-24,14331.0,Plush Pillows
132,2020-10-25,14331.0,Plush Pillows
133,2020-10-26,15368.0,Plush Pillows
134,2020-10-27,18104.0,Plush Pillows
135,2020-10-28,18104.0,Plush Pillows
136,2020-10-29,17536.0,Plush Pillows
137,2020-10-30,16326.0,Plush Pillows
138,2020-10-31,16326.0,Plush Pillows
139,2020-11-01,21119.0,Plush Pillows
140,2020-11-02,21119.0,Plush Pillows
141,2020-11-03,21119.0,Plush Pillows
142,2020-11-04,11587.0,Plush Pillows
143,2020-11-05,11587.0,Plush Pillows
144,2020-11-06,11575.0,Plush Pillows
145,2020-11-07,11575.0,Plush Pillows
146,2020-11-08,11575.0,Plush Pillows
147,2020-11-09,14820.0,Plush Pillows
148,2020-11-10,14820.0,Plush Pillows
149,2020-11-11,19306.0,Plush Pillows
150,2020-11-12,13541.0,Plush Pillows
151,2020-11-13,13588.0,Plush Pillows
152,2020-11-14,9743.0,Plush Pillows
153,2020-11-15,8813.0,Plush Pillows
154,2020-11-16,11338.0,Plush Pillows
155,2020-11-17,12716.0,Plush Pillows
156,2020-11-18,13759.0,Plush Pillows
157,2020-11-19,13759.0,Plush Pillows
158,2020-11-20,12903.0,Plush Pillows
159,2020-11-21,11255.0,Plush Pillows
160,2020-11-22,11255.0,Plush Pillows
161,2020-11-23,13003.0,Plush Pillows
162,2020-11-24,13003.0,Plush Pillows
163,2020-11-25,11319.0,Plush Pillows
164,2020-11-26,13256.0,Plush Pillows
165,2020-11-27,10765.0,Plush Pillows
166,2020-11-28,12731.0,Plush Pillows
167,2020-11-29,12731.0,Plush Pillows
168,2020-11-30,13056.0,Plush Pillows
169,2020-12-01,13056.0,Plush Pillows
170,2020-12-02,13056.0,Plush Pillows
171,2020-12-03,14251.0,Plush Pillows
172,2020-12-04,14251.0,Plush Pillows
173,2020-12-05,14251.0,Plush Pillows
174,2020-12-06,14251.0,Plush Pillows
175,2020-12-07,10175.0,Plush Pillows
176,2020-12-08,8538.0,Plush Pillows
177,2020-12-09,8538.0,Plush Pillows
178,2020-12-10,8538.0,Plush Pillows
179,2020-12-11,8538.0,Plush Pillows
180,2020-12-12,8538.0,Plush Pillows
181,2020-12-13,6407.0,Plush Pillows
182,2020-12-14,6407.0,Plush Pillows
183,2020-12-15,6680.0,Plush Pillows
184,2020-12-16,6680.0,Plush Pillows
185,2020-12-17,6680.0,Plush Pillows
186,2020-12-18,6513.0,Plush Pillows
187,2020-12-19,6513.0,Plush Pillows
188,2020-12-20,7609.0,Plush Pillows
189,2020-12-21,7532.0,Plush Pillows
190,2020-12-22,5942.0,Plush Pillows
191,2020-12-23,5942.0,Plush Pillows
192,2020-12-24,5942.0,Plush Pillows
193,2020-12-25,7225.0,Plush Pillows
194,2020-12-26,4657.0,Plush Pillows
195,2020-12-27,5313.0,Plush Pillows
196,2020-12-28,6821.0,Plush Pillows
197,2020-12-29,6821.0,Plush Pillows
198,2020-12-30,9531.0,Plush Pillows
199,2020-12-31,9531.0,Plush Pillows
200,2021-01-01,7778.0,Plush Pillows
201,2021-01-02,7778.0,Plush Pillows
202,2021-01-03,7778.0,Plush Pillows
203,2021-01-04,12585.0,Plush Pillows
204,2021-01-05,12585.0,Plush Pillows
205,2021-01-06,11424.0,Plush Pillows
206,2021-01-07,11424.0,Plush Pillows
207,2021-01-08,11424.0,Plush Pillows
208,2021-01-09,9862.0,Plush Pillows
209,2021-01-10,9862.0,Plush Pillows
210,2021-01-11,12033.0,Plush Pillows
211,2021-01-12,12033.0,Plush Pillows
212,2021-01-13,14935.0,Plush Pillows
213,2021-01-14,16315.0,Plush Pillows
214,2021-01-15,16315.0,Plush Pillows
215,2021-01-16,11459.0,Plush Pillows
216,2021-01-17,7184.0,Plush Pillows
217,2021-01-18,11799.0,Plush Pillows
218,2021-01-19,11799.0,Plush Pillows
219,2021-01-20,10465.0,Plush Pillows
220,2021-01-21,9089.0,Plush Pillows
221,2021-01-22,9089.0,Plush Pillows
222,2021-01-23,9089.0,Plush Pillows
223,2021-01-24,7790.0,Plush Pillows
224,2021-01-25,7790.0,Plush Pillows
225,2021-01-26,7991.0,Plush Pillows
226,2021-01-27,6825.0,Plush Pillows
227,2021-01-28,4753.0,Plush Pillows
228,2021-01-29,5507.0,Plush Pillows
229,2021-01-30,5507.0,Plush Pillows
230,2021-01-31,5507.0,Plush Pillows
231,2021-02-01,4323.0,Plush Pillows
232,2021-02-02,5719.0,Plush Pillows
233,2021-02-03,4745.0,Plush Pillows
234,2021-02-04,6824.0,Plush Pillows
235,2021-02-05,6824.0,Plush Pillows
236,2021-02-06,6824.0,Plush Pillows
237,2021-02-07,6824.0,Plush Pillows
238,2021-02-08,6824.0,Plush Pillows
239,2021-02-09,4574.0,Plush Pillows
240,2021-02-10,3683.0,Plush Pillows
241,2021-02-11,3683.0,Plush Pillows
242,2021-02-12,2585.0,Plush Pillows
243,2021-02-13,5480.0,Plush Pillows
244,2021-02-14,2823.0,Plush Pillows
245,2021-02-15,2823.0,Plush Pillows
246,2021-02-16,2823.0,Plush Pillows
247,2021-02-17,4120.0,Plush Pillows
248,2021-02-18,4120.0,Plush Pillows
249,2021-02-19,7427.0,Plush Pillows
250,2021-02-20,7427.0,Plush Pillows
