,date,value,name_B08V547GSW
0,2021-03-06,20255.0,Kitchen & Dining Features
1,2021-03-07,20255.0,Kitchen & Dining Features
2,2021-03-08,22172.0,Kitchen & Dining Features
3,2021-03-09,18084.0,Kitchen & Dining Features
4,2021-03-10,20238.0,Kitchen & Dining Features
5,2021-03-11,17371.0,Kitchen & Dining Features
6,2021-03-12,20319.0,Kitchen & Dining Features
7,2021-03-13,20319.0,Kitchen & Dining Features
8,2021-03-14,20319.0,Kitchen & Dining Features
9,2021-03-15,32690.0,Kitchen & Dining Features
10,2021-03-16,32690.0,Kitchen & Dining Features
11,2021-03-17,26535.0,Kitchen & Dining Features
12,2021-03-18,19070.0,Kitchen & Dining Features
13,2021-03-19,22889.0,Kitchen & Dining Features
14,2021-03-20,19515.0,Kitchen & Dining Features
15,2021-03-21,19515.0,Kitchen & Dining Features
16,2021-03-22,19515.0,Kitchen & Dining Features
17,2021-03-23,28262.0,Kitchen & Dining Features
18,2021-03-24,28262.0,Kitchen & Dining Features
19,2021-03-25,28262.0,Kitchen & Dining Features
20,2021-03-26,33375.0,Kitchen & Dining Features
21,2021-03-27,32340.0,Kitchen & Dining Features
22,2021-03-28,32340.0,Kitchen & Dining Features
23,2021-03-29,45918.0,Kitchen & Dining Features
24,2021-03-30,35170.0,Kitchen & Dining Features
25,2021-03-31,35170.0,Kitchen & Dining Features
26,2021-04-01,33285.0,Kitchen & Dining Features
27,2021-04-02,27170.0,Kitchen & Dining Features
28,2021-04-03,27170.0,Kitchen & Dining Features
29,2021-04-04,27170.0,Kitchen & Dining Features
30,2021-04-05,27170.0,Kitchen & Dining Features
31,2021-04-06,27170.0,Kitchen & Dining Features
32,2021-04-07,39053.0,Kitchen & Dining Features
33,2021-04-08,39053.0,Kitchen & Dining Features
34,2021-04-09,39241.0,Kitchen & Dining Features
35,2021-04-10,39241.0,Kitchen & Dining Features
36,2021-04-11,39241.0,Kitchen & Dining Features
37,2021-04-12,54883.0,Kitchen & Dining Features
38,2021-04-13,54883.0,Kitchen & Dining Features
39,2021-04-14,54883.0,Kitchen & Dining Features
40,2021-04-15,52731.0,Kitchen & Dining Features
41,2021-04-16,45244.0,Kitchen & Dining Features
42,2021-04-17,45244.0,Kitchen & Dining Features
43,2021-04-18,45244.0,Kitchen & Dining Features
44,2021-04-19,45244.0,Kitchen & Dining Features
45,2021-04-20,80759.0,Kitchen & Dining Features
46,2021-04-21,80759.0,Kitchen & Dining Features
47,2021-04-22,66225.0,Kitchen & Dining Features
48,2021-04-23,46360.0,Kitchen & Dining Features
49,2021-04-24,46360.0,Kitchen & Dining Features
50,2021-04-25,70184.0,Kitchen & Dining Features
51,2021-04-26,76230.0,Kitchen & Dining Features
52,2021-04-27,76230.0,Kitchen & Dining Features
53,2021-04-28,49205.0,Kitchen & Dining Features
54,2021-04-29,49205.0,Kitchen & Dining Features
55,2021-04-30,49205.0,Kitchen & Dining Features
56,2021-05-01,49205.0,Kitchen & Dining Features
57,2021-05-02,49205.0,Kitchen & Dining Features
58,2021-05-03,49205.0,Kitchen & Dining Features
59,2021-05-04,35245.0,Kitchen & Dining Features
60,2021-05-05,35245.0,Kitchen & Dining Features
61,2021-05-06,35245.0,Kitchen & Dining Features
62,2021-05-07,35245.0,Kitchen & Dining Features
63,2021-05-08,35245.0,Kitchen & Dining Features
64,2021-05-09,35245.0,Kitchen & Dining Features
65,2021-05-10,28356.0,Kitchen & Dining Features
66,2021-05-11,28356.0,Kitchen & Dining Features
67,2021-05-12,28898.0,Kitchen & Dining Features
68,2021-05-13,28898.0,Kitchen & Dining Features
69,2021-05-14,27336.0,Kitchen & Dining Features
70,2021-05-15,27336.0,Kitchen & Dining Features
71,2021-05-16,27336.0,Kitchen & Dining Features
72,2021-05-17,27336.0,Kitchen & Dining Features
73,2021-05-18,27336.0,Kitchen & Dining Features
74,2021-05-19,29738.0,Kitchen & Dining Features
75,2021-05-20,25336.0,Kitchen & Dining Features
76,2021-05-21,25336.0,Kitchen & Dining Features
77,2021-05-22,25336.0,Kitchen & Dining Features
78,2021-05-23,25336.0,Kitchen & Dining Features
79,2021-05-24,20212.0,Kitchen & Dining Features
80,2021-05-25,20212.0,Kitchen & Dining Features
81,2021-05-26,22401.0,Kitchen & Dining Features
82,2021-05-27,24107.0,Kitchen & Dining Features
83,2021-05-28,28164.0,Kitchen & Dining Features
84,2021-05-29,28164.0,Kitchen & Dining Features
85,2021-05-30,28164.0,Kitchen & Dining Features
