,date,value,name_B08L3JH2Q2
0,2020-10-14,18406.0,Photo Albums
1,2020-10-15,15992.0,Photo Albums
2,2020-10-16,12121.0,Photo Albums
3,2020-10-17,12121.0,Photo Albums
4,2020-10-18,13018.0,Photo Albums
5,2020-10-19,11911.0,Photo Albums
6,2020-10-20,11429.0,Photo Albums
7,2020-10-21,14940.0,Photo Albums
8,2020-10-22,13781.0,Photo Albums
9,2020-10-23,13781.0,Photo Albums
10,2020-10-24,13781.0,Photo Albums
11,2020-10-25,13095.0,Photo Albums
12,2020-10-26,13095.0,Photo Albums
13,2020-10-27,13095.0,Photo Albums
14,2020-10-28,12991.0,Photo Albums
15,2020-10-29,12676.0,Photo Albums
16,2020-10-30,9417.0,Photo Albums
17,2020-10-31,9417.0,Photo Albums
18,2020-11-01,11934.0,Photo Albums
19,2020-11-02,12656.0,Photo Albums
20,2020-11-03,9792.0,Photo Albums
21,2020-11-04,10425.0,Photo Albums
22,2020-11-05,8584.0,Photo Albums
23,2020-11-06,8584.0,Photo Albums
24,2020-11-07,9765.0,Photo Albums
25,2020-11-08,9765.0,Photo Albums
26,2020-11-09,12627.0,Photo Albums
27,2020-11-10,12627.0,Photo Albums
28,2020-11-11,12627.0,Photo Albums
29,2020-11-12,9536.0,Photo Albums
30,2020-11-13,9536.0,Photo Albums
31,2020-11-14,11189.0,Photo Albums
32,2020-11-15,11189.0,Photo Albums
33,2020-11-16,11245.0,Photo Albums
34,2020-11-17,11245.0,Photo Albums
35,2020-11-18,11245.0,Photo Albums
36,2020-11-19,11245.0,Photo Albums
37,2020-11-20,11195.0,Photo Albums
38,2020-11-21,11195.0,Photo Albums
39,2020-11-22,11195.0,Photo Albums
40,2020-11-23,13094.0,Photo Albums
41,2020-11-24,11425.0,Photo Albums
42,2020-11-25,9639.0,Photo Albums
43,2020-11-26,12276.0,Photo Albums
44,2020-11-27,12276.0,Photo Albums
45,2020-11-28,12276.0,Photo Albums
46,2020-11-29,12276.0,Photo Albums
47,2020-11-30,11944.0,Photo Albums
48,2020-12-01,12514.0,Photo Albums
49,2020-12-02,12514.0,Photo Albums
50,2020-12-03,14397.0,Photo Albums
51,2020-12-04,17315.0,Photo Albums
52,2020-12-05,17315.0,Photo Albums
53,2020-12-06,17315.0,Photo Albums
54,2020-12-07,10002.0,Photo Albums
55,2020-12-08,9787.0,Photo Albums
56,2020-12-09,9772.0,Photo Albums
57,2020-12-10,8355.0,Photo Albums
58,2020-12-11,9857.0,Photo Albums
59,2020-12-12,8544.0,Photo Albums
60,2020-12-13,10425.0,Photo Albums
61,2020-12-14,7081.0,Photo Albums
62,2020-12-15,5564.0,Photo Albums
63,2020-12-16,4425.0,Photo Albums
64,2020-12-17,5605.0,Photo Albums
65,2020-12-18,5716.0,Photo Albums
66,2020-12-19,7585.0,Photo Albums
67,2020-12-20,8949.0,Photo Albums
68,2020-12-21,9594.0,Photo Albums
69,2020-12-22,8978.0,Photo Albums
70,2020-12-23,8978.0,Photo Albums
71,2020-12-24,10326.0,Photo Albums
72,2020-12-25,11437.0,Photo Albums
73,2020-12-26,13985.0,Photo Albums
74,2020-12-27,11378.0,Photo Albums
75,2020-12-28,10128.0,Photo Albums
76,2020-12-29,10128.0,Photo Albums
77,2020-12-30,10128.0,Photo Albums
78,2020-12-31,8029.0,Photo Albums
79,2021-01-01,8999.0,Photo Albums
80,2021-01-02,8999.0,Photo Albums
81,2021-01-03,8859.0,Photo Albums
82,2021-01-04,8859.0,Photo Albums
83,2021-01-05,11581.0,Photo Albums
84,2021-01-06,12206.0,Photo Albums
85,2021-01-07,12823.0,Photo Albums
86,2021-01-08,14986.0,Photo Albums
87,2021-01-09,14986.0,Photo Albums
88,2021-01-10,14986.0,Photo Albums
89,2021-01-11,10752.0,Photo Albums
90,2021-01-12,10752.0,Photo Albums
91,2021-01-13,8753.0,Photo Albums
92,2021-01-14,8753.0,Photo Albums
93,2021-01-15,8753.0,Photo Albums
94,2021-01-16,11431.0,Photo Albums
95,2021-01-17,11271.0,Photo Albums
96,2021-01-18,11271.0,Photo Albums
97,2021-01-19,9377.0,Photo Albums
98,2021-01-20,10756.0,Photo Albums
99,2021-01-21,11617.0,Photo Albums
100,2021-01-22,11617.0,Photo Albums
101,2021-01-23,11617.0,Photo Albums
102,2021-01-24,12034.0,Photo Albums
103,2021-01-25,10955.0,Photo Albums
104,2021-01-26,12433.0,Photo Albums
105,2021-01-27,12433.0,Photo Albums
106,2021-01-28,12433.0,Photo Albums
107,2021-01-29,12863.0,Photo Albums
108,2021-01-30,12863.0,Photo Albums
109,2021-01-31,12863.0,Photo Albums
110,2021-02-01,10908.0,Photo Albums
111,2021-02-02,10908.0,Photo Albums
112,2021-02-03,10908.0,Photo Albums
113,2021-02-04,10908.0,Photo Albums
114,2021-02-05,11821.0,Photo Albums
115,2021-02-06,11821.0,Photo Albums
116,2021-02-07,11821.0,Photo Albums
117,2021-02-08,14933.0,Photo Albums
118,2021-02-09,14933.0,Photo Albums
119,2021-02-10,12537.0,Photo Albums
120,2021-02-11,12537.0,Photo Albums
121,2021-02-12,12537.0,Photo Albums
122,2021-02-13,12537.0,Photo Albums
123,2021-02-14,12537.0,Photo Albums
124,2021-02-15,10935.0,Photo Albums
125,2021-02-16,11921.0,Photo Albums
126,2021-02-17,11921.0,Photo Albums
127,2021-02-18,11921.0,Photo Albums
128,2021-02-19,11921.0,Photo Albums
129,2021-02-20,10401.0,Photo Albums
130,2021-02-21,10401.0,Photo Albums
131,2021-02-22,10401.0,Photo Albums
132,2021-02-23,12582.0,Photo Albums
133,2021-02-24,12582.0,Photo Albums
134,2021-02-25,12345.0,Photo Albums
135,2021-02-26,9502.0,Photo Albums
136,2021-02-27,9502.0,Photo Albums
137,2021-02-28,9502.0,Photo Albums
138,2021-03-01,9502.0,Photo Albums
139,2021-03-02,13524.0,Photo Albums
140,2021-03-03,13524.0,Photo Albums
141,2021-03-04,13524.0,Photo Albums
142,2021-03-05,15933.0,Photo Albums
143,2021-03-06,15933.0,Photo Albums
144,2021-03-07,15933.0,Photo Albums
145,2021-03-08,20708.0,Photo Albums
146,2021-03-09,20708.0,Photo Albums
147,2021-03-10,15203.0,Photo Albums
148,2021-03-11,17750.0,Photo Albums
149,2021-03-12,17750.0,Photo Albums
150,2021-03-13,17750.0,Photo Albums
151,2021-03-14,21651.0,Photo Albums
152,2021-03-15,21651.0,Photo Albums
153,2021-03-16,21651.0,Photo Albums
154,2021-03-17,28533.0,Photo Albums
155,2021-03-18,23288.0,Photo Albums
156,2021-03-19,23288.0,Photo Albums
157,2021-03-20,23288.0,Photo Albums
158,2021-03-21,23288.0,Photo Albums
159,2021-03-22,20657.0,Photo Albums
160,2021-03-23,19454.0,Photo Albums
161,2021-03-24,19454.0,Photo Albums
162,2021-03-25,19454.0,Photo Albums
163,2021-03-26,16762.0,Photo Albums
164,2021-03-27,16762.0,Photo Albums
165,2021-03-28,16762.0,Photo Albums
166,2021-03-29,19593.0,Photo Albums
167,2021-03-30,15794.0,Photo Albums
168,2021-03-31,15794.0,Photo Albums
169,2021-04-01,15794.0,Photo Albums
