,date,value,name_B08DXYVCRS
0,2020-08-05,13594.0,Wall & Tabletop Frames
1,2020-08-06,13594.0,Wall & Tabletop Frames
2,2020-08-07,13594.0,Wall & Tabletop Frames
3,2020-08-08,12877.0,Wall & Tabletop Frames
4,2020-08-09,12877.0,Wall & Tabletop Frames
5,2020-08-10,12877.0,Wall & Tabletop Frames
6,2020-08-11,12877.0,Wall & Tabletop Frames
7,2020-08-12,13507.0,Wall & Tabletop Frames
8,2020-08-13,13507.0,Wall & Tabletop Frames
9,2020-08-14,13507.0,Wall & Tabletop Frames
10,2020-08-15,13507.0,Wall & Tabletop Frames
11,2020-08-16,13507.0,Wall & Tabletop Frames
12,2020-08-17,13507.0,Wall & Tabletop Frames
13,2020-08-18,13507.0,Wall & Tabletop Frames
14,2020-08-19,13507.0,Wall & Tabletop Frames
15,2020-08-20,15534.0,Wall & Tabletop Frames
16,2020-08-21,15534.0,Wall & Tabletop Frames
17,2020-08-22,15534.0,Wall & Tabletop Frames
18,2020-08-23,15534.0,Wall & Tabletop Frames
19,2020-08-24,18949.0,Wall & Tabletop Frames
20,2020-08-25,18949.0,Wall & Tabletop Frames
21,2020-08-26,18949.0,Wall & Tabletop Frames
22,2020-08-27,18949.0,Wall & Tabletop Frames
23,2020-08-28,13079.0,Wall & Tabletop Frames
24,2020-08-29,13079.0,Wall & Tabletop Frames
25,2020-08-30,13079.0,Wall & Tabletop Frames
26,2020-08-31,13079.0,Wall & Tabletop Frames
27,2020-09-01,13079.0,Wall & Tabletop Frames
28,2020-09-02,18959.0,Wall & Tabletop Frames
29,2020-09-03,18959.0,Wall & Tabletop Frames
30,2020-09-04,18959.0,Wall & Tabletop Frames
31,2020-09-05,14824.0,Wall & Tabletop Frames
32,2020-09-06,17837.0,Wall & Tabletop Frames
33,2020-09-07,15569.0,Wall & Tabletop Frames
34,2020-09-08,15569.0,Wall & Tabletop Frames
35,2020-09-09,15569.0,Wall & Tabletop Frames
36,2020-09-10,15569.0,Wall & Tabletop Frames
37,2020-09-11,15569.0,Wall & Tabletop Frames
38,2020-09-12,15569.0,Wall & Tabletop Frames
39,2020-09-13,15569.0,Wall & Tabletop Frames
40,2020-09-14,20823.0,Wall & Tabletop Frames
41,2020-09-15,20823.0,Wall & Tabletop Frames
42,2020-09-16,20823.0,Wall & Tabletop Frames
43,2020-09-17,20823.0,Wall & Tabletop Frames
44,2020-09-18,22460.0,Wall & Tabletop Frames
45,2020-09-19,22460.0,Wall & Tabletop Frames
46,2020-09-20,22460.0,Wall & Tabletop Frames
47,2020-09-21,22460.0,Wall & Tabletop Frames
48,2020-09-22,22460.0,Wall & Tabletop Frames
49,2020-09-23,15398.0,Wall & Tabletop Frames
50,2020-09-24,15398.0,Wall & Tabletop Frames
51,2020-09-25,15398.0,Wall & Tabletop Frames
52,2020-09-26,22118.0,Wall & Tabletop Frames
53,2020-09-27,20332.0,Wall & Tabletop Frames
54,2020-09-28,20163.0,Wall & Tabletop Frames
55,2020-09-29,20163.0,Wall & Tabletop Frames
56,2020-09-30,20163.0,Wall & Tabletop Frames
57,2020-10-01,20163.0,Wall & Tabletop Frames
58,2020-10-02,20163.0,Wall & Tabletop Frames
