,date,value,name_B081B9NQ8S
0,2019-11-18,8617.0,Pool Filter Valves
1,2019-11-19,8859.0,Pool Filter Valves
2,2019-11-20,8859.0,Pool Filter Valves
3,2019-11-21,9101.0,Pool Filter Valves
4,2019-11-22,10556.0,Pool Filter Valves
5,2019-11-23,10556.0,Pool Filter Valves
6,2019-11-24,10556.0,Pool Filter Valves
7,2019-11-25,8607.0,Pool Filter Valves
8,2019-11-26,12793.0,Pool Filter Valves
9,2019-11-27,6029.0,Pool Filter Valves
10,2019-11-28,7037.0,Pool Filter Valves
11,2019-11-29,12403.0,Pool Filter Valves
12,2019-11-30,12403.0,Pool Filter Valves
13,2019-12-01,8313.0,Pool Filter Valves
14,2019-12-02,8512.0,Pool Filter Valves
15,2019-12-03,12459.0,Pool Filter Valves
16,2019-12-04,11854.0,Pool Filter Valves
17,2019-12-05,12794.0,Pool Filter Valves
18,2019-12-06,16152.0,Pool Filter Valves
19,2019-12-07,12967.0,Pool Filter Valves
20,2019-12-08,11445.0,Pool Filter Valves
21,2019-12-09,13597.0,Pool Filter Valves
22,2019-12-10,13367.0,Pool Filter Valves
23,2019-12-11,11189.0,Pool Filter Valves
24,2019-12-12,9850.0,Pool Filter Valves
25,2019-12-13,11080.0,Pool Filter Valves
26,2019-12-14,11080.0,Pool Filter Valves
27,2019-12-15,11080.0,Pool Filter Valves
28,2019-12-16,11605.0,Pool Filter Valves
29,2019-12-17,11605.0,Pool Filter Valves
30,2019-12-18,11605.0,Pool Filter Valves
31,2019-12-19,11605.0,Pool Filter Valves
32,2019-12-20,13462.0,Pool Filter Valves
33,2019-12-21,13462.0,Pool Filter Valves
34,2019-12-22,13462.0,Pool Filter Valves
35,2019-12-23,13462.0,Pool Filter Valves
36,2019-12-24,8784.0,Pool Filter Valves
37,2019-12-25,8784.0,Pool Filter Valves
38,2019-12-26,8784.0,Pool Filter Valves
39,2019-12-27,9853.0,Pool Filter Valves
40,2019-12-28,9853.0,Pool Filter Valves
41,2019-12-29,9853.0,Pool Filter Valves
42,2019-12-30,9853.0,Pool Filter Valves
43,2019-12-31,8766.0,Pool Filter Valves
44,2020-01-01,8766.0,Pool Filter Valves
45,2020-01-02,8766.0,Pool Filter Valves
46,2020-01-03,8766.0,Pool Filter Valves
47,2020-01-04,8766.0,Pool Filter Valves
48,2020-01-05,8766.0,Pool Filter Valves
49,2020-01-06,6008.0,Pool Filter Valves
50,2020-01-07,6008.0,Pool Filter Valves
51,2020-01-08,10985.0,Pool Filter Valves
52,2020-01-09,10985.0,Pool Filter Valves
53,2020-01-10,10985.0,Pool Filter Valves
54,2020-01-11,8093.0,Pool Filter Valves
55,2020-01-12,8093.0,Pool Filter Valves
56,2020-01-13,8093.0,Pool Filter Valves
57,2020-01-14,9878.0,Pool Filter Valves
58,2020-01-15,4943.0,Pool Filter Valves
59,2020-01-16,4943.0,Pool Filter Valves
60,2020-01-17,4943.0,Pool Filter Valves
61,2020-01-18,5608.0,Pool Filter Valves
62,2020-01-19,5608.0,Pool Filter Valves
63,2020-01-20,8971.0,Pool Filter Valves
64,2020-01-21,8971.0,Pool Filter Valves
65,2020-01-22,8366.0,Pool Filter Valves
66,2020-01-23,8366.0,Pool Filter Valves
67,2020-01-24,8366.0,Pool Filter Valves
68,2020-01-25,8366.0,Pool Filter Valves
69,2020-01-26,8366.0,Pool Filter Valves
70,2020-01-27,8366.0,Pool Filter Valves
71,2020-01-28,8514.0,Pool Filter Valves
72,2020-01-29,8514.0,Pool Filter Valves
73,2020-01-30,7215.0,Pool Filter Valves
74,2020-01-31,7215.0,Pool Filter Valves
75,2020-02-01,7215.0,Pool Filter Valves
76,2020-02-02,7215.0,Pool Filter Valves
77,2020-02-03,6881.0,Pool Filter Valves
78,2020-02-04,6881.0,Pool Filter Valves
79,2020-02-05,6881.0,Pool Filter Valves
80,2020-02-06,6881.0,Pool Filter Valves
81,2020-02-07,6881.0,Pool Filter Valves
82,2020-02-08,6881.0,Pool Filter Valves
83,2020-02-09,6881.0,Pool Filter Valves
84,2020-02-10,6881.0,Pool Filter Valves
85,2020-02-11,4483.0,Pool Filter Valves
86,2020-02-12,4483.0,Pool Filter Valves
87,2020-02-13,4483.0,Pool Filter Valves
88,2020-02-14,4483.0,Pool Filter Valves
89,2020-02-15,4483.0,Pool Filter Valves
90,2020-02-16,4900.0,Pool Filter Valves
91,2020-02-17,4900.0,Pool Filter Valves
92,2020-02-18,7051.0,Pool Filter Valves
93,2020-02-19,7051.0,Pool Filter Valves
94,2020-02-20,7051.0,Pool Filter Valves
95,2020-02-21,7051.0,Pool Filter Valves
96,2020-02-22,7051.0,Pool Filter Valves
97,2020-02-23,7051.0,Pool Filter Valves
98,2020-02-24,7051.0,Pool Filter Valves
99,2020-02-25,7051.0,Pool Filter Valves
100,2020-02-26,12152.0,Pool Filter Valves
101,2020-02-27,12152.0,Pool Filter Valves
102,2020-02-28,12152.0,Pool Filter Valves
103,2020-02-29,12152.0,Pool Filter Valves
104,2020-03-01,12152.0,Pool Filter Valves
105,2020-03-02,12152.0,Pool Filter Valves
106,2020-03-03,10829.0,Pool Filter Valves
107,2020-03-04,6538.0,Pool Filter Valves
108,2020-03-05,6538.0,Pool Filter Valves
109,2020-03-06,6538.0,Pool Filter Valves
110,2020-03-07,8282.0,Pool Filter Valves
111,2020-03-08,8282.0,Pool Filter Valves
112,2020-03-09,8282.0,Pool Filter Valves
113,2020-03-10,8282.0,Pool Filter Valves
114,2020-03-11,7579.0,Pool Filter Valves
115,2020-03-12,7579.0,Pool Filter Valves
116,2020-03-13,7579.0,Pool Filter Valves
117,2020-03-14,7579.0,Pool Filter Valves
118,2020-03-15,7579.0,Pool Filter Valves
119,2020-03-16,7579.0,Pool Filter Valves
120,2020-03-17,7579.0,Pool Filter Valves
121,2020-03-18,10792.0,Pool Filter Valves
122,2020-03-19,10792.0,Pool Filter Valves
123,2020-03-20,10792.0,Pool Filter Valves
124,2020-03-21,10792.0,Pool Filter Valves
125,2020-03-22,10792.0,Pool Filter Valves
126,2020-03-23,9513.0,Pool Filter Valves
127,2020-03-24,9513.0,Pool Filter Valves
128,2020-03-25,9513.0,Pool Filter Valves
129,2020-03-26,9513.0,Pool Filter Valves
130,2020-03-27,9513.0,Pool Filter Valves
131,2020-03-28,9513.0,Pool Filter Valves
132,2020-03-29,9513.0,Pool Filter Valves
133,2020-03-30,9513.0,Pool Filter Valves
134,2020-03-31,10539.0,Pool Filter Valves
135,2020-04-01,7835.0,Pool Filter Valves
136,2020-04-02,7835.0,Pool Filter Valves
137,2020-04-03,7835.0,Pool Filter Valves
138,2020-04-04,7835.0,Pool Filter Valves
139,2020-04-05,11159.0,Pool Filter Valves
140,2020-04-06,11159.0,Pool Filter Valves
141,2020-04-07,11159.0,Pool Filter Valves
142,2020-04-08,13362.0,Pool Filter Valves
143,2020-04-09,13362.0,Pool Filter Valves
144,2020-04-10,13362.0,Pool Filter Valves
145,2020-04-11,13362.0,Pool Filter Valves
146,2020-04-12,13362.0,Pool Filter Valves
147,2020-04-13,12424.0,Pool Filter Valves
148,2020-04-14,12424.0,Pool Filter Valves
149,2020-04-15,12424.0,Pool Filter Valves
150,2020-04-16,7831.0,Pool Filter Valves
151,2020-04-17,7831.0,Pool Filter Valves
152,2020-04-18,7831.0,Pool Filter Valves
153,2020-04-19,7831.0,Pool Filter Valves
154,2020-04-20,7831.0,Pool Filter Valves
155,2020-04-21,7831.0,Pool Filter Valves
