,date,value,name_B07N1DSLBL
0,2020-05-26,40568.0,Pea
1,2020-05-27,40568.0,Pea
2,2020-05-28,40568.0,Pea
3,2020-05-29,40568.0,Pea
4,2020-05-30,53208.0,Pea
5,2020-05-31,53208.0,Pea
6,2020-06-01,53208.0,Pea
7,2020-06-02,53208.0,Pea
8,2020-06-03,53208.0,Pea
9,2020-06-04,53208.0,Pea
10,2020-06-05,53208.0,Pea
11,2020-06-06,53208.0,Pea
12,2020-06-07,53208.0,Pea
13,2020-06-08,63611.0,Pea
14,2020-06-09,63611.0,Pea
15,2020-06-10,63611.0,Pea
16,2020-06-11,63611.0,Pea
17,2020-06-12,63611.0,Pea
18,2020-06-13,63611.0,Pea
19,2020-06-14,63611.0,Pea
20,2020-06-15,53454.0,Pea
21,2020-06-16,53454.0,Pea
22,2020-06-17,53454.0,Pea
23,2020-06-18,33875.0,Pea
24,2020-06-19,33875.0,Pea
25,2020-06-20,33875.0,Pea
26,2020-06-21,58143.0,Pea
27,2020-06-22,58143.0,Pea
28,2020-06-23,58143.0,Pea
29,2020-06-24,58143.0,Pea
30,2020-06-25,33742.0,Pea
31,2020-06-26,33742.0,Pea
32,2020-06-27,33150.0,Pea
33,2020-06-28,38059.0,Pea
34,2020-06-29,38059.0,Pea
35,2020-06-30,41757.0,Pea
36,2020-07-01,41757.0,Pea
37,2020-07-02,41757.0,Pea
38,2020-07-03,41757.0,Pea
39,2020-07-04,41757.0,Pea
40,2020-07-05,41757.0,Pea
41,2020-07-06,156359.0,Pea
42,2020-07-07,156359.0,Pea
43,2020-07-08,177205.0,Pea
44,2020-07-09,177205.0,Pea
45,2020-07-10,177205.0,Pea
46,2020-07-11,177205.0,Pea
47,2020-07-12,177205.0,Pea
48,2020-07-13,65674.0,Pea
49,2020-07-14,65674.0,Pea
50,2020-07-15,65674.0,Pea
51,2020-07-16,42123.0,Pea
52,2020-07-17,42123.0,Pea
53,2020-07-18,38929.0,Pea
54,2020-07-19,38929.0,Pea
55,2020-07-20,38929.0,Pea
56,2020-07-21,38568.0,Pea
57,2020-07-22,38568.0,Pea
58,2020-07-23,38568.0,Pea
59,2020-07-24,51148.0,Pea
60,2020-07-25,51148.0,Pea
61,2020-07-26,51148.0,Pea
62,2020-07-27,46163.0,Pea
63,2020-07-28,41142.0,Pea
64,2020-07-29,41142.0,Pea
65,2020-07-30,41142.0,Pea
66,2020-07-31,41142.0,Pea
67,2020-08-01,41142.0,Pea
68,2020-08-02,41142.0,Pea
69,2020-08-03,46887.0,Pea
70,2020-08-04,46887.0,Pea
71,2020-08-05,46887.0,Pea
72,2020-08-06,62917.0,Pea
73,2020-08-07,57946.0,Pea
74,2020-08-08,57946.0,Pea
75,2020-08-09,57946.0,Pea
76,2020-08-10,61104.0,Pea
77,2020-08-11,61104.0,Pea
78,2020-08-12,61881.0,Pea
79,2020-08-13,61881.0,Pea
80,2020-08-14,61881.0,Pea
81,2020-08-15,72465.0,Pea
82,2020-08-16,85824.0,Pea
83,2020-08-17,85824.0,Pea
84,2020-08-18,85824.0,Pea
85,2020-08-19,65329.0,Pea
86,2020-08-20,65329.0,Pea
87,2020-08-21,65329.0,Pea
88,2020-08-22,65329.0,Pea
89,2020-08-23,65329.0,Pea
90,2020-08-24,50372.0,Pea
91,2020-08-25,38701.0,Pea
92,2020-08-26,38701.0,Pea
93,2020-08-27,40543.0,Pea
94,2020-08-28,35244.0,Pea
95,2020-08-29,35244.0,Pea
96,2020-08-30,47364.0,Pea
97,2020-08-31,47364.0,Pea
98,2020-09-01,47364.0,Pea
99,2020-09-02,44881.0,Pea
100,2020-09-03,44881.0,Pea
101,2020-09-04,44881.0,Pea
102,2020-09-05,44881.0,Pea
103,2020-09-06,52499.0,Pea
104,2020-09-07,52499.0,Pea
105,2020-09-08,52499.0,Pea
106,2020-09-09,58243.0,Pea
107,2020-09-10,58243.0,Pea
108,2020-09-11,58243.0,Pea
109,2020-09-12,55586.0,Pea
110,2020-09-13,63939.0,Pea
111,2020-09-14,63939.0,Pea
112,2020-09-15,63939.0,Pea
113,2020-09-16,36859.0,Pea
114,2020-09-17,36859.0,Pea
115,2020-09-18,36859.0,Pea
116,2020-09-19,36859.0,Pea
117,2020-09-20,36859.0,Pea
118,2020-09-21,66219.0,Pea
119,2020-09-22,66219.0,Pea
120,2020-09-23,66219.0,Pea
121,2020-09-24,66219.0,Pea
