,date,value,name_B083954G7P
0,2020-06-18,15932.0,Scents
1,2020-06-19,15932.0,Scents
2,2020-06-20,15932.0,Scents
3,2020-06-21,15932.0,Scents
4,2020-06-22,15932.0,Scents
5,2020-06-23,10598.0,Scents
6,2020-06-24,10598.0,Scents
7,2020-06-25,10598.0,Scents
8,2020-06-26,10598.0,Scents
9,2020-06-27,9951.0,Scents
10,2020-06-28,9951.0,Scents
11,2020-06-29,9951.0,Scents
12,2020-06-30,9951.0,Scents
13,2020-07-01,8213.0,Scents
14,2020-07-02,8213.0,Scents
15,2020-07-03,8213.0,Scents
16,2020-07-04,6734.0,Scents
17,2020-07-05,6734.0,Scents
18,2020-07-06,6734.0,Scents
19,2020-07-07,6734.0,Scents
20,2020-07-08,6734.0,Scents
21,2020-07-09,8837.0,Scents
22,2020-07-10,8837.0,Scents
23,2020-07-11,9112.0,Scents
24,2020-07-12,9112.0,Scents
25,2020-07-13,9112.0,Scents
26,2020-07-14,9112.0,Scents
27,2020-07-15,7586.0,Scents
28,2020-07-16,7586.0,Scents
29,2020-07-17,11166.0,Scents
30,2020-07-18,11166.0,Scents
31,2020-07-19,11166.0,Scents
32,2020-07-20,11166.0,Scents
33,2020-07-21,11166.0,Scents
34,2020-07-22,11166.0,Scents
35,2020-07-23,11781.0,Scents
36,2020-07-24,11781.0,Scents
37,2020-07-25,11781.0,Scents
38,2020-07-26,11781.0,Scents
39,2020-07-27,11781.0,Scents
40,2020-07-28,10984.0,Scents
41,2020-07-29,10984.0,Scents
42,2020-07-30,12349.0,Scents
43,2020-07-31,12349.0,Scents
44,2020-08-01,11336.0,Scents
45,2020-08-02,11336.0,Scents
46,2020-08-03,11336.0,Scents
47,2020-08-04,11336.0,Scents
48,2020-08-05,11336.0,Scents
49,2020-08-06,10477.0,Scents
50,2020-08-07,10477.0,Scents
51,2020-08-08,10477.0,Scents
52,2020-08-09,10477.0,Scents
53,2020-08-10,8729.0,Scents
54,2020-08-11,8729.0,Scents
55,2020-08-12,8729.0,Scents
56,2020-08-13,9748.0,Scents
57,2020-08-14,9748.0,Scents
58,2020-08-15,12159.0,Scents
59,2020-08-16,12159.0,Scents
60,2020-08-17,14594.0,Scents
61,2020-08-18,14594.0,Scents
62,2020-08-19,14594.0,Scents
63,2020-08-20,14594.0,Scents
64,2020-08-21,14594.0,Scents
65,2020-08-22,14594.0,Scents
66,2020-08-23,14594.0,Scents
67,2020-08-24,9050.0,Scents
68,2020-08-25,9050.0,Scents
69,2020-08-26,9050.0,Scents
70,2020-08-27,9050.0,Scents
71,2020-08-28,9050.0,Scents
72,2020-08-29,9050.0,Scents
73,2020-08-30,9050.0,Scents
74,2020-08-31,14905.0,Scents
75,2020-09-01,14905.0,Scents
76,2020-09-02,14905.0,Scents
77,2020-09-03,14905.0,Scents
78,2020-09-04,14905.0,Scents
79,2020-09-05,12940.0,Scents
80,2020-09-06,12940.0,Scents
81,2020-09-07,12940.0,Scents
82,2020-09-08,16775.0,Scents
83,2020-09-09,16775.0,Scents
84,2020-09-10,16775.0,Scents
85,2020-09-11,16775.0,Scents
86,2020-09-12,16775.0,Scents
87,2020-09-13,16775.0,Scents
88,2020-09-14,24046.0,Scents
89,2020-09-15,24046.0,Scents
90,2020-09-16,24046.0,Scents
91,2020-09-17,12522.0,Scents
92,2020-09-18,12522.0,Scents
93,2020-09-19,12522.0,Scents
94,2020-09-20,12522.0,Scents
95,2020-09-21,12501.0,Scents
96,2020-09-22,12501.0,Scents
97,2020-09-23,12501.0,Scents
98,2020-09-24,12501.0,Scents
99,2020-09-25,13677.0,Scents
100,2020-09-26,13677.0,Scents
101,2020-09-27,13677.0,Scents
102,2020-09-28,8881.0,Scents
103,2020-09-29,8881.0,Scents
104,2020-09-30,8881.0,Scents
105,2020-10-01,8881.0,Scents
106,2020-10-02,8881.0,Scents
107,2020-10-03,8881.0,Scents
108,2020-10-04,8881.0,Scents
