,date,value,name_B082X2SVKS
138,2020-10-08,5184.0,Kids' Electronics
139,2020-10-09,4717.0,Kids' Electronics
140,2020-10-10,4442.0,Kids' Electronics
141,2020-10-11,3976.0,Kids' Electronics
142,2020-10-12,5353.0,Kids' Electronics
143,2020-10-13,5809.0,Kids' Electronics
144,2020-10-14,265.0,Kids' Electronics
145,2020-10-15,914.0,Kids' Electronics
146,2020-10-16,1447.0,Kids' Electronics
147,2020-10-17,1447.0,Kids' Electronics
148,2020-10-18,3523.0,Kids' Electronics
149,2020-10-19,3523.0,Kids' Electronics
150,2020-10-20,3523.0,Kids' Electronics
151,2020-10-21,4912.0,Kids' Electronics
152,2020-10-22,4912.0,Kids' Electronics
153,2020-10-23,4912.0,Kids' Electronics
154,2020-10-24,4277.0,Kids' Electronics
155,2020-10-25,4776.0,Kids' Electronics
156,2020-10-26,4776.0,Kids' Electronics
157,2020-10-27,4776.0,Kids' Electronics
158,2020-10-28,4978.0,Kids' Electronics
159,2020-10-29,4978.0,Kids' Electronics
160,2020-10-30,4978.0,Kids' Electronics
161,2020-10-31,3242.0,Kids' Electronics
162,2020-11-01,4020.0,Kids' Electronics
163,2020-11-02,3189.0,Kids' Electronics
164,2020-11-03,3189.0,Kids' Electronics
165,2020-11-04,3189.0,Kids' Electronics
166,2020-11-05,2659.0,Kids' Electronics
167,2020-11-06,3289.0,Kids' Electronics
168,2020-11-07,3289.0,Kids' Electronics
169,2020-11-08,3289.0,Kids' Electronics
170,2020-11-09,3720.0,Kids' Electronics
171,2020-11-10,3720.0,Kids' Electronics
172,2020-11-11,3720.0,Kids' Electronics
173,2020-11-12,4076.0,Kids' Electronics
174,2020-11-13,4076.0,Kids' Electronics
175,2020-11-14,3146.0,Kids' Electronics
176,2020-11-15,3146.0,Kids' Electronics
177,2020-11-16,3146.0,Kids' Electronics
178,2020-11-17,2985.0,Kids' Electronics
179,2020-11-18,2985.0,Kids' Electronics
180,2020-11-19,2985.0,Kids' Electronics
181,2020-11-20,2612.0,Kids' Electronics
182,2020-11-21,2679.0,Kids' Electronics
183,2020-11-22,2801.0,Kids' Electronics
184,2020-11-23,2707.0,Kids' Electronics
185,2020-11-24,2524.0,Kids' Electronics
186,2020-11-25,1774.0,Kids' Electronics
187,2020-11-26,1634.0,Kids' Electronics
188,2020-11-27,1268.0,Kids' Electronics
189,2020-11-28,1268.0,Kids' Electronics
190,2020-11-29,753.0,Kids' Electronics
191,2020-11-30,809.0,Kids' Electronics
192,2020-12-01,1344.0,Kids' Electronics
193,2020-12-02,1381.0,Kids' Electronics
194,2020-12-03,1446.0,Kids' Electronics
195,2020-12-04,1446.0,Kids' Electronics
