,date,value,name_B08NDXCG8L
0,2020-11-22,14194.0,Cloth Napkins
1,2020-11-23,9890.0,Cloth Napkins
2,2020-11-24,9890.0,Cloth Napkins
3,2020-11-25,9890.0,Cloth Napkins
4,2020-11-26,9890.0,Cloth Napkins
5,2020-11-27,9890.0,Cloth Napkins
6,2020-11-28,9890.0,Cloth Napkins
7,2020-11-29,9890.0,Cloth Napkins
8,2020-11-30,9890.0,Cloth Napkins
9,2020-12-01,26877.0,Cloth Napkins
10,2020-12-02,26877.0,Cloth Napkins
11,2020-12-03,26877.0,Cloth Napkins
12,2020-12-04,26877.0,Cloth Napkins
13,2020-12-05,26877.0,Cloth Napkins
14,2020-12-06,26877.0,Cloth Napkins
15,2020-12-07,26877.0,Cloth Napkins
16,2020-12-08,26877.0,Cloth Napkins
17,2020-12-09,26877.0,Cloth Napkins
18,2020-12-10,25598.0,Cloth Napkins
19,2020-12-11,25598.0,Cloth Napkins
20,2020-12-12,25598.0,Cloth Napkins
21,2020-12-13,25598.0,Cloth Napkins
22,2020-12-14,25598.0,Cloth Napkins
23,2020-12-15,26304.0,Cloth Napkins
24,2020-12-16,26304.0,Cloth Napkins
25,2020-12-17,25620.0,Cloth Napkins
26,2020-12-18,25620.0,Cloth Napkins
27,2020-12-19,25620.0,Cloth Napkins
28,2020-12-20,25620.0,Cloth Napkins
29,2020-12-21,25620.0,Cloth Napkins
30,2020-12-22,25620.0,Cloth Napkins
31,2020-12-23,27669.0,Cloth Napkins
32,2020-12-24,27669.0,Cloth Napkins
33,2020-12-25,27669.0,Cloth Napkins
34,2020-12-26,27669.0,Cloth Napkins
35,2020-12-27,34093.0,Cloth Napkins
36,2020-12-28,34093.0,Cloth Napkins
37,2020-12-29,34093.0,Cloth Napkins
38,2020-12-30,34093.0,Cloth Napkins
39,2020-12-31,34093.0,Cloth Napkins
40,2021-01-01,34093.0,Cloth Napkins
41,2021-01-02,34093.0,Cloth Napkins
42,2021-01-03,34093.0,Cloth Napkins
43,2021-01-04,36936.0,Cloth Napkins
44,2021-01-05,36936.0,Cloth Napkins
45,2021-01-06,36936.0,Cloth Napkins
46,2021-01-07,36936.0,Cloth Napkins
47,2021-01-08,19953.0,Cloth Napkins
48,2021-01-09,19953.0,Cloth Napkins
49,2021-01-10,19953.0,Cloth Napkins
50,2021-01-11,60867.0,Cloth Napkins
51,2021-01-12,23823.0,Cloth Napkins
52,2021-01-13,20641.0,Cloth Napkins
53,2021-01-14,20641.0,Cloth Napkins
54,2021-01-15,20641.0,Cloth Napkins
55,2021-01-16,31015.0,Cloth Napkins
56,2021-01-17,31015.0,Cloth Napkins
57,2021-01-18,31015.0,Cloth Napkins
58,2021-01-19,31015.0,Cloth Napkins
59,2021-01-20,31015.0,Cloth Napkins
60,2021-01-21,32521.0,Cloth Napkins
61,2021-01-22,32521.0,Cloth Napkins
62,2021-01-23,32521.0,Cloth Napkins
63,2021-01-24,32521.0,Cloth Napkins
64,2021-01-25,32521.0,Cloth Napkins
65,2021-01-26,15713.0,Cloth Napkins
66,2021-01-27,15713.0,Cloth Napkins
67,2021-01-28,15713.0,Cloth Napkins
68,2021-01-29,11112.0,Cloth Napkins
69,2021-01-30,11112.0,Cloth Napkins
70,2021-01-31,11112.0,Cloth Napkins
71,2021-02-01,14156.0,Cloth Napkins
72,2021-02-02,14156.0,Cloth Napkins
73,2021-02-03,14156.0,Cloth Napkins
74,2021-02-04,14156.0,Cloth Napkins
75,2021-02-05,14156.0,Cloth Napkins
76,2021-02-06,14156.0,Cloth Napkins
77,2021-02-07,17626.0,Cloth Napkins
78,2021-02-08,17626.0,Cloth Napkins
79,2021-02-09,17626.0,Cloth Napkins
80,2021-02-10,17626.0,Cloth Napkins
81,2021-02-11,17626.0,Cloth Napkins
82,2021-02-12,17626.0,Cloth Napkins
83,2021-02-13,17626.0,Cloth Napkins
84,2021-02-14,14856.0,Cloth Napkins
85,2021-02-15,14856.0,Cloth Napkins
86,2021-02-16,14856.0,Cloth Napkins
87,2021-02-17,11262.0,Cloth Napkins
88,2021-02-18,11262.0,Cloth Napkins
89,2021-02-19,11262.0,Cloth Napkins
90,2021-02-20,11559.0,Cloth Napkins
91,2021-02-21,11559.0,Cloth Napkins
92,2021-02-22,11559.0,Cloth Napkins
93,2021-02-23,10738.0,Cloth Napkins
94,2021-02-24,10738.0,Cloth Napkins
95,2021-02-25,10738.0,Cloth Napkins
96,2021-02-26,9448.0,Cloth Napkins
97,2021-02-27,9448.0,Cloth Napkins
98,2021-02-28,9448.0,Cloth Napkins
99,2021-03-01,9457.0,Cloth Napkins
100,2021-03-02,9457.0,Cloth Napkins
101,2021-03-03,9457.0,Cloth Napkins
102,2021-03-04,8684.0,Cloth Napkins
103,2021-03-05,8684.0,Cloth Napkins
104,2021-03-06,9485.0,Cloth Napkins
105,2021-03-07,9485.0,Cloth Napkins
106,2021-03-08,9485.0,Cloth Napkins
107,2021-03-09,12224.0,Cloth Napkins
108,2021-03-10,12224.0,Cloth Napkins
109,2021-03-11,12224.0,Cloth Napkins
110,2021-03-12,12224.0,Cloth Napkins
111,2021-03-13,12224.0,Cloth Napkins
112,2021-03-14,12046.0,Cloth Napkins
113,2021-03-15,12821.0,Cloth Napkins
114,2021-03-16,12821.0,Cloth Napkins
115,2021-03-17,12821.0,Cloth Napkins
116,2021-03-18,9873.0,Cloth Napkins
117,2021-03-19,8485.0,Cloth Napkins
118,2021-03-20,8672.0,Cloth Napkins
119,2021-03-21,8672.0,Cloth Napkins
120,2021-03-22,8672.0,Cloth Napkins
121,2021-03-23,8672.0,Cloth Napkins
122,2021-03-24,8672.0,Cloth Napkins
123,2021-03-25,8492.0,Cloth Napkins
124,2021-03-26,8492.0,Cloth Napkins
125,2021-03-27,8492.0,Cloth Napkins
126,2021-03-28,8492.0,Cloth Napkins
127,2021-03-29,8492.0,Cloth Napkins
128,2021-03-30,8492.0,Cloth Napkins
129,2021-03-31,8716.0,Cloth Napkins
130,2021-04-01,10382.0,Cloth Napkins
131,2021-04-02,10382.0,Cloth Napkins
132,2021-04-03,10382.0,Cloth Napkins
133,2021-04-04,10382.0,Cloth Napkins
134,2021-04-05,10382.0,Cloth Napkins
135,2021-04-06,9861.0,Cloth Napkins
136,2021-04-07,9861.0,Cloth Napkins
137,2021-04-08,9861.0,Cloth Napkins
138,2021-04-09,9861.0,Cloth Napkins
139,2021-04-10,10482.0,Cloth Napkins
140,2021-04-11,8442.0,Cloth Napkins
141,2021-04-12,11036.0,Cloth Napkins
142,2021-04-13,11036.0,Cloth Napkins
143,2021-04-14,8443.0,Cloth Napkins
144,2021-04-15,8443.0,Cloth Napkins
145,2021-04-16,8443.0,Cloth Napkins
146,2021-04-17,8443.0,Cloth Napkins
147,2021-04-18,8443.0,Cloth Napkins
148,2021-04-19,8443.0,Cloth Napkins
149,2021-04-20,7551.0,Cloth Napkins
150,2021-04-21,7551.0,Cloth Napkins
151,2021-04-22,7551.0,Cloth Napkins
152,2021-04-23,7551.0,Cloth Napkins
153,2021-04-24,10066.0,Cloth Napkins
154,2021-04-25,10066.0,Cloth Napkins
155,2021-04-26,10066.0,Cloth Napkins
156,2021-04-27,7231.0,Cloth Napkins
157,2021-04-28,7231.0,Cloth Napkins
158,2021-04-29,7231.0,Cloth Napkins
159,2021-04-30,7231.0,Cloth Napkins
160,2021-05-01,8153.0,Cloth Napkins
161,2021-05-02,8755.0,Cloth Napkins
162,2021-05-03,8755.0,Cloth Napkins
163,2021-05-04,8755.0,Cloth Napkins
164,2021-05-05,8755.0,Cloth Napkins
165,2021-05-06,5529.0,Cloth Napkins
166,2021-05-07,5529.0,Cloth Napkins
167,2021-05-08,5529.0,Cloth Napkins
168,2021-05-09,7280.0,Cloth Napkins
169,2021-05-10,7862.0,Cloth Napkins
170,2021-05-11,7862.0,Cloth Napkins
171,2021-05-12,7862.0,Cloth Napkins
172,2021-05-13,5271.0,Cloth Napkins
173,2021-05-14,5271.0,Cloth Napkins
174,2021-05-15,5440.0,Cloth Napkins
175,2021-05-16,5440.0,Cloth Napkins
176,2021-05-17,4185.0,Cloth Napkins
177,2021-05-18,4185.0,Cloth Napkins
178,2021-05-19,4185.0,Cloth Napkins
179,2021-05-20,5907.0,Cloth Napkins
180,2021-05-21,5907.0,Cloth Napkins
181,2021-05-22,8967.0,Cloth Napkins
182,2021-05-23,8967.0,Cloth Napkins
183,2021-05-24,7211.0,Cloth Napkins
184,2021-05-25,5902.0,Cloth Napkins
185,2021-05-26,5738.0,Cloth Napkins
186,2021-05-27,5738.0,Cloth Napkins
187,2021-05-28,5738.0,Cloth Napkins
188,2021-05-29,6183.0,Cloth Napkins
189,2021-05-30,6183.0,Cloth Napkins
190,2021-05-31,7717.0,Cloth Napkins
191,2021-06-01,8488.0,Cloth Napkins
192,2021-06-02,8488.0,Cloth Napkins
193,2021-06-03,4603.0,Cloth Napkins
194,2021-06-04,4975.0,Cloth Napkins
195,2021-06-05,4975.0,Cloth Napkins
196,2021-06-06,6020.0,Cloth Napkins
197,2021-06-07,6020.0,Cloth Napkins
198,2021-06-08,6016.0,Cloth Napkins
199,2021-06-09,6016.0,Cloth Napkins
200,2021-06-10,6016.0,Cloth Napkins
201,2021-06-11,4745.0,Cloth Napkins
202,2021-06-12,4745.0,Cloth Napkins
203,2021-06-13,4745.0,Cloth Napkins
204,2021-06-14,4733.0,Cloth Napkins
205,2021-06-15,4733.0,Cloth Napkins
206,2021-06-16,5272.0,Cloth Napkins
207,2021-06-17,5272.0,Cloth Napkins
208,2021-06-18,6109.0,Cloth Napkins
209,2021-06-19,6109.0,Cloth Napkins
210,2021-06-20,6109.0,Cloth Napkins
211,2021-06-21,8032.0,Cloth Napkins
212,2021-06-22,8032.0,Cloth Napkins
213,2021-06-23,8032.0,Cloth Napkins
214,2021-06-24,6669.0,Cloth Napkins
215,2021-06-25,5380.0,Cloth Napkins
216,2021-06-26,5380.0,Cloth Napkins
