,date,value,name_B071Y7KGK1
0,2020-06-04,12368.0,Personal Organizers
1,2020-06-05,12368.0,Personal Organizers
2,2020-06-06,12368.0,Personal Organizers
3,2020-06-07,12368.0,Personal Organizers
4,2020-06-08,12368.0,Personal Organizers
5,2020-06-09,4307.0,Personal Organizers
6,2020-06-10,3999.0,Personal Organizers
7,2020-06-11,3999.0,Personal Organizers
8,2020-06-12,3999.0,Personal Organizers
9,2020-06-13,5525.0,Personal Organizers
10,2020-06-14,5525.0,Personal Organizers
11,2020-06-15,5525.0,Personal Organizers
12,2020-06-16,5525.0,Personal Organizers
13,2020-06-17,4671.0,Personal Organizers
14,2020-06-18,5053.0,Personal Organizers
15,2020-06-19,5053.0,Personal Organizers
16,2020-06-20,5053.0,Personal Organizers
17,2020-06-21,5053.0,Personal Organizers
18,2020-06-22,6032.0,Personal Organizers
19,2020-06-23,6032.0,Personal Organizers
20,2020-06-24,6032.0,Personal Organizers
21,2020-06-25,6032.0,Personal Organizers
22,2020-06-26,4807.0,Personal Organizers
23,2020-06-27,4807.0,Personal Organizers
24,2020-06-28,4807.0,Personal Organizers
25,2020-06-29,6113.0,Personal Organizers
26,2020-06-30,6113.0,Personal Organizers
27,2020-07-01,6113.0,Personal Organizers
28,2020-07-02,5238.0,Personal Organizers
29,2020-07-03,4078.0,Personal Organizers
30,2020-07-04,4078.0,Personal Organizers
31,2020-07-05,5606.0,Personal Organizers
32,2020-07-06,5606.0,Personal Organizers
33,2020-07-07,5606.0,Personal Organizers
34,2020-07-08,4218.0,Personal Organizers
35,2020-07-09,4218.0,Personal Organizers
36,2020-07-10,4218.0,Personal Organizers
37,2020-07-11,4218.0,Personal Organizers
38,2020-07-12,5396.0,Personal Organizers
39,2020-07-13,5283.0,Personal Organizers
40,2020-07-14,5283.0,Personal Organizers
41,2020-07-15,5283.0,Personal Organizers
42,2020-07-16,7263.0,Personal Organizers
43,2020-07-17,7263.0,Personal Organizers
44,2020-07-18,7263.0,Personal Organizers
45,2020-07-19,7263.0,Personal Organizers
46,2020-07-20,7263.0,Personal Organizers
47,2020-07-21,7263.0,Personal Organizers
48,2020-07-22,7263.0,Personal Organizers
49,2020-07-23,7263.0,Personal Organizers
50,2020-07-24,11312.0,Personal Organizers
51,2020-07-25,11312.0,Personal Organizers
52,2020-07-26,11312.0,Personal Organizers
53,2020-07-27,11312.0,Personal Organizers
54,2020-07-28,8991.0,Personal Organizers
55,2020-07-29,8991.0,Personal Organizers
56,2020-07-30,8991.0,Personal Organizers
57,2020-07-31,8991.0,Personal Organizers
58,2020-08-01,8991.0,Personal Organizers
59,2020-08-02,8991.0,Personal Organizers
60,2020-08-03,8991.0,Personal Organizers
61,2020-08-04,8991.0,Personal Organizers
62,2020-08-05,8747.0,Personal Organizers
63,2020-08-06,8747.0,Personal Organizers
64,2020-08-07,8747.0,Personal Organizers
65,2020-08-08,8747.0,Personal Organizers
66,2020-08-09,14333.0,Personal Organizers
67,2020-08-10,14333.0,Personal Organizers
68,2020-08-11,9840.0,Personal Organizers
69,2020-08-12,9840.0,Personal Organizers
70,2020-08-13,9840.0,Personal Organizers
71,2020-08-14,9840.0,Personal Organizers
72,2020-08-15,9840.0,Personal Organizers
73,2020-08-16,9840.0,Personal Organizers
74,2020-08-17,8452.0,Personal Organizers
75,2020-08-18,8452.0,Personal Organizers
76,2020-08-19,8452.0,Personal Organizers
77,2020-08-20,8452.0,Personal Organizers
78,2020-08-21,8452.0,Personal Organizers
79,2020-08-22,8452.0,Personal Organizers
80,2020-08-23,8986.0,Personal Organizers
81,2020-08-24,8986.0,Personal Organizers
82,2020-08-25,8986.0,Personal Organizers
83,2020-08-26,8986.0,Personal Organizers
84,2020-08-27,7811.0,Personal Organizers
85,2020-08-28,7370.0,Personal Organizers
86,2020-08-29,7370.0,Personal Organizers
87,2020-08-30,7370.0,Personal Organizers
88,2020-08-31,6198.0,Personal Organizers
89,2020-09-01,6198.0,Personal Organizers
90,2020-09-02,6198.0,Personal Organizers
91,2020-09-03,7165.0,Personal Organizers
92,2020-09-04,7165.0,Personal Organizers
93,2020-09-05,7165.0,Personal Organizers
94,2020-09-06,7165.0,Personal Organizers
95,2020-09-07,8791.0,Personal Organizers
96,2020-09-08,8791.0,Personal Organizers
97,2020-09-09,6397.0,Personal Organizers
98,2020-09-10,8594.0,Personal Organizers
99,2020-09-11,6248.0,Personal Organizers
100,2020-09-12,6248.0,Personal Organizers
101,2020-09-13,6248.0,Personal Organizers
102,2020-09-14,6248.0,Personal Organizers
103,2020-09-15,6248.0,Personal Organizers
104,2020-09-16,6659.0,Personal Organizers
105,2020-09-17,6659.0,Personal Organizers
106,2020-09-18,6659.0,Personal Organizers
107,2020-09-19,6165.0,Personal Organizers
108,2020-09-20,6165.0,Personal Organizers
109,2020-09-21,6165.0,Personal Organizers
110,2020-09-22,6165.0,Personal Organizers
111,2020-09-23,6757.0,Personal Organizers
