,date,value,name_B08CTYQY5Q
0,2020-11-27,143139.0,Bed Pillows
1,2020-11-28,210215.0,Bed Pillows
2,2020-11-29,210215.0,Bed Pillows
3,2020-11-30,210215.0,Bed Pillows
4,2020-12-01,210215.0,Bed Pillows
5,2020-12-02,196563.0,Bed Pillows
6,2020-12-03,173553.0,Bed Pillows
7,2020-12-04,173553.0,Bed Pillows
8,2020-12-05,173553.0,Bed Pillows
9,2020-12-06,173553.0,Bed Pillows
10,2020-12-07,162687.0,Bed Pillows
11,2020-12-08,162687.0,Bed Pillows
12,2020-12-09,290023.0,Bed Pillows
13,2020-12-10,290023.0,Bed Pillows
14,2020-12-11,290023.0,Bed Pillows
15,2020-12-12,230667.0,Bed Pillows
16,2020-12-13,242555.0,Bed Pillows
17,2020-12-14,242555.0,Bed Pillows
18,2020-12-15,175175.0,Bed Pillows
19,2020-12-16,175175.0,Bed Pillows
20,2020-12-17,175175.0,Bed Pillows
21,2020-12-18,175175.0,Bed Pillows
22,2020-12-19,175175.0,Bed Pillows
23,2020-12-20,175175.0,Bed Pillows
24,2020-12-21,226375.0,Bed Pillows
25,2020-12-22,226375.0,Bed Pillows
26,2020-12-23,375992.0,Bed Pillows
27,2020-12-24,375992.0,Bed Pillows
28,2020-12-25,454141.0,Bed Pillows
29,2020-12-26,454141.0,Bed Pillows
30,2020-12-27,454141.0,Bed Pillows
31,2020-12-28,454141.0,Bed Pillows
32,2020-12-29,454141.0,Bed Pillows
33,2020-12-30,454141.0,Bed Pillows
34,2020-12-31,454141.0,Bed Pillows
35,2021-01-01,454141.0,Bed Pillows
36,2021-01-02,454141.0,Bed Pillows
37,2021-01-03,332845.0,Bed Pillows
38,2021-01-04,332845.0,Bed Pillows
39,2021-01-05,332845.0,Bed Pillows
40,2021-01-06,332845.0,Bed Pillows
41,2021-01-07,410114.0,Bed Pillows
42,2021-01-08,410114.0,Bed Pillows
43,2021-01-09,410114.0,Bed Pillows
44,2021-01-10,410114.0,Bed Pillows
45,2021-01-11,410114.0,Bed Pillows
46,2021-01-12,410114.0,Bed Pillows
47,2021-01-13,194247.0,Bed Pillows
48,2021-01-14,194247.0,Bed Pillows
49,2021-01-15,194247.0,Bed Pillows
50,2021-01-16,194247.0,Bed Pillows
51,2021-01-17,194247.0,Bed Pillows
52,2021-01-18,194247.0,Bed Pillows
53,2021-01-19,532062.0,Bed Pillows
54,2021-01-20,532062.0,Bed Pillows
55,2021-01-21,532062.0,Bed Pillows
56,2021-01-22,532062.0,Bed Pillows
57,2021-01-23,250645.0,Bed Pillows
58,2021-01-24,250645.0,Bed Pillows
