,date,value,name_B01N7Y2A8M
0,2020-05-22,1736.0,Whey
1,2020-05-23,1736.0,Whey
2,2020-05-24,2307.0,Whey
3,2020-05-25,2307.0,Whey
4,2020-05-26,1866.0,Whey
5,2020-05-27,1816.0,Whey
6,2020-05-28,1897.0,Whey
7,2020-05-29,2138.0,Whey
8,2020-05-30,2138.0,Whey
9,2020-05-31,1760.0,Whey
10,2020-06-01,2039.0,Whey
11,2020-06-02,1741.0,Whey
12,2020-06-03,1651.0,Whey
13,2020-06-04,1742.0,Whey
14,2020-06-05,1525.0,Whey
15,2020-06-06,1962.0,Whey
16,2020-06-07,2107.0,Whey
17,2020-06-08,1888.0,Whey
18,2020-06-09,1650.0,Whey
19,2020-06-10,1544.0,Whey
20,2020-06-11,1736.0,Whey
21,2020-06-12,1642.0,Whey
22,2020-06-13,1596.0,Whey
23,2020-06-14,1707.0,Whey
24,2020-06-15,1828.0,Whey
25,2020-06-16,1857.0,Whey
26,2020-06-17,1685.0,Whey
27,2020-06-18,1677.0,Whey
28,2020-06-19,1846.0,Whey
29,2020-06-20,1846.0,Whey
30,2020-06-21,2312.0,Whey
31,2020-06-22,2016.0,Whey
32,2020-06-23,2016.0,Whey
33,2020-06-24,1618.0,Whey
34,2020-06-25,1912.0,Whey
35,2020-06-26,1928.0,Whey
36,2020-06-27,1438.0,Whey
37,2020-06-28,2130.0,Whey
38,2020-06-29,1880.0,Whey
39,2020-06-30,1939.0,Whey
40,2020-07-01,1829.0,Whey
41,2020-07-02,1690.0,Whey
42,2020-07-03,2162.0,Whey
43,2020-07-04,2061.0,Whey
44,2020-07-05,2061.0,Whey
45,2020-07-06,2105.0,Whey
46,2020-07-07,1741.0,Whey
47,2020-07-08,1667.0,Whey
48,2020-07-09,1894.0,Whey
49,2020-07-10,1803.0,Whey
50,2020-07-11,1803.0,Whey
51,2020-07-12,2137.0,Whey
52,2020-07-13,1804.0,Whey
53,2020-07-14,1880.0,Whey
54,2020-07-15,1974.0,Whey
55,2020-07-16,1861.0,Whey
56,2020-07-17,1881.0,Whey
57,2020-07-18,2049.0,Whey
58,2020-07-19,2049.0,Whey
59,2020-07-20,2106.0,Whey
60,2020-07-21,1856.0,Whey
61,2020-07-22,1819.0,Whey
62,2020-07-23,1691.0,Whey
63,2020-07-24,2124.0,Whey
64,2020-07-25,2079.0,Whey
65,2020-07-26,2079.0,Whey
66,2020-07-27,1983.0,Whey
67,2020-07-28,1914.0,Whey
68,2020-07-29,1894.0,Whey
69,2020-07-30,1646.0,Whey
70,2020-07-31,1765.0,Whey
71,2020-08-01,1765.0,Whey
72,2020-08-02,1749.0,Whey
73,2020-08-03,1749.0,Whey
74,2020-08-04,1785.0,Whey
75,2020-08-05,1926.0,Whey
76,2020-08-06,1833.0,Whey
77,2020-08-07,2125.0,Whey
78,2020-08-08,1992.0,Whey
79,2020-08-09,1992.0,Whey
80,2020-08-10,1703.0,Whey
81,2020-08-11,1696.0,Whey
82,2020-08-12,1696.0,Whey
83,2020-08-13,1771.0,Whey
84,2020-08-14,1884.0,Whey
85,2020-08-15,1910.0,Whey
86,2020-08-16,1882.0,Whey
87,2020-08-17,1882.0,Whey
88,2020-08-18,1556.0,Whey
89,2020-08-19,1577.0,Whey
90,2020-08-20,1594.0,Whey
91,2020-08-21,1494.0,Whey
92,2020-08-22,1494.0,Whey
93,2020-08-23,1585.0,Whey
94,2020-08-24,1902.0,Whey
95,2020-08-25,1902.0,Whey
96,2020-08-26,1408.0,Whey
97,2020-08-27,1408.0,Whey
98,2020-08-28,1753.0,Whey
99,2020-08-29,1663.0,Whey
100,2020-08-30,1663.0,Whey
