,date,value,name_B08HT3DGT5
0,2020-10-30,13251.0,Trash Bags
1,2020-10-31,13251.0,Trash Bags
2,2020-11-01,13251.0,Trash Bags
3,2020-11-02,14664.0,Trash Bags
4,2020-11-03,13648.0,Trash Bags
5,2020-11-04,13648.0,Trash Bags
6,2020-11-05,12237.0,Trash Bags
7,2020-11-06,12237.0,Trash Bags
8,2020-11-07,12237.0,Trash Bags
9,2020-11-08,12237.0,Trash Bags
10,2020-11-09,14194.0,Trash Bags
11,2020-11-10,13979.0,Trash Bags
12,2020-11-11,12033.0,Trash Bags
13,2020-11-12,12033.0,Trash Bags
14,2020-11-13,12033.0,Trash Bags
15,2020-11-14,12033.0,Trash Bags
16,2020-11-15,12033.0,Trash Bags
17,2020-11-16,14477.0,Trash Bags
18,2020-11-17,14477.0,Trash Bags
19,2020-11-18,14477.0,Trash Bags
20,2020-11-19,1990.0,Trash Bags
21,2020-11-20,1990.0,Trash Bags
22,2020-11-21,1620.0,Trash Bags
23,2020-11-22,1620.0,Trash Bags
24,2020-11-23,2584.0,Trash Bags
25,2020-11-24,2584.0,Trash Bags
26,2020-11-25,2584.0,Trash Bags
27,2020-11-26,2792.0,Trash Bags
28,2020-11-27,2792.0,Trash Bags
29,2020-11-28,2361.0,Trash Bags
30,2020-11-29,2361.0,Trash Bags
31,2020-11-30,2361.0,Trash Bags
32,2020-12-01,2728.0,Trash Bags
33,2020-12-02,2728.0,Trash Bags
34,2020-12-03,2728.0,Trash Bags
35,2020-12-04,3085.0,Trash Bags
36,2020-12-05,3085.0,Trash Bags
37,2020-12-06,3085.0,Trash Bags
38,2020-12-07,4302.0,Trash Bags
39,2020-12-08,4442.0,Trash Bags
40,2020-12-09,4442.0,Trash Bags
41,2020-12-10,4442.0,Trash Bags
42,2020-12-11,3201.0,Trash Bags
43,2020-12-12,3201.0,Trash Bags
44,2020-12-13,4828.0,Trash Bags
45,2020-12-14,4828.0,Trash Bags
46,2020-12-15,4828.0,Trash Bags
47,2020-12-16,3538.0,Trash Bags
48,2020-12-17,3538.0,Trash Bags
49,2020-12-18,3538.0,Trash Bags
50,2020-12-19,5881.0,Trash Bags
51,2020-12-20,5881.0,Trash Bags
52,2020-12-21,5881.0,Trash Bags
53,2020-12-22,5881.0,Trash Bags
54,2020-12-23,8040.0,Trash Bags
55,2020-12-24,8040.0,Trash Bags
56,2020-12-25,8040.0,Trash Bags
57,2020-12-26,6072.0,Trash Bags
58,2020-12-27,6072.0,Trash Bags
59,2020-12-28,6072.0,Trash Bags
60,2020-12-29,3782.0,Trash Bags
61,2020-12-30,3782.0,Trash Bags
62,2020-12-31,4580.0,Trash Bags
63,2021-01-01,4580.0,Trash Bags
64,2021-01-02,4580.0,Trash Bags
65,2021-01-03,4580.0,Trash Bags
66,2021-01-04,5587.0,Trash Bags
67,2021-01-05,4136.0,Trash Bags
68,2021-01-06,4136.0,Trash Bags
69,2021-01-07,4136.0,Trash Bags
70,2021-01-08,4847.0,Trash Bags
71,2021-01-09,4847.0,Trash Bags
72,2021-01-10,4847.0,Trash Bags
73,2021-01-11,5081.0,Trash Bags
74,2021-01-12,5032.0,Trash Bags
75,2021-01-13,5032.0,Trash Bags
76,2021-01-14,5032.0,Trash Bags
77,2021-01-15,3921.0,Trash Bags
78,2021-01-16,4432.0,Trash Bags
79,2021-01-17,4432.0,Trash Bags
80,2021-01-18,4432.0,Trash Bags
81,2021-01-19,5472.0,Trash Bags
82,2021-01-20,5472.0,Trash Bags
83,2021-01-21,2865.0,Trash Bags
84,2021-01-22,2994.0,Trash Bags
85,2021-01-23,2994.0,Trash Bags
86,2021-01-24,2385.0,Trash Bags
87,2021-01-25,2385.0,Trash Bags
88,2021-01-26,2385.0,Trash Bags
89,2021-01-27,2534.0,Trash Bags
90,2021-01-28,3183.0,Trash Bags
91,2021-01-29,3183.0,Trash Bags
92,2021-01-30,3183.0,Trash Bags
