,date,value,name_B08SW8KD1R
0,2021-03-19,371276.0,Open Storage Bins
1,2021-03-20,471294.0,Open Storage Bins
2,2021-03-21,596010.0,Open Storage Bins
3,2021-03-22,596010.0,Open Storage Bins
4,2021-03-23,590522.0,Open Storage Bins
5,2021-03-24,235677.0,Open Storage Bins
6,2021-03-25,312470.0,Open Storage Bins
7,2021-03-26,302811.0,Open Storage Bins
8,2021-03-27,247075.0,Open Storage Bins
9,2021-03-28,283055.0,Open Storage Bins
10,2021-03-29,274949.0,Open Storage Bins
11,2021-03-30,432614.0,Open Storage Bins
12,2021-03-31,510002.0,Open Storage Bins
13,2021-04-01,496696.0,Open Storage Bins
14,2021-04-02,545186.0,Open Storage Bins
15,2021-04-03,704523.0,Open Storage Bins
16,2021-04-04,723169.0,Open Storage Bins
17,2021-04-05,723169.0,Open Storage Bins
18,2021-04-06,552998.0,Open Storage Bins
19,2021-04-07,469105.0,Open Storage Bins
20,2021-04-08,469105.0,Open Storage Bins
21,2021-04-09,446354.0,Open Storage Bins
22,2021-04-10,311897.0,Open Storage Bins
23,2021-04-11,311897.0,Open Storage Bins
24,2021-04-12,462011.0,Open Storage Bins
25,2021-04-13,448763.0,Open Storage Bins
26,2021-04-14,333047.0,Open Storage Bins
27,2021-04-15,220717.0,Open Storage Bins
28,2021-04-16,158366.0,Open Storage Bins
29,2021-04-17,310478.0,Open Storage Bins
30,2021-04-18,295399.0,Open Storage Bins
31,2021-04-19,427538.0,Open Storage Bins
32,2021-04-20,510576.0,Open Storage Bins
33,2021-04-21,510576.0,Open Storage Bins
34,2021-04-22,388398.0,Open Storage Bins
35,2021-04-23,187097.0,Open Storage Bins
36,2021-04-24,200264.0,Open Storage Bins
37,2021-04-25,234335.0,Open Storage Bins
38,2021-04-26,267495.0,Open Storage Bins
39,2021-04-27,258639.0,Open Storage Bins
40,2021-04-28,448006.0,Open Storage Bins
41,2021-04-29,533982.0,Open Storage Bins
42,2021-04-30,631716.0,Open Storage Bins
43,2021-05-01,469591.0,Open Storage Bins
44,2021-05-02,137619.0,Open Storage Bins
45,2021-05-03,198390.0,Open Storage Bins
46,2021-05-04,347059.0,Open Storage Bins
47,2021-05-05,439051.0,Open Storage Bins
48,2021-05-06,550173.0,Open Storage Bins
49,2021-05-07,654862.0,Open Storage Bins
50,2021-05-08,271981.0,Open Storage Bins
51,2021-05-09,484954.0,Open Storage Bins
52,2021-05-10,428052.0,Open Storage Bins
53,2021-05-11,611248.0,Open Storage Bins
54,2021-05-12,681450.0,Open Storage Bins
55,2021-05-13,586930.0,Open Storage Bins
56,2021-05-14,23529.0,Open Storage Bins
57,2021-05-15,26424.0,Open Storage Bins
58,2021-05-16,19923.0,Open Storage Bins
59,2021-05-17,20886.0,Open Storage Bins
60,2021-05-18,14272.0,Open Storage Bins
61,2021-05-19,14243.0,Open Storage Bins
62,2021-05-20,19002.0,Open Storage Bins
63,2021-05-21,15887.0,Open Storage Bins
64,2021-05-22,14338.0,Open Storage Bins
65,2021-05-23,11416.0,Open Storage Bins
66,2021-05-24,13602.0,Open Storage Bins
67,2021-05-25,17368.0,Open Storage Bins
68,2021-05-26,20548.0,Open Storage Bins
69,2021-05-27,568421.0,Open Storage Bins
70,2021-05-28,688616.0,Open Storage Bins
71,2021-05-29,8339.0,Open Storage Bins
72,2021-05-30,7101.0,Open Storage Bins
73,2021-05-31,8339.0,Open Storage Bins
74,2021-06-01,16205.0,Open Storage Bins
75,2021-06-02,14808.0,Open Storage Bins
76,2021-06-03,16710.0,Open Storage Bins
77,2021-06-04,20138.0,Open Storage Bins
78,2021-06-05,16612.0,Open Storage Bins
79,2021-06-06,20113.0,Open Storage Bins
80,2021-06-07,15447.0,Open Storage Bins
81,2021-06-08,17465.0,Open Storage Bins
82,2021-06-09,17800.0,Open Storage Bins
83,2021-06-10,17705.0,Open Storage Bins
84,2021-06-11,17326.0,Open Storage Bins
85,2021-06-12,960648.0,Open Storage Bins
86,2021-06-13,1030902.0,Open Storage Bins
87,2021-06-14,1090798.0,Open Storage Bins
88,2021-06-15,1111414.0,Open Storage Bins
89,2021-06-16,1183583.0,Open Storage Bins
90,2021-06-17,1183583.0,Open Storage Bins
91,2021-06-18,563451.0,Open Storage Bins
92,2021-06-19,710416.0,Open Storage Bins
93,2021-06-20,888917.0,Open Storage Bins
94,2021-06-21,888917.0,Open Storage Bins
95,2021-06-22,1119453.0,Open Storage Bins
96,2021-06-23,1227833.0,Open Storage Bins
97,2021-06-24,1227833.0,Open Storage Bins
98,2021-06-25,1323304.0,Open Storage Bins
99,2021-06-26,1327033.0,Open Storage Bins
100,2021-06-27,1327033.0,Open Storage Bins
101,2021-06-28,1341446.0,Open Storage Bins
102,2021-06-29,1367568.0,Open Storage Bins
103,2021-06-30,1367568.0,Open Storage Bins
104,2021-07-01,1367568.0,Open Storage Bins
105,2021-07-02,1367568.0,Open Storage Bins
106,2021-07-03,1367568.0,Open Storage Bins
107,2021-07-04,1458049.0,Open Storage Bins
108,2021-07-05,1458049.0,Open Storage Bins
109,2021-07-06,1482131.0,Open Storage Bins
110,2021-07-07,1500139.0,Open Storage Bins
111,2021-07-08,1509866.0,Open Storage Bins
112,2021-07-09,1527631.0,Open Storage Bins
