,date,value,name_B086RPBLQK
0,2020-07-31,21785.0,Neck & Cervical Pillows
1,2020-08-01,21785.0,Neck & Cervical Pillows
2,2020-08-02,31698.0,Neck & Cervical Pillows
3,2020-08-03,26983.0,Neck & Cervical Pillows
4,2020-08-04,26983.0,Neck & Cervical Pillows
5,2020-08-05,18179.0,Neck & Cervical Pillows
6,2020-08-06,19165.0,Neck & Cervical Pillows
7,2020-08-07,19165.0,Neck & Cervical Pillows
8,2020-08-08,28910.0,Neck & Cervical Pillows
9,2020-08-09,21991.0,Neck & Cervical Pillows
10,2020-08-10,20942.0,Neck & Cervical Pillows
11,2020-08-11,25786.0,Neck & Cervical Pillows
12,2020-08-12,21299.0,Neck & Cervical Pillows
13,2020-08-13,21299.0,Neck & Cervical Pillows
14,2020-08-14,26757.0,Neck & Cervical Pillows
15,2020-08-15,27465.0,Neck & Cervical Pillows
16,2020-08-16,25108.0,Neck & Cervical Pillows
17,2020-08-17,23702.0,Neck & Cervical Pillows
18,2020-08-18,25580.0,Neck & Cervical Pillows
19,2020-08-19,22248.0,Neck & Cervical Pillows
20,2020-08-20,22664.0,Neck & Cervical Pillows
21,2020-08-21,20334.0,Neck & Cervical Pillows
22,2020-08-22,15098.0,Neck & Cervical Pillows
23,2020-08-23,17282.0,Neck & Cervical Pillows
24,2020-08-24,15724.0,Neck & Cervical Pillows
25,2020-08-25,17562.0,Neck & Cervical Pillows
26,2020-08-26,15771.0,Neck & Cervical Pillows
27,2020-08-27,16530.0,Neck & Cervical Pillows
28,2020-08-28,15211.0,Neck & Cervical Pillows
29,2020-08-29,18832.0,Neck & Cervical Pillows
30,2020-08-30,17069.0,Neck & Cervical Pillows
31,2020-08-31,16960.0,Neck & Cervical Pillows
32,2020-09-01,14053.0,Neck & Cervical Pillows
33,2020-09-02,17881.0,Neck & Cervical Pillows
34,2020-09-03,17881.0,Neck & Cervical Pillows
35,2020-09-04,15649.0,Neck & Cervical Pillows
36,2020-09-05,12769.0,Neck & Cervical Pillows
37,2020-09-06,13290.0,Neck & Cervical Pillows
38,2020-09-07,13887.0,Neck & Cervical Pillows
39,2020-09-08,13887.0,Neck & Cervical Pillows
40,2020-09-09,10821.0,Neck & Cervical Pillows
41,2020-09-10,11878.0,Neck & Cervical Pillows
42,2020-09-11,11730.0,Neck & Cervical Pillows
43,2020-09-12,10091.0,Neck & Cervical Pillows
44,2020-09-13,7025.0,Neck & Cervical Pillows
45,2020-09-14,8250.0,Neck & Cervical Pillows
46,2020-09-15,10347.0,Neck & Cervical Pillows
47,2020-09-16,10668.0,Neck & Cervical Pillows
48,2020-09-17,9190.0,Neck & Cervical Pillows
49,2020-09-18,7409.0,Neck & Cervical Pillows
50,2020-09-19,8879.0,Neck & Cervical Pillows
51,2020-09-20,10118.0,Neck & Cervical Pillows
52,2020-09-21,7485.0,Neck & Cervical Pillows
53,2020-09-22,8729.0,Neck & Cervical Pillows
54,2020-09-23,11148.0,Neck & Cervical Pillows
55,2020-09-24,12616.0,Neck & Cervical Pillows
56,2020-09-25,13424.0,Neck & Cervical Pillows
57,2020-09-26,15651.0,Neck & Cervical Pillows
58,2020-09-27,15848.0,Neck & Cervical Pillows
59,2020-09-28,12985.0,Neck & Cervical Pillows
60,2020-09-29,14634.0,Neck & Cervical Pillows
61,2020-09-30,14578.0,Neck & Cervical Pillows
62,2020-10-01,18104.0,Neck & Cervical Pillows
63,2020-10-02,25119.0,Neck & Cervical Pillows
64,2020-10-03,25093.0,Neck & Cervical Pillows
65,2020-10-04,24848.0,Neck & Cervical Pillows
66,2020-10-05,27342.0,Neck & Cervical Pillows
67,2020-10-06,32532.0,Neck & Cervical Pillows
68,2020-10-07,25673.0,Neck & Cervical Pillows
69,2020-10-08,33358.0,Neck & Cervical Pillows
70,2020-10-09,29552.0,Neck & Cervical Pillows
71,2020-10-10,37256.0,Neck & Cervical Pillows
72,2020-10-11,26949.0,Neck & Cervical Pillows
73,2020-10-12,30996.0,Neck & Cervical Pillows
74,2020-10-13,32091.0,Neck & Cervical Pillows
75,2020-10-14,28036.0,Neck & Cervical Pillows
76,2020-10-15,31089.0,Neck & Cervical Pillows
77,2020-10-16,37950.0,Neck & Cervical Pillows
78,2020-10-17,34090.0,Neck & Cervical Pillows
79,2020-10-18,37177.0,Neck & Cervical Pillows
80,2020-10-19,42032.0,Neck & Cervical Pillows
81,2020-10-20,39647.0,Neck & Cervical Pillows
82,2020-10-21,38003.0,Neck & Cervical Pillows
83,2020-10-22,32965.0,Neck & Cervical Pillows
84,2020-10-23,23677.0,Neck & Cervical Pillows
85,2020-10-24,22491.0,Neck & Cervical Pillows
86,2020-10-25,18690.0,Neck & Cervical Pillows
87,2020-10-26,17287.0,Neck & Cervical Pillows
88,2020-10-27,21850.0,Neck & Cervical Pillows
89,2020-10-28,21850.0,Neck & Cervical Pillows
90,2020-10-29,17639.0,Neck & Cervical Pillows
91,2020-10-30,17639.0,Neck & Cervical Pillows
92,2020-10-31,17639.0,Neck & Cervical Pillows
93,2020-11-01,19394.0,Neck & Cervical Pillows
94,2020-11-02,19896.0,Neck & Cervical Pillows
95,2020-11-03,23211.0,Neck & Cervical Pillows
96,2020-11-04,26650.0,Neck & Cervical Pillows
97,2020-11-05,25718.0,Neck & Cervical Pillows
98,2020-11-06,25718.0,Neck & Cervical Pillows
99,2020-11-07,25718.0,Neck & Cervical Pillows
100,2020-11-08,19954.0,Neck & Cervical Pillows
101,2020-11-09,26986.0,Neck & Cervical Pillows
102,2020-11-10,26986.0,Neck & Cervical Pillows
103,2020-11-11,30581.0,Neck & Cervical Pillows
104,2020-11-12,30581.0,Neck & Cervical Pillows
105,2020-11-13,30581.0,Neck & Cervical Pillows
106,2020-11-14,40277.0,Neck & Cervical Pillows
107,2020-11-15,34435.0,Neck & Cervical Pillows
108,2020-11-16,34435.0,Neck & Cervical Pillows
109,2020-11-17,36659.0,Neck & Cervical Pillows
110,2020-11-18,36659.0,Neck & Cervical Pillows
111,2020-11-19,37338.0,Neck & Cervical Pillows
112,2020-11-20,36820.0,Neck & Cervical Pillows
113,2020-11-21,48504.0,Neck & Cervical Pillows
114,2020-11-22,48504.0,Neck & Cervical Pillows
115,2020-11-23,35968.0,Neck & Cervical Pillows
116,2020-11-24,35968.0,Neck & Cervical Pillows
117,2020-11-25,35968.0,Neck & Cervical Pillows
118,2020-11-26,39347.0,Neck & Cervical Pillows
119,2020-11-27,39347.0,Neck & Cervical Pillows
120,2020-11-28,39347.0,Neck & Cervical Pillows
121,2020-11-29,39347.0,Neck & Cervical Pillows
122,2020-11-30,42845.0,Neck & Cervical Pillows
123,2020-12-01,42845.0,Neck & Cervical Pillows
124,2020-12-02,42845.0,Neck & Cervical Pillows
125,2020-12-03,34698.0,Neck & Cervical Pillows
126,2020-12-04,34698.0,Neck & Cervical Pillows
127,2020-12-05,33994.0,Neck & Cervical Pillows
128,2020-12-06,37128.0,Neck & Cervical Pillows
129,2020-12-07,30117.0,Neck & Cervical Pillows
130,2020-12-08,32862.0,Neck & Cervical Pillows
131,2020-12-09,29454.0,Neck & Cervical Pillows
132,2020-12-10,29454.0,Neck & Cervical Pillows
133,2020-12-11,29454.0,Neck & Cervical Pillows
134,2020-12-12,40826.0,Neck & Cervical Pillows
135,2020-12-13,35935.0,Neck & Cervical Pillows
136,2020-12-14,36882.0,Neck & Cervical Pillows
137,2020-12-15,36882.0,Neck & Cervical Pillows
138,2020-12-16,36679.0,Neck & Cervical Pillows
139,2020-12-17,36679.0,Neck & Cervical Pillows
140,2020-12-18,36829.0,Neck & Cervical Pillows
141,2020-12-19,36829.0,Neck & Cervical Pillows
142,2020-12-20,34760.0,Neck & Cervical Pillows
143,2020-12-21,34760.0,Neck & Cervical Pillows
144,2020-12-22,34760.0,Neck & Cervical Pillows
145,2020-12-23,28992.0,Neck & Cervical Pillows
146,2020-12-24,28992.0,Neck & Cervical Pillows
147,2020-12-25,28992.0,Neck & Cervical Pillows
148,2020-12-26,28992.0,Neck & Cervical Pillows
149,2020-12-27,25159.0,Neck & Cervical Pillows
150,2020-12-28,25159.0,Neck & Cervical Pillows
151,2020-12-29,25850.0,Neck & Cervical Pillows
152,2020-12-30,25850.0,Neck & Cervical Pillows
153,2020-12-31,24550.0,Neck & Cervical Pillows
154,2021-01-01,29701.0,Neck & Cervical Pillows
155,2021-01-02,29701.0,Neck & Cervical Pillows
156,2021-01-03,19794.0,Neck & Cervical Pillows
157,2021-01-04,19794.0,Neck & Cervical Pillows
158,2021-01-05,19794.0,Neck & Cervical Pillows
159,2021-01-06,28837.0,Neck & Cervical Pillows
160,2021-01-07,28837.0,Neck & Cervical Pillows
