,date,value,name_B07R76S6SJ
0,2019-06-08,55869.0,Container Sets
1,2019-06-09,42443.0,Container Sets
2,2019-06-10,25186.0,Container Sets
3,2019-06-11,23120.0,Container Sets
4,2019-06-12,18317.0,Container Sets
5,2019-06-13,14045.0,Container Sets
6,2019-06-14,13884.0,Container Sets
7,2019-06-15,9385.0,Container Sets
8,2019-06-16,7826.0,Container Sets
9,2019-06-17,10265.0,Container Sets
10,2019-06-18,9308.0,Container Sets
11,2019-06-19,7696.0,Container Sets
12,2019-06-20,8781.0,Container Sets
13,2019-06-21,8727.0,Container Sets
14,2019-06-22,12977.0,Container Sets
15,2019-06-23,16824.0,Container Sets
16,2019-06-24,13775.0,Container Sets
17,2019-06-25,12317.0,Container Sets
18,2019-06-26,13011.0,Container Sets
19,2019-06-27,15105.0,Container Sets
20,2019-06-28,11533.0,Container Sets
21,2019-06-29,10712.0,Container Sets
22,2019-06-30,11738.0,Container Sets
23,2019-07-01,16450.0,Container Sets
24,2019-07-02,19620.0,Container Sets
25,2019-07-03,31145.0,Container Sets
26,2019-07-04,33674.0,Container Sets
27,2019-07-05,33674.0,Container Sets
28,2019-07-06,57836.0,Container Sets
29,2019-07-07,57836.0,Container Sets
30,2019-07-08,57836.0,Container Sets
31,2019-07-09,85935.0,Container Sets
32,2019-07-10,85935.0,Container Sets
33,2019-07-11,85935.0,Container Sets
34,2019-07-12,111700.0,Container Sets
35,2019-07-13,111700.0,Container Sets
36,2019-07-14,111700.0,Container Sets
37,2019-07-15,111700.0,Container Sets
38,2019-07-16,111700.0,Container Sets
39,2019-07-17,111700.0,Container Sets
40,2019-07-18,25627.0,Container Sets
41,2019-07-19,25627.0,Container Sets
42,2019-07-20,12397.0,Container Sets
43,2019-07-21,12397.0,Container Sets
44,2019-07-22,12155.0,Container Sets
45,2019-07-23,10562.0,Container Sets
46,2019-07-24,6335.0,Container Sets
47,2019-07-25,6644.0,Container Sets
48,2019-07-26,6990.0,Container Sets
49,2019-07-27,7302.0,Container Sets
50,2019-07-28,4775.0,Container Sets
51,2019-07-29,4775.0,Container Sets
52,2019-07-30,4775.0,Container Sets
53,2019-07-31,5772.0,Container Sets
54,2019-08-01,5772.0,Container Sets
55,2019-08-02,3992.0,Container Sets
56,2019-08-03,3992.0,Container Sets
57,2019-08-04,3450.0,Container Sets
58,2019-08-05,3450.0,Container Sets
59,2019-08-06,3556.0,Container Sets
60,2019-08-07,4098.0,Container Sets
61,2019-08-08,4299.0,Container Sets
62,2019-08-09,4299.0,Container Sets
63,2019-08-10,4299.0,Container Sets
64,2019-08-11,4299.0,Container Sets
65,2019-08-12,2111.0,Container Sets
66,2019-08-13,2754.0,Container Sets
67,2019-08-14,2754.0,Container Sets
68,2019-08-15,2754.0,Container Sets
69,2019-08-16,3210.0,Container Sets
70,2019-08-17,2297.0,Container Sets
71,2019-08-18,2297.0,Container Sets
72,2019-08-19,1709.0,Container Sets
73,2019-08-20,1699.0,Container Sets
74,2019-08-21,1752.0,Container Sets
75,2019-08-22,1901.0,Container Sets
76,2019-08-23,1669.0,Container Sets
77,2019-08-24,2154.0,Container Sets
78,2019-08-25,2332.0,Container Sets
79,2019-08-26,1770.0,Container Sets
80,2019-08-27,2100.0,Container Sets
