,date,value,name_B084YQSBFG
0,2020-02-25,40536.0,Artificial Flowers
1,2020-02-26,26527.0,Artificial Flowers
2,2020-02-27,26527.0,Artificial Flowers
3,2020-02-28,26527.0,Artificial Flowers
4,2020-02-29,26527.0,Artificial Flowers
5,2020-03-01,26527.0,Artificial Flowers
6,2020-03-02,30398.0,Artificial Flowers
7,2020-03-03,61690.0,Artificial Flowers
8,2020-03-04,61690.0,Artificial Flowers
9,2020-03-05,16143.0,Artificial Flowers
10,2020-03-06,18975.0,Artificial Flowers
11,2020-03-07,18975.0,Artificial Flowers
12,2020-03-08,18975.0,Artificial Flowers
13,2020-03-09,22098.0,Artificial Flowers
14,2020-03-10,22098.0,Artificial Flowers
15,2020-03-11,23735.0,Artificial Flowers
16,2020-03-12,23735.0,Artificial Flowers
17,2020-03-13,24713.0,Artificial Flowers
18,2020-03-14,33267.0,Artificial Flowers
19,2020-03-15,30055.0,Artificial Flowers
20,2020-03-16,30055.0,Artificial Flowers
21,2020-03-17,33344.0,Artificial Flowers
22,2020-03-18,19635.0,Artificial Flowers
23,2020-03-19,19635.0,Artificial Flowers
24,2020-03-20,17529.0,Artificial Flowers
25,2020-03-21,17529.0,Artificial Flowers
26,2020-03-22,17529.0,Artificial Flowers
27,2020-03-23,17529.0,Artificial Flowers
28,2020-03-24,16814.0,Artificial Flowers
29,2020-03-25,13187.0,Artificial Flowers
30,2020-03-26,69405.0,Artificial Flowers
31,2020-03-27,12822.0,Artificial Flowers
32,2020-03-28,12822.0,Artificial Flowers
33,2020-03-29,12822.0,Artificial Flowers
34,2020-03-30,13445.0,Artificial Flowers
35,2020-03-31,19056.0,Artificial Flowers
36,2020-04-01,24217.0,Artificial Flowers
37,2020-04-02,19574.0,Artificial Flowers
38,2020-04-03,22299.0,Artificial Flowers
39,2020-04-04,22299.0,Artificial Flowers
40,2020-04-05,20631.0,Artificial Flowers
41,2020-04-06,20631.0,Artificial Flowers
42,2020-04-07,46574.0,Artificial Flowers
43,2020-04-08,28607.0,Artificial Flowers
44,2020-04-09,28607.0,Artificial Flowers
45,2020-04-10,17434.0,Artificial Flowers
46,2020-04-11,16406.0,Artificial Flowers
47,2020-04-12,16406.0,Artificial Flowers
48,2020-04-13,10907.0,Artificial Flowers
49,2020-04-14,10907.0,Artificial Flowers
50,2020-04-15,10907.0,Artificial Flowers
51,2020-04-16,18011.0,Artificial Flowers
52,2020-04-17,14858.0,Artificial Flowers
53,2020-04-18,14858.0,Artificial Flowers
54,2020-04-19,25962.0,Artificial Flowers
55,2020-04-20,25962.0,Artificial Flowers
56,2020-04-21,24306.0,Artificial Flowers
57,2020-04-22,26430.0,Artificial Flowers
58,2020-04-23,17320.0,Artificial Flowers
59,2020-04-24,22418.0,Artificial Flowers
60,2020-04-25,22418.0,Artificial Flowers
61,2020-04-26,22418.0,Artificial Flowers
62,2020-04-27,22418.0,Artificial Flowers
63,2020-04-28,22418.0,Artificial Flowers
64,2020-04-29,22418.0,Artificial Flowers
65,2020-04-30,75524.0,Artificial Flowers
66,2020-05-01,75524.0,Artificial Flowers
67,2020-05-02,75524.0,Artificial Flowers
68,2020-05-03,75524.0,Artificial Flowers
69,2020-05-04,31667.0,Artificial Flowers
70,2020-05-05,31667.0,Artificial Flowers
71,2020-05-06,31667.0,Artificial Flowers
72,2020-05-07,16732.0,Artificial Flowers
73,2020-05-08,13306.0,Artificial Flowers
74,2020-05-09,12597.0,Artificial Flowers
75,2020-05-10,12597.0,Artificial Flowers
76,2020-05-11,12597.0,Artificial Flowers
77,2020-05-12,14988.0,Artificial Flowers
78,2020-05-13,13963.0,Artificial Flowers
79,2020-05-14,11586.0,Artificial Flowers
80,2020-05-15,12186.0,Artificial Flowers
