,date,value,name_B08BNCWR2H
0,2020-07-06,76035.0,Artificial Flowers
1,2020-07-07,76035.0,Artificial Flowers
2,2020-07-08,62290.0,Artificial Flowers
3,2020-07-09,62290.0,Artificial Flowers
4,2020-07-10,62290.0,Artificial Flowers
5,2020-07-11,62290.0,Artificial Flowers
6,2020-07-12,62290.0,Artificial Flowers
7,2020-07-13,62290.0,Artificial Flowers
8,2020-07-14,33241.0,Artificial Flowers
9,2020-07-15,33241.0,Artificial Flowers
10,2020-07-16,33241.0,Artificial Flowers
11,2020-07-17,29794.0,Artificial Flowers
12,2020-07-18,29794.0,Artificial Flowers
13,2020-07-19,46518.0,Artificial Flowers
14,2020-07-20,42932.0,Artificial Flowers
15,2020-07-21,42932.0,Artificial Flowers
16,2020-07-22,29586.0,Artificial Flowers
17,2020-07-23,29586.0,Artificial Flowers
18,2020-07-24,29586.0,Artificial Flowers
19,2020-07-25,29586.0,Artificial Flowers
20,2020-07-26,29586.0,Artificial Flowers
21,2020-07-27,47227.0,Artificial Flowers
22,2020-07-28,47227.0,Artificial Flowers
23,2020-07-29,57541.0,Artificial Flowers
24,2020-07-30,57541.0,Artificial Flowers
25,2020-07-31,57541.0,Artificial Flowers
26,2020-08-01,64968.0,Artificial Flowers
27,2020-08-02,64968.0,Artificial Flowers
28,2020-08-03,64968.0,Artificial Flowers
29,2020-08-04,64968.0,Artificial Flowers
30,2020-08-05,77777.0,Artificial Flowers
31,2020-08-06,77777.0,Artificial Flowers
32,2020-08-07,30953.0,Artificial Flowers
33,2020-08-08,30953.0,Artificial Flowers
34,2020-08-09,30953.0,Artificial Flowers
35,2020-08-10,44330.0,Artificial Flowers
36,2020-08-11,44330.0,Artificial Flowers
37,2020-08-12,44330.0,Artificial Flowers
38,2020-08-13,31199.0,Artificial Flowers
39,2020-08-14,34228.0,Artificial Flowers
40,2020-08-15,34228.0,Artificial Flowers
41,2020-08-16,34228.0,Artificial Flowers
42,2020-08-17,34228.0,Artificial Flowers
43,2020-08-18,25761.0,Artificial Flowers
44,2020-08-19,25761.0,Artificial Flowers
45,2020-08-20,27204.0,Artificial Flowers
46,2020-08-21,27204.0,Artificial Flowers
47,2020-08-22,27204.0,Artificial Flowers
48,2020-08-23,27204.0,Artificial Flowers
49,2020-08-24,19536.0,Artificial Flowers
50,2020-08-25,19536.0,Artificial Flowers
51,2020-08-26,19536.0,Artificial Flowers
52,2020-08-27,26948.0,Artificial Flowers
53,2020-08-28,26948.0,Artificial Flowers
54,2020-08-29,26948.0,Artificial Flowers
55,2020-08-30,26948.0,Artificial Flowers
56,2020-08-31,19864.0,Artificial Flowers
57,2020-09-01,19864.0,Artificial Flowers
58,2020-09-02,19864.0,Artificial Flowers
59,2020-09-03,19864.0,Artificial Flowers
60,2020-09-04,26248.0,Artificial Flowers
61,2020-09-05,26248.0,Artificial Flowers
62,2020-09-06,26248.0,Artificial Flowers
63,2020-09-07,18286.0,Artificial Flowers
64,2020-09-08,19931.0,Artificial Flowers
65,2020-09-09,19931.0,Artificial Flowers
66,2020-09-10,19931.0,Artificial Flowers
67,2020-09-11,25404.0,Artificial Flowers
68,2020-09-12,25404.0,Artificial Flowers
69,2020-09-13,25404.0,Artificial Flowers
70,2020-09-14,19034.0,Artificial Flowers
71,2020-09-15,19963.0,Artificial Flowers
72,2020-09-16,19963.0,Artificial Flowers
73,2020-09-17,19963.0,Artificial Flowers
74,2020-09-18,19963.0,Artificial Flowers
75,2020-09-19,19963.0,Artificial Flowers
76,2020-09-20,13675.0,Artificial Flowers
77,2020-09-21,13675.0,Artificial Flowers
78,2020-09-22,13675.0,Artificial Flowers
79,2020-09-23,17138.0,Artificial Flowers
80,2020-09-24,17138.0,Artificial Flowers
81,2020-09-25,17138.0,Artificial Flowers
82,2020-09-26,17138.0,Artificial Flowers
83,2020-09-27,17138.0,Artificial Flowers
84,2020-09-28,13941.0,Artificial Flowers
85,2020-09-29,13941.0,Artificial Flowers
86,2020-09-30,13941.0,Artificial Flowers
87,2020-10-01,13941.0,Artificial Flowers
88,2020-10-02,13941.0,Artificial Flowers
89,2020-10-03,20641.0,Artificial Flowers
90,2020-10-04,20641.0,Artificial Flowers
91,2020-10-05,16320.0,Artificial Flowers
92,2020-10-06,16320.0,Artificial Flowers
93,2020-10-07,16320.0,Artificial Flowers
94,2020-10-08,18345.0,Artificial Flowers
95,2020-10-09,18345.0,Artificial Flowers
96,2020-10-10,18345.0,Artificial Flowers
97,2020-10-11,18345.0,Artificial Flowers
98,2020-10-12,16426.0,Artificial Flowers
99,2020-10-13,16426.0,Artificial Flowers
100,2020-10-14,19004.0,Artificial Flowers
101,2020-10-15,19004.0,Artificial Flowers
102,2020-10-16,19004.0,Artificial Flowers
103,2020-10-17,19004.0,Artificial Flowers
104,2020-10-18,19004.0,Artificial Flowers
105,2020-10-19,16759.0,Artificial Flowers
106,2020-10-20,16759.0,Artificial Flowers
107,2020-10-21,24013.0,Artificial Flowers
108,2020-10-22,26433.0,Artificial Flowers
109,2020-10-23,26433.0,Artificial Flowers
110,2020-10-24,26433.0,Artificial Flowers
111,2020-10-25,28096.0,Artificial Flowers
112,2020-10-26,32298.0,Artificial Flowers
113,2020-10-27,34564.0,Artificial Flowers
114,2020-10-28,35598.0,Artificial Flowers
115,2020-10-29,35598.0,Artificial Flowers
116,2020-10-30,35598.0,Artificial Flowers
117,2020-10-31,35598.0,Artificial Flowers
118,2020-11-01,35598.0,Artificial Flowers
119,2020-11-02,35598.0,Artificial Flowers
120,2020-11-03,29540.0,Artificial Flowers
121,2020-11-04,27128.0,Artificial Flowers
122,2020-11-05,27128.0,Artificial Flowers
123,2020-11-06,27128.0,Artificial Flowers
124,2020-11-07,27128.0,Artificial Flowers
125,2020-11-08,27128.0,Artificial Flowers
126,2020-11-09,20224.0,Artificial Flowers
127,2020-11-10,29645.0,Artificial Flowers
128,2020-11-11,27160.0,Artificial Flowers
129,2020-11-12,27160.0,Artificial Flowers
130,2020-11-13,27160.0,Artificial Flowers
131,2020-11-14,27160.0,Artificial Flowers
132,2020-11-15,27160.0,Artificial Flowers
133,2020-11-16,27160.0,Artificial Flowers
134,2020-11-17,30557.0,Artificial Flowers
135,2020-11-18,30557.0,Artificial Flowers
136,2020-11-19,30557.0,Artificial Flowers
137,2020-11-20,21319.0,Artificial Flowers
138,2020-11-21,21319.0,Artificial Flowers
139,2020-11-22,21319.0,Artificial Flowers
140,2020-11-23,21319.0,Artificial Flowers
141,2020-11-24,21319.0,Artificial Flowers
142,2020-11-25,21319.0,Artificial Flowers
143,2020-11-26,33716.0,Artificial Flowers
144,2020-11-27,33716.0,Artificial Flowers
145,2020-11-28,33716.0,Artificial Flowers
146,2020-11-29,33716.0,Artificial Flowers
147,2020-11-30,33716.0,Artificial Flowers
148,2020-12-01,35884.0,Artificial Flowers
149,2020-12-02,35884.0,Artificial Flowers
150,2020-12-03,35884.0,Artificial Flowers
151,2020-12-04,35884.0,Artificial Flowers
152,2020-12-05,35884.0,Artificial Flowers
153,2020-12-06,30669.0,Artificial Flowers
154,2020-12-07,30669.0,Artificial Flowers
155,2020-12-08,30669.0,Artificial Flowers
156,2020-12-09,30669.0,Artificial Flowers
157,2020-12-10,30669.0,Artificial Flowers
158,2020-12-11,30669.0,Artificial Flowers
159,2020-12-12,46808.0,Artificial Flowers
160,2020-12-13,46808.0,Artificial Flowers
161,2020-12-14,46808.0,Artificial Flowers
162,2020-12-15,46808.0,Artificial Flowers
163,2020-12-16,46808.0,Artificial Flowers
164,2020-12-17,46808.0,Artificial Flowers
165,2020-12-18,45287.0,Artificial Flowers
166,2020-12-19,45287.0,Artificial Flowers
167,2020-12-20,25379.0,Artificial Flowers
168,2020-12-21,25379.0,Artificial Flowers
169,2020-12-22,25379.0,Artificial Flowers
170,2020-12-23,44524.0,Artificial Flowers
171,2020-12-24,44524.0,Artificial Flowers
172,2020-12-25,29280.0,Artificial Flowers
173,2020-12-26,29280.0,Artificial Flowers
174,2020-12-27,29280.0,Artificial Flowers
175,2020-12-28,38318.0,Artificial Flowers
176,2020-12-29,38318.0,Artificial Flowers
177,2020-12-30,38318.0,Artificial Flowers
178,2020-12-31,38318.0,Artificial Flowers
179,2021-01-01,32397.0,Artificial Flowers
180,2021-01-02,32397.0,Artificial Flowers
181,2021-01-03,32397.0,Artificial Flowers
182,2021-01-04,39852.0,Artificial Flowers
183,2021-01-05,39852.0,Artificial Flowers
184,2021-01-06,39852.0,Artificial Flowers
185,2021-01-07,39852.0,Artificial Flowers
186,2021-01-08,39852.0,Artificial Flowers
187,2021-01-09,39852.0,Artificial Flowers
188,2021-01-10,39852.0,Artificial Flowers
189,2021-01-11,24855.0,Artificial Flowers
