,date,value,name_B08ZY8XG5L
0,2021-03-31,3939.0,Reaching Aids
1,2021-04-01,3435.0,Reaching Aids
2,2021-04-02,3435.0,Reaching Aids
3,2021-04-03,3435.0,Reaching Aids
4,2021-04-04,3435.0,Reaching Aids
5,2021-04-05,3383.0,Reaching Aids
6,2021-04-06,3301.0,Reaching Aids
7,2021-04-07,3301.0,Reaching Aids
8,2021-04-08,3301.0,Reaching Aids
9,2021-04-09,3114.0,Reaching Aids
10,2021-04-10,3114.0,Reaching Aids
11,2021-04-11,3114.0,Reaching Aids
12,2021-04-12,3759.0,Reaching Aids
13,2021-04-13,4207.0,Reaching Aids
14,2021-04-14,4099.0,Reaching Aids
15,2021-04-15,4099.0,Reaching Aids
16,2021-04-16,3871.0,Reaching Aids
17,2021-04-17,3317.0,Reaching Aids
18,2021-04-18,3317.0,Reaching Aids
19,2021-04-19,3317.0,Reaching Aids
20,2021-04-20,3589.0,Reaching Aids
21,2021-04-21,3537.0,Reaching Aids
22,2021-04-22,3430.0,Reaching Aids
23,2021-04-23,3483.0,Reaching Aids
24,2021-04-24,3483.0,Reaching Aids
25,2021-04-25,3483.0,Reaching Aids
26,2021-04-26,3643.0,Reaching Aids
27,2021-04-27,3643.0,Reaching Aids
28,2021-04-28,3711.0,Reaching Aids
29,2021-04-29,3711.0,Reaching Aids
30,2021-04-30,4405.0,Reaching Aids
31,2021-05-01,4405.0,Reaching Aids
32,2021-05-02,4218.0,Reaching Aids
33,2021-05-03,4218.0,Reaching Aids
34,2021-05-04,4218.0,Reaching Aids
35,2021-05-05,4034.0,Reaching Aids
36,2021-05-06,4153.0,Reaching Aids
37,2021-05-07,4315.0,Reaching Aids
38,2021-05-08,4435.0,Reaching Aids
39,2021-05-09,4148.0,Reaching Aids
40,2021-05-10,4148.0,Reaching Aids
41,2021-05-11,4414.0,Reaching Aids
42,2021-05-12,4934.0,Reaching Aids
43,2021-05-13,4818.0,Reaching Aids
44,2021-05-14,5083.0,Reaching Aids
45,2021-05-15,5083.0,Reaching Aids
46,2021-05-16,4562.0,Reaching Aids
47,2021-05-17,4690.0,Reaching Aids
48,2021-05-18,4690.0,Reaching Aids
49,2021-05-19,5480.0,Reaching Aids
50,2021-05-20,4800.0,Reaching Aids
51,2021-05-21,5042.0,Reaching Aids
52,2021-05-22,4557.0,Reaching Aids
53,2021-05-23,4557.0,Reaching Aids
54,2021-05-24,4643.0,Reaching Aids
55,2021-05-25,4643.0,Reaching Aids
56,2021-05-26,4692.0,Reaching Aids
57,2021-05-27,5174.0,Reaching Aids
58,2021-05-28,5174.0,Reaching Aids
59,2021-05-29,5536.0,Reaching Aids
60,2021-05-30,5536.0,Reaching Aids
61,2021-05-31,6105.0,Reaching Aids
62,2021-06-01,6105.0,Reaching Aids
63,2021-06-02,6105.0,Reaching Aids
64,2021-06-03,5482.0,Reaching Aids
65,2021-06-04,5482.0,Reaching Aids
66,2021-06-05,5482.0,Reaching Aids
67,2021-06-06,4521.0,Reaching Aids
68,2021-06-07,4719.0,Reaching Aids
69,2021-06-08,5130.0,Reaching Aids
70,2021-06-09,4999.0,Reaching Aids
71,2021-06-10,4784.0,Reaching Aids
72,2021-06-11,4784.0,Reaching Aids
73,2021-06-12,5696.0,Reaching Aids
74,2021-06-13,5696.0,Reaching Aids
75,2021-06-14,5258.0,Reaching Aids
76,2021-06-15,5258.0,Reaching Aids
77,2021-06-16,5258.0,Reaching Aids
78,2021-06-17,5236.0,Reaching Aids
79,2021-06-18,5071.0,Reaching Aids
80,2021-06-19,5071.0,Reaching Aids
81,2021-06-20,4701.0,Reaching Aids
82,2021-06-21,4429.0,Reaching Aids
83,2021-06-22,1973.0,Reaching Aids
84,2021-06-23,1973.0,Reaching Aids
85,2021-06-24,1973.0,Reaching Aids
86,2021-06-25,3761.0,Reaching Aids
87,2021-06-26,3761.0,Reaching Aids
88,2021-06-27,5141.0,Reaching Aids
89,2021-06-28,5141.0,Reaching Aids
90,2021-06-29,5136.0,Reaching Aids
91,2021-06-30,4874.0,Reaching Aids
92,2021-07-01,4874.0,Reaching Aids
93,2021-07-02,5198.0,Reaching Aids
94,2021-07-03,5198.0,Reaching Aids
95,2021-07-04,3945.0,Reaching Aids
96,2021-07-05,3945.0,Reaching Aids
97,2021-07-06,4414.0,Reaching Aids
98,2021-07-07,4414.0,Reaching Aids
99,2021-07-08,5032.0,Reaching Aids
100,2021-07-09,5059.0,Reaching Aids
101,2021-07-10,5415.0,Reaching Aids
102,2021-07-11,5549.0,Reaching Aids
