,date,value,name_B07226LCZF
0,2020-05-25,7409.0,Claw Care
1,2020-05-26,7409.0,Claw Care
2,2020-05-27,7409.0,Claw Care
3,2020-05-28,7896.0,Claw Care
4,2020-05-29,7896.0,Claw Care
5,2020-05-30,6606.0,Claw Care
6,2020-05-31,6606.0,Claw Care
7,2020-06-01,7812.0,Claw Care
8,2020-06-02,7812.0,Claw Care
9,2020-06-03,7812.0,Claw Care
10,2020-06-04,8860.0,Claw Care
11,2020-06-05,8860.0,Claw Care
12,2020-06-06,8860.0,Claw Care
13,2020-06-07,8860.0,Claw Care
14,2020-06-08,7078.0,Claw Care
15,2020-06-09,7032.0,Claw Care
16,2020-06-10,7032.0,Claw Care
17,2020-06-11,7032.0,Claw Care
18,2020-06-12,7310.0,Claw Care
19,2020-06-13,7310.0,Claw Care
20,2020-06-14,7310.0,Claw Care
21,2020-06-15,7661.0,Claw Care
22,2020-06-16,9411.0,Claw Care
23,2020-06-17,9399.0,Claw Care
24,2020-06-18,9408.0,Claw Care
25,2020-06-19,9408.0,Claw Care
26,2020-06-20,9408.0,Claw Care
27,2020-06-21,5973.0,Claw Care
28,2020-06-22,5973.0,Claw Care
29,2020-06-23,9995.0,Claw Care
30,2020-06-24,9995.0,Claw Care
31,2020-06-25,9995.0,Claw Care
32,2020-06-26,7902.0,Claw Care
33,2020-06-27,7902.0,Claw Care
34,2020-06-28,7720.0,Claw Care
35,2020-06-29,8600.0,Claw Care
36,2020-06-30,8659.0,Claw Care
37,2020-07-01,8659.0,Claw Care
38,2020-07-02,8659.0,Claw Care
39,2020-07-03,8659.0,Claw Care
40,2020-07-04,8856.0,Claw Care
41,2020-07-05,8856.0,Claw Care
42,2020-07-06,8856.0,Claw Care
43,2020-07-07,9184.0,Claw Care
44,2020-07-08,6489.0,Claw Care
45,2020-07-09,6489.0,Claw Care
46,2020-07-10,6489.0,Claw Care
47,2020-07-11,8087.0,Claw Care
48,2020-07-12,8087.0,Claw Care
49,2020-07-13,7813.0,Claw Care
50,2020-07-14,9094.0,Claw Care
51,2020-07-15,9094.0,Claw Care
52,2020-07-16,9094.0,Claw Care
53,2020-07-17,8177.0,Claw Care
54,2020-07-18,12603.0,Claw Care
55,2020-07-19,12603.0,Claw Care
56,2020-07-20,12603.0,Claw Care
57,2020-07-21,5939.0,Claw Care
58,2020-07-22,5939.0,Claw Care
