,date,value,name_B08LC1JY3F
127,2021-06-06,15110.0,Lidded Storage Bins
128,2021-06-07,15110.0,Lidded Storage Bins
129,2021-06-08,15110.0,Lidded Storage Bins
130,2021-06-09,15110.0,Lidded Storage Bins
131,2021-06-10,15110.0,Lidded Storage Bins
132,2021-06-11,15110.0,Lidded Storage Bins
133,2021-06-12,15110.0,Lidded Storage Bins
134,2021-06-13,15110.0,Lidded Storage Bins
135,2021-06-14,15110.0,Lidded Storage Bins
136,2021-06-15,15110.0,Lidded Storage Bins
137,2021-06-16,15110.0,Lidded Storage Bins
138,2021-06-17,15110.0,Lidded Storage Bins
139,2021-06-18,20078.0,Lidded Storage Bins
140,2021-06-19,20078.0,Lidded Storage Bins
141,2021-06-20,17402.0,Lidded Storage Bins
142,2021-06-21,17402.0,Lidded Storage Bins
143,2021-06-22,33349.0,Lidded Storage Bins
144,2021-06-23,33349.0,Lidded Storage Bins
145,2021-06-24,38030.0,Lidded Storage Bins
146,2021-06-25,38030.0,Lidded Storage Bins
147,2021-06-26,30721.0,Lidded Storage Bins
148,2021-06-27,31875.0,Lidded Storage Bins
149,2021-06-28,31875.0,Lidded Storage Bins
150,2021-06-29,17018.0,Lidded Storage Bins
151,2021-06-30,18480.0,Lidded Storage Bins
152,2021-07-01,25147.0,Lidded Storage Bins
153,2021-07-02,25147.0,Lidded Storage Bins
154,2021-07-03,30998.0,Lidded Storage Bins
155,2021-07-04,30998.0,Lidded Storage Bins
156,2021-07-05,30998.0,Lidded Storage Bins
157,2021-07-06,25818.0,Lidded Storage Bins
158,2021-07-07,27998.0,Lidded Storage Bins
159,2021-07-08,27998.0,Lidded Storage Bins
160,2021-07-09,19862.0,Lidded Storage Bins
161,2021-07-10,17592.0,Lidded Storage Bins
