,date,value,name_B01N9ORWDI
0,2020-05-22,41249.0,Ibuprofen
1,2020-05-23,41249.0,Ibuprofen
2,2020-05-24,48117.0,Ibuprofen
3,2020-05-25,48117.0,Ibuprofen
4,2020-05-26,35546.0,Ibuprofen
5,2020-05-27,35546.0,Ibuprofen
6,2020-05-28,42955.0,Ibuprofen
7,2020-05-29,42955.0,Ibuprofen
8,2020-05-30,35747.0,Ibuprofen
9,2020-05-31,44607.0,Ibuprofen
10,2020-06-01,44381.0,Ibuprofen
11,2020-06-02,42910.0,Ibuprofen
12,2020-06-03,42910.0,Ibuprofen
13,2020-06-04,41317.0,Ibuprofen
14,2020-06-05,41317.0,Ibuprofen
15,2020-06-06,41317.0,Ibuprofen
16,2020-06-07,41317.0,Ibuprofen
17,2020-06-08,53287.0,Ibuprofen
18,2020-06-09,53287.0,Ibuprofen
19,2020-06-10,46791.0,Ibuprofen
20,2020-06-11,39918.0,Ibuprofen
21,2020-06-12,43479.0,Ibuprofen
22,2020-06-13,43479.0,Ibuprofen
23,2020-06-14,43566.0,Ibuprofen
24,2020-06-15,43566.0,Ibuprofen
25,2020-06-16,43566.0,Ibuprofen
26,2020-06-17,43566.0,Ibuprofen
27,2020-06-18,43566.0,Ibuprofen
28,2020-06-19,43566.0,Ibuprofen
29,2020-06-20,43566.0,Ibuprofen
30,2020-06-21,43566.0,Ibuprofen
31,2020-06-22,43566.0,Ibuprofen
32,2020-06-23,43566.0,Ibuprofen
33,2020-06-24,43566.0,Ibuprofen
34,2020-06-25,43566.0,Ibuprofen
35,2020-06-26,43566.0,Ibuprofen
36,2020-06-27,43566.0,Ibuprofen
37,2020-06-28,43566.0,Ibuprofen
38,2020-06-29,43566.0,Ibuprofen
39,2020-06-30,43566.0,Ibuprofen
40,2020-07-01,43566.0,Ibuprofen
41,2020-07-02,43566.0,Ibuprofen
42,2020-07-03,43566.0,Ibuprofen
43,2020-07-04,43566.0,Ibuprofen
44,2020-07-05,43566.0,Ibuprofen
45,2020-07-06,43566.0,Ibuprofen
46,2020-07-07,41010.0,Ibuprofen
47,2020-07-08,29586.0,Ibuprofen
48,2020-07-09,37637.0,Ibuprofen
49,2020-07-10,36206.0,Ibuprofen
50,2020-07-11,36206.0,Ibuprofen
51,2020-07-12,36201.0,Ibuprofen
52,2020-07-13,36201.0,Ibuprofen
53,2020-07-14,30181.0,Ibuprofen
54,2020-07-15,36351.0,Ibuprofen
55,2020-07-16,28155.0,Ibuprofen
56,2020-07-17,37280.0,Ibuprofen
57,2020-07-18,37280.0,Ibuprofen
58,2020-07-19,37280.0,Ibuprofen
59,2020-07-20,48807.0,Ibuprofen
60,2020-07-21,37000.0,Ibuprofen
61,2020-07-22,37000.0,Ibuprofen
62,2020-07-23,37000.0,Ibuprofen
63,2020-07-24,30531.0,Ibuprofen
64,2020-07-25,30531.0,Ibuprofen
65,2020-07-26,29445.0,Ibuprofen
66,2020-07-27,31465.0,Ibuprofen
67,2020-07-28,31465.0,Ibuprofen
68,2020-07-29,31465.0,Ibuprofen
69,2020-07-30,38814.0,Ibuprofen
70,2020-07-31,38814.0,Ibuprofen
71,2020-08-01,38814.0,Ibuprofen
72,2020-08-02,38814.0,Ibuprofen
73,2020-08-03,36213.0,Ibuprofen
74,2020-08-04,37121.0,Ibuprofen
75,2020-08-05,31600.0,Ibuprofen
76,2020-08-06,29896.0,Ibuprofen
77,2020-08-07,26854.0,Ibuprofen
78,2020-08-08,26854.0,Ibuprofen
79,2020-08-09,36740.0,Ibuprofen
80,2020-08-10,28785.0,Ibuprofen
81,2020-08-11,30961.0,Ibuprofen
82,2020-08-12,37410.0,Ibuprofen
83,2020-08-13,38716.0,Ibuprofen
84,2020-08-14,38716.0,Ibuprofen
85,2020-08-15,27411.0,Ibuprofen
86,2020-08-16,27411.0,Ibuprofen
87,2020-08-17,27411.0,Ibuprofen
88,2020-08-18,30749.0,Ibuprofen
89,2020-08-19,28760.0,Ibuprofen
90,2020-08-20,26333.0,Ibuprofen
91,2020-08-21,26333.0,Ibuprofen
92,2020-08-22,23192.0,Ibuprofen
93,2020-08-23,23192.0,Ibuprofen
94,2020-08-24,27193.0,Ibuprofen
95,2020-08-25,26989.0,Ibuprofen
