,date,value,name_B088FCQQV4
159,2020-11-12,68250.0,Table Runners
160,2020-11-13,68250.0,Table Runners
161,2020-11-14,68250.0,Table Runners
162,2020-11-15,68250.0,Table Runners
163,2020-11-16,95089.0,Table Runners
164,2020-11-17,95089.0,Table Runners
165,2020-11-18,180390.0,Table Runners
166,2020-11-19,173639.0,Table Runners
167,2020-11-20,173639.0,Table Runners
168,2020-11-21,254690.0,Table Runners
169,2020-11-22,254690.0,Table Runners
170,2020-11-23,274796.0,Table Runners
171,2020-11-24,166824.0,Table Runners
172,2020-11-25,166824.0,Table Runners
173,2020-11-26,166824.0,Table Runners
174,2020-11-27,166824.0,Table Runners
175,2020-11-28,225822.0,Table Runners
176,2020-11-29,225822.0,Table Runners
177,2020-11-30,118034.0,Table Runners
178,2020-12-01,118034.0,Table Runners
179,2020-12-02,58151.0,Table Runners
180,2020-12-03,58151.0,Table Runners
181,2020-12-04,60097.0,Table Runners
182,2020-12-05,60097.0,Table Runners
183,2020-12-06,60097.0,Table Runners
184,2020-12-07,92155.0,Table Runners
185,2020-12-08,56036.0,Table Runners
186,2020-12-09,62554.0,Table Runners
187,2020-12-10,67844.0,Table Runners
188,2020-12-11,71401.0,Table Runners
189,2020-12-12,71232.0,Table Runners
190,2020-12-13,71232.0,Table Runners
191,2020-12-14,37755.0,Table Runners
192,2020-12-15,37755.0,Table Runners
193,2020-12-16,45860.0,Table Runners
194,2020-12-17,78970.0,Table Runners
195,2020-12-18,79239.0,Table Runners
196,2020-12-19,105075.0,Table Runners
197,2020-12-20,88371.0,Table Runners
198,2020-12-21,114545.0,Table Runners
199,2020-12-22,114545.0,Table Runners
200,2020-12-23,139236.0,Table Runners
201,2020-12-24,146002.0,Table Runners
202,2020-12-25,146002.0,Table Runners
203,2020-12-26,156514.0,Table Runners
204,2020-12-27,156514.0,Table Runners
205,2020-12-28,187814.0,Table Runners
206,2020-12-29,195040.0,Table Runners
207,2020-12-30,199665.0,Table Runners
208,2020-12-31,199852.0,Table Runners
209,2021-01-01,199852.0,Table Runners
210,2021-01-02,199852.0,Table Runners
211,2021-01-03,113126.0,Table Runners
212,2021-01-04,131755.0,Table Runners
213,2021-01-05,131755.0,Table Runners
214,2021-01-06,131755.0,Table Runners
215,2021-01-07,131755.0,Table Runners
216,2021-01-08,144594.0,Table Runners
217,2021-01-09,179222.0,Table Runners
218,2021-01-10,179222.0,Table Runners
219,2021-01-11,172008.0,Table Runners
220,2021-01-12,172008.0,Table Runners
221,2021-01-13,213461.0,Table Runners
222,2021-01-14,213266.0,Table Runners
223,2021-01-15,61544.0,Table Runners
224,2021-01-16,65197.0,Table Runners
225,2021-01-17,65197.0,Table Runners
226,2021-01-18,158683.0,Table Runners
227,2021-01-19,158683.0,Table Runners
228,2021-01-20,158683.0,Table Runners
229,2021-01-21,158683.0,Table Runners
230,2021-01-22,55271.0,Table Runners
231,2021-01-23,74870.0,Table Runners
232,2021-01-24,74870.0,Table Runners
233,2021-01-25,161562.0,Table Runners
234,2021-01-26,161562.0,Table Runners
235,2021-01-27,118000.0,Table Runners
236,2021-01-28,113977.0,Table Runners
237,2021-01-29,163739.0,Table Runners
238,2021-01-30,182481.0,Table Runners
239,2021-01-31,182481.0,Table Runners
240,2021-02-01,148502.0,Table Runners
241,2021-02-02,132233.0,Table Runners
242,2021-02-03,102606.0,Table Runners
243,2021-02-04,75431.0,Table Runners
244,2021-02-05,76110.0,Table Runners
245,2021-02-06,126078.0,Table Runners
246,2021-02-07,126078.0,Table Runners
247,2021-02-08,126078.0,Table Runners
248,2021-02-09,126078.0,Table Runners
249,2021-02-10,126078.0,Table Runners
250,2021-02-11,32651.0,Table Runners
251,2021-02-12,32651.0,Table Runners
252,2021-02-13,33698.0,Table Runners
253,2021-02-14,33698.0,Table Runners
254,2021-02-15,33698.0,Table Runners
255,2021-02-16,33698.0,Table Runners
256,2021-02-17,33698.0,Table Runners
257,2021-02-18,19770.0,Table Runners
258,2021-02-19,19770.0,Table Runners
259,2021-02-20,19770.0,Table Runners
260,2021-02-21,19770.0,Table Runners
261,2021-02-22,25946.0,Table Runners
262,2021-02-23,18269.0,Table Runners
263,2021-02-24,19011.0,Table Runners
264,2021-02-25,19940.0,Table Runners
265,2021-02-26,19940.0,Table Runners
266,2021-02-27,21998.0,Table Runners
267,2021-02-28,21998.0,Table Runners
268,2021-03-01,24017.0,Table Runners
269,2021-03-02,13321.0,Table Runners
270,2021-03-03,9850.0,Table Runners
271,2021-03-04,17271.0,Table Runners
272,2021-03-05,11531.0,Table Runners
273,2021-03-06,12984.0,Table Runners
274,2021-03-07,12984.0,Table Runners
275,2021-03-08,11049.0,Table Runners
276,2021-03-09,11049.0,Table Runners
277,2021-03-10,9478.0,Table Runners
278,2021-03-11,9338.0,Table Runners
279,2021-03-12,8164.0,Table Runners
280,2021-03-13,11498.0,Table Runners
