,date,value,name_B0885ZMM7L
0,2020-06-16,41410.0,Plant Covers
1,2020-06-17,41842.0,Plant Covers
2,2020-06-18,41842.0,Plant Covers
3,2020-06-19,41842.0,Plant Covers
4,2020-06-20,41842.0,Plant Covers
5,2020-06-21,41842.0,Plant Covers
6,2020-06-22,41842.0,Plant Covers
7,2020-06-23,34360.0,Plant Covers
8,2020-06-24,42708.0,Plant Covers
9,2020-06-25,42708.0,Plant Covers
10,2020-06-26,41627.0,Plant Covers
11,2020-06-27,41627.0,Plant Covers
12,2020-06-28,41627.0,Plant Covers
13,2020-06-29,41627.0,Plant Covers
14,2020-06-30,68283.0,Plant Covers
15,2020-07-01,68283.0,Plant Covers
16,2020-07-02,68283.0,Plant Covers
17,2020-07-03,68283.0,Plant Covers
18,2020-07-04,68283.0,Plant Covers
19,2020-07-05,68283.0,Plant Covers
20,2020-07-06,68283.0,Plant Covers
21,2020-07-07,68283.0,Plant Covers
22,2020-07-08,154902.0,Plant Covers
23,2020-07-09,154902.0,Plant Covers
24,2020-07-10,154902.0,Plant Covers
25,2020-07-11,90473.0,Plant Covers
26,2020-07-12,90473.0,Plant Covers
27,2020-07-13,90473.0,Plant Covers
28,2020-07-14,85336.0,Plant Covers
29,2020-07-15,85336.0,Plant Covers
30,2020-07-16,85336.0,Plant Covers
31,2020-07-17,62620.0,Plant Covers
32,2020-07-18,40463.0,Plant Covers
33,2020-07-19,40463.0,Plant Covers
34,2020-07-20,40463.0,Plant Covers
35,2020-07-21,40463.0,Plant Covers
36,2020-07-22,62845.0,Plant Covers
37,2020-07-23,39500.0,Plant Covers
38,2020-07-24,39500.0,Plant Covers
39,2020-07-25,39500.0,Plant Covers
40,2020-07-26,39500.0,Plant Covers
41,2020-07-27,39500.0,Plant Covers
42,2020-07-28,39909.0,Plant Covers
43,2020-07-29,39909.0,Plant Covers
44,2020-07-30,30060.0,Plant Covers
45,2020-07-31,21654.0,Plant Covers
46,2020-08-01,21654.0,Plant Covers
47,2020-08-02,21654.0,Plant Covers
48,2020-08-03,21654.0,Plant Covers
49,2020-08-04,21654.0,Plant Covers
50,2020-08-05,44821.0,Plant Covers
51,2020-08-06,44821.0,Plant Covers
52,2020-08-07,44821.0,Plant Covers
53,2020-08-08,44821.0,Plant Covers
54,2020-08-09,44821.0,Plant Covers
55,2020-08-10,37588.0,Plant Covers
56,2020-08-11,37588.0,Plant Covers
57,2020-08-12,37588.0,Plant Covers
58,2020-08-13,61512.0,Plant Covers
59,2020-08-14,61512.0,Plant Covers
60,2020-08-15,61512.0,Plant Covers
61,2020-08-16,61512.0,Plant Covers
62,2020-08-17,61512.0,Plant Covers
63,2020-08-18,61512.0,Plant Covers
64,2020-08-19,61512.0,Plant Covers
65,2020-08-20,61512.0,Plant Covers
66,2020-08-21,61512.0,Plant Covers
67,2020-08-22,61512.0,Plant Covers
68,2020-08-23,61512.0,Plant Covers
69,2020-08-24,61512.0,Plant Covers
70,2020-08-25,61512.0,Plant Covers
71,2020-08-26,61512.0,Plant Covers
72,2020-08-27,61512.0,Plant Covers
73,2020-08-28,61512.0,Plant Covers
74,2020-08-29,61512.0,Plant Covers
75,2020-08-30,61512.0,Plant Covers
76,2020-08-31,61512.0,Plant Covers
77,2020-09-01,61512.0,Plant Covers
78,2020-09-02,61512.0,Plant Covers
79,2020-09-03,61512.0,Plant Covers
80,2020-09-04,135147.0,Plant Covers
81,2020-09-05,135147.0,Plant Covers
82,2020-09-06,135147.0,Plant Covers
83,2020-09-07,135147.0,Plant Covers
84,2020-09-08,74721.0,Plant Covers
85,2020-09-09,74721.0,Plant Covers
86,2020-09-10,74721.0,Plant Covers
87,2020-09-11,56278.0,Plant Covers
88,2020-09-12,56278.0,Plant Covers
89,2020-09-13,56278.0,Plant Covers
90,2020-09-14,98941.0,Plant Covers
91,2020-09-15,98941.0,Plant Covers
92,2020-09-16,77937.0,Plant Covers
93,2020-09-17,118961.0,Plant Covers
94,2020-09-18,118961.0,Plant Covers
95,2020-09-19,118961.0,Plant Covers
96,2020-09-20,163857.0,Plant Covers
97,2020-09-21,163857.0,Plant Covers
98,2020-09-22,163857.0,Plant Covers
99,2020-09-23,163857.0,Plant Covers
100,2020-09-24,163857.0,Plant Covers
101,2020-09-25,153272.0,Plant Covers
102,2020-09-26,153272.0,Plant Covers
103,2020-09-27,153272.0,Plant Covers
104,2020-09-28,153272.0,Plant Covers
105,2020-09-29,153272.0,Plant Covers
106,2020-09-30,153272.0,Plant Covers
107,2020-10-01,153272.0,Plant Covers
108,2020-10-02,153272.0,Plant Covers
109,2020-10-03,153272.0,Plant Covers
