,date,value,name_B09684YGV9
0,2021-06-03,5381.0,Badge Holders
1,2021-06-04,5381.0,Badge Holders
2,2021-06-05,9512.0,Badge Holders
3,2021-06-06,9512.0,Badge Holders
4,2021-06-07,9306.0,Badge Holders
5,2021-06-08,9306.0,Badge Holders
6,2021-06-09,11228.0,Badge Holders
7,2021-06-10,10365.0,Badge Holders
8,2021-06-11,11756.0,Badge Holders
9,2021-06-12,8817.0,Badge Holders
10,2021-06-13,8817.0,Badge Holders
11,2021-06-14,11338.0,Badge Holders
12,2021-06-15,11338.0,Badge Holders
13,2021-06-16,14464.0,Badge Holders
14,2021-06-17,14464.0,Badge Holders
15,2021-06-18,10844.0,Badge Holders
16,2021-06-19,13257.0,Badge Holders
17,2021-06-20,13028.0,Badge Holders
18,2021-06-21,6822.0,Badge Holders
19,2021-06-22,1436.0,Badge Holders
20,2021-06-23,1383.0,Badge Holders
21,2021-06-24,881.0,Badge Holders
22,2021-06-25,837.0,Badge Holders
23,2021-06-26,749.0,Badge Holders
24,2021-06-27,651.0,Badge Holders
25,2021-06-28,831.0,Badge Holders
26,2021-06-29,1219.0,Badge Holders
27,2021-06-30,1969.0,Badge Holders
28,2021-07-01,1602.0,Badge Holders
29,2021-07-02,1602.0,Badge Holders
30,2021-07-03,2302.0,Badge Holders
31,2021-07-04,2302.0,Badge Holders
32,2021-07-05,3546.0,Badge Holders
33,2021-07-06,4776.0,Badge Holders
34,2021-07-07,6169.0,Badge Holders
35,2021-07-08,6169.0,Badge Holders
36,2021-07-09,9351.0,Badge Holders
37,2021-07-10,9351.0,Badge Holders
38,2021-07-11,3224.0,Badge Holders
