,date,value,name_B07SZQR7B2
0,2019-06-22,2414.0,Home & Kitchen Features
1,2019-06-23,2806.0,Home & Kitchen Features
2,2019-06-24,2592.0,Home & Kitchen Features
3,2019-06-25,2707.0,Home & Kitchen Features
4,2019-06-26,2427.0,Home & Kitchen Features
5,2019-06-27,2348.0,Home & Kitchen Features
6,2019-06-28,2622.0,Home & Kitchen Features
7,2019-06-29,2695.0,Home & Kitchen Features
8,2019-06-30,2488.0,Home & Kitchen Features
9,2019-07-01,2379.0,Home & Kitchen Features
10,2019-07-02,2650.0,Home & Kitchen Features
11,2019-07-03,3401.0,Home & Kitchen Features
12,2019-07-04,3608.0,Home & Kitchen Features
13,2019-07-05,3385.0,Home & Kitchen Features
14,2019-07-06,3027.0,Home & Kitchen Features
15,2019-07-07,2901.0,Home & Kitchen Features
16,2019-07-08,3259.0,Home & Kitchen Features
17,2019-07-09,3776.0,Home & Kitchen Features
18,2019-07-10,4657.0,Home & Kitchen Features
19,2019-07-11,3769.0,Home & Kitchen Features
20,2019-07-12,3681.0,Home & Kitchen Features
21,2019-07-13,4190.0,Home & Kitchen Features
22,2019-07-14,4363.0,Home & Kitchen Features
23,2019-07-15,4264.0,Home & Kitchen Features
24,2019-07-16,5292.0,Home & Kitchen Features
25,2019-07-17,5375.0,Home & Kitchen Features
26,2019-07-18,4500.0,Home & Kitchen Features
27,2019-07-19,4593.0,Home & Kitchen Features
28,2019-07-20,3967.0,Home & Kitchen Features
29,2019-07-21,3967.0,Home & Kitchen Features
30,2019-07-22,3967.0,Home & Kitchen Features
31,2019-07-23,4457.0,Home & Kitchen Features
32,2019-07-24,4457.0,Home & Kitchen Features
33,2019-07-25,3440.0,Home & Kitchen Features
34,2019-07-26,3440.0,Home & Kitchen Features
35,2019-07-27,4229.0,Home & Kitchen Features
36,2019-07-28,4150.0,Home & Kitchen Features
37,2019-07-29,4150.0,Home & Kitchen Features
38,2019-07-30,4409.0,Home & Kitchen Features
39,2019-07-31,4160.0,Home & Kitchen Features
40,2019-08-01,4477.0,Home & Kitchen Features
41,2019-08-02,3680.0,Home & Kitchen Features
42,2019-08-03,3680.0,Home & Kitchen Features
43,2019-08-04,4315.0,Home & Kitchen Features
44,2019-08-05,4315.0,Home & Kitchen Features
45,2019-08-06,4158.0,Home & Kitchen Features
46,2019-08-07,5259.0,Home & Kitchen Features
47,2019-08-08,4256.0,Home & Kitchen Features
48,2019-08-09,4256.0,Home & Kitchen Features
49,2019-08-10,4256.0,Home & Kitchen Features
50,2019-08-11,4242.0,Home & Kitchen Features
51,2019-08-12,5801.0,Home & Kitchen Features
52,2019-08-13,5801.0,Home & Kitchen Features
53,2019-08-14,5661.0,Home & Kitchen Features
54,2019-08-15,8204.0,Home & Kitchen Features
55,2019-08-16,5344.0,Home & Kitchen Features
56,2019-08-17,5344.0,Home & Kitchen Features
57,2019-08-18,5550.0,Home & Kitchen Features
58,2019-08-19,5550.0,Home & Kitchen Features
59,2019-08-20,6216.0,Home & Kitchen Features
60,2019-08-21,4956.0,Home & Kitchen Features
61,2019-08-22,4956.0,Home & Kitchen Features
62,2019-08-23,5932.0,Home & Kitchen Features
63,2019-08-24,5671.0,Home & Kitchen Features
64,2019-08-25,6468.0,Home & Kitchen Features
65,2019-08-26,5876.0,Home & Kitchen Features
66,2019-08-27,4690.0,Home & Kitchen Features
67,2019-08-28,3566.0,Home & Kitchen Features
68,2019-08-29,4643.0,Home & Kitchen Features
69,2019-08-30,4447.0,Home & Kitchen Features
70,2019-08-31,3106.0,Home & Kitchen Features
71,2019-09-01,3106.0,Home & Kitchen Features
72,2019-09-02,5302.0,Home & Kitchen Features
73,2019-09-03,5302.0,Home & Kitchen Features
74,2019-09-04,4587.0,Home & Kitchen Features
75,2019-09-05,4640.0,Home & Kitchen Features
76,2019-09-06,5100.0,Home & Kitchen Features
77,2019-09-07,5413.0,Home & Kitchen Features
78,2019-09-08,4692.0,Home & Kitchen Features
79,2019-09-09,4692.0,Home & Kitchen Features
80,2019-09-10,4692.0,Home & Kitchen Features
81,2019-09-11,5502.0,Home & Kitchen Features
82,2019-09-12,5862.0,Home & Kitchen Features
83,2019-09-13,6788.0,Home & Kitchen Features
84,2019-09-14,5995.0,Home & Kitchen Features
85,2019-09-15,4777.0,Home & Kitchen Features
86,2019-09-16,4076.0,Home & Kitchen Features
87,2019-09-17,5305.0,Home & Kitchen Features
88,2019-09-18,5066.0,Home & Kitchen Features
89,2019-09-19,5375.0,Home & Kitchen Features
90,2019-09-20,5102.0,Home & Kitchen Features
91,2019-09-21,5102.0,Home & Kitchen Features
92,2019-09-22,5824.0,Home & Kitchen Features
93,2019-09-23,5931.0,Home & Kitchen Features
94,2019-09-24,6256.0,Home & Kitchen Features
95,2019-09-25,6634.0,Home & Kitchen Features
96,2019-09-26,9236.0,Home & Kitchen Features
97,2019-09-27,6537.0,Home & Kitchen Features
98,2019-09-28,5584.0,Home & Kitchen Features
99,2019-09-29,5651.0,Home & Kitchen Features
100,2019-09-30,5651.0,Home & Kitchen Features
101,2019-10-01,5651.0,Home & Kitchen Features
102,2019-10-02,3302.0,Home & Kitchen Features
103,2019-10-03,3048.0,Home & Kitchen Features
104,2019-10-04,2446.0,Home & Kitchen Features
105,2019-10-05,2734.0,Home & Kitchen Features
106,2019-10-06,2734.0,Home & Kitchen Features
107,2019-10-07,2573.0,Home & Kitchen Features
108,2019-10-08,2573.0,Home & Kitchen Features
109,2019-10-09,2573.0,Home & Kitchen Features
110,2019-10-10,4210.0,Home & Kitchen Features
111,2019-10-11,4210.0,Home & Kitchen Features
112,2019-10-12,4210.0,Home & Kitchen Features
113,2019-10-13,3950.0,Home & Kitchen Features
114,2019-10-14,3950.0,Home & Kitchen Features
115,2019-10-15,3950.0,Home & Kitchen Features
116,2019-10-16,4422.0,Home & Kitchen Features
117,2019-10-17,3824.0,Home & Kitchen Features
118,2019-10-18,4182.0,Home & Kitchen Features
119,2019-10-19,4182.0,Home & Kitchen Features
120,2019-10-20,4666.0,Home & Kitchen Features
121,2019-10-21,4002.0,Home & Kitchen Features
122,2019-10-22,4002.0,Home & Kitchen Features
123,2019-10-23,4002.0,Home & Kitchen Features
124,2019-10-24,4317.0,Home & Kitchen Features
125,2019-10-25,3967.0,Home & Kitchen Features
126,2019-10-26,3492.0,Home & Kitchen Features
127,2019-10-27,3492.0,Home & Kitchen Features
128,2019-10-28,3492.0,Home & Kitchen Features
129,2019-10-29,3473.0,Home & Kitchen Features
130,2019-10-30,3663.0,Home & Kitchen Features
131,2019-10-31,4408.0,Home & Kitchen Features
132,2019-11-01,4289.0,Home & Kitchen Features
133,2019-11-02,5027.0,Home & Kitchen Features
134,2019-11-03,5299.0,Home & Kitchen Features
135,2019-11-04,3259.0,Home & Kitchen Features
136,2019-11-05,3257.0,Home & Kitchen Features
137,2019-11-06,4226.0,Home & Kitchen Features
138,2019-11-07,4226.0,Home & Kitchen Features
139,2019-11-08,4226.0,Home & Kitchen Features
140,2019-11-09,4226.0,Home & Kitchen Features
141,2019-11-10,4392.0,Home & Kitchen Features
142,2019-11-11,4392.0,Home & Kitchen Features
143,2019-11-12,4594.0,Home & Kitchen Features
144,2019-11-13,4594.0,Home & Kitchen Features
145,2019-11-14,4406.0,Home & Kitchen Features
146,2019-11-15,4406.0,Home & Kitchen Features
147,2019-11-16,4406.0,Home & Kitchen Features
148,2019-11-17,5116.0,Home & Kitchen Features
149,2019-11-18,5116.0,Home & Kitchen Features
150,2019-11-19,5116.0,Home & Kitchen Features
151,2019-11-20,5437.0,Home & Kitchen Features
152,2019-11-21,5437.0,Home & Kitchen Features
153,2019-11-22,5437.0,Home & Kitchen Features
154,2019-11-23,7624.0,Home & Kitchen Features
155,2019-11-24,7624.0,Home & Kitchen Features
156,2019-11-25,7624.0,Home & Kitchen Features
157,2019-11-26,7624.0,Home & Kitchen Features
158,2019-11-27,7624.0,Home & Kitchen Features
159,2019-11-28,5610.0,Home & Kitchen Features
160,2019-11-29,5066.0,Home & Kitchen Features
161,2019-11-30,3541.0,Home & Kitchen Features
162,2019-12-01,3541.0,Home & Kitchen Features
163,2019-12-02,3541.0,Home & Kitchen Features
164,2019-12-03,3541.0,Home & Kitchen Features
165,2019-12-04,4245.0,Home & Kitchen Features
166,2019-12-05,4403.0,Home & Kitchen Features
167,2019-12-06,4403.0,Home & Kitchen Features
168,2019-12-07,4403.0,Home & Kitchen Features
169,2019-12-08,4096.0,Home & Kitchen Features
170,2019-12-09,4068.0,Home & Kitchen Features
171,2019-12-10,4068.0,Home & Kitchen Features
172,2019-12-11,4068.0,Home & Kitchen Features
173,2019-12-12,2967.0,Home & Kitchen Features
174,2019-12-13,2967.0,Home & Kitchen Features
175,2019-12-14,2967.0,Home & Kitchen Features
176,2019-12-15,4502.0,Home & Kitchen Features
177,2019-12-16,4502.0,Home & Kitchen Features
178,2019-12-17,4502.0,Home & Kitchen Features
179,2019-12-18,4204.0,Home & Kitchen Features
180,2019-12-19,4211.0,Home & Kitchen Features
181,2019-12-20,3968.0,Home & Kitchen Features
182,2019-12-21,3968.0,Home & Kitchen Features
183,2019-12-22,3968.0,Home & Kitchen Features
184,2019-12-23,3968.0,Home & Kitchen Features
185,2019-12-24,2834.0,Home & Kitchen Features
186,2019-12-25,2834.0,Home & Kitchen Features
187,2019-12-26,2834.0,Home & Kitchen Features
188,2019-12-27,2834.0,Home & Kitchen Features
189,2019-12-28,2834.0,Home & Kitchen Features
190,2019-12-29,2834.0,Home & Kitchen Features
191,2019-12-30,2834.0,Home & Kitchen Features
192,2019-12-31,3799.0,Home & Kitchen Features
193,2020-01-01,3799.0,Home & Kitchen Features
194,2020-01-02,3553.0,Home & Kitchen Features
195,2020-01-03,3660.0,Home & Kitchen Features
196,2020-01-04,4410.0,Home & Kitchen Features
197,2020-01-05,4410.0,Home & Kitchen Features
198,2020-01-06,4410.0,Home & Kitchen Features
199,2020-01-07,4410.0,Home & Kitchen Features
200,2020-01-08,4410.0,Home & Kitchen Features
201,2020-01-09,5221.0,Home & Kitchen Features
202,2020-01-10,5221.0,Home & Kitchen Features
203,2020-01-11,5221.0,Home & Kitchen Features
204,2020-01-12,5221.0,Home & Kitchen Features
205,2020-01-13,5636.0,Home & Kitchen Features
206,2020-01-14,5636.0,Home & Kitchen Features
207,2020-01-15,5636.0,Home & Kitchen Features
208,2020-01-16,5636.0,Home & Kitchen Features
209,2020-01-17,5636.0,Home & Kitchen Features
210,2020-01-18,3899.0,Home & Kitchen Features
211,2020-01-19,3899.0,Home & Kitchen Features
212,2020-01-20,3899.0,Home & Kitchen Features
213,2020-01-21,3899.0,Home & Kitchen Features
214,2020-01-22,3899.0,Home & Kitchen Features
215,2020-01-23,3899.0,Home & Kitchen Features
216,2020-01-24,5574.0,Home & Kitchen Features
217,2020-01-25,5574.0,Home & Kitchen Features
218,2020-01-26,5574.0,Home & Kitchen Features
219,2020-01-27,5574.0,Home & Kitchen Features
220,2020-01-28,5574.0,Home & Kitchen Features
221,2020-01-29,6635.0,Home & Kitchen Features
222,2020-01-30,6635.0,Home & Kitchen Features
223,2020-01-31,5839.0,Home & Kitchen Features
224,2020-02-01,5839.0,Home & Kitchen Features
225,2020-02-02,5839.0,Home & Kitchen Features
226,2020-02-03,6934.0,Home & Kitchen Features
227,2020-02-04,6934.0,Home & Kitchen Features
228,2020-02-05,6934.0,Home & Kitchen Features
229,2020-02-06,6934.0,Home & Kitchen Features
230,2020-02-07,6934.0,Home & Kitchen Features
231,2020-02-08,5063.0,Home & Kitchen Features
232,2020-02-09,5063.0,Home & Kitchen Features
233,2020-02-10,4515.0,Home & Kitchen Features
234,2020-02-11,4515.0,Home & Kitchen Features
235,2020-02-12,4515.0,Home & Kitchen Features
236,2020-02-13,3287.0,Home & Kitchen Features
237,2020-02-14,3287.0,Home & Kitchen Features
238,2020-02-15,3287.0,Home & Kitchen Features
239,2020-02-16,3287.0,Home & Kitchen Features
240,2020-02-17,5052.0,Home & Kitchen Features
241,2020-02-18,5052.0,Home & Kitchen Features
242,2020-02-19,4948.0,Home & Kitchen Features
243,2020-02-20,4948.0,Home & Kitchen Features
244,2020-02-21,4948.0,Home & Kitchen Features
245,2020-02-22,7782.0,Home & Kitchen Features
246,2020-02-23,7782.0,Home & Kitchen Features
247,2020-02-24,7782.0,Home & Kitchen Features
248,2020-02-25,7782.0,Home & Kitchen Features
