,date,value,name_B0865YJMDY
0,2020-12-22,14217.0,Molds
1,2020-12-23,14217.0,Molds
2,2020-12-24,14217.0,Molds
3,2020-12-25,14217.0,Molds
4,2020-12-26,16583.0,Molds
5,2020-12-27,16583.0,Molds
6,2020-12-28,16583.0,Molds
7,2020-12-29,21680.0,Molds
8,2020-12-30,21680.0,Molds
9,2020-12-31,21680.0,Molds
10,2021-01-01,21680.0,Molds
11,2021-01-02,21680.0,Molds
12,2021-01-03,22002.0,Molds
13,2021-01-04,22002.0,Molds
14,2021-01-05,22002.0,Molds
15,2021-01-06,22002.0,Molds
16,2021-01-07,22002.0,Molds
17,2021-01-08,22002.0,Molds
18,2021-01-09,119915.0,Molds
19,2021-01-10,119915.0,Molds
20,2021-01-11,119915.0,Molds
21,2021-01-12,119915.0,Molds
22,2021-01-13,119915.0,Molds
23,2021-01-14,119915.0,Molds
24,2021-01-15,119915.0,Molds
25,2021-01-16,84938.0,Molds
26,2021-01-17,84938.0,Molds
27,2021-01-18,84938.0,Molds
28,2021-01-19,84938.0,Molds
29,2021-01-20,84938.0,Molds
30,2021-01-21,84938.0,Molds
31,2021-01-22,51905.0,Molds
32,2021-01-23,51905.0,Molds
33,2021-01-24,51905.0,Molds
34,2021-01-25,51905.0,Molds
35,2021-01-26,51905.0,Molds
36,2021-01-27,51905.0,Molds
37,2021-01-28,51905.0,Molds
38,2021-01-29,51905.0,Molds
39,2021-01-30,51905.0,Molds
40,2021-01-31,51905.0,Molds
41,2021-02-01,35570.0,Molds
42,2021-02-02,35570.0,Molds
43,2021-02-03,35570.0,Molds
44,2021-02-04,35570.0,Molds
45,2021-02-05,77472.0,Molds
46,2021-02-06,77472.0,Molds
47,2021-02-07,77472.0,Molds
48,2021-02-08,77472.0,Molds
49,2021-02-09,77472.0,Molds
50,2021-02-10,77472.0,Molds
51,2021-02-11,94782.0,Molds
52,2021-02-12,94782.0,Molds
53,2021-02-13,94782.0,Molds
54,2021-02-14,36510.0,Molds
55,2021-02-15,36510.0,Molds
56,2021-02-16,36510.0,Molds
57,2021-02-17,83269.0,Molds
58,2021-02-18,83269.0,Molds
59,2021-02-19,83269.0,Molds
60,2021-02-20,83269.0,Molds
61,2021-02-21,83269.0,Molds
62,2021-02-22,83269.0,Molds
63,2021-02-23,133729.0,Molds
64,2021-02-24,133729.0,Molds
65,2021-02-25,133729.0,Molds
66,2021-02-26,133729.0,Molds
67,2021-02-27,133729.0,Molds
68,2021-02-28,133729.0,Molds
69,2021-03-01,133729.0,Molds
70,2021-03-02,133729.0,Molds
71,2021-03-03,96695.0,Molds
72,2021-03-04,96695.0,Molds
73,2021-03-05,96695.0,Molds
74,2021-03-06,96695.0,Molds
75,2021-03-07,96695.0,Molds
76,2021-03-08,103595.0,Molds
77,2021-03-09,103595.0,Molds
78,2021-03-10,103595.0,Molds
79,2021-03-11,136139.0,Molds
80,2021-03-12,136139.0,Molds
81,2021-03-13,136139.0,Molds
82,2021-03-14,136139.0,Molds
83,2021-03-15,136139.0,Molds
84,2021-03-16,136139.0,Molds
85,2021-03-17,136139.0,Molds
86,2021-03-18,23341.0,Molds
87,2021-03-19,23341.0,Molds
88,2021-03-20,23341.0,Molds
89,2021-03-21,23341.0,Molds
90,2021-03-22,23341.0,Molds
91,2021-03-23,23341.0,Molds
92,2021-03-24,14969.0,Molds
93,2021-03-25,14969.0,Molds
94,2021-03-26,14969.0,Molds
95,2021-03-27,14969.0,Molds
96,2021-03-28,14969.0,Molds
97,2021-03-29,17956.0,Molds
98,2021-03-30,12861.0,Molds
99,2021-03-31,12861.0,Molds
100,2021-04-01,12861.0,Molds
101,2021-04-02,13849.0,Molds
102,2021-04-03,13849.0,Molds
103,2021-04-04,13849.0,Molds
104,2021-04-05,13849.0,Molds
105,2021-04-06,13849.0,Molds
106,2021-04-07,13849.0,Molds
107,2021-04-08,13849.0,Molds
108,2021-04-09,13849.0,Molds
