,date,value,name_B08397Q2DY
0,2020-01-03,20915.0,Bath Rugs
1,2020-01-04,20915.0,Bath Rugs
2,2020-01-05,20966.0,Bath Rugs
3,2020-01-06,12327.0,Bath Rugs
4,2020-01-07,12327.0,Bath Rugs
5,2020-01-08,18830.0,Bath Rugs
6,2020-01-09,21843.0,Bath Rugs
7,2020-01-10,21909.0,Bath Rugs
8,2020-01-11,30677.0,Bath Rugs
9,2020-01-12,28790.0,Bath Rugs
10,2020-01-13,23234.0,Bath Rugs
11,2020-01-14,27899.0,Bath Rugs
12,2020-01-15,25884.0,Bath Rugs
13,2020-01-16,27290.0,Bath Rugs
14,2020-01-17,34163.0,Bath Rugs
15,2020-01-18,24779.0,Bath Rugs
16,2020-01-19,23031.0,Bath Rugs
17,2020-01-20,21110.0,Bath Rugs
18,2020-01-21,24100.0,Bath Rugs
19,2020-01-22,19172.0,Bath Rugs
20,2020-01-23,25368.0,Bath Rugs
21,2020-01-24,25368.0,Bath Rugs
22,2020-01-25,18697.0,Bath Rugs
23,2020-01-26,18697.0,Bath Rugs
24,2020-01-27,8106.0,Bath Rugs
25,2020-01-28,13944.0,Bath Rugs
26,2020-01-29,16700.0,Bath Rugs
27,2020-01-30,16012.0,Bath Rugs
28,2020-01-31,16012.0,Bath Rugs
29,2020-02-01,16012.0,Bath Rugs
30,2020-02-02,16012.0,Bath Rugs
31,2020-02-03,16012.0,Bath Rugs
32,2020-02-04,31841.0,Bath Rugs
33,2020-02-05,31841.0,Bath Rugs
34,2020-02-06,31841.0,Bath Rugs
35,2020-02-07,31087.0,Bath Rugs
36,2020-02-08,25825.0,Bath Rugs
37,2020-02-09,25825.0,Bath Rugs
38,2020-02-10,25825.0,Bath Rugs
39,2020-02-11,25825.0,Bath Rugs
40,2020-02-12,25825.0,Bath Rugs
41,2020-02-13,25825.0,Bath Rugs
42,2020-02-14,21994.0,Bath Rugs
43,2020-02-15,21994.0,Bath Rugs
44,2020-02-16,21994.0,Bath Rugs
45,2020-02-17,21994.0,Bath Rugs
46,2020-02-18,21994.0,Bath Rugs
47,2020-02-19,18353.0,Bath Rugs
48,2020-02-20,18353.0,Bath Rugs
49,2020-02-21,18353.0,Bath Rugs
50,2020-02-22,18353.0,Bath Rugs
51,2020-02-23,18353.0,Bath Rugs
52,2020-02-24,25168.0,Bath Rugs
53,2020-02-25,25168.0,Bath Rugs
54,2020-02-26,25168.0,Bath Rugs
55,2020-02-27,25168.0,Bath Rugs
56,2020-02-28,16956.0,Bath Rugs
57,2020-02-29,16956.0,Bath Rugs
58,2020-03-01,16956.0,Bath Rugs
59,2020-03-02,16956.0,Bath Rugs
60,2020-03-03,17568.0,Bath Rugs
61,2020-03-04,17568.0,Bath Rugs
62,2020-03-05,17568.0,Bath Rugs
63,2020-03-06,22626.0,Bath Rugs
64,2020-03-07,22626.0,Bath Rugs
65,2020-03-08,22626.0,Bath Rugs
66,2020-03-09,22626.0,Bath Rugs
67,2020-03-10,18867.0,Bath Rugs
68,2020-03-11,20886.0,Bath Rugs
69,2020-03-12,20886.0,Bath Rugs
70,2020-03-13,19972.0,Bath Rugs
71,2020-03-14,19972.0,Bath Rugs
72,2020-03-15,19972.0,Bath Rugs
73,2020-03-16,15632.0,Bath Rugs
74,2020-03-17,15632.0,Bath Rugs
75,2020-03-18,15632.0,Bath Rugs
76,2020-03-19,22532.0,Bath Rugs
77,2020-03-20,22532.0,Bath Rugs
78,2020-03-21,22532.0,Bath Rugs
79,2020-03-22,22532.0,Bath Rugs
80,2020-03-23,22532.0,Bath Rugs
81,2020-03-24,14108.0,Bath Rugs
82,2020-03-25,14108.0,Bath Rugs
83,2020-03-26,14108.0,Bath Rugs
84,2020-03-27,13145.0,Bath Rugs
85,2020-03-28,13145.0,Bath Rugs
86,2020-03-29,13145.0,Bath Rugs
87,2020-03-30,13145.0,Bath Rugs
88,2020-03-31,13145.0,Bath Rugs
89,2020-04-01,15225.0,Bath Rugs
90,2020-04-02,15225.0,Bath Rugs
91,2020-04-03,15225.0,Bath Rugs
92,2020-04-04,15225.0,Bath Rugs
93,2020-04-05,15225.0,Bath Rugs
94,2020-04-06,9500.0,Bath Rugs
95,2020-04-07,9500.0,Bath Rugs
96,2020-04-08,11717.0,Bath Rugs
97,2020-04-09,11717.0,Bath Rugs
98,2020-04-10,11717.0,Bath Rugs
99,2020-04-11,12788.0,Bath Rugs
100,2020-04-12,12788.0,Bath Rugs
101,2020-04-13,12788.0,Bath Rugs
102,2020-04-14,11346.0,Bath Rugs
103,2020-04-15,11346.0,Bath Rugs
104,2020-04-16,11346.0,Bath Rugs
105,2020-04-17,11346.0,Bath Rugs
106,2020-04-18,13546.0,Bath Rugs
107,2020-04-19,13546.0,Bath Rugs
108,2020-04-20,13546.0,Bath Rugs
109,2020-04-21,12594.0,Bath Rugs
110,2020-04-22,10372.0,Bath Rugs
111,2020-04-23,12568.0,Bath Rugs
112,2020-04-24,12568.0,Bath Rugs
113,2020-04-25,12568.0,Bath Rugs
114,2020-04-26,12568.0,Bath Rugs
115,2020-04-27,18110.0,Bath Rugs
116,2020-04-28,18110.0,Bath Rugs
117,2020-04-29,18110.0,Bath Rugs
118,2020-04-30,18110.0,Bath Rugs
119,2020-05-01,18110.0,Bath Rugs
120,2020-05-02,18110.0,Bath Rugs
121,2020-05-03,20345.0,Bath Rugs
122,2020-05-04,17148.0,Bath Rugs
123,2020-05-05,17148.0,Bath Rugs
124,2020-05-06,17148.0,Bath Rugs
125,2020-05-07,15663.0,Bath Rugs
126,2020-05-08,15663.0,Bath Rugs
127,2020-05-09,15663.0,Bath Rugs
128,2020-05-10,15663.0,Bath Rugs
129,2020-05-11,15663.0,Bath Rugs
130,2020-05-12,29202.0,Bath Rugs
131,2020-05-13,29202.0,Bath Rugs
132,2020-05-14,14937.0,Bath Rugs
133,2020-05-15,14937.0,Bath Rugs
134,2020-05-16,14937.0,Bath Rugs
135,2020-05-17,14937.0,Bath Rugs
136,2020-05-18,12871.0,Bath Rugs
137,2020-05-19,12871.0,Bath Rugs
138,2020-05-20,12871.0,Bath Rugs
139,2020-05-21,12901.0,Bath Rugs
140,2020-05-22,12901.0,Bath Rugs
141,2020-05-23,12901.0,Bath Rugs
142,2020-05-24,16283.0,Bath Rugs
143,2020-05-25,16283.0,Bath Rugs
144,2020-05-26,16283.0,Bath Rugs
145,2020-05-27,16283.0,Bath Rugs
146,2020-05-28,12549.0,Bath Rugs
147,2020-05-29,12144.0,Bath Rugs
148,2020-05-30,12144.0,Bath Rugs
149,2020-05-31,12144.0,Bath Rugs
150,2020-06-01,13434.0,Bath Rugs
151,2020-06-02,13434.0,Bath Rugs
152,2020-06-03,13434.0,Bath Rugs
153,2020-06-04,13434.0,Bath Rugs
154,2020-06-05,13434.0,Bath Rugs
155,2020-06-06,13434.0,Bath Rugs
156,2020-06-07,13009.0,Bath Rugs
157,2020-06-08,12924.0,Bath Rugs
158,2020-06-09,12924.0,Bath Rugs
159,2020-06-10,12924.0,Bath Rugs
160,2020-06-11,12924.0,Bath Rugs
161,2020-06-12,18335.0,Bath Rugs
162,2020-06-13,18335.0,Bath Rugs
163,2020-06-14,18335.0,Bath Rugs
164,2020-06-15,18335.0,Bath Rugs
165,2020-06-16,24340.0,Bath Rugs
166,2020-06-17,24340.0,Bath Rugs
167,2020-06-18,24340.0,Bath Rugs
168,2020-06-19,24340.0,Bath Rugs
169,2020-06-20,24340.0,Bath Rugs
