,date,value,name_B08L93D1GF
0,2020-12-24,102465.0,Tattoo Needles
1,2020-12-25,102465.0,Tattoo Needles
2,2020-12-26,102465.0,Tattoo Needles
3,2020-12-27,91517.0,Tattoo Needles
4,2020-12-28,91517.0,Tattoo Needles
5,2020-12-29,91517.0,Tattoo Needles
6,2020-12-30,89319.0,Tattoo Needles
7,2020-12-31,89319.0,Tattoo Needles
8,2021-01-01,89319.0,Tattoo Needles
9,2021-01-02,89319.0,Tattoo Needles
10,2021-01-03,89319.0,Tattoo Needles
11,2021-01-04,89319.0,Tattoo Needles
12,2021-01-05,89319.0,Tattoo Needles
13,2021-01-06,89319.0,Tattoo Needles
14,2021-01-07,223181.0,Tattoo Needles
15,2021-01-08,223181.0,Tattoo Needles
16,2021-01-09,223181.0,Tattoo Needles
17,2021-01-10,223181.0,Tattoo Needles
18,2021-01-11,223181.0,Tattoo Needles
19,2021-01-12,223181.0,Tattoo Needles
20,2021-01-13,223181.0,Tattoo Needles
21,2021-01-14,223181.0,Tattoo Needles
22,2021-01-15,191300.0,Tattoo Needles
23,2021-01-16,191300.0,Tattoo Needles
24,2021-01-17,191300.0,Tattoo Needles
25,2021-01-18,72746.0,Tattoo Needles
26,2021-01-19,72746.0,Tattoo Needles
27,2021-01-20,72746.0,Tattoo Needles
28,2021-01-21,72746.0,Tattoo Needles
29,2021-01-22,72746.0,Tattoo Needles
30,2021-01-23,72746.0,Tattoo Needles
31,2021-01-24,72746.0,Tattoo Needles
32,2021-01-25,72746.0,Tattoo Needles
33,2021-01-26,72746.0,Tattoo Needles
34,2021-01-27,72746.0,Tattoo Needles
35,2021-01-28,72746.0,Tattoo Needles
36,2021-01-29,72746.0,Tattoo Needles
37,2021-01-30,72746.0,Tattoo Needles
38,2021-01-31,72746.0,Tattoo Needles
39,2021-02-01,72746.0,Tattoo Needles
40,2021-02-02,72746.0,Tattoo Needles
41,2021-02-03,72746.0,Tattoo Needles
42,2021-02-04,72746.0,Tattoo Needles
43,2021-02-05,53851.0,Tattoo Needles
44,2021-02-06,53851.0,Tattoo Needles
45,2021-02-07,73548.0,Tattoo Needles
46,2021-02-08,73548.0,Tattoo Needles
47,2021-02-09,73548.0,Tattoo Needles
48,2021-02-10,73548.0,Tattoo Needles
49,2021-02-11,73548.0,Tattoo Needles
50,2021-02-12,73548.0,Tattoo Needles
51,2021-02-13,73548.0,Tattoo Needles
52,2021-02-14,73548.0,Tattoo Needles
53,2021-02-15,73548.0,Tattoo Needles
