,date,value,name_B08Y8L13JW
0,2021-03-19,229486.0,Misting Systems
1,2021-03-20,229486.0,Misting Systems
2,2021-03-21,94639.0,Misting Systems
3,2021-03-22,106624.0,Misting Systems
4,2021-03-23,71852.0,Misting Systems
5,2021-03-24,71852.0,Misting Systems
6,2021-03-25,71852.0,Misting Systems
7,2021-03-26,87267.0,Misting Systems
8,2021-03-27,87267.0,Misting Systems
9,2021-03-28,190244.0,Misting Systems
10,2021-03-29,215012.0,Misting Systems
11,2021-03-30,215012.0,Misting Systems
12,2021-03-31,215012.0,Misting Systems
13,2021-04-01,54822.0,Misting Systems
14,2021-04-02,30919.0,Misting Systems
15,2021-04-03,30919.0,Misting Systems
16,2021-04-04,30919.0,Misting Systems
17,2021-04-05,30919.0,Misting Systems
18,2021-04-06,73597.0,Misting Systems
19,2021-04-07,70210.0,Misting Systems
20,2021-04-08,70210.0,Misting Systems
21,2021-04-09,114961.0,Misting Systems
22,2021-04-10,114961.0,Misting Systems
23,2021-04-11,66593.0,Misting Systems
24,2021-04-12,82066.0,Misting Systems
25,2021-04-13,63095.0,Misting Systems
26,2021-04-14,77044.0,Misting Systems
27,2021-04-15,91718.0,Misting Systems
28,2021-04-16,79931.0,Misting Systems
29,2021-04-17,79931.0,Misting Systems
30,2021-04-18,79931.0,Misting Systems
31,2021-04-19,105428.0,Misting Systems
32,2021-04-20,105428.0,Misting Systems
33,2021-04-21,56026.0,Misting Systems
34,2021-04-22,67825.0,Misting Systems
35,2021-04-23,68049.0,Misting Systems
36,2021-04-24,37496.0,Misting Systems
37,2021-04-25,37496.0,Misting Systems
38,2021-04-26,31362.0,Misting Systems
39,2021-04-27,41442.0,Misting Systems
40,2021-04-28,47278.0,Misting Systems
41,2021-04-29,47278.0,Misting Systems
42,2021-04-30,47278.0,Misting Systems
43,2021-05-01,50871.0,Misting Systems
44,2021-05-02,50871.0,Misting Systems
45,2021-05-03,50871.0,Misting Systems
46,2021-05-04,52518.0,Misting Systems
47,2021-05-05,52518.0,Misting Systems
48,2021-05-06,26804.0,Misting Systems
49,2021-05-07,38855.0,Misting Systems
50,2021-05-08,38855.0,Misting Systems
51,2021-05-09,38855.0,Misting Systems
52,2021-05-10,30764.0,Misting Systems
53,2021-05-11,31757.0,Misting Systems
54,2021-05-12,19756.0,Misting Systems
55,2021-05-13,36225.0,Misting Systems
56,2021-05-14,39790.0,Misting Systems
57,2021-05-15,39790.0,Misting Systems
58,2021-05-16,39790.0,Misting Systems
59,2021-05-17,22476.0,Misting Systems
60,2021-05-18,24643.0,Misting Systems
61,2021-05-19,28537.0,Misting Systems
62,2021-05-20,19013.0,Misting Systems
63,2021-05-21,16939.0,Misting Systems
64,2021-05-22,16939.0,Misting Systems
65,2021-05-23,14738.0,Misting Systems
66,2021-05-24,16789.0,Misting Systems
67,2021-05-25,16789.0,Misting Systems
68,2021-05-26,18063.0,Misting Systems
69,2021-05-27,18063.0,Misting Systems
70,2021-05-28,18063.0,Misting Systems
71,2021-05-29,11178.0,Misting Systems
72,2021-05-30,11477.0,Misting Systems
73,2021-05-31,14266.0,Misting Systems
74,2021-06-01,11533.0,Misting Systems
75,2021-06-02,10483.0,Misting Systems
76,2021-06-03,10483.0,Misting Systems
77,2021-06-04,6946.0,Misting Systems
78,2021-06-05,6596.0,Misting Systems
79,2021-06-06,6596.0,Misting Systems
80,2021-06-07,6138.0,Misting Systems
81,2021-06-08,7123.0,Misting Systems
82,2021-06-09,7623.0,Misting Systems
83,2021-06-10,6767.0,Misting Systems
84,2021-06-11,4544.0,Misting Systems
85,2021-06-12,4128.0,Misting Systems
86,2021-06-13,4289.0,Misting Systems
87,2021-06-14,3228.0,Misting Systems
88,2021-06-15,1663.0,Misting Systems
89,2021-06-16,1865.0,Misting Systems
90,2021-06-17,1552.0,Misting Systems
91,2021-06-18,1570.0,Misting Systems
92,2021-06-19,1626.0,Misting Systems
93,2021-06-20,1626.0,Misting Systems
94,2021-06-21,2033.0,Misting Systems
95,2021-06-22,842.0,Misting Systems
96,2021-06-23,1109.0,Misting Systems
97,2021-06-24,1065.0,Misting Systems
98,2021-06-25,1065.0,Misting Systems
99,2021-06-26,2618.0,Misting Systems
100,2021-06-27,2010.0,Misting Systems
101,2021-06-28,2034.0,Misting Systems
102,2021-06-29,2186.0,Misting Systems
103,2021-06-30,2186.0,Misting Systems
104,2021-07-01,3507.0,Misting Systems
105,2021-07-02,3507.0,Misting Systems
106,2021-07-03,3765.0,Misting Systems
107,2021-07-04,3765.0,Misting Systems
108,2021-07-05,3468.0,Misting Systems
109,2021-07-06,5318.0,Misting Systems
110,2021-07-07,5724.0,Misting Systems
111,2021-07-08,4947.0,Misting Systems
112,2021-07-09,4851.0,Misting Systems
