,date,value,name_B08KJJKHD8
0,2020-10-18,29685.0,Feeders
1,2020-10-19,29685.0,Feeders
2,2020-10-20,29685.0,Feeders
3,2020-10-21,23971.0,Feeders
4,2020-10-22,23971.0,Feeders
5,2020-10-23,23971.0,Feeders
6,2020-10-24,23971.0,Feeders
7,2020-10-25,23971.0,Feeders
8,2020-10-26,32502.0,Feeders
9,2020-10-27,32502.0,Feeders
10,2020-10-28,27183.0,Feeders
11,2020-10-29,25053.0,Feeders
12,2020-10-30,25053.0,Feeders
13,2020-10-31,25053.0,Feeders
14,2020-11-01,25053.0,Feeders
15,2020-11-02,46808.0,Feeders
16,2020-11-03,46808.0,Feeders
17,2020-11-04,46808.0,Feeders
18,2020-11-05,33982.0,Feeders
19,2020-11-06,33982.0,Feeders
20,2020-11-07,33982.0,Feeders
21,2020-11-08,33982.0,Feeders
22,2020-11-09,33982.0,Feeders
23,2020-11-10,33982.0,Feeders
24,2020-11-11,33982.0,Feeders
25,2020-11-12,33982.0,Feeders
26,2020-11-13,51532.0,Feeders
27,2020-11-14,51532.0,Feeders
28,2020-11-15,51532.0,Feeders
29,2020-11-16,51532.0,Feeders
30,2020-11-17,51532.0,Feeders
31,2020-11-18,51532.0,Feeders
32,2020-11-19,28773.0,Feeders
33,2020-11-20,28773.0,Feeders
34,2020-11-21,28773.0,Feeders
35,2020-11-22,28773.0,Feeders
36,2020-11-23,9584.0,Feeders
37,2020-11-24,9584.0,Feeders
38,2020-11-25,9584.0,Feeders
39,2020-11-26,10206.0,Feeders
40,2020-11-27,10206.0,Feeders
41,2020-11-28,10206.0,Feeders
42,2020-11-29,10206.0,Feeders
43,2020-11-30,10206.0,Feeders
44,2020-12-01,10206.0,Feeders
45,2020-12-02,14936.0,Feeders
46,2020-12-03,14936.0,Feeders
47,2020-12-04,14936.0,Feeders
48,2020-12-05,14936.0,Feeders
49,2020-12-06,14936.0,Feeders
50,2020-12-07,14936.0,Feeders
51,2020-12-08,6225.0,Feeders
52,2020-12-09,6225.0,Feeders
53,2020-12-10,6225.0,Feeders
54,2020-12-11,6225.0,Feeders
55,2020-12-12,6225.0,Feeders
56,2020-12-13,9381.0,Feeders
57,2020-12-14,9381.0,Feeders
58,2020-12-15,9381.0,Feeders
59,2020-12-16,9381.0,Feeders
60,2020-12-17,9381.0,Feeders
61,2020-12-18,20649.0,Feeders
62,2020-12-19,20649.0,Feeders
63,2020-12-20,20649.0,Feeders
64,2020-12-21,21342.0,Feeders
65,2020-12-22,21342.0,Feeders
66,2020-12-23,21342.0,Feeders
67,2020-12-24,21342.0,Feeders
68,2020-12-25,21342.0,Feeders
69,2020-12-26,21342.0,Feeders
70,2020-12-27,21342.0,Feeders
71,2020-12-28,21342.0,Feeders
72,2020-12-29,21342.0,Feeders
73,2020-12-30,21342.0,Feeders
74,2020-12-31,22692.0,Feeders
75,2021-01-01,22692.0,Feeders
76,2021-01-02,22692.0,Feeders
77,2021-01-03,22692.0,Feeders
78,2021-01-04,22692.0,Feeders
79,2021-01-05,40025.0,Feeders
80,2021-01-06,40025.0,Feeders
81,2021-01-07,69130.0,Feeders
82,2021-01-08,69130.0,Feeders
83,2021-01-09,69130.0,Feeders
84,2021-01-10,69130.0,Feeders
85,2021-01-11,69130.0,Feeders
86,2021-01-12,69130.0,Feeders
87,2021-01-13,69130.0,Feeders
88,2021-01-14,69130.0,Feeders
89,2021-01-15,69130.0,Feeders
90,2021-01-16,69130.0,Feeders
91,2021-01-17,69130.0,Feeders
92,2021-01-18,69130.0,Feeders
93,2021-01-19,67641.0,Feeders
94,2021-01-20,67641.0,Feeders
95,2021-01-21,67641.0,Feeders
96,2021-01-22,67641.0,Feeders
97,2021-01-23,61926.0,Feeders
98,2021-01-24,61926.0,Feeders
99,2021-01-25,61926.0,Feeders
100,2021-01-26,61926.0,Feeders
101,2021-01-27,16658.0,Feeders
102,2021-01-28,16658.0,Feeders
103,2021-01-29,27108.0,Feeders
104,2021-01-30,27108.0,Feeders
105,2021-01-31,27108.0,Feeders
106,2021-02-01,27108.0,Feeders
107,2021-02-02,27108.0,Feeders
108,2021-02-03,27108.0,Feeders
109,2021-02-04,27108.0,Feeders
110,2021-02-05,27108.0,Feeders
111,2021-02-06,27108.0,Feeders
112,2021-02-07,27108.0,Feeders
113,2021-02-08,10049.0,Feeders
114,2021-02-09,10049.0,Feeders
115,2021-02-10,10049.0,Feeders
116,2021-02-11,7869.0,Feeders
117,2021-02-12,10752.0,Feeders
118,2021-02-13,10752.0,Feeders
119,2021-02-14,10752.0,Feeders
120,2021-02-15,10752.0,Feeders
121,2021-02-16,10752.0,Feeders
122,2021-02-17,11035.0,Feeders
123,2021-02-18,11035.0,Feeders
124,2021-02-19,11035.0,Feeders
125,2021-02-20,11035.0,Feeders
126,2021-02-21,11035.0,Feeders
127,2021-02-22,20813.0,Feeders
128,2021-02-23,20813.0,Feeders
129,2021-02-24,20813.0,Feeders
130,2021-02-25,20813.0,Feeders
131,2021-02-26,20813.0,Feeders
132,2021-02-27,20813.0,Feeders
133,2021-02-28,20813.0,Feeders
134,2021-03-01,20813.0,Feeders
135,2021-03-02,13799.0,Feeders
136,2021-03-03,13799.0,Feeders
137,2021-03-04,13799.0,Feeders
138,2021-03-05,13799.0,Feeders
139,2021-03-06,13799.0,Feeders
140,2021-03-07,13799.0,Feeders
141,2021-03-08,10589.0,Feeders
142,2021-03-09,10589.0,Feeders
143,2021-03-10,10589.0,Feeders
144,2021-03-11,10589.0,Feeders
145,2021-03-12,15898.0,Feeders
146,2021-03-13,15898.0,Feeders
147,2021-03-14,15898.0,Feeders
148,2021-03-15,15898.0,Feeders
149,2021-03-16,9872.0,Feeders
150,2021-03-17,9872.0,Feeders
151,2021-03-18,9872.0,Feeders
152,2021-03-19,5581.0,Feeders
153,2021-03-20,5581.0,Feeders
154,2021-03-21,5581.0,Feeders
155,2021-03-22,4119.0,Feeders
156,2021-03-23,4119.0,Feeders
157,2021-03-24,3502.0,Feeders
158,2021-03-25,3502.0,Feeders
159,2021-03-26,3502.0,Feeders
160,2021-03-27,2297.0,Feeders
161,2021-03-28,2297.0,Feeders
162,2021-03-29,2297.0,Feeders
163,2021-03-30,6386.0,Feeders
164,2021-03-31,6386.0,Feeders
165,2021-04-01,6657.0,Feeders
166,2021-04-02,6657.0,Feeders
167,2021-04-03,6657.0,Feeders
