,date,value,name_B088LSJ8D2
0,2020-09-05,33308.0,Laminating Supplies
1,2020-09-06,33308.0,Laminating Supplies
2,2020-09-07,33308.0,Laminating Supplies
3,2020-09-08,41965.0,Laminating Supplies
4,2020-09-09,41965.0,Laminating Supplies
5,2020-09-10,35034.0,Laminating Supplies
6,2020-09-11,35034.0,Laminating Supplies
7,2020-09-12,35034.0,Laminating Supplies
8,2020-09-13,35034.0,Laminating Supplies
9,2020-09-14,35034.0,Laminating Supplies
10,2020-09-15,28919.0,Laminating Supplies
11,2020-09-16,28919.0,Laminating Supplies
12,2020-09-17,28919.0,Laminating Supplies
13,2020-09-18,22766.0,Laminating Supplies
14,2020-09-19,22766.0,Laminating Supplies
15,2020-09-20,22766.0,Laminating Supplies
16,2020-09-21,12432.0,Laminating Supplies
17,2020-09-22,12432.0,Laminating Supplies
18,2020-09-23,12432.0,Laminating Supplies
19,2020-09-24,21726.0,Laminating Supplies
20,2020-09-25,21726.0,Laminating Supplies
21,2020-09-26,21726.0,Laminating Supplies
22,2020-09-27,21726.0,Laminating Supplies
23,2020-09-28,21726.0,Laminating Supplies
24,2020-09-29,29220.0,Laminating Supplies
25,2020-09-30,29220.0,Laminating Supplies
26,2020-10-01,29220.0,Laminating Supplies
27,2020-10-02,29220.0,Laminating Supplies
28,2020-10-03,29220.0,Laminating Supplies
29,2020-10-04,29220.0,Laminating Supplies
30,2020-10-05,29220.0,Laminating Supplies
31,2020-10-06,33363.0,Laminating Supplies
32,2020-10-07,33363.0,Laminating Supplies
33,2020-10-08,31428.0,Laminating Supplies
34,2020-10-09,31428.0,Laminating Supplies
35,2020-10-10,31428.0,Laminating Supplies
36,2020-10-11,31428.0,Laminating Supplies
37,2020-10-12,35909.0,Laminating Supplies
38,2020-10-13,23865.0,Laminating Supplies
39,2020-10-14,23865.0,Laminating Supplies
40,2020-10-15,23865.0,Laminating Supplies
41,2020-10-16,23865.0,Laminating Supplies
42,2020-10-17,23865.0,Laminating Supplies
43,2020-10-18,23865.0,Laminating Supplies
44,2020-10-19,23865.0,Laminating Supplies
45,2020-10-20,23865.0,Laminating Supplies
46,2020-10-21,18707.0,Laminating Supplies
47,2020-10-22,18707.0,Laminating Supplies
48,2020-10-23,18707.0,Laminating Supplies
49,2020-10-24,16545.0,Laminating Supplies
50,2020-10-25,14006.0,Laminating Supplies
51,2020-10-26,14006.0,Laminating Supplies
52,2020-10-27,14006.0,Laminating Supplies
53,2020-10-28,19350.0,Laminating Supplies
54,2020-10-29,19350.0,Laminating Supplies
55,2020-10-30,19350.0,Laminating Supplies
56,2020-10-31,19350.0,Laminating Supplies
57,2020-11-01,20011.0,Laminating Supplies
58,2020-11-02,20011.0,Laminating Supplies
59,2020-11-03,20011.0,Laminating Supplies
60,2020-11-04,17961.0,Laminating Supplies
61,2020-11-05,17961.0,Laminating Supplies
62,2020-11-06,17961.0,Laminating Supplies
63,2020-11-07,18561.0,Laminating Supplies
64,2020-11-08,18561.0,Laminating Supplies
65,2020-11-09,18561.0,Laminating Supplies
66,2020-11-10,22159.0,Laminating Supplies
67,2020-11-11,22159.0,Laminating Supplies
68,2020-11-12,22159.0,Laminating Supplies
69,2020-11-13,22159.0,Laminating Supplies
70,2020-11-14,22159.0,Laminating Supplies
71,2020-11-15,24680.0,Laminating Supplies
72,2020-11-16,16388.0,Laminating Supplies
73,2020-11-17,16388.0,Laminating Supplies
74,2020-11-18,16388.0,Laminating Supplies
75,2020-11-19,14781.0,Laminating Supplies
76,2020-11-20,14781.0,Laminating Supplies
77,2020-11-21,14781.0,Laminating Supplies
78,2020-11-22,14781.0,Laminating Supplies
79,2020-11-23,14781.0,Laminating Supplies
80,2020-11-24,13557.0,Laminating Supplies
81,2020-11-25,13557.0,Laminating Supplies
82,2020-11-26,13557.0,Laminating Supplies
83,2020-11-27,13557.0,Laminating Supplies
84,2020-11-28,13557.0,Laminating Supplies
85,2020-11-29,13557.0,Laminating Supplies
86,2020-11-30,14232.0,Laminating Supplies
87,2020-12-01,14232.0,Laminating Supplies
88,2020-12-02,14232.0,Laminating Supplies
89,2020-12-03,14232.0,Laminating Supplies
90,2020-12-04,14232.0,Laminating Supplies
91,2020-12-05,12662.0,Laminating Supplies
92,2020-12-06,12662.0,Laminating Supplies
93,2020-12-07,12662.0,Laminating Supplies
94,2020-12-08,12662.0,Laminating Supplies
95,2020-12-09,8882.0,Laminating Supplies
96,2020-12-10,8882.0,Laminating Supplies
97,2020-12-11,8882.0,Laminating Supplies
98,2020-12-12,8882.0,Laminating Supplies
99,2020-12-13,8882.0,Laminating Supplies
100,2020-12-14,8734.0,Laminating Supplies
101,2020-12-15,8734.0,Laminating Supplies
102,2020-12-16,8734.0,Laminating Supplies
103,2020-12-17,5858.0,Laminating Supplies
104,2020-12-18,5858.0,Laminating Supplies
105,2020-12-19,5858.0,Laminating Supplies
106,2020-12-20,5858.0,Laminating Supplies
107,2020-12-21,4918.0,Laminating Supplies
108,2020-12-22,4918.0,Laminating Supplies
109,2020-12-23,4918.0,Laminating Supplies
110,2020-12-24,4918.0,Laminating Supplies
111,2020-12-25,4918.0,Laminating Supplies
112,2020-12-26,8926.0,Laminating Supplies
113,2020-12-27,8926.0,Laminating Supplies
114,2020-12-28,8926.0,Laminating Supplies
115,2020-12-29,8926.0,Laminating Supplies
116,2020-12-30,8926.0,Laminating Supplies
117,2020-12-31,8926.0,Laminating Supplies
118,2021-01-01,5724.0,Laminating Supplies
119,2021-01-02,5724.0,Laminating Supplies
120,2021-01-03,6895.0,Laminating Supplies
121,2021-01-04,6895.0,Laminating Supplies
122,2021-01-05,6895.0,Laminating Supplies
123,2021-01-06,7078.0,Laminating Supplies
124,2021-01-07,7078.0,Laminating Supplies
125,2021-01-08,7078.0,Laminating Supplies
126,2021-01-09,7078.0,Laminating Supplies
127,2021-01-10,7078.0,Laminating Supplies
128,2021-01-11,7276.0,Laminating Supplies
129,2021-01-12,7276.0,Laminating Supplies
130,2021-01-13,7276.0,Laminating Supplies
131,2021-01-14,6712.0,Laminating Supplies
132,2021-01-15,6712.0,Laminating Supplies
133,2021-01-16,6712.0,Laminating Supplies
134,2021-01-17,6712.0,Laminating Supplies
135,2021-01-18,6712.0,Laminating Supplies
136,2021-01-19,11178.0,Laminating Supplies
137,2021-01-20,11178.0,Laminating Supplies
138,2021-01-21,11178.0,Laminating Supplies
139,2021-01-22,11178.0,Laminating Supplies
140,2021-01-23,9099.0,Laminating Supplies
141,2021-01-24,9099.0,Laminating Supplies
142,2021-01-25,9099.0,Laminating Supplies
143,2021-01-26,9099.0,Laminating Supplies
144,2021-01-27,9099.0,Laminating Supplies
145,2021-01-28,7978.0,Laminating Supplies
146,2021-01-29,7978.0,Laminating Supplies
147,2021-01-30,10469.0,Laminating Supplies
148,2021-01-31,8065.0,Laminating Supplies
149,2021-02-01,8065.0,Laminating Supplies
150,2021-02-02,8065.0,Laminating Supplies
151,2021-02-03,8065.0,Laminating Supplies
152,2021-02-04,8691.0,Laminating Supplies
153,2021-02-05,8691.0,Laminating Supplies
154,2021-02-06,8691.0,Laminating Supplies
155,2021-02-07,8691.0,Laminating Supplies
156,2021-02-08,8691.0,Laminating Supplies
157,2021-02-09,8691.0,Laminating Supplies
158,2021-02-10,8691.0,Laminating Supplies
159,2021-02-11,8691.0,Laminating Supplies
160,2021-02-12,8691.0,Laminating Supplies
161,2021-02-13,8691.0,Laminating Supplies
162,2021-02-14,9307.0,Laminating Supplies
163,2021-02-15,9307.0,Laminating Supplies
164,2021-02-16,7262.0,Laminating Supplies
165,2021-02-17,7262.0,Laminating Supplies
166,2021-02-18,7262.0,Laminating Supplies
167,2021-02-19,7262.0,Laminating Supplies
168,2021-02-20,7262.0,Laminating Supplies
169,2021-02-21,7262.0,Laminating Supplies
170,2021-02-22,7036.0,Laminating Supplies
171,2021-02-23,7036.0,Laminating Supplies
172,2021-02-24,7036.0,Laminating Supplies
173,2021-02-25,7347.0,Laminating Supplies
174,2021-02-26,5005.0,Laminating Supplies
175,2021-02-27,5005.0,Laminating Supplies
176,2021-02-28,5369.0,Laminating Supplies
177,2021-03-01,5369.0,Laminating Supplies
178,2021-03-02,5369.0,Laminating Supplies
179,2021-03-03,5369.0,Laminating Supplies
180,2021-03-04,5454.0,Laminating Supplies
181,2021-03-05,5454.0,Laminating Supplies
182,2021-03-06,5454.0,Laminating Supplies
183,2021-03-07,5454.0,Laminating Supplies
184,2021-03-08,5428.0,Laminating Supplies
185,2021-03-09,5428.0,Laminating Supplies
186,2021-03-10,5428.0,Laminating Supplies
187,2021-03-11,5497.0,Laminating Supplies
188,2021-03-12,5497.0,Laminating Supplies
189,2021-03-13,5497.0,Laminating Supplies
190,2021-03-14,3389.0,Laminating Supplies
191,2021-03-15,3389.0,Laminating Supplies
192,2021-03-16,3389.0,Laminating Supplies
193,2021-03-17,3878.0,Laminating Supplies
194,2021-03-18,3878.0,Laminating Supplies
195,2021-03-19,3878.0,Laminating Supplies
196,2021-03-20,3878.0,Laminating Supplies
