,date,value,name_B08HWQCQ5B
0,2020-09-15,4382.0,Panty Liners
1,2020-09-16,4382.0,Panty Liners
2,2020-09-17,4382.0,Panty Liners
3,2020-09-18,3699.0,Panty Liners
4,2020-09-19,3699.0,Panty Liners
5,2020-09-20,3699.0,Panty Liners
6,2020-09-21,3794.0,Panty Liners
7,2020-09-22,3794.0,Panty Liners
8,2020-09-23,3794.0,Panty Liners
9,2020-09-24,4280.0,Panty Liners
10,2020-09-25,4491.0,Panty Liners
11,2020-09-26,4491.0,Panty Liners
12,2020-09-27,4491.0,Panty Liners
13,2020-09-28,4853.0,Panty Liners
14,2020-09-29,4853.0,Panty Liners
15,2020-09-30,4853.0,Panty Liners
16,2020-10-01,4853.0,Panty Liners
17,2020-10-02,5064.0,Panty Liners
18,2020-10-03,5064.0,Panty Liners
19,2020-10-04,4971.0,Panty Liners
20,2020-10-05,4971.0,Panty Liners
21,2020-10-06,5593.0,Panty Liners
22,2020-10-07,5593.0,Panty Liners
23,2020-10-08,5593.0,Panty Liners
24,2020-10-09,5534.0,Panty Liners
25,2020-10-10,4887.0,Panty Liners
26,2020-10-11,4887.0,Panty Liners
27,2020-10-12,4887.0,Panty Liners
28,2020-10-13,5188.0,Panty Liners
29,2020-10-14,5684.0,Panty Liners
30,2020-10-15,5684.0,Panty Liners
31,2020-10-16,5017.0,Panty Liners
32,2020-10-17,5017.0,Panty Liners
33,2020-10-18,5017.0,Panty Liners
34,2020-10-19,4702.0,Panty Liners
35,2020-10-20,4702.0,Panty Liners
36,2020-10-21,5035.0,Panty Liners
37,2020-10-22,5035.0,Panty Liners
38,2020-10-23,5035.0,Panty Liners
39,2020-10-24,5035.0,Panty Liners
40,2020-10-25,4884.0,Panty Liners
41,2020-10-26,4884.0,Panty Liners
42,2020-10-27,4884.0,Panty Liners
43,2020-10-28,3864.0,Panty Liners
44,2020-10-29,3854.0,Panty Liners
45,2020-10-30,3854.0,Panty Liners
46,2020-10-31,3724.0,Panty Liners
47,2020-11-01,3724.0,Panty Liners
48,2020-11-02,4405.0,Panty Liners
49,2020-11-03,4405.0,Panty Liners
50,2020-11-04,4405.0,Panty Liners
51,2020-11-05,4526.0,Panty Liners
52,2020-11-06,4526.0,Panty Liners
53,2020-11-07,4149.0,Panty Liners
54,2020-11-08,4149.0,Panty Liners
55,2020-11-09,4149.0,Panty Liners
56,2020-11-10,4001.0,Panty Liners
57,2020-11-11,4001.0,Panty Liners
58,2020-11-12,4001.0,Panty Liners
59,2020-11-13,4082.0,Panty Liners
60,2020-11-14,4082.0,Panty Liners
61,2020-11-15,4168.0,Panty Liners
62,2020-11-16,3705.0,Panty Liners
63,2020-11-17,3415.0,Panty Liners
64,2020-11-18,3415.0,Panty Liners
65,2020-11-19,4133.0,Panty Liners
66,2020-11-20,4133.0,Panty Liners
67,2020-11-21,4133.0,Panty Liners
68,2020-11-22,4664.0,Panty Liners
69,2020-11-23,4664.0,Panty Liners
70,2020-11-24,4664.0,Panty Liners
71,2020-11-25,5115.0,Panty Liners
72,2020-11-26,5115.0,Panty Liners
73,2020-11-27,5115.0,Panty Liners
74,2020-11-28,5115.0,Panty Liners
75,2020-11-29,5413.0,Panty Liners
76,2020-11-30,5413.0,Panty Liners
77,2020-12-01,5413.0,Panty Liners
78,2020-12-02,5413.0,Panty Liners
79,2020-12-03,5463.0,Panty Liners
80,2020-12-04,5463.0,Panty Liners
81,2020-12-05,4209.0,Panty Liners
82,2020-12-06,4209.0,Panty Liners
83,2020-12-07,4209.0,Panty Liners
84,2020-12-08,5214.0,Panty Liners
85,2020-12-09,5214.0,Panty Liners
86,2020-12-10,4832.0,Panty Liners
87,2020-12-11,4832.0,Panty Liners
88,2020-12-12,4832.0,Panty Liners
89,2020-12-13,4832.0,Panty Liners
90,2020-12-14,5527.0,Panty Liners
91,2020-12-15,5527.0,Panty Liners
92,2020-12-16,5745.0,Panty Liners
93,2020-12-17,5745.0,Panty Liners
94,2020-12-18,5745.0,Panty Liners
95,2020-12-19,4475.0,Panty Liners
96,2020-12-20,4475.0,Panty Liners
97,2020-12-21,4764.0,Panty Liners
98,2020-12-22,4710.0,Panty Liners
99,2020-12-23,4710.0,Panty Liners
100,2020-12-24,4710.0,Panty Liners
101,2020-12-25,3577.0,Panty Liners
102,2020-12-26,3577.0,Panty Liners
103,2020-12-27,3820.0,Panty Liners
104,2020-12-28,3820.0,Panty Liners
105,2020-12-29,3820.0,Panty Liners
106,2020-12-30,3409.0,Panty Liners
107,2020-12-31,3409.0,Panty Liners
108,2021-01-01,2846.0,Panty Liners
109,2021-01-02,2846.0,Panty Liners
110,2021-01-03,2846.0,Panty Liners
111,2021-01-04,4247.0,Panty Liners
112,2021-01-05,4224.0,Panty Liners
113,2021-01-06,4224.0,Panty Liners
114,2021-01-07,4224.0,Panty Liners
115,2021-01-08,4224.0,Panty Liners
116,2021-01-09,4629.0,Panty Liners
117,2021-01-10,4629.0,Panty Liners
118,2021-01-11,4629.0,Panty Liners
119,2021-01-12,4389.0,Panty Liners
120,2021-01-13,4389.0,Panty Liners
121,2021-01-14,4149.0,Panty Liners
122,2021-01-15,4149.0,Panty Liners
123,2021-01-16,4149.0,Panty Liners
124,2021-01-17,3818.0,Panty Liners
125,2021-01-18,3818.0,Panty Liners
126,2021-01-19,3976.0,Panty Liners
127,2021-01-20,3969.0,Panty Liners
128,2021-01-21,3969.0,Panty Liners
129,2021-01-22,3969.0,Panty Liners
130,2021-01-23,4313.0,Panty Liners
131,2021-01-24,4313.0,Panty Liners
132,2021-01-25,4498.0,Panty Liners
133,2021-01-26,4498.0,Panty Liners
134,2021-01-27,4498.0,Panty Liners
135,2021-01-28,4589.0,Panty Liners
136,2021-01-29,4589.0,Panty Liners
137,2021-01-30,3780.0,Panty Liners
138,2021-01-31,3780.0,Panty Liners
139,2021-02-01,3780.0,Panty Liners
140,2021-02-02,4002.0,Panty Liners
141,2021-02-03,4002.0,Panty Liners
142,2021-02-04,4002.0,Panty Liners
143,2021-02-05,3761.0,Panty Liners
144,2021-02-06,3761.0,Panty Liners
145,2021-02-07,3761.0,Panty Liners
146,2021-02-08,3814.0,Panty Liners
147,2021-02-09,3814.0,Panty Liners
148,2021-02-10,3814.0,Panty Liners
149,2021-02-11,3814.0,Panty Liners
150,2021-02-12,3814.0,Panty Liners
151,2021-02-13,3814.0,Panty Liners
152,2021-02-14,3813.0,Panty Liners
153,2021-02-15,3598.0,Panty Liners
154,2021-02-16,3698.0,Panty Liners
155,2021-02-17,4133.0,Panty Liners
156,2021-02-18,4133.0,Panty Liners
157,2021-02-19,4133.0,Panty Liners
158,2021-02-20,3618.0,Panty Liners
159,2021-02-21,3618.0,Panty Liners
160,2021-02-22,4300.0,Panty Liners
161,2021-02-23,4300.0,Panty Liners
162,2021-02-24,4302.0,Panty Liners
163,2021-02-25,4381.0,Panty Liners
164,2021-02-26,4589.0,Panty Liners
165,2021-02-27,4589.0,Panty Liners
166,2021-02-28,3932.0,Panty Liners
167,2021-03-01,3932.0,Panty Liners
168,2021-03-02,3932.0,Panty Liners
169,2021-03-03,4484.0,Panty Liners
170,2021-03-04,4484.0,Panty Liners
171,2021-03-05,3715.0,Panty Liners
172,2021-03-06,3715.0,Panty Liners
173,2021-03-07,4315.0,Panty Liners
174,2021-03-08,4315.0,Panty Liners
175,2021-03-09,4594.0,Panty Liners
176,2021-03-10,4594.0,Panty Liners
177,2021-03-11,4594.0,Panty Liners
178,2021-03-12,4141.0,Panty Liners
179,2021-03-13,4141.0,Panty Liners
180,2021-03-14,4430.0,Panty Liners
181,2021-03-15,4430.0,Panty Liners
182,2021-03-16,4430.0,Panty Liners
183,2021-03-17,4268.0,Panty Liners
184,2021-03-18,4268.0,Panty Liners
185,2021-03-19,4076.0,Panty Liners
186,2021-03-20,4076.0,Panty Liners
187,2021-03-21,4005.0,Panty Liners
188,2021-03-22,4005.0,Panty Liners
189,2021-03-23,4005.0,Panty Liners
190,2021-03-24,4600.0,Panty Liners
191,2021-03-25,4789.0,Panty Liners
192,2021-03-26,4789.0,Panty Liners
193,2021-03-27,4789.0,Panty Liners
194,2021-03-28,3984.0,Panty Liners
195,2021-03-29,3984.0,Panty Liners
196,2021-03-30,3712.0,Panty Liners
197,2021-03-31,3712.0,Panty Liners
198,2021-04-01,3793.0,Panty Liners
199,2021-04-02,3793.0,Panty Liners
200,2021-04-03,3793.0,Panty Liners
201,2021-04-04,3651.0,Panty Liners
202,2021-04-05,3651.0,Panty Liners
203,2021-04-06,3509.0,Panty Liners
204,2021-04-07,3509.0,Panty Liners
205,2021-04-08,3509.0,Panty Liners
206,2021-04-09,3803.0,Panty Liners
207,2021-04-10,3803.0,Panty Liners
208,2021-04-11,3803.0,Panty Liners
209,2021-04-12,3613.0,Panty Liners
210,2021-04-13,3613.0,Panty Liners
211,2021-04-14,3790.0,Panty Liners
212,2021-04-15,3790.0,Panty Liners
213,2021-04-16,3284.0,Panty Liners
214,2021-04-17,3284.0,Panty Liners
215,2021-04-18,3085.0,Panty Liners
216,2021-04-19,3085.0,Panty Liners
217,2021-04-20,3716.0,Panty Liners
218,2021-04-21,3716.0,Panty Liners
219,2021-04-22,4322.0,Panty Liners
220,2021-04-23,4830.0,Panty Liners
221,2021-04-24,3993.0,Panty Liners
222,2021-04-25,3993.0,Panty Liners
223,2021-04-26,3993.0,Panty Liners
224,2021-04-27,5060.0,Panty Liners
225,2021-04-28,4476.0,Panty Liners
226,2021-04-29,4476.0,Panty Liners
227,2021-04-30,4938.0,Panty Liners
228,2021-05-01,4938.0,Panty Liners
229,2021-05-02,4078.0,Panty Liners
230,2021-05-03,4078.0,Panty Liners
231,2021-05-04,4308.0,Panty Liners
232,2021-05-05,4614.0,Panty Liners
233,2021-05-06,4614.0,Panty Liners
234,2021-05-07,3966.0,Panty Liners
235,2021-05-08,3971.0,Panty Liners
236,2021-05-09,3971.0,Panty Liners
237,2021-05-10,4094.0,Panty Liners
238,2021-05-11,4094.0,Panty Liners
239,2021-05-12,4094.0,Panty Liners
240,2021-05-13,3925.0,Panty Liners
241,2021-05-14,4348.0,Panty Liners
242,2021-05-15,4348.0,Panty Liners
243,2021-05-16,3786.0,Panty Liners
244,2021-05-17,4234.0,Panty Liners
