,date,value,name_B01CD4YCXQ
0,2020-08-29,27626.0,Bed Mats
1,2020-08-30,27626.0,Bed Mats
2,2020-08-31,32679.0,Bed Mats
3,2020-09-01,32679.0,Bed Mats
4,2020-09-02,32679.0,Bed Mats
5,2020-09-03,32679.0,Bed Mats
6,2020-09-04,32679.0,Bed Mats
7,2020-09-05,32679.0,Bed Mats
8,2020-09-06,32679.0,Bed Mats
9,2020-09-07,34472.0,Bed Mats
10,2020-09-08,43371.0,Bed Mats
11,2020-09-09,43371.0,Bed Mats
12,2020-09-10,43371.0,Bed Mats
13,2020-09-11,43371.0,Bed Mats
14,2020-09-12,43371.0,Bed Mats
15,2020-09-13,43224.0,Bed Mats
16,2020-09-14,43224.0,Bed Mats
17,2020-09-15,43224.0,Bed Mats
18,2020-09-16,52038.0,Bed Mats
19,2020-09-17,53481.0,Bed Mats
20,2020-09-18,53481.0,Bed Mats
21,2020-09-19,53481.0,Bed Mats
22,2020-09-20,54909.0,Bed Mats
23,2020-09-21,54909.0,Bed Mats
24,2020-09-22,54909.0,Bed Mats
25,2020-09-23,54909.0,Bed Mats
26,2020-09-24,54753.0,Bed Mats
27,2020-09-25,54753.0,Bed Mats
28,2020-09-26,54753.0,Bed Mats
29,2020-09-27,53604.0,Bed Mats
30,2020-09-28,53604.0,Bed Mats
31,2020-09-29,53604.0,Bed Mats
32,2020-09-30,38998.0,Bed Mats
33,2020-10-01,38998.0,Bed Mats
34,2020-10-02,38998.0,Bed Mats
35,2020-10-03,34612.0,Bed Mats
36,2020-10-04,34612.0,Bed Mats
37,2020-10-05,34612.0,Bed Mats
38,2020-10-06,34612.0,Bed Mats
39,2020-10-07,58605.0,Bed Mats
40,2020-10-08,58940.0,Bed Mats
41,2020-10-09,58940.0,Bed Mats
42,2020-10-10,58940.0,Bed Mats
43,2020-10-11,42422.0,Bed Mats
44,2020-10-12,42422.0,Bed Mats
45,2020-10-13,42422.0,Bed Mats
46,2020-10-14,42422.0,Bed Mats
47,2020-10-15,37626.0,Bed Mats
48,2020-10-16,37626.0,Bed Mats
49,2020-10-17,37626.0,Bed Mats
50,2020-10-18,37626.0,Bed Mats
51,2020-10-19,63587.0,Bed Mats
52,2020-10-20,63587.0,Bed Mats
53,2020-10-21,63587.0,Bed Mats
54,2020-10-22,41071.0,Bed Mats
55,2020-10-23,41071.0,Bed Mats
56,2020-10-24,41071.0,Bed Mats
57,2020-10-25,41071.0,Bed Mats
58,2020-10-26,41071.0,Bed Mats
59,2020-10-27,34616.0,Bed Mats
60,2020-10-28,34635.0,Bed Mats
61,2020-10-29,47346.0,Bed Mats
62,2020-10-30,47346.0,Bed Mats
