,date,value,name_B07TYN8K7K
0,2020-05-27,13414.0,Sleeping Masks
1,2020-05-28,13414.0,Sleeping Masks
2,2020-05-29,12698.0,Sleeping Masks
3,2020-05-30,12698.0,Sleeping Masks
4,2020-05-31,12698.0,Sleeping Masks
5,2020-06-01,12698.0,Sleeping Masks
6,2020-06-02,12698.0,Sleeping Masks
7,2020-06-03,13215.0,Sleeping Masks
8,2020-06-04,13215.0,Sleeping Masks
9,2020-06-05,11950.0,Sleeping Masks
10,2020-06-06,11950.0,Sleeping Masks
11,2020-06-07,11950.0,Sleeping Masks
12,2020-06-08,11950.0,Sleeping Masks
13,2020-06-09,11950.0,Sleeping Masks
14,2020-06-10,8851.0,Sleeping Masks
15,2020-06-11,8851.0,Sleeping Masks
16,2020-06-12,8851.0,Sleeping Masks
17,2020-06-13,10465.0,Sleeping Masks
18,2020-06-14,8889.0,Sleeping Masks
19,2020-06-15,8889.0,Sleeping Masks
20,2020-06-16,9908.0,Sleeping Masks
21,2020-06-17,9908.0,Sleeping Masks
22,2020-06-18,9865.0,Sleeping Masks
23,2020-06-19,9865.0,Sleeping Masks
24,2020-06-20,9865.0,Sleeping Masks
25,2020-06-21,9865.0,Sleeping Masks
26,2020-06-22,10221.0,Sleeping Masks
27,2020-06-23,10221.0,Sleeping Masks
28,2020-06-24,10221.0,Sleeping Masks
29,2020-06-25,8034.0,Sleeping Masks
30,2020-06-26,8034.0,Sleeping Masks
31,2020-06-27,8034.0,Sleeping Masks
32,2020-06-28,7754.0,Sleeping Masks
33,2020-06-29,8674.0,Sleeping Masks
34,2020-06-30,9058.0,Sleeping Masks
35,2020-07-01,9058.0,Sleeping Masks
36,2020-07-02,9058.0,Sleeping Masks
37,2020-07-03,9058.0,Sleeping Masks
38,2020-07-04,9058.0,Sleeping Masks
39,2020-07-05,9058.0,Sleeping Masks
40,2020-07-06,8742.0,Sleeping Masks
41,2020-07-07,8742.0,Sleeping Masks
42,2020-07-08,8742.0,Sleeping Masks
43,2020-07-09,7757.0,Sleeping Masks
44,2020-07-10,7757.0,Sleeping Masks
45,2020-07-11,7403.0,Sleeping Masks
46,2020-07-12,7403.0,Sleeping Masks
47,2020-07-13,7403.0,Sleeping Masks
48,2020-07-14,9621.0,Sleeping Masks
49,2020-07-15,9621.0,Sleeping Masks
50,2020-07-16,9621.0,Sleeping Masks
51,2020-07-17,9621.0,Sleeping Masks
52,2020-07-18,7400.0,Sleeping Masks
53,2020-07-19,7400.0,Sleeping Masks
54,2020-07-20,7126.0,Sleeping Masks
55,2020-07-21,7126.0,Sleeping Masks
56,2020-07-22,7126.0,Sleeping Masks
57,2020-07-23,7126.0,Sleeping Masks
58,2020-07-24,7126.0,Sleeping Masks
59,2020-07-25,7739.0,Sleeping Masks
60,2020-07-26,7739.0,Sleeping Masks
61,2020-07-27,7993.0,Sleeping Masks
62,2020-07-28,7993.0,Sleeping Masks
63,2020-07-29,7993.0,Sleeping Masks
64,2020-07-30,9362.0,Sleeping Masks
65,2020-07-31,9362.0,Sleeping Masks
66,2020-08-01,9897.0,Sleeping Masks
67,2020-08-02,9897.0,Sleeping Masks
68,2020-08-03,9897.0,Sleeping Masks
69,2020-08-04,10003.0,Sleeping Masks
70,2020-08-05,10003.0,Sleeping Masks
71,2020-08-06,10003.0,Sleeping Masks
72,2020-08-07,8137.0,Sleeping Masks
73,2020-08-08,8137.0,Sleeping Masks
74,2020-08-09,6906.0,Sleeping Masks
75,2020-08-10,7678.0,Sleeping Masks
76,2020-08-11,8453.0,Sleeping Masks
77,2020-08-12,8328.0,Sleeping Masks
78,2020-08-13,8328.0,Sleeping Masks
79,2020-08-14,8328.0,Sleeping Masks
80,2020-08-15,10831.0,Sleeping Masks
81,2020-08-16,10831.0,Sleeping Masks
82,2020-08-17,10831.0,Sleeping Masks
83,2020-08-18,8175.0,Sleeping Masks
84,2020-08-19,8175.0,Sleeping Masks
85,2020-08-20,8175.0,Sleeping Masks
86,2020-08-21,11243.0,Sleeping Masks
87,2020-08-22,12856.0,Sleeping Masks
88,2020-08-23,12856.0,Sleeping Masks
89,2020-08-24,12856.0,Sleeping Masks
90,2020-08-25,12856.0,Sleeping Masks
91,2020-08-26,12856.0,Sleeping Masks
92,2020-08-27,9501.0,Sleeping Masks
93,2020-08-28,8293.0,Sleeping Masks
94,2020-08-29,8293.0,Sleeping Masks
95,2020-08-30,8293.0,Sleeping Masks
96,2020-08-31,10772.0,Sleeping Masks
97,2020-09-01,10772.0,Sleeping Masks
98,2020-09-02,7893.0,Sleeping Masks
99,2020-09-03,8923.0,Sleeping Masks
100,2020-09-04,7875.0,Sleeping Masks
101,2020-09-05,8331.0,Sleeping Masks
102,2020-09-06,8331.0,Sleeping Masks
103,2020-09-07,8570.0,Sleeping Masks
104,2020-09-08,8570.0,Sleeping Masks
105,2020-09-09,8570.0,Sleeping Masks
106,2020-09-10,8626.0,Sleeping Masks
107,2020-09-11,8626.0,Sleeping Masks
108,2020-09-12,8626.0,Sleeping Masks
109,2020-09-13,8676.0,Sleeping Masks
110,2020-09-14,8697.0,Sleeping Masks
111,2020-09-15,8697.0,Sleeping Masks
112,2020-09-16,7654.0,Sleeping Masks
113,2020-09-17,7654.0,Sleeping Masks
114,2020-09-18,7654.0,Sleeping Masks
115,2020-09-19,7927.0,Sleeping Masks
116,2020-09-20,7927.0,Sleeping Masks
117,2020-09-21,9507.0,Sleeping Masks
118,2020-09-22,9507.0,Sleeping Masks
119,2020-09-23,9183.0,Sleeping Masks
120,2020-09-24,8238.0,Sleeping Masks
121,2020-09-25,8238.0,Sleeping Masks
122,2020-09-26,8591.0,Sleeping Masks
123,2020-09-27,8591.0,Sleeping Masks
124,2020-09-28,9831.0,Sleeping Masks
125,2020-09-29,9831.0,Sleeping Masks
126,2020-09-30,11845.0,Sleeping Masks
127,2020-10-01,11845.0,Sleeping Masks
128,2020-10-02,11845.0,Sleeping Masks
129,2020-10-03,10694.0,Sleeping Masks
130,2020-10-04,10694.0,Sleeping Masks
131,2020-10-05,10694.0,Sleeping Masks
132,2020-10-06,9236.0,Sleeping Masks
