,date,value,name_B085434C7C
0,2020-05-25,4022.0,Powders
1,2020-05-26,4022.0,Powders
2,2020-05-27,4022.0,Powders
3,2020-05-28,3310.0,Powders
4,2020-05-29,3310.0,Powders
5,2020-05-30,3310.0,Powders
6,2020-05-31,3310.0,Powders
7,2020-06-01,3347.0,Powders
8,2020-06-02,3347.0,Powders
9,2020-06-03,3098.0,Powders
10,2020-06-04,3362.0,Powders
11,2020-06-05,3362.0,Powders
12,2020-06-06,3362.0,Powders
13,2020-06-07,3362.0,Powders
14,2020-06-08,4229.0,Powders
15,2020-06-09,4229.0,Powders
16,2020-06-10,4229.0,Powders
17,2020-06-11,3899.0,Powders
18,2020-06-12,3451.0,Powders
19,2020-06-13,3451.0,Powders
20,2020-06-14,3451.0,Powders
21,2020-06-15,3936.0,Powders
22,2020-06-16,3936.0,Powders
23,2020-06-17,2993.0,Powders
24,2020-06-18,2993.0,Powders
25,2020-06-19,3431.0,Powders
26,2020-06-20,3431.0,Powders
27,2020-06-21,3431.0,Powders
28,2020-06-22,3907.0,Powders
29,2020-06-23,3907.0,Powders
30,2020-06-24,3352.0,Powders
31,2020-06-25,3352.0,Powders
32,2020-06-26,2894.0,Powders
33,2020-06-27,3233.0,Powders
34,2020-06-28,3233.0,Powders
35,2020-06-29,3233.0,Powders
36,2020-06-30,3319.0,Powders
37,2020-07-01,3319.0,Powders
38,2020-07-02,3440.0,Powders
39,2020-07-03,3622.0,Powders
40,2020-07-04,3622.0,Powders
41,2020-07-05,4722.0,Powders
42,2020-07-06,3813.0,Powders
43,2020-07-07,3094.0,Powders
44,2020-07-08,2926.0,Powders
45,2020-07-09,2926.0,Powders
46,2020-07-10,2926.0,Powders
47,2020-07-11,2926.0,Powders
48,2020-07-12,3552.0,Powders
49,2020-07-13,3734.0,Powders
50,2020-07-14,3734.0,Powders
51,2020-07-15,3734.0,Powders
52,2020-07-16,3480.0,Powders
53,2020-07-17,3480.0,Powders
54,2020-07-18,3515.0,Powders
55,2020-07-19,3515.0,Powders
56,2020-07-20,3907.0,Powders
57,2020-07-21,3412.0,Powders
58,2020-07-22,3188.0,Powders
59,2020-07-23,3530.0,Powders
60,2020-07-24,3403.0,Powders
61,2020-07-25,3403.0,Powders
62,2020-07-26,4102.0,Powders
63,2020-07-27,4102.0,Powders
64,2020-07-28,3179.0,Powders
65,2020-07-29,2860.0,Powders
66,2020-07-30,3595.0,Powders
67,2020-07-31,3595.0,Powders
68,2020-08-01,3613.0,Powders
69,2020-08-02,3613.0,Powders
70,2020-08-03,3613.0,Powders
71,2020-08-04,3310.0,Powders
72,2020-08-05,3052.0,Powders
73,2020-08-06,3204.0,Powders
74,2020-08-07,2945.0,Powders
75,2020-08-08,2945.0,Powders
76,2020-08-09,4112.0,Powders
77,2020-08-10,4112.0,Powders
78,2020-08-11,4112.0,Powders
79,2020-08-12,2916.0,Powders
80,2020-08-13,2916.0,Powders
81,2020-08-14,2916.0,Powders
82,2020-08-15,3143.0,Powders
83,2020-08-16,3143.0,Powders
84,2020-08-17,3698.0,Powders
85,2020-08-18,3038.0,Powders
86,2020-08-19,3038.0,Powders
87,2020-08-20,3038.0,Powders
88,2020-08-21,3358.0,Powders
89,2020-08-22,3358.0,Powders
90,2020-08-23,3540.0,Powders
91,2020-08-24,3540.0,Powders
92,2020-08-25,3540.0,Powders
93,2020-08-26,4177.0,Powders
94,2020-08-27,4177.0,Powders
95,2020-08-28,4126.0,Powders
96,2020-08-29,4126.0,Powders
97,2020-08-30,4126.0,Powders
98,2020-08-31,4932.0,Powders
99,2020-09-01,4436.0,Powders
100,2020-09-02,4386.0,Powders
101,2020-09-03,4126.0,Powders
102,2020-09-04,4126.0,Powders
103,2020-09-05,5081.0,Powders
104,2020-09-06,5081.0,Powders
105,2020-09-07,6241.0,Powders
106,2020-09-08,4198.0,Powders
107,2020-09-09,3853.0,Powders
108,2020-09-10,3853.0,Powders
109,2020-09-11,3119.0,Powders
110,2020-09-12,3376.0,Powders
111,2020-09-13,3376.0,Powders
112,2020-09-14,3376.0,Powders
113,2020-09-15,3333.0,Powders
114,2020-09-16,3333.0,Powders
115,2020-09-17,4742.0,Powders
116,2020-09-18,5059.0,Powders
117,2020-09-19,5041.0,Powders
118,2020-09-20,5041.0,Powders
119,2020-09-21,6088.0,Powders
120,2020-09-22,6255.0,Powders
121,2020-09-23,6255.0,Powders
122,2020-09-24,5531.0,Powders
123,2020-09-25,5037.0,Powders
124,2020-09-26,5967.0,Powders
125,2020-09-27,7439.0,Powders
126,2020-09-28,7439.0,Powders
127,2020-09-29,7439.0,Powders
128,2020-09-30,6686.0,Powders
129,2020-10-01,6686.0,Powders
130,2020-10-02,6560.0,Powders
131,2020-10-03,6560.0,Powders
132,2020-10-04,6560.0,Powders
133,2020-10-05,10996.0,Powders
134,2020-10-06,12707.0,Powders
135,2020-10-07,11061.0,Powders
136,2020-10-08,11451.0,Powders
137,2020-10-09,11451.0,Powders
138,2020-10-10,9920.0,Powders
139,2020-10-11,10574.0,Powders
140,2020-10-12,10574.0,Powders
141,2020-10-13,10574.0,Powders
142,2020-10-14,17396.0,Powders
143,2020-10-15,13789.0,Powders
144,2020-10-16,13789.0,Powders
145,2020-10-17,13805.0,Powders
146,2020-10-18,13805.0,Powders
147,2020-10-19,13805.0,Powders
148,2020-10-20,8841.0,Powders
149,2020-10-21,9970.0,Powders
150,2020-10-22,10394.0,Powders
151,2020-10-23,10394.0,Powders
152,2020-10-24,10394.0,Powders
153,2020-10-25,5580.0,Powders
154,2020-10-26,5580.0,Powders
155,2020-10-27,3025.0,Powders
156,2020-10-28,3025.0,Powders
157,2020-10-29,3470.0,Powders
158,2020-10-30,3470.0,Powders
159,2020-10-31,3578.0,Powders
160,2020-11-01,3578.0,Powders
161,2020-11-02,3681.0,Powders
162,2020-11-03,3681.0,Powders
163,2020-11-04,3681.0,Powders
164,2020-11-05,2438.0,Powders
165,2020-11-06,3223.0,Powders
166,2020-11-07,3621.0,Powders
167,2020-11-08,3621.0,Powders
168,2020-11-09,4420.0,Powders
169,2020-11-10,3936.0,Powders
170,2020-11-11,3936.0,Powders
171,2020-11-12,3936.0,Powders
172,2020-11-13,4421.0,Powders
173,2020-11-14,4454.0,Powders
174,2020-11-15,5611.0,Powders
175,2020-11-16,5898.0,Powders
176,2020-11-17,5898.0,Powders
177,2020-11-18,4790.0,Powders
178,2020-11-19,4790.0,Powders
179,2020-11-20,4790.0,Powders
180,2020-11-21,5130.0,Powders
181,2020-11-22,5130.0,Powders
182,2020-11-23,5174.0,Powders
183,2020-11-24,5174.0,Powders
184,2020-11-25,5192.0,Powders
185,2020-11-26,5192.0,Powders
186,2020-11-27,6325.0,Powders
187,2020-11-28,6325.0,Powders
188,2020-11-29,6859.0,Powders
189,2020-11-30,6859.0,Powders
190,2020-12-01,5789.0,Powders
191,2020-12-02,5789.0,Powders
192,2020-12-03,5789.0,Powders
193,2020-12-04,5789.0,Powders
194,2020-12-05,6096.0,Powders
195,2020-12-06,6096.0,Powders
196,2020-12-07,5509.0,Powders
197,2020-12-08,5509.0,Powders
