,date,value,name_B094MX9CM4
0,2021-05-18,54073.0,Barbecue Tool Sets
1,2021-05-19,54073.0,Barbecue Tool Sets
2,2021-05-20,54073.0,Barbecue Tool Sets
3,2021-05-21,37670.0,Barbecue Tool Sets
4,2021-05-22,37670.0,Barbecue Tool Sets
5,2021-05-23,37670.0,Barbecue Tool Sets
6,2021-05-24,31365.0,Barbecue Tool Sets
7,2021-05-25,31365.0,Barbecue Tool Sets
8,2021-05-26,31365.0,Barbecue Tool Sets
9,2021-05-27,17928.0,Barbecue Tool Sets
10,2021-05-28,17928.0,Barbecue Tool Sets
11,2021-05-29,17298.0,Barbecue Tool Sets
12,2021-05-30,17298.0,Barbecue Tool Sets
13,2021-05-31,16027.0,Barbecue Tool Sets
14,2021-06-01,17820.0,Barbecue Tool Sets
15,2021-06-02,23196.0,Barbecue Tool Sets
16,2021-06-03,23653.0,Barbecue Tool Sets
17,2021-06-04,23184.0,Barbecue Tool Sets
18,2021-06-05,23184.0,Barbecue Tool Sets
19,2021-06-06,14909.0,Barbecue Tool Sets
20,2021-06-07,15440.0,Barbecue Tool Sets
21,2021-06-08,15486.0,Barbecue Tool Sets
22,2021-06-09,10559.0,Barbecue Tool Sets
23,2021-06-10,10559.0,Barbecue Tool Sets
24,2021-06-11,8521.0,Barbecue Tool Sets
25,2021-06-12,8521.0,Barbecue Tool Sets
26,2021-06-13,12301.0,Barbecue Tool Sets
27,2021-06-14,7649.0,Barbecue Tool Sets
28,2021-06-15,7649.0,Barbecue Tool Sets
29,2021-06-16,5920.0,Barbecue Tool Sets
30,2021-06-17,6545.0,Barbecue Tool Sets
31,2021-06-18,6545.0,Barbecue Tool Sets
32,2021-06-19,6545.0,Barbecue Tool Sets
33,2021-06-20,6519.0,Barbecue Tool Sets
34,2021-06-21,3896.0,Barbecue Tool Sets
35,2021-06-22,2852.0,Barbecue Tool Sets
36,2021-06-23,2852.0,Barbecue Tool Sets
37,2021-06-24,2603.0,Barbecue Tool Sets
38,2021-06-25,2603.0,Barbecue Tool Sets
39,2021-06-26,3049.0,Barbecue Tool Sets
40,2021-06-27,3049.0,Barbecue Tool Sets
41,2021-06-28,3049.0,Barbecue Tool Sets
42,2021-06-29,3506.0,Barbecue Tool Sets
43,2021-06-30,4194.0,Barbecue Tool Sets
44,2021-07-01,4806.0,Barbecue Tool Sets
45,2021-07-02,4703.0,Barbecue Tool Sets
46,2021-07-03,3830.0,Barbecue Tool Sets
47,2021-07-04,3830.0,Barbecue Tool Sets
48,2021-07-05,4796.0,Barbecue Tool Sets
49,2021-07-06,4796.0,Barbecue Tool Sets
50,2021-07-07,6037.0,Barbecue Tool Sets
51,2021-07-08,6037.0,Barbecue Tool Sets
52,2021-07-09,6503.0,Barbecue Tool Sets
