,date,value,name_B08SBX6BWW
0,2021-05-15,1611.0,Reusable Grocery Bags
1,2021-05-16,1611.0,Reusable Grocery Bags
2,2021-05-17,1724.0,Reusable Grocery Bags
3,2021-05-18,1728.0,Reusable Grocery Bags
4,2021-05-19,1556.0,Reusable Grocery Bags
5,2021-05-20,1979.0,Reusable Grocery Bags
6,2021-05-21,1869.0,Reusable Grocery Bags
7,2021-05-22,1714.0,Reusable Grocery Bags
8,2021-05-23,1959.0,Reusable Grocery Bags
9,2021-05-24,1979.0,Reusable Grocery Bags
10,2021-05-25,2462.0,Reusable Grocery Bags
11,2021-05-26,2934.0,Reusable Grocery Bags
12,2021-05-27,3109.0,Reusable Grocery Bags
13,2021-05-28,1954.0,Reusable Grocery Bags
14,2021-05-29,1732.0,Reusable Grocery Bags
15,2021-05-30,77589.0,Reusable Grocery Bags
16,2021-05-31,2269.0,Reusable Grocery Bags
17,2021-06-01,2041.0,Reusable Grocery Bags
18,2021-06-02,2266.0,Reusable Grocery Bags
19,2021-06-03,-1.0,Reusable Grocery Bags
