,date,value,name_B08S1C32M7
0,2021-01-08,9537.0,Pool & Spa Replacement Parts
1,2021-01-09,6556.0,Pool & Spa Replacement Parts
2,2021-01-10,6556.0,Pool & Spa Replacement Parts
3,2021-01-11,6556.0,Pool & Spa Replacement Parts
4,2021-01-12,8775.0,Pool & Spa Replacement Parts
5,2021-01-13,10760.0,Pool & Spa Replacement Parts
6,2021-01-14,10760.0,Pool & Spa Replacement Parts
7,2021-01-15,10760.0,Pool & Spa Replacement Parts
8,2021-01-16,9234.0,Pool & Spa Replacement Parts
9,2021-01-17,9234.0,Pool & Spa Replacement Parts
10,2021-01-18,9234.0,Pool & Spa Replacement Parts
11,2021-01-19,9608.0,Pool & Spa Replacement Parts
12,2021-01-20,7676.0,Pool & Spa Replacement Parts
13,2021-01-21,7676.0,Pool & Spa Replacement Parts
14,2021-01-22,7676.0,Pool & Spa Replacement Parts
15,2021-01-23,7595.0,Pool & Spa Replacement Parts
16,2021-01-24,13190.0,Pool & Spa Replacement Parts
17,2021-01-25,10670.0,Pool & Spa Replacement Parts
18,2021-01-26,10670.0,Pool & Spa Replacement Parts
19,2021-01-27,10670.0,Pool & Spa Replacement Parts
20,2021-01-28,7159.0,Pool & Spa Replacement Parts
21,2021-01-29,6802.0,Pool & Spa Replacement Parts
22,2021-01-30,6802.0,Pool & Spa Replacement Parts
23,2021-01-31,8887.0,Pool & Spa Replacement Parts
24,2021-02-01,10514.0,Pool & Spa Replacement Parts
25,2021-02-02,10514.0,Pool & Spa Replacement Parts
26,2021-02-03,10514.0,Pool & Spa Replacement Parts
27,2021-02-04,7698.0,Pool & Spa Replacement Parts
28,2021-02-05,7965.0,Pool & Spa Replacement Parts
29,2021-02-06,7965.0,Pool & Spa Replacement Parts
30,2021-02-07,9847.0,Pool & Spa Replacement Parts
31,2021-02-08,10246.0,Pool & Spa Replacement Parts
32,2021-02-09,10246.0,Pool & Spa Replacement Parts
33,2021-02-10,10246.0,Pool & Spa Replacement Parts
34,2021-02-11,5828.0,Pool & Spa Replacement Parts
35,2021-02-12,5828.0,Pool & Spa Replacement Parts
36,2021-02-13,6062.0,Pool & Spa Replacement Parts
37,2021-02-14,6062.0,Pool & Spa Replacement Parts
38,2021-02-15,10049.0,Pool & Spa Replacement Parts
39,2021-02-16,10049.0,Pool & Spa Replacement Parts
40,2021-02-17,3841.0,Pool & Spa Replacement Parts
41,2021-02-18,3109.0,Pool & Spa Replacement Parts
42,2021-02-19,3109.0,Pool & Spa Replacement Parts
43,2021-02-20,3109.0,Pool & Spa Replacement Parts
44,2021-02-21,1883.0,Pool & Spa Replacement Parts
45,2021-02-22,955.0,Pool & Spa Replacement Parts
46,2021-02-23,721.0,Pool & Spa Replacement Parts
