,date,value,name_B096FX6FMC
0,2021-06-09,1150,Miniatures
1,2021-06-10,1576,Miniatures
2,2021-06-11,86290,Miniatures
3,2021-06-12,1275,Miniatures
4,2021-06-13,1769,Miniatures
5,2021-06-14,2119,Miniatures
6,2021-06-15,2443,Miniatures
7,2021-06-16,2481,Miniatures
8,2021-06-17,2307,Miniatures
9,2021-06-18,1025,Miniatures
10,2021-06-19,10394,Miniatures
11,2021-06-20,8872,Miniatures
12,2021-06-21,14194,Miniatures
13,2021-06-22,14049,Miniatures
14,2021-06-23,15250,Miniatures
15,2021-06-24,10269,Miniatures
16,2021-06-25,999,Miniatures
17,2021-06-26,556,Miniatures
18,2021-06-27,364,Miniatures
19,2021-06-28,326,Miniatures
20,2021-06-29,309,Miniatures
21,2021-06-30,311,Miniatures
22,2021-07-01,341,Miniatures
23,2021-07-02,338,Miniatures
24,2021-07-03,268,Miniatures
25,2021-07-04,243,Miniatures
26,2021-07-05,10087,Miniatures
27,2021-07-06,18412,Miniatures
28,2021-07-07,8929,Miniatures
29,2021-07-08,6140,Miniatures
30,2021-07-09,6107,Miniatures
