,date,value,name_B07P7F6TDJ
0,2020-05-27,12491.0,Sleep Sound Machines
1,2020-05-28,12491.0,Sleep Sound Machines
2,2020-05-29,12491.0,Sleep Sound Machines
3,2020-05-30,12491.0,Sleep Sound Machines
4,2020-05-31,8691.0,Sleep Sound Machines
5,2020-06-01,8691.0,Sleep Sound Machines
6,2020-06-02,8691.0,Sleep Sound Machines
7,2020-06-03,8691.0,Sleep Sound Machines
8,2020-06-04,10949.0,Sleep Sound Machines
9,2020-06-05,10949.0,Sleep Sound Machines
10,2020-06-06,10949.0,Sleep Sound Machines
11,2020-06-07,10949.0,Sleep Sound Machines
12,2020-06-08,10949.0,Sleep Sound Machines
13,2020-06-09,10949.0,Sleep Sound Machines
14,2020-06-10,11951.0,Sleep Sound Machines
15,2020-06-11,11951.0,Sleep Sound Machines
16,2020-06-12,11951.0,Sleep Sound Machines
17,2020-06-13,10527.0,Sleep Sound Machines
18,2020-06-14,10527.0,Sleep Sound Machines
19,2020-06-15,10527.0,Sleep Sound Machines
20,2020-06-16,9223.0,Sleep Sound Machines
21,2020-06-17,9223.0,Sleep Sound Machines
22,2020-06-18,9223.0,Sleep Sound Machines
23,2020-06-19,9223.0,Sleep Sound Machines
24,2020-06-20,8079.0,Sleep Sound Machines
25,2020-06-21,8079.0,Sleep Sound Machines
26,2020-06-22,8079.0,Sleep Sound Machines
27,2020-06-23,8079.0,Sleep Sound Machines
28,2020-06-24,11225.0,Sleep Sound Machines
29,2020-06-25,11225.0,Sleep Sound Machines
30,2020-06-26,11225.0,Sleep Sound Machines
31,2020-06-27,11225.0,Sleep Sound Machines
32,2020-06-28,11225.0,Sleep Sound Machines
33,2020-06-29,11169.0,Sleep Sound Machines
34,2020-06-30,11169.0,Sleep Sound Machines
35,2020-07-01,11169.0,Sleep Sound Machines
36,2020-07-02,11169.0,Sleep Sound Machines
37,2020-07-03,11169.0,Sleep Sound Machines
38,2020-07-04,11169.0,Sleep Sound Machines
39,2020-07-05,12000.0,Sleep Sound Machines
40,2020-07-06,12000.0,Sleep Sound Machines
41,2020-07-07,12754.0,Sleep Sound Machines
42,2020-07-08,12754.0,Sleep Sound Machines
43,2020-07-09,12754.0,Sleep Sound Machines
44,2020-07-10,12754.0,Sleep Sound Machines
45,2020-07-11,10197.0,Sleep Sound Machines
46,2020-07-12,10197.0,Sleep Sound Machines
47,2020-07-13,10197.0,Sleep Sound Machines
48,2020-07-14,10197.0,Sleep Sound Machines
49,2020-07-15,10197.0,Sleep Sound Machines
50,2020-07-16,12898.0,Sleep Sound Machines
51,2020-07-17,12898.0,Sleep Sound Machines
52,2020-07-18,12898.0,Sleep Sound Machines
53,2020-07-19,12898.0,Sleep Sound Machines
54,2020-07-20,14209.0,Sleep Sound Machines
55,2020-07-21,14209.0,Sleep Sound Machines
56,2020-07-22,14209.0,Sleep Sound Machines
57,2020-07-23,14209.0,Sleep Sound Machines
58,2020-07-24,14209.0,Sleep Sound Machines
59,2020-07-25,14209.0,Sleep Sound Machines
60,2020-07-26,15798.0,Sleep Sound Machines
61,2020-07-27,15798.0,Sleep Sound Machines
62,2020-07-28,15798.0,Sleep Sound Machines
63,2020-07-29,15798.0,Sleep Sound Machines
64,2020-07-30,15798.0,Sleep Sound Machines
65,2020-07-31,18132.0,Sleep Sound Machines
66,2020-08-01,18132.0,Sleep Sound Machines
67,2020-08-02,18132.0,Sleep Sound Machines
68,2020-08-03,18857.0,Sleep Sound Machines
69,2020-08-04,18857.0,Sleep Sound Machines
70,2020-08-05,15129.0,Sleep Sound Machines
71,2020-08-06,15554.0,Sleep Sound Machines
72,2020-08-07,15554.0,Sleep Sound Machines
73,2020-08-08,15554.0,Sleep Sound Machines
74,2020-08-09,15554.0,Sleep Sound Machines
