,date,value,name_B07NWPD5FC
0,2019-06-05,73011.0,Flags
1,2019-06-06,102189.0,Flags
2,2019-06-07,82657.0,Flags
3,2019-06-08,45070.0,Flags
4,2019-06-09,46414.0,Flags
5,2019-06-10,20728.0,Flags
6,2019-06-11,22857.0,Flags
7,2019-06-12,24975.0,Flags
8,2019-06-13,29990.0,Flags
9,2019-06-14,16397.0,Flags
10,2019-06-15,17230.0,Flags
11,2019-06-16,17227.0,Flags
12,2019-06-17,11725.0,Flags
13,2019-06-18,13353.0,Flags
14,2019-06-19,13732.0,Flags
15,2019-06-20,19039.0,Flags
16,2019-06-21,17734.0,Flags
17,2019-06-22,18064.0,Flags
18,2019-06-23,20738.0,Flags
19,2019-06-24,26305.0,Flags
20,2019-06-25,10787.0,Flags
21,2019-06-26,9570.0,Flags
22,2019-06-27,10688.0,Flags
23,2019-06-28,5963.0,Flags
24,2019-06-29,8157.0,Flags
25,2019-06-30,7258.0,Flags
26,2019-07-01,8199.0,Flags
27,2019-07-02,4423.0,Flags
28,2019-07-03,5806.0,Flags
29,2019-07-04,5806.0,Flags
30,2019-07-05,5806.0,Flags
31,2019-07-06,7049.0,Flags
32,2019-07-07,7049.0,Flags
33,2019-07-08,8827.0,Flags
34,2019-07-09,11211.0,Flags
35,2019-07-10,11211.0,Flags
36,2019-07-11,7986.0,Flags
37,2019-07-12,7986.0,Flags
38,2019-07-13,10073.0,Flags
39,2019-07-14,10073.0,Flags
40,2019-07-15,10073.0,Flags
41,2019-07-16,8997.0,Flags
42,2019-07-17,18513.0,Flags
43,2019-07-18,12022.0,Flags
44,2019-07-19,16087.0,Flags
45,2019-07-20,16087.0,Flags
46,2019-07-21,16087.0,Flags
47,2019-07-22,12433.0,Flags
48,2019-07-23,12433.0,Flags
49,2019-07-24,12433.0,Flags
50,2019-07-25,11134.0,Flags
51,2019-07-26,20158.0,Flags
52,2019-07-27,20158.0,Flags
53,2019-07-28,20158.0,Flags
54,2019-07-29,12113.0,Flags
55,2019-07-30,13576.0,Flags
56,2019-07-31,18375.0,Flags
57,2019-08-01,17527.0,Flags
58,2019-08-02,12295.0,Flags
59,2019-08-03,12295.0,Flags
60,2019-08-04,12295.0,Flags
61,2019-08-05,11984.0,Flags
62,2019-08-06,16135.0,Flags
63,2019-08-07,16135.0,Flags
64,2019-08-08,16135.0,Flags
65,2019-08-09,11248.0,Flags
66,2019-08-10,11248.0,Flags
67,2019-08-11,11248.0,Flags
68,2019-08-12,9059.0,Flags
69,2019-08-13,12381.0,Flags
70,2019-08-14,11627.0,Flags
71,2019-08-15,11627.0,Flags
72,2019-08-16,9566.0,Flags
73,2019-08-17,7061.0,Flags
74,2019-08-18,7061.0,Flags
75,2019-08-19,7061.0,Flags
76,2019-08-20,10864.0,Flags
77,2019-08-21,10864.0,Flags
78,2019-08-22,17930.0,Flags
79,2019-08-23,13036.0,Flags
80,2019-08-24,15509.0,Flags
81,2019-08-25,15509.0,Flags
82,2019-08-26,12358.0,Flags
83,2019-08-27,12358.0,Flags
