,date,value,name_B086MZ73Z5
0,2020-04-13,38587.0,Weed Killers
1,2020-04-14,38587.0,Weed Killers
2,2020-04-15,38587.0,Weed Killers
3,2020-04-16,38587.0,Weed Killers
4,2020-04-17,38587.0,Weed Killers
5,2020-04-18,38587.0,Weed Killers
6,2020-04-19,20146.0,Weed Killers
7,2020-04-20,20146.0,Weed Killers
8,2020-04-21,20146.0,Weed Killers
9,2020-04-22,20146.0,Weed Killers
10,2020-04-23,20146.0,Weed Killers
11,2020-04-24,20146.0,Weed Killers
12,2020-04-25,20146.0,Weed Killers
13,2020-04-26,20146.0,Weed Killers
14,2020-04-27,15316.0,Weed Killers
15,2020-04-28,15316.0,Weed Killers
16,2020-04-29,15316.0,Weed Killers
17,2020-04-30,15316.0,Weed Killers
18,2020-05-01,15316.0,Weed Killers
19,2020-05-02,15316.0,Weed Killers
20,2020-05-03,15316.0,Weed Killers
21,2020-05-04,15316.0,Weed Killers
22,2020-05-05,21595.0,Weed Killers
23,2020-05-06,21595.0,Weed Killers
24,2020-05-07,21595.0,Weed Killers
25,2020-05-08,21595.0,Weed Killers
26,2020-05-09,21595.0,Weed Killers
27,2020-05-10,21595.0,Weed Killers
28,2020-05-11,16755.0,Weed Killers
29,2020-05-12,16755.0,Weed Killers
30,2020-05-13,16755.0,Weed Killers
31,2020-05-14,16755.0,Weed Killers
32,2020-05-15,19628.0,Weed Killers
33,2020-05-16,19628.0,Weed Killers
34,2020-05-17,19628.0,Weed Killers
35,2020-05-18,19628.0,Weed Killers
36,2020-05-19,19628.0,Weed Killers
37,2020-05-20,15958.0,Weed Killers
38,2020-05-21,15958.0,Weed Killers
39,2020-05-22,15958.0,Weed Killers
40,2020-05-23,15958.0,Weed Killers
41,2020-05-24,15958.0,Weed Killers
42,2020-05-25,15958.0,Weed Killers
43,2020-05-26,15958.0,Weed Killers
44,2020-05-27,15958.0,Weed Killers
45,2020-05-28,15958.0,Weed Killers
46,2020-05-29,15958.0,Weed Killers
47,2020-05-30,17811.0,Weed Killers
48,2020-05-31,17811.0,Weed Killers
49,2020-06-01,21241.0,Weed Killers
50,2020-06-02,21241.0,Weed Killers
51,2020-06-03,14607.0,Weed Killers
52,2020-06-04,14607.0,Weed Killers
53,2020-06-05,18828.0,Weed Killers
54,2020-06-06,18828.0,Weed Killers
55,2020-06-07,18828.0,Weed Killers
56,2020-06-08,18828.0,Weed Killers
57,2020-06-09,13561.0,Weed Killers
58,2020-06-10,13561.0,Weed Killers
59,2020-06-11,13561.0,Weed Killers
60,2020-06-12,13561.0,Weed Killers
61,2020-06-13,13561.0,Weed Killers
62,2020-06-14,13561.0,Weed Killers
63,2020-06-15,13561.0,Weed Killers
64,2020-06-16,13561.0,Weed Killers
65,2020-06-17,13561.0,Weed Killers
66,2020-06-18,13561.0,Weed Killers
67,2020-06-19,13561.0,Weed Killers
68,2020-06-20,13561.0,Weed Killers
69,2020-06-21,13561.0,Weed Killers
70,2020-06-22,15670.0,Weed Killers
71,2020-06-23,16565.0,Weed Killers
72,2020-06-24,16565.0,Weed Killers
73,2020-06-25,16565.0,Weed Killers
74,2020-06-26,16485.0,Weed Killers
75,2020-06-27,16485.0,Weed Killers
76,2020-06-28,16485.0,Weed Killers
77,2020-06-29,16485.0,Weed Killers
78,2020-06-30,16485.0,Weed Killers
79,2020-07-01,16485.0,Weed Killers
80,2020-07-02,18184.0,Weed Killers
81,2020-07-03,18184.0,Weed Killers
82,2020-07-04,18184.0,Weed Killers
83,2020-07-05,18184.0,Weed Killers
84,2020-07-06,18184.0,Weed Killers
85,2020-07-07,18184.0,Weed Killers
86,2020-07-08,18184.0,Weed Killers
87,2020-07-09,18184.0,Weed Killers
88,2020-07-10,18184.0,Weed Killers
89,2020-07-11,18184.0,Weed Killers
90,2020-07-12,18184.0,Weed Killers
91,2020-07-13,18184.0,Weed Killers
92,2020-07-14,49328.0,Weed Killers
93,2020-07-15,49328.0,Weed Killers
94,2020-07-16,49328.0,Weed Killers
95,2020-07-17,49328.0,Weed Killers
96,2020-07-18,49328.0,Weed Killers
97,2020-07-19,49328.0,Weed Killers
98,2020-07-20,49328.0,Weed Killers
99,2020-07-21,49328.0,Weed Killers
100,2020-07-22,49328.0,Weed Killers
101,2020-07-23,49328.0,Weed Killers
102,2020-07-24,49328.0,Weed Killers
103,2020-07-25,49328.0,Weed Killers
104,2020-07-26,49328.0,Weed Killers
105,2020-07-27,19697.0,Weed Killers
106,2020-07-28,19697.0,Weed Killers
107,2020-07-29,19697.0,Weed Killers
108,2020-07-30,19697.0,Weed Killers
109,2020-07-31,22510.0,Weed Killers
110,2020-08-01,22510.0,Weed Killers
111,2020-08-02,22510.0,Weed Killers
112,2020-08-03,22510.0,Weed Killers
113,2020-08-04,22510.0,Weed Killers
114,2020-08-05,34424.0,Weed Killers
115,2020-08-06,34424.0,Weed Killers
116,2020-08-07,34424.0,Weed Killers
117,2020-08-08,34424.0,Weed Killers
118,2020-08-09,34424.0,Weed Killers
119,2020-08-10,34424.0,Weed Killers
120,2020-08-11,16998.0,Weed Killers
121,2020-08-12,16998.0,Weed Killers
122,2020-08-13,16998.0,Weed Killers
123,2020-08-14,16998.0,Weed Killers
124,2020-08-15,16998.0,Weed Killers
125,2020-08-16,16998.0,Weed Killers
126,2020-08-17,16998.0,Weed Killers
127,2020-08-18,16998.0,Weed Killers
128,2020-08-19,36108.0,Weed Killers
129,2020-08-20,36108.0,Weed Killers
