,date,value,name_B01GGVE4EE
0,2020-05-28,4691.0,Probiotics
1,2020-05-29,4691.0,Probiotics
2,2020-05-30,5163.0,Probiotics
3,2020-05-31,5163.0,Probiotics
4,2020-06-01,5163.0,Probiotics
5,2020-06-02,6555.0,Probiotics
6,2020-06-03,6555.0,Probiotics
7,2020-06-04,6555.0,Probiotics
8,2020-06-05,4839.0,Probiotics
9,2020-06-06,4839.0,Probiotics
10,2020-06-07,3996.0,Probiotics
11,2020-06-08,3996.0,Probiotics
12,2020-06-09,3996.0,Probiotics
13,2020-06-10,3996.0,Probiotics
14,2020-06-11,3996.0,Probiotics
15,2020-06-12,3996.0,Probiotics
16,2020-06-13,4571.0,Probiotics
17,2020-06-14,4571.0,Probiotics
18,2020-06-15,5356.0,Probiotics
19,2020-06-16,5356.0,Probiotics
20,2020-06-17,5356.0,Probiotics
21,2020-06-18,5712.0,Probiotics
22,2020-06-19,5712.0,Probiotics
23,2020-06-20,5712.0,Probiotics
24,2020-06-21,4005.0,Probiotics
25,2020-06-22,4005.0,Probiotics
26,2020-06-23,4005.0,Probiotics
27,2020-06-24,5334.0,Probiotics
28,2020-06-25,5334.0,Probiotics
29,2020-06-26,5334.0,Probiotics
30,2020-06-27,6827.0,Probiotics
31,2020-06-28,6827.0,Probiotics
32,2020-06-29,6827.0,Probiotics
33,2020-06-30,6827.0,Probiotics
34,2020-07-01,4085.0,Probiotics
35,2020-07-02,4699.0,Probiotics
36,2020-07-03,5867.0,Probiotics
37,2020-07-04,5867.0,Probiotics
38,2020-07-05,5867.0,Probiotics
39,2020-07-06,5867.0,Probiotics
40,2020-07-07,4563.0,Probiotics
41,2020-07-08,4563.0,Probiotics
42,2020-07-09,4563.0,Probiotics
43,2020-07-10,4563.0,Probiotics
44,2020-07-11,4563.0,Probiotics
45,2020-07-12,6193.0,Probiotics
46,2020-07-13,6193.0,Probiotics
47,2020-07-14,6193.0,Probiotics
48,2020-07-15,4824.0,Probiotics
49,2020-07-16,4824.0,Probiotics
50,2020-07-17,4824.0,Probiotics
51,2020-07-18,4824.0,Probiotics
52,2020-07-19,4824.0,Probiotics
53,2020-07-20,4824.0,Probiotics
54,2020-07-21,4824.0,Probiotics
55,2020-07-22,5070.0,Probiotics
56,2020-07-23,5070.0,Probiotics
57,2020-07-24,5070.0,Probiotics
58,2020-07-25,5070.0,Probiotics
59,2020-07-26,4979.0,Probiotics
60,2020-07-27,4979.0,Probiotics
61,2020-07-28,4979.0,Probiotics
62,2020-07-29,4979.0,Probiotics
63,2020-07-30,6375.0,Probiotics
64,2020-07-31,6375.0,Probiotics
65,2020-08-01,6375.0,Probiotics
66,2020-08-02,5467.0,Probiotics
67,2020-08-03,5467.0,Probiotics
68,2020-08-04,5467.0,Probiotics
69,2020-08-05,5467.0,Probiotics
70,2020-08-06,5245.0,Probiotics
71,2020-08-07,5245.0,Probiotics
72,2020-08-08,4585.0,Probiotics
73,2020-08-09,4585.0,Probiotics
74,2020-08-10,4585.0,Probiotics
75,2020-08-11,5005.0,Probiotics
76,2020-08-12,5005.0,Probiotics
77,2020-08-13,5005.0,Probiotics
78,2020-08-14,4492.0,Probiotics
79,2020-08-15,4492.0,Probiotics
80,2020-08-16,4492.0,Probiotics
81,2020-08-17,4492.0,Probiotics
82,2020-08-18,4583.0,Probiotics
83,2020-08-19,4583.0,Probiotics
84,2020-08-20,4583.0,Probiotics
85,2020-08-21,4583.0,Probiotics
86,2020-08-22,4708.0,Probiotics
87,2020-08-23,4708.0,Probiotics
88,2020-08-24,4708.0,Probiotics
89,2020-08-25,4708.0,Probiotics
90,2020-08-26,4708.0,Probiotics
91,2020-08-27,4708.0,Probiotics
92,2020-08-28,6067.0,Probiotics
93,2020-08-29,6067.0,Probiotics
94,2020-08-30,6067.0,Probiotics
95,2020-08-31,6037.0,Probiotics
96,2020-09-01,6037.0,Probiotics
97,2020-09-02,6037.0,Probiotics
98,2020-09-03,5421.0,Probiotics
99,2020-09-04,7428.0,Probiotics
100,2020-09-05,7428.0,Probiotics
101,2020-09-06,7428.0,Probiotics
102,2020-09-07,7428.0,Probiotics
103,2020-09-08,7428.0,Probiotics
104,2020-09-09,5198.0,Probiotics
105,2020-09-10,5198.0,Probiotics
106,2020-09-11,5198.0,Probiotics
107,2020-09-12,5198.0,Probiotics
108,2020-09-13,5455.0,Probiotics
109,2020-09-14,5455.0,Probiotics
110,2020-09-15,3945.0,Probiotics
111,2020-09-16,3945.0,Probiotics
112,2020-09-17,3945.0,Probiotics
113,2020-09-18,5143.0,Probiotics
114,2020-09-19,5143.0,Probiotics
115,2020-09-20,4489.0,Probiotics
116,2020-09-21,4489.0,Probiotics
117,2020-09-22,4489.0,Probiotics
118,2020-09-23,6090.0,Probiotics
119,2020-09-24,6090.0,Probiotics
120,2020-09-25,6090.0,Probiotics
121,2020-09-26,5623.0,Probiotics
122,2020-09-27,5623.0,Probiotics
123,2020-09-28,5190.0,Probiotics
124,2020-09-29,5190.0,Probiotics
125,2020-09-30,5190.0,Probiotics
126,2020-10-01,5226.0,Probiotics
127,2020-10-02,5226.0,Probiotics
128,2020-10-03,5226.0,Probiotics
129,2020-10-04,5497.0,Probiotics
130,2020-10-05,5497.0,Probiotics
131,2020-10-06,5497.0,Probiotics
132,2020-10-07,3988.0,Probiotics
133,2020-10-08,4132.0,Probiotics
134,2020-10-09,4132.0,Probiotics
135,2020-10-10,5637.0,Probiotics
136,2020-10-11,5637.0,Probiotics
137,2020-10-12,5637.0,Probiotics
138,2020-10-13,5637.0,Probiotics
139,2020-10-14,6169.0,Probiotics
140,2020-10-15,6169.0,Probiotics
141,2020-10-16,6169.0,Probiotics
142,2020-10-17,4784.0,Probiotics
143,2020-10-18,4784.0,Probiotics
144,2020-10-19,4784.0,Probiotics
145,2020-10-20,4784.0,Probiotics
146,2020-10-21,4635.0,Probiotics
147,2020-10-22,4635.0,Probiotics
148,2020-10-23,4635.0,Probiotics
149,2020-10-24,4780.0,Probiotics
150,2020-10-25,4780.0,Probiotics
151,2020-10-26,4781.0,Probiotics
152,2020-10-27,5791.0,Probiotics
153,2020-10-28,5791.0,Probiotics
154,2020-10-29,5791.0,Probiotics
155,2020-10-30,5835.0,Probiotics
156,2020-10-31,5835.0,Probiotics
157,2020-11-01,5835.0,Probiotics
158,2020-11-02,5835.0,Probiotics
159,2020-11-03,5835.0,Probiotics
160,2020-11-04,5401.0,Probiotics
161,2020-11-05,5401.0,Probiotics
162,2020-11-06,5401.0,Probiotics
163,2020-11-07,5401.0,Probiotics
164,2020-11-08,5401.0,Probiotics
165,2020-11-09,4933.0,Probiotics
166,2020-11-10,6322.0,Probiotics
167,2020-11-11,6273.0,Probiotics
168,2020-11-12,6273.0,Probiotics
169,2020-11-13,6273.0,Probiotics
170,2020-11-14,6273.0,Probiotics
171,2020-11-15,6273.0,Probiotics
