,date,value,name_B07KP1N9SF
0,2018-12-01,94903.0,Disposable Napkins
1,2018-12-02,150585.0,Disposable Napkins
2,2018-12-03,150585.0,Disposable Napkins
3,2018-12-04,43630.0,Disposable Napkins
4,2018-12-05,43630.0,Disposable Napkins
5,2018-12-06,45838.0,Disposable Napkins
6,2018-12-07,31204.0,Disposable Napkins
7,2018-12-08,31204.0,Disposable Napkins
8,2018-12-09,38297.0,Disposable Napkins
9,2018-12-10,55153.0,Disposable Napkins
10,2018-12-11,55153.0,Disposable Napkins
11,2018-12-12,31825.0,Disposable Napkins
12,2018-12-13,53470.0,Disposable Napkins
13,2018-12-14,53470.0,Disposable Napkins
14,2018-12-15,37503.0,Disposable Napkins
15,2018-12-16,54852.0,Disposable Napkins
16,2018-12-17,30157.0,Disposable Napkins
17,2018-12-18,32150.0,Disposable Napkins
18,2018-12-19,36439.0,Disposable Napkins
19,2018-12-20,36439.0,Disposable Napkins
20,2018-12-21,33504.0,Disposable Napkins
21,2018-12-22,40126.0,Disposable Napkins
22,2018-12-23,52697.0,Disposable Napkins
23,2018-12-24,46730.0,Disposable Napkins
24,2018-12-25,46730.0,Disposable Napkins
25,2018-12-26,81481.0,Disposable Napkins
26,2018-12-27,81481.0,Disposable Napkins
27,2018-12-28,27974.0,Disposable Napkins
28,2018-12-29,30078.0,Disposable Napkins
29,2018-12-30,53433.0,Disposable Napkins
30,2018-12-31,53433.0,Disposable Napkins
31,2019-01-01,38296.0,Disposable Napkins
32,2019-01-02,38296.0,Disposable Napkins
33,2019-01-03,50898.0,Disposable Napkins
34,2019-01-04,70971.0,Disposable Napkins
35,2019-01-05,70971.0,Disposable Napkins
36,2019-01-06,70971.0,Disposable Napkins
37,2019-01-07,70971.0,Disposable Napkins
38,2019-01-08,70971.0,Disposable Napkins
39,2019-01-09,70971.0,Disposable Napkins
40,2019-01-10,66409.0,Disposable Napkins
41,2019-01-11,66409.0,Disposable Napkins
42,2019-01-12,68485.0,Disposable Napkins
43,2019-01-13,68485.0,Disposable Napkins
44,2019-01-14,68485.0,Disposable Napkins
45,2019-01-15,68485.0,Disposable Napkins
46,2019-01-16,84826.0,Disposable Napkins
47,2019-01-17,84826.0,Disposable Napkins
48,2019-01-18,84826.0,Disposable Napkins
49,2019-01-19,84826.0,Disposable Napkins
50,2019-01-20,49485.0,Disposable Napkins
51,2019-01-21,44167.0,Disposable Napkins
52,2019-01-22,44167.0,Disposable Napkins
53,2019-01-23,46426.0,Disposable Napkins
54,2019-01-24,46426.0,Disposable Napkins
55,2019-01-25,81486.0,Disposable Napkins
56,2019-01-26,31686.0,Disposable Napkins
57,2019-01-27,31686.0,Disposable Napkins
58,2019-01-28,34824.0,Disposable Napkins
59,2019-01-29,34824.0,Disposable Napkins
60,2019-01-30,63874.0,Disposable Napkins
61,2019-01-31,69130.0,Disposable Napkins
62,2019-02-01,69130.0,Disposable Napkins
63,2019-02-02,69130.0,Disposable Napkins
64,2019-02-03,69130.0,Disposable Napkins
65,2019-02-04,69130.0,Disposable Napkins
66,2019-02-05,65671.0,Disposable Napkins
67,2019-02-06,65671.0,Disposable Napkins
68,2019-02-07,58449.0,Disposable Napkins
69,2019-02-08,33273.0,Disposable Napkins
70,2019-02-09,37936.0,Disposable Napkins
71,2019-02-10,37936.0,Disposable Napkins
72,2019-02-11,19866.0,Disposable Napkins
73,2019-02-12,19866.0,Disposable Napkins
74,2019-02-13,48767.0,Disposable Napkins
75,2019-02-14,48767.0,Disposable Napkins
76,2019-02-15,72732.0,Disposable Napkins
77,2019-02-16,72732.0,Disposable Napkins
78,2019-02-17,54198.0,Disposable Napkins
79,2019-02-18,54198.0,Disposable Napkins
80,2019-02-19,58753.0,Disposable Napkins
81,2019-02-20,82085.0,Disposable Napkins
82,2019-02-21,82085.0,Disposable Napkins
83,2019-02-22,33832.0,Disposable Napkins
84,2019-02-23,49605.0,Disposable Napkins
85,2019-02-24,49605.0,Disposable Napkins
86,2019-02-25,76688.0,Disposable Napkins
87,2019-02-26,76688.0,Disposable Napkins
88,2019-02-27,76688.0,Disposable Napkins
89,2019-02-28,76688.0,Disposable Napkins
90,2019-03-01,55882.0,Disposable Napkins
91,2019-03-02,27462.0,Disposable Napkins
92,2019-03-03,40970.0,Disposable Napkins
93,2019-03-04,40970.0,Disposable Napkins
94,2019-03-05,46239.0,Disposable Napkins
95,2019-03-06,46239.0,Disposable Napkins
96,2019-03-07,46239.0,Disposable Napkins
97,2019-03-08,46239.0,Disposable Napkins
98,2019-03-09,25751.0,Disposable Napkins
99,2019-03-10,49382.0,Disposable Napkins
100,2019-03-11,49382.0,Disposable Napkins
101,2019-03-12,49382.0,Disposable Napkins
102,2019-03-13,49382.0,Disposable Napkins
103,2019-03-14,69337.0,Disposable Napkins
104,2019-03-15,69337.0,Disposable Napkins
105,2019-03-16,69337.0,Disposable Napkins
106,2019-03-17,69337.0,Disposable Napkins
107,2019-03-18,69337.0,Disposable Napkins
108,2019-03-19,69337.0,Disposable Napkins
109,2019-03-20,132867.0,Disposable Napkins
110,2019-03-21,132867.0,Disposable Napkins
111,2019-03-22,132867.0,Disposable Napkins
112,2019-03-23,132867.0,Disposable Napkins
113,2019-03-24,166792.0,Disposable Napkins
114,2019-03-25,166792.0,Disposable Napkins
115,2019-03-26,166792.0,Disposable Napkins
116,2019-03-27,166792.0,Disposable Napkins
117,2019-03-28,166792.0,Disposable Napkins
118,2019-03-29,166792.0,Disposable Napkins
119,2019-03-30,166792.0,Disposable Napkins
120,2019-03-31,50906.0,Disposable Napkins
121,2019-04-01,50906.0,Disposable Napkins
122,2019-04-02,50906.0,Disposable Napkins
123,2019-04-03,50906.0,Disposable Napkins
124,2019-04-04,50906.0,Disposable Napkins
125,2019-04-05,50906.0,Disposable Napkins
126,2019-04-06,50906.0,Disposable Napkins
127,2019-04-07,50906.0,Disposable Napkins
128,2019-04-08,50906.0,Disposable Napkins
129,2019-04-09,50906.0,Disposable Napkins
130,2019-04-10,50906.0,Disposable Napkins
131,2019-04-11,17734.0,Disposable Napkins
132,2019-04-12,17734.0,Disposable Napkins
133,2019-04-13,17734.0,Disposable Napkins
134,2019-04-14,17734.0,Disposable Napkins
135,2019-04-15,17734.0,Disposable Napkins
136,2019-04-16,17734.0,Disposable Napkins
137,2019-04-17,19486.0,Disposable Napkins
138,2019-04-18,19486.0,Disposable Napkins
139,2019-04-19,19486.0,Disposable Napkins
140,2019-04-20,19486.0,Disposable Napkins
141,2019-04-21,19486.0,Disposable Napkins
142,2019-04-22,19486.0,Disposable Napkins
143,2019-04-23,19486.0,Disposable Napkins
144,2019-04-24,27508.0,Disposable Napkins
145,2019-04-25,27508.0,Disposable Napkins
146,2019-04-26,27508.0,Disposable Napkins
147,2019-04-27,27508.0,Disposable Napkins
148,2019-04-28,27508.0,Disposable Napkins
149,2019-04-29,27508.0,Disposable Napkins
150,2019-04-30,27508.0,Disposable Napkins
151,2019-05-01,27508.0,Disposable Napkins
152,2019-05-02,23888.0,Disposable Napkins
153,2019-05-03,23888.0,Disposable Napkins
154,2019-05-04,23888.0,Disposable Napkins
155,2019-05-05,35696.0,Disposable Napkins
156,2019-05-06,35696.0,Disposable Napkins
157,2019-05-07,35696.0,Disposable Napkins
158,2019-05-08,29984.0,Disposable Napkins
159,2019-05-09,38961.0,Disposable Napkins
160,2019-05-10,38961.0,Disposable Napkins
161,2019-05-11,38961.0,Disposable Napkins
162,2019-05-12,40601.0,Disposable Napkins
163,2019-05-13,47986.0,Disposable Napkins
164,2019-05-14,47986.0,Disposable Napkins
165,2019-05-15,47986.0,Disposable Napkins
166,2019-05-16,47986.0,Disposable Napkins
167,2019-05-17,-1.0,Disposable Napkins
168,2019-05-18,-1.0,Disposable Napkins
169,2019-05-19,-1.0,Disposable Napkins
170,2019-05-20,-1.0,Disposable Napkins
