,date,value,name_B07T2FWR5R
0,2019-06-24,54090.0,Wine Glasses
1,2019-06-25,41458.0,Wine Glasses
2,2019-06-26,23983.0,Wine Glasses
3,2019-06-27,10681.0,Wine Glasses
4,2019-06-28,12458.0,Wine Glasses
5,2019-06-29,13672.0,Wine Glasses
6,2019-06-30,13463.0,Wine Glasses
7,2019-07-01,9732.0,Wine Glasses
8,2019-07-02,6669.0,Wine Glasses
9,2019-07-03,8507.0,Wine Glasses
10,2019-07-04,10738.0,Wine Glasses
11,2019-07-05,8856.0,Wine Glasses
12,2019-07-06,7085.0,Wine Glasses
13,2019-07-07,6637.0,Wine Glasses
14,2019-07-08,7001.0,Wine Glasses
15,2019-07-09,5864.0,Wine Glasses
16,2019-07-10,5985.0,Wine Glasses
17,2019-07-11,6172.0,Wine Glasses
18,2019-07-12,5949.0,Wine Glasses
19,2019-07-13,5295.0,Wine Glasses
20,2019-07-14,6184.0,Wine Glasses
21,2019-07-15,6244.0,Wine Glasses
22,2019-07-16,6895.0,Wine Glasses
23,2019-07-17,6891.0,Wine Glasses
24,2019-07-18,5601.0,Wine Glasses
25,2019-07-19,4432.0,Wine Glasses
26,2019-07-20,4627.0,Wine Glasses
27,2019-07-21,3890.0,Wine Glasses
28,2019-07-22,2965.0,Wine Glasses
29,2019-07-23,2181.0,Wine Glasses
30,2019-07-24,1611.0,Wine Glasses
31,2019-07-25,1989.0,Wine Glasses
32,2019-07-26,1750.0,Wine Glasses
33,2019-07-27,2071.0,Wine Glasses
34,2019-07-28,1829.0,Wine Glasses
35,2019-07-29,2072.0,Wine Glasses
36,2019-07-30,1699.0,Wine Glasses
37,2019-07-31,1367.0,Wine Glasses
38,2019-08-01,1492.0,Wine Glasses
39,2019-08-02,1616.0,Wine Glasses
40,2019-08-03,1813.0,Wine Glasses
41,2019-08-04,1984.0,Wine Glasses
42,2019-08-05,1803.0,Wine Glasses
43,2019-08-06,2097.0,Wine Glasses
44,2019-08-07,1509.0,Wine Glasses
45,2019-08-08,1590.0,Wine Glasses
46,2019-08-09,1501.0,Wine Glasses
47,2019-08-10,1436.0,Wine Glasses
48,2019-08-11,1436.0,Wine Glasses
49,2019-08-12,1439.0,Wine Glasses
50,2019-08-13,1475.0,Wine Glasses
51,2019-08-14,1475.0,Wine Glasses
52,2019-08-15,1976.0,Wine Glasses
53,2019-08-16,2526.0,Wine Glasses
54,2019-08-17,2503.0,Wine Glasses
55,2019-08-18,2902.0,Wine Glasses
56,2019-08-19,3078.0,Wine Glasses
57,2019-08-20,3386.0,Wine Glasses
58,2019-08-21,4020.0,Wine Glasses
59,2019-08-22,2582.0,Wine Glasses
60,2019-08-23,3079.0,Wine Glasses
61,2019-08-24,2605.0,Wine Glasses
62,2019-08-25,2851.0,Wine Glasses
63,2019-08-26,2526.0,Wine Glasses
64,2019-08-27,2984.0,Wine Glasses
65,2019-08-28,3340.0,Wine Glasses
66,2019-08-29,3309.0,Wine Glasses
67,2019-08-30,2589.0,Wine Glasses
68,2019-08-31,2445.0,Wine Glasses
69,2019-09-01,2782.0,Wine Glasses
70,2019-09-02,3630.0,Wine Glasses
71,2019-09-03,3499.0,Wine Glasses
72,2019-09-04,3081.0,Wine Glasses
73,2019-09-05,2647.0,Wine Glasses
74,2019-09-06,4175.0,Wine Glasses
75,2019-09-07,3894.0,Wine Glasses
76,2019-09-08,3487.0,Wine Glasses
77,2019-09-09,3487.0,Wine Glasses
78,2019-09-10,1195.0,Wine Glasses
79,2019-09-11,1175.0,Wine Glasses
80,2019-09-12,1438.0,Wine Glasses
81,2019-09-13,1305.0,Wine Glasses
82,2019-09-14,1176.0,Wine Glasses
83,2019-09-15,1721.0,Wine Glasses
84,2019-09-16,1717.0,Wine Glasses
85,2019-09-17,1153.0,Wine Glasses
86,2019-09-18,1127.0,Wine Glasses
87,2019-09-19,1385.0,Wine Glasses
88,2019-09-20,1284.0,Wine Glasses
89,2019-09-21,1451.0,Wine Glasses
90,2019-09-22,1454.0,Wine Glasses
91,2019-09-23,1340.0,Wine Glasses
92,2019-09-24,1045.0,Wine Glasses
93,2019-09-25,930.0,Wine Glasses
94,2019-09-26,1020.0,Wine Glasses
95,2019-09-27,1023.0,Wine Glasses
96,2019-09-28,1105.0,Wine Glasses
97,2019-09-29,848.0,Wine Glasses
98,2019-09-30,1002.0,Wine Glasses
99,2019-10-01,898.0,Wine Glasses
100,2019-10-02,775.0,Wine Glasses
101,2019-10-03,804.0,Wine Glasses
102,2019-10-04,801.0,Wine Glasses
103,2019-10-05,681.0,Wine Glasses
104,2019-10-06,885.0,Wine Glasses
105,2019-10-07,784.0,Wine Glasses
106,2019-10-08,651.0,Wine Glasses
107,2019-10-09,651.0,Wine Glasses
108,2019-10-10,568.0,Wine Glasses
109,2019-10-11,654.0,Wine Glasses
110,2019-10-12,938.0,Wine Glasses
111,2019-10-13,844.0,Wine Glasses
112,2019-10-14,1073.0,Wine Glasses
113,2019-10-15,832.0,Wine Glasses
114,2019-10-16,768.0,Wine Glasses
115,2019-10-17,737.0,Wine Glasses
116,2019-10-18,951.0,Wine Glasses
117,2019-10-19,1239.0,Wine Glasses
118,2019-10-20,1516.0,Wine Glasses
119,2019-10-21,1533.0,Wine Glasses
120,2019-10-22,1018.0,Wine Glasses
121,2019-10-23,1019.0,Wine Glasses
122,2019-10-24,1034.0,Wine Glasses
123,2019-10-25,1062.0,Wine Glasses
124,2019-10-26,1105.0,Wine Glasses
125,2019-10-27,880.0,Wine Glasses
126,2019-10-28,1281.0,Wine Glasses
127,2019-10-29,1012.0,Wine Glasses
128,2019-10-30,844.0,Wine Glasses
129,2019-10-31,941.0,Wine Glasses
130,2019-11-01,1137.0,Wine Glasses
131,2019-11-02,1250.0,Wine Glasses
132,2019-11-03,1142.0,Wine Glasses
133,2019-11-04,1172.0,Wine Glasses
134,2019-11-05,958.0,Wine Glasses
135,2019-11-06,1000.0,Wine Glasses
136,2019-11-07,888.0,Wine Glasses
137,2019-11-08,1155.0,Wine Glasses
138,2019-11-09,1155.0,Wine Glasses
139,2019-11-10,1155.0,Wine Glasses
140,2019-11-11,1896.0,Wine Glasses
141,2019-11-12,1896.0,Wine Glasses
142,2019-11-13,1896.0,Wine Glasses
143,2019-11-14,1954.0,Wine Glasses
144,2019-11-15,1954.0,Wine Glasses
145,2019-11-16,1954.0,Wine Glasses
146,2019-11-17,1954.0,Wine Glasses
147,2019-11-18,1808.0,Wine Glasses
148,2019-11-19,1808.0,Wine Glasses
149,2019-11-20,1808.0,Wine Glasses
150,2019-11-21,1630.0,Wine Glasses
151,2019-11-22,1861.0,Wine Glasses
152,2019-11-23,2240.0,Wine Glasses
153,2019-11-24,2240.0,Wine Glasses
154,2019-11-25,2240.0,Wine Glasses
155,2019-11-26,1686.0,Wine Glasses
156,2019-11-27,2265.0,Wine Glasses
157,2019-11-28,2265.0,Wine Glasses
158,2019-11-29,2265.0,Wine Glasses
159,2019-11-30,6521.0,Wine Glasses
160,2019-12-01,6521.0,Wine Glasses
161,2019-12-02,4716.0,Wine Glasses
162,2019-12-03,4716.0,Wine Glasses
163,2019-12-04,3461.0,Wine Glasses
164,2019-12-05,3461.0,Wine Glasses
165,2019-12-06,3461.0,Wine Glasses
166,2019-12-07,2986.0,Wine Glasses
167,2019-12-08,2986.0,Wine Glasses
168,2019-12-09,2986.0,Wine Glasses
169,2019-12-10,3097.0,Wine Glasses
170,2019-12-11,3293.0,Wine Glasses
171,2019-12-12,3293.0,Wine Glasses
172,2019-12-13,2889.0,Wine Glasses
173,2019-12-14,2889.0,Wine Glasses
174,2019-12-15,2889.0,Wine Glasses
175,2019-12-16,2889.0,Wine Glasses
176,2019-12-17,3433.0,Wine Glasses
177,2019-12-18,3564.0,Wine Glasses
178,2019-12-19,3564.0,Wine Glasses
179,2019-12-20,2022.0,Wine Glasses
180,2019-12-21,2022.0,Wine Glasses
181,2019-12-22,2022.0,Wine Glasses
182,2019-12-23,2022.0,Wine Glasses
183,2019-12-24,2022.0,Wine Glasses
184,2019-12-25,3183.0,Wine Glasses
185,2019-12-26,3183.0,Wine Glasses
186,2019-12-27,2736.0,Wine Glasses
187,2019-12-28,2736.0,Wine Glasses
188,2019-12-29,2736.0,Wine Glasses
189,2019-12-30,1036.0,Wine Glasses
190,2019-12-31,1136.0,Wine Glasses
191,2020-01-01,2385.0,Wine Glasses
192,2020-01-02,2385.0,Wine Glasses
193,2020-01-03,2385.0,Wine Glasses
194,2020-01-04,2385.0,Wine Glasses
195,2020-01-05,3051.0,Wine Glasses
196,2020-01-06,3141.0,Wine Glasses
197,2020-01-07,3141.0,Wine Glasses
198,2020-01-08,3141.0,Wine Glasses
199,2020-01-09,2615.0,Wine Glasses
200,2020-01-10,2615.0,Wine Glasses
201,2020-01-11,2615.0,Wine Glasses
202,2020-01-12,2936.0,Wine Glasses
203,2020-01-13,2936.0,Wine Glasses
204,2020-01-14,2951.0,Wine Glasses
205,2020-01-15,2951.0,Wine Glasses
206,2020-01-16,2951.0,Wine Glasses
207,2020-01-17,2641.0,Wine Glasses
208,2020-01-18,2958.0,Wine Glasses
209,2020-01-19,2958.0,Wine Glasses
210,2020-01-20,2958.0,Wine Glasses
211,2020-01-21,3023.0,Wine Glasses
212,2020-01-22,3023.0,Wine Glasses
213,2020-01-23,3023.0,Wine Glasses
214,2020-01-24,2050.0,Wine Glasses
215,2020-01-25,2050.0,Wine Glasses
216,2020-01-26,2050.0,Wine Glasses
217,2020-01-27,2861.0,Wine Glasses
218,2020-01-28,2861.0,Wine Glasses
219,2020-01-29,1965.0,Wine Glasses
220,2020-01-30,1965.0,Wine Glasses
221,2020-01-31,1965.0,Wine Glasses
222,2020-02-01,2363.0,Wine Glasses
223,2020-02-02,2363.0,Wine Glasses
224,2020-02-03,2363.0,Wine Glasses
225,2020-02-04,2363.0,Wine Glasses
226,2020-02-05,2830.0,Wine Glasses
227,2020-02-06,2830.0,Wine Glasses
228,2020-02-07,2830.0,Wine Glasses
229,2020-02-08,2649.0,Wine Glasses
230,2020-02-09,2649.0,Wine Glasses
231,2020-02-10,2649.0,Wine Glasses
232,2020-02-11,2261.0,Wine Glasses
233,2020-02-12,2641.0,Wine Glasses
234,2020-02-13,2653.0,Wine Glasses
235,2020-02-14,2653.0,Wine Glasses
236,2020-02-15,2653.0,Wine Glasses
237,2020-02-16,2653.0,Wine Glasses
238,2020-02-17,2872.0,Wine Glasses
239,2020-02-18,2872.0,Wine Glasses
240,2020-02-19,1606.0,Wine Glasses
241,2020-02-20,1606.0,Wine Glasses
242,2020-02-21,1606.0,Wine Glasses
243,2020-02-22,1606.0,Wine Glasses
244,2020-02-23,2195.0,Wine Glasses
245,2020-02-24,2195.0,Wine Glasses
246,2020-02-25,2195.0,Wine Glasses
247,2020-02-26,1323.0,Wine Glasses
248,2020-02-27,1323.0,Wine Glasses
249,2020-02-28,1323.0,Wine Glasses
250,2020-02-29,1958.0,Wine Glasses
251,2020-03-01,1667.0,Wine Glasses
252,2020-03-02,1667.0,Wine Glasses
253,2020-03-03,1667.0,Wine Glasses
254,2020-03-04,1619.0,Wine Glasses
255,2020-03-05,1541.0,Wine Glasses
256,2020-03-06,1541.0,Wine Glasses
257,2020-03-07,-1.0,Wine Glasses
