,date,value,name_B08DCXFDC8
0,2020-09-28,7466.0,Sofa Covers
1,2020-09-29,7466.0,Sofa Covers
2,2020-09-30,7466.0,Sofa Covers
3,2020-10-01,7466.0,Sofa Covers
4,2020-10-02,11106.0,Sofa Covers
5,2020-10-03,8720.0,Sofa Covers
6,2020-10-04,8720.0,Sofa Covers
7,2020-10-05,10724.0,Sofa Covers
8,2020-10-06,10724.0,Sofa Covers
9,2020-10-07,10724.0,Sofa Covers
10,2020-10-08,10821.0,Sofa Covers
11,2020-10-09,12449.0,Sofa Covers
12,2020-10-10,12449.0,Sofa Covers
13,2020-10-11,12449.0,Sofa Covers
14,2020-10-12,12449.0,Sofa Covers
15,2020-10-13,21828.0,Sofa Covers
16,2020-10-14,21828.0,Sofa Covers
17,2020-10-15,21828.0,Sofa Covers
18,2020-10-16,21828.0,Sofa Covers
19,2020-10-17,21828.0,Sofa Covers
20,2020-10-18,21828.0,Sofa Covers
21,2020-10-19,95007.0,Sofa Covers
22,2020-10-20,95007.0,Sofa Covers
23,2020-10-21,99380.0,Sofa Covers
24,2020-10-22,99380.0,Sofa Covers
25,2020-10-23,99380.0,Sofa Covers
26,2020-10-24,99380.0,Sofa Covers
27,2020-10-25,99380.0,Sofa Covers
28,2020-10-26,99380.0,Sofa Covers
29,2020-10-27,133132.0,Sofa Covers
30,2020-10-28,133132.0,Sofa Covers
31,2020-10-29,133132.0,Sofa Covers
32,2020-10-30,46256.0,Sofa Covers
33,2020-10-31,46256.0,Sofa Covers
34,2020-11-01,46256.0,Sofa Covers
35,2020-11-02,46256.0,Sofa Covers
36,2020-11-03,7798.0,Sofa Covers
37,2020-11-04,7798.0,Sofa Covers
38,2020-11-05,4621.0,Sofa Covers
39,2020-11-06,4621.0,Sofa Covers
40,2020-11-07,4621.0,Sofa Covers
41,2020-11-08,4621.0,Sofa Covers
42,2020-11-09,6251.0,Sofa Covers
43,2020-11-10,4501.0,Sofa Covers
44,2020-11-11,6180.0,Sofa Covers
45,2020-11-12,6180.0,Sofa Covers
46,2020-11-13,6180.0,Sofa Covers
47,2020-11-14,7721.0,Sofa Covers
48,2020-11-15,7721.0,Sofa Covers
49,2020-11-16,7721.0,Sofa Covers
50,2020-11-17,4718.0,Sofa Covers
51,2020-11-18,4718.0,Sofa Covers
52,2020-11-19,7030.0,Sofa Covers
53,2020-11-20,5681.0,Sofa Covers
54,2020-11-21,5681.0,Sofa Covers
55,2020-11-22,5681.0,Sofa Covers
56,2020-11-23,4342.0,Sofa Covers
57,2020-11-24,5781.0,Sofa Covers
58,2020-11-25,5781.0,Sofa Covers
59,2020-11-26,5781.0,Sofa Covers
60,2020-11-27,8249.0,Sofa Covers
61,2020-11-28,9113.0,Sofa Covers
62,2020-11-29,9113.0,Sofa Covers
63,2020-11-30,8841.0,Sofa Covers
64,2020-12-01,10493.0,Sofa Covers
65,2020-12-02,10493.0,Sofa Covers
66,2020-12-03,10493.0,Sofa Covers
67,2020-12-04,12498.0,Sofa Covers
68,2020-12-05,12498.0,Sofa Covers
69,2020-12-06,15329.0,Sofa Covers
70,2020-12-07,15329.0,Sofa Covers
71,2020-12-08,12551.0,Sofa Covers
72,2020-12-09,12551.0,Sofa Covers
73,2020-12-10,12267.0,Sofa Covers
74,2020-12-11,12267.0,Sofa Covers
75,2020-12-12,12267.0,Sofa Covers
76,2020-12-13,12267.0,Sofa Covers
77,2020-12-14,8200.0,Sofa Covers
78,2020-12-15,8200.0,Sofa Covers
79,2020-12-16,12946.0,Sofa Covers
80,2020-12-17,12946.0,Sofa Covers
81,2020-12-18,23222.0,Sofa Covers
82,2020-12-19,23222.0,Sofa Covers
83,2020-12-20,23222.0,Sofa Covers
84,2020-12-21,23222.0,Sofa Covers
85,2020-12-22,23222.0,Sofa Covers
86,2020-12-23,27050.0,Sofa Covers
87,2020-12-24,34176.0,Sofa Covers
88,2020-12-25,34176.0,Sofa Covers
89,2020-12-26,34176.0,Sofa Covers
90,2020-12-27,41676.0,Sofa Covers
91,2020-12-28,41676.0,Sofa Covers
92,2020-12-29,41676.0,Sofa Covers
93,2020-12-30,41676.0,Sofa Covers
94,2020-12-31,41676.0,Sofa Covers
95,2021-01-01,41676.0,Sofa Covers
96,2021-01-02,41676.0,Sofa Covers
97,2021-01-03,41676.0,Sofa Covers
98,2021-01-04,22884.0,Sofa Covers
99,2021-01-05,31605.0,Sofa Covers
100,2021-01-06,24403.0,Sofa Covers
101,2021-01-07,23259.0,Sofa Covers
102,2021-01-08,23259.0,Sofa Covers
103,2021-01-09,23259.0,Sofa Covers
104,2021-01-10,23259.0,Sofa Covers
105,2021-01-11,20584.0,Sofa Covers
106,2021-01-12,27858.0,Sofa Covers
107,2021-01-13,29672.0,Sofa Covers
108,2021-01-14,15677.0,Sofa Covers
109,2021-01-15,14204.0,Sofa Covers
110,2021-01-16,24242.0,Sofa Covers
111,2021-01-17,24242.0,Sofa Covers
112,2021-01-18,24242.0,Sofa Covers
113,2021-01-19,17493.0,Sofa Covers
114,2021-01-20,19924.0,Sofa Covers
115,2021-01-21,19924.0,Sofa Covers
116,2021-01-22,19924.0,Sofa Covers
117,2021-01-23,19924.0,Sofa Covers
118,2021-01-24,19924.0,Sofa Covers
119,2021-01-25,29836.0,Sofa Covers
120,2021-01-26,44037.0,Sofa Covers
121,2021-01-27,44037.0,Sofa Covers
122,2021-01-28,44037.0,Sofa Covers
123,2021-01-29,38406.0,Sofa Covers
124,2021-01-30,38406.0,Sofa Covers
125,2021-01-31,38406.0,Sofa Covers
126,2021-02-01,38406.0,Sofa Covers
127,2021-02-02,37973.0,Sofa Covers
128,2021-02-03,37973.0,Sofa Covers
129,2021-02-04,37973.0,Sofa Covers
130,2021-02-05,29870.0,Sofa Covers
131,2021-02-06,29870.0,Sofa Covers
132,2021-02-07,29870.0,Sofa Covers
133,2021-02-08,29870.0,Sofa Covers
134,2021-02-09,29870.0,Sofa Covers
135,2021-02-10,29870.0,Sofa Covers
136,2021-02-11,29870.0,Sofa Covers
137,2021-02-12,29870.0,Sofa Covers
138,2021-02-13,29870.0,Sofa Covers
139,2021-02-14,29870.0,Sofa Covers
140,2021-02-15,29870.0,Sofa Covers
141,2021-02-16,20608.0,Sofa Covers
142,2021-02-17,20608.0,Sofa Covers
143,2021-02-18,20608.0,Sofa Covers
144,2021-02-19,20608.0,Sofa Covers
145,2021-02-20,20608.0,Sofa Covers
146,2021-02-21,20608.0,Sofa Covers
147,2021-02-22,20608.0,Sofa Covers
148,2021-02-23,71174.0,Sofa Covers
149,2021-02-24,65489.0,Sofa Covers
150,2021-02-25,36388.0,Sofa Covers
151,2021-02-26,48336.0,Sofa Covers
152,2021-02-27,48336.0,Sofa Covers
153,2021-02-28,48336.0,Sofa Covers
154,2021-03-01,48336.0,Sofa Covers
155,2021-03-02,17766.0,Sofa Covers
156,2021-03-03,17766.0,Sofa Covers
157,2021-03-04,18935.0,Sofa Covers
158,2021-03-05,16550.0,Sofa Covers
159,2021-03-06,16550.0,Sofa Covers
160,2021-03-07,16550.0,Sofa Covers
161,2021-03-08,8416.0,Sofa Covers
162,2021-03-09,9334.0,Sofa Covers
