,date,value,name_B08V4T3SKJ
0,2021-03-15,90425.0,Kiddie Pools
1,2021-03-16,79366.0,Kiddie Pools
2,2021-03-17,89828.0,Kiddie Pools
3,2021-03-18,75693.0,Kiddie Pools
4,2021-03-19,113919.0,Kiddie Pools
5,2021-03-20,63384.0,Kiddie Pools
6,2021-03-21,61110.0,Kiddie Pools
7,2021-03-22,38850.0,Kiddie Pools
8,2021-03-23,45164.0,Kiddie Pools
9,2021-03-24,30608.0,Kiddie Pools
10,2021-03-25,14297.0,Kiddie Pools
11,2021-03-26,16288.0,Kiddie Pools
12,2021-03-27,14553.0,Kiddie Pools
13,2021-03-28,11894.0,Kiddie Pools
14,2021-03-29,14112.0,Kiddie Pools
15,2021-03-30,13289.0,Kiddie Pools
16,2021-03-31,16553.0,Kiddie Pools
17,2021-04-01,20457.0,Kiddie Pools
18,2021-04-02,14547.0,Kiddie Pools
19,2021-04-03,16610.0,Kiddie Pools
20,2021-04-04,11824.0,Kiddie Pools
21,2021-04-05,13611.0,Kiddie Pools
22,2021-04-06,13905.0,Kiddie Pools
23,2021-04-07,15671.0,Kiddie Pools
24,2021-04-08,21505.0,Kiddie Pools
25,2021-04-09,20309.0,Kiddie Pools
26,2021-04-10,26685.0,Kiddie Pools
27,2021-04-11,28703.0,Kiddie Pools
28,2021-04-12,30640.0,Kiddie Pools
29,2021-04-13,43903.0,Kiddie Pools
30,2021-04-14,41542.0,Kiddie Pools
31,2021-04-15,40624.0,Kiddie Pools
32,2021-04-16,60523.0,Kiddie Pools
33,2021-04-17,38914.0,Kiddie Pools
34,2021-04-18,31618.0,Kiddie Pools
35,2021-04-19,33455.0,Kiddie Pools
36,2021-04-20,61494.0,Kiddie Pools
37,2021-04-21,74398.0,Kiddie Pools
38,2021-04-22,109718.0,Kiddie Pools
39,2021-04-23,127269.0,Kiddie Pools
40,2021-04-24,87829.0,Kiddie Pools
41,2021-04-25,144506.0,Kiddie Pools
42,2021-04-26,155869.0,Kiddie Pools
43,2021-04-27,182598.0,Kiddie Pools
44,2021-04-28,169496.0,Kiddie Pools
45,2021-04-29,169496.0,Kiddie Pools
46,2021-04-30,186315.0,Kiddie Pools
47,2021-05-01,192544.0,Kiddie Pools
48,2021-05-02,204149.0,Kiddie Pools
49,2021-05-03,215321.0,Kiddie Pools
50,2021-05-04,224204.0,Kiddie Pools
51,2021-05-05,233224.0,Kiddie Pools
52,2021-05-06,237276.0,Kiddie Pools
53,2021-05-07,161598.0,Kiddie Pools
54,2021-05-08,189830.0,Kiddie Pools
55,2021-05-09,213969.0,Kiddie Pools
56,2021-05-10,224422.0,Kiddie Pools
57,2021-05-11,230724.0,Kiddie Pools
58,2021-05-12,261534.0,Kiddie Pools
59,2021-05-13,258435.0,Kiddie Pools
60,2021-05-14,121177.0,Kiddie Pools
61,2021-05-15,166323.0,Kiddie Pools
62,2021-05-16,150664.0,Kiddie Pools
63,2021-05-17,173569.0,Kiddie Pools
64,2021-05-18,175807.0,Kiddie Pools
65,2021-05-19,175807.0,Kiddie Pools
66,2021-05-20,238646.0,Kiddie Pools
67,2021-05-21,72421.0,Kiddie Pools
68,2021-05-22,78603.0,Kiddie Pools
69,2021-05-23,28297.0,Kiddie Pools
70,2021-05-24,20541.0,Kiddie Pools
71,2021-05-25,21414.0,Kiddie Pools
72,2021-05-26,16698.0,Kiddie Pools
73,2021-05-27,12521.0,Kiddie Pools
74,2021-05-28,16196.0,Kiddie Pools
75,2021-05-29,20644.0,Kiddie Pools
76,2021-05-30,17328.0,Kiddie Pools
77,2021-05-31,13495.0,Kiddie Pools
78,2021-06-01,11927.0,Kiddie Pools
79,2021-06-02,6592.0,Kiddie Pools
80,2021-06-03,5270.0,Kiddie Pools
81,2021-06-04,4018.0,Kiddie Pools
82,2021-06-05,3313.0,Kiddie Pools
83,2021-06-06,2805.0,Kiddie Pools
84,2021-06-07,3430.0,Kiddie Pools
85,2021-06-08,5119.0,Kiddie Pools
86,2021-06-09,5312.0,Kiddie Pools
87,2021-06-10,7587.0,Kiddie Pools
88,2021-06-11,7642.0,Kiddie Pools
89,2021-06-12,6219.0,Kiddie Pools
90,2021-06-13,8171.0,Kiddie Pools
91,2021-06-14,6742.0,Kiddie Pools
92,2021-06-15,8380.0,Kiddie Pools
93,2021-06-16,7355.0,Kiddie Pools
94,2021-06-17,7865.0,Kiddie Pools
95,2021-06-18,9130.0,Kiddie Pools
96,2021-06-19,8298.0,Kiddie Pools
97,2021-06-20,7971.0,Kiddie Pools
98,2021-06-21,10605.0,Kiddie Pools
99,2021-06-22,14081.0,Kiddie Pools
100,2021-06-23,14614.0,Kiddie Pools
101,2021-06-24,15028.0,Kiddie Pools
102,2021-06-25,11033.0,Kiddie Pools
103,2021-06-26,10285.0,Kiddie Pools
104,2021-06-27,10683.0,Kiddie Pools
105,2021-06-28,8306.0,Kiddie Pools
106,2021-06-29,10035.0,Kiddie Pools
107,2021-06-30,9771.0,Kiddie Pools
108,2021-07-01,10502.0,Kiddie Pools
109,2021-07-02,9429.0,Kiddie Pools
110,2021-07-03,9522.0,Kiddie Pools
111,2021-07-04,8198.0,Kiddie Pools
112,2021-07-05,7600.0,Kiddie Pools
113,2021-07-06,5701.0,Kiddie Pools
114,2021-07-07,6463.0,Kiddie Pools
115,2021-07-08,8716.0,Kiddie Pools
116,2021-07-09,9158.0,Kiddie Pools
