,date,value,name_B07MYVWVYM
0,2019-02-04,7116.0,Spoons
1,2019-02-05,11509.0,Spoons
2,2019-02-06,11509.0,Spoons
3,2019-02-07,10688.0,Spoons
4,2019-02-08,10688.0,Spoons
5,2019-02-09,10688.0,Spoons
6,2019-02-10,11437.0,Spoons
7,2019-02-11,9112.0,Spoons
8,2019-02-12,9112.0,Spoons
9,2019-02-13,9112.0,Spoons
10,2019-02-14,11113.0,Spoons
11,2019-02-15,8090.0,Spoons
12,2019-02-16,8090.0,Spoons
13,2019-02-17,11039.0,Spoons
14,2019-02-18,11039.0,Spoons
15,2019-02-19,11039.0,Spoons
16,2019-02-20,8397.0,Spoons
17,2019-02-21,10278.0,Spoons
18,2019-02-22,10278.0,Spoons
19,2019-02-23,10278.0,Spoons
20,2019-02-24,10843.0,Spoons
21,2019-02-25,10843.0,Spoons
22,2019-02-26,13463.0,Spoons
23,2019-02-27,13463.0,Spoons
24,2019-02-28,13463.0,Spoons
25,2019-03-01,13463.0,Spoons
26,2019-03-02,13463.0,Spoons
27,2019-03-03,12306.0,Spoons
28,2019-03-04,12306.0,Spoons
29,2019-03-05,11654.0,Spoons
30,2019-03-06,11654.0,Spoons
31,2019-03-07,11689.0,Spoons
32,2019-03-08,11689.0,Spoons
33,2019-03-09,10138.0,Spoons
34,2019-03-10,10138.0,Spoons
35,2019-03-11,10138.0,Spoons
36,2019-03-12,8141.0,Spoons
37,2019-03-13,14312.0,Spoons
38,2019-03-14,10037.0,Spoons
39,2019-03-15,10387.0,Spoons
40,2019-03-16,7893.0,Spoons
41,2019-03-17,7893.0,Spoons
42,2019-03-18,10929.0,Spoons
43,2019-03-19,10929.0,Spoons
44,2019-03-20,7592.0,Spoons
45,2019-03-21,8577.0,Spoons
46,2019-03-22,9729.0,Spoons
47,2019-03-23,9729.0,Spoons
48,2019-03-24,14848.0,Spoons
49,2019-03-25,14848.0,Spoons
50,2019-03-26,7797.0,Spoons
51,2019-03-27,8211.0,Spoons
52,2019-03-28,13373.0,Spoons
53,2019-03-29,13373.0,Spoons
54,2019-03-30,10754.0,Spoons
55,2019-03-31,10754.0,Spoons
56,2019-04-01,15291.0,Spoons
57,2019-04-02,15291.0,Spoons
58,2019-04-03,6982.0,Spoons
59,2019-04-04,6982.0,Spoons
60,2019-04-05,6982.0,Spoons
61,2019-04-06,6982.0,Spoons
62,2019-04-07,6982.0,Spoons
63,2019-04-08,6982.0,Spoons
64,2019-04-09,6982.0,Spoons
65,2019-04-10,5545.0,Spoons
66,2019-04-11,5545.0,Spoons
67,2019-04-12,8531.0,Spoons
68,2019-04-13,8531.0,Spoons
69,2019-04-14,8531.0,Spoons
70,2019-04-15,8531.0,Spoons
71,2019-04-16,6373.0,Spoons
72,2019-04-17,6373.0,Spoons
73,2019-04-18,6373.0,Spoons
74,2019-04-19,6373.0,Spoons
75,2019-04-20,6373.0,Spoons
76,2019-04-21,9120.0,Spoons
77,2019-04-22,9120.0,Spoons
78,2019-04-23,6094.0,Spoons
79,2019-04-24,6094.0,Spoons
80,2019-04-25,6094.0,Spoons
81,2019-04-26,6094.0,Spoons
82,2019-04-27,6785.0,Spoons
83,2019-04-28,6949.0,Spoons
84,2019-04-29,7913.0,Spoons
85,2019-04-30,7913.0,Spoons
86,2019-05-01,7913.0,Spoons
87,2019-05-02,7913.0,Spoons
88,2019-05-03,8851.0,Spoons
89,2019-05-04,9891.0,Spoons
90,2019-05-05,9891.0,Spoons
91,2019-05-06,9891.0,Spoons
92,2019-05-07,7795.0,Spoons
93,2019-05-08,6957.0,Spoons
94,2019-05-09,9455.0,Spoons
95,2019-05-10,5532.0,Spoons
96,2019-05-11,6902.0,Spoons
97,2019-05-12,8129.0,Spoons
98,2019-05-13,6399.0,Spoons
99,2019-05-14,5111.0,Spoons
100,2019-05-15,5111.0,Spoons
101,2019-05-16,4192.0,Spoons
102,2019-05-17,4764.0,Spoons
103,2019-05-18,5447.0,Spoons
104,2019-05-19,4576.0,Spoons
105,2019-05-20,5821.0,Spoons
106,2019-05-21,4070.0,Spoons
107,2019-05-22,5135.0,Spoons
108,2019-05-23,4356.0,Spoons
109,2019-05-24,5808.0,Spoons
110,2019-05-25,4440.0,Spoons
111,2019-05-26,5780.0,Spoons
112,2019-05-27,6521.0,Spoons
113,2019-05-28,7272.0,Spoons
114,2019-05-29,4368.0,Spoons
115,2019-05-30,6250.0,Spoons
116,2019-05-31,6250.0,Spoons
117,2019-06-01,6197.0,Spoons
118,2019-06-02,6197.0,Spoons
119,2019-06-03,5580.0,Spoons
120,2019-06-04,5580.0,Spoons
121,2019-06-05,3841.0,Spoons
122,2019-06-06,4029.0,Spoons
123,2019-06-07,7463.0,Spoons
124,2019-06-08,5237.0,Spoons
125,2019-06-09,8279.0,Spoons
126,2019-06-10,8279.0,Spoons
127,2019-06-11,8279.0,Spoons
128,2019-06-12,4880.0,Spoons
129,2019-06-13,4880.0,Spoons
130,2019-06-14,5618.0,Spoons
131,2019-06-15,4626.0,Spoons
132,2019-06-16,4626.0,Spoons
133,2019-06-17,6233.0,Spoons
134,2019-06-18,3824.0,Spoons
135,2019-06-19,4931.0,Spoons
136,2019-06-20,4931.0,Spoons
137,2019-06-21,4684.0,Spoons
138,2019-06-22,5814.0,Spoons
139,2019-06-23,5733.0,Spoons
140,2019-06-24,5317.0,Spoons
141,2019-06-25,6186.0,Spoons
142,2019-06-26,6186.0,Spoons
143,2019-06-27,8315.0,Spoons
144,2019-06-28,8360.0,Spoons
145,2019-06-29,5487.0,Spoons
146,2019-06-30,5747.0,Spoons
147,2019-07-01,5622.0,Spoons
148,2019-07-02,5563.0,Spoons
149,2019-07-03,5436.0,Spoons
150,2019-07-04,5436.0,Spoons
151,2019-07-05,9256.0,Spoons
152,2019-07-06,5142.0,Spoons
153,2019-07-07,7173.0,Spoons
154,2019-07-08,7173.0,Spoons
155,2019-07-09,6601.0,Spoons
156,2019-07-10,4018.0,Spoons
157,2019-07-11,4018.0,Spoons
158,2019-07-12,4013.0,Spoons
159,2019-07-13,5690.0,Spoons
160,2019-07-14,4996.0,Spoons
161,2019-07-15,6508.0,Spoons
162,2019-07-16,6508.0,Spoons
163,2019-07-17,8708.0,Spoons
164,2019-07-18,8708.0,Spoons
165,2019-07-19,7656.0,Spoons
166,2019-07-20,5326.0,Spoons
167,2019-07-21,8050.0,Spoons
168,2019-07-22,8152.0,Spoons
169,2019-07-23,6895.0,Spoons
170,2019-07-24,5328.0,Spoons
171,2019-07-25,6515.0,Spoons
172,2019-07-26,8095.0,Spoons
173,2019-07-27,8095.0,Spoons
174,2019-07-28,8095.0,Spoons
175,2019-07-29,6990.0,Spoons
176,2019-07-30,8566.0,Spoons
177,2019-07-31,8566.0,Spoons
178,2019-08-01,5046.0,Spoons
179,2019-08-02,5046.0,Spoons
180,2019-08-03,5046.0,Spoons
181,2019-08-04,7004.0,Spoons
182,2019-08-05,8593.0,Spoons
183,2019-08-06,7115.0,Spoons
184,2019-08-07,7115.0,Spoons
185,2019-08-08,4469.0,Spoons
186,2019-08-09,4469.0,Spoons
187,2019-08-10,6822.0,Spoons
188,2019-08-11,6822.0,Spoons
189,2019-08-12,7608.0,Spoons
190,2019-08-13,7608.0,Spoons
191,2019-08-14,6639.0,Spoons
192,2019-08-15,6639.0,Spoons
193,2019-08-16,6639.0,Spoons
194,2019-08-17,4715.0,Spoons
195,2019-08-18,4715.0,Spoons
196,2019-08-19,4715.0,Spoons
197,2019-08-20,8636.0,Spoons
198,2019-08-21,8436.0,Spoons
199,2019-08-22,6129.0,Spoons
200,2019-08-23,5806.0,Spoons
201,2019-08-24,6648.0,Spoons
202,2019-08-25,6648.0,Spoons
