,date,value,name_B077T8FVP3
127,2020-09-28,2526.0,Hyaluronic Acid
128,2020-09-29,2847.0,Hyaluronic Acid
129,2020-09-30,2848.0,Hyaluronic Acid
130,2020-10-01,2776.0,Hyaluronic Acid
131,2020-10-02,2601.0,Hyaluronic Acid
132,2020-10-03,2601.0,Hyaluronic Acid
133,2020-10-04,2413.0,Hyaluronic Acid
134,2020-10-05,2097.0,Hyaluronic Acid
135,2020-10-06,2356.0,Hyaluronic Acid
136,2020-10-07,2297.0,Hyaluronic Acid
137,2020-10-08,2297.0,Hyaluronic Acid
138,2020-10-09,2297.0,Hyaluronic Acid
139,2020-10-10,1975.0,Hyaluronic Acid
140,2020-10-11,1997.0,Hyaluronic Acid
141,2020-10-12,2063.0,Hyaluronic Acid
142,2020-10-13,1645.0,Hyaluronic Acid
143,2020-10-14,1999.0,Hyaluronic Acid
144,2020-10-15,2209.0,Hyaluronic Acid
145,2020-10-16,2201.0,Hyaluronic Acid
146,2020-10-17,2201.0,Hyaluronic Acid
147,2020-10-18,2170.0,Hyaluronic Acid
148,2020-10-19,1998.0,Hyaluronic Acid
149,2020-10-20,2116.0,Hyaluronic Acid
150,2020-10-21,2116.0,Hyaluronic Acid
151,2020-10-22,2202.0,Hyaluronic Acid
152,2020-10-23,2401.0,Hyaluronic Acid
153,2020-10-24,2401.0,Hyaluronic Acid
154,2020-10-25,2401.0,Hyaluronic Acid
155,2020-10-26,1905.0,Hyaluronic Acid
156,2020-10-27,2356.0,Hyaluronic Acid
157,2020-10-28,2292.0,Hyaluronic Acid
158,2020-10-29,2292.0,Hyaluronic Acid
159,2020-10-30,2292.0,Hyaluronic Acid
160,2020-10-31,2398.0,Hyaluronic Acid
161,2020-11-01,2398.0,Hyaluronic Acid
162,2020-11-02,2460.0,Hyaluronic Acid
163,2020-11-03,2460.0,Hyaluronic Acid
164,2020-11-04,1994.0,Hyaluronic Acid
165,2020-11-05,2374.0,Hyaluronic Acid
166,2020-11-06,2427.0,Hyaluronic Acid
167,2020-11-07,2379.0,Hyaluronic Acid
168,2020-11-08,2124.0,Hyaluronic Acid
169,2020-11-09,2304.0,Hyaluronic Acid
170,2020-11-10,2751.0,Hyaluronic Acid
171,2020-11-11,2751.0,Hyaluronic Acid
172,2020-11-12,2601.0,Hyaluronic Acid
173,2020-11-13,2984.0,Hyaluronic Acid
174,2020-11-14,2794.0,Hyaluronic Acid
175,2020-11-15,2709.0,Hyaluronic Acid
176,2020-11-16,2709.0,Hyaluronic Acid
177,2020-11-17,2703.0,Hyaluronic Acid
178,2020-11-18,2867.0,Hyaluronic Acid
179,2020-11-19,3025.0,Hyaluronic Acid
180,2020-11-20,2649.0,Hyaluronic Acid
181,2020-11-21,2811.0,Hyaluronic Acid
182,2020-11-22,2655.0,Hyaluronic Acid
183,2020-11-23,2721.0,Hyaluronic Acid
184,2020-11-24,2721.0,Hyaluronic Acid
185,2020-11-25,2667.0,Hyaluronic Acid
186,2020-11-26,2496.0,Hyaluronic Acid
187,2020-11-27,2204.0,Hyaluronic Acid
188,2020-11-28,2204.0,Hyaluronic Acid
189,2020-11-29,2461.0,Hyaluronic Acid
190,2020-11-30,2221.0,Hyaluronic Acid
191,2020-12-01,2469.0,Hyaluronic Acid
192,2020-12-02,2220.0,Hyaluronic Acid
193,2020-12-03,2220.0,Hyaluronic Acid
194,2020-12-04,2220.0,Hyaluronic Acid
195,2020-12-05,2449.0,Hyaluronic Acid
196,2020-12-06,1891.0,Hyaluronic Acid
197,2020-12-07,1891.0,Hyaluronic Acid
198,2020-12-08,2257.0,Hyaluronic Acid
199,2020-12-09,2278.0,Hyaluronic Acid
200,2020-12-10,2204.0,Hyaluronic Acid
201,2020-12-11,2531.0,Hyaluronic Acid
202,2020-12-12,2351.0,Hyaluronic Acid
203,2020-12-13,2349.0,Hyaluronic Acid
204,2020-12-14,2353.0,Hyaluronic Acid
205,2020-12-15,2346.0,Hyaluronic Acid
206,2020-12-16,2479.0,Hyaluronic Acid
207,2020-12-17,2489.0,Hyaluronic Acid
208,2020-12-18,2765.0,Hyaluronic Acid
209,2020-12-19,2513.0,Hyaluronic Acid
210,2020-12-20,2545.0,Hyaluronic Acid
211,2020-12-21,2024.0,Hyaluronic Acid
212,2020-12-22,2286.0,Hyaluronic Acid
213,2020-12-23,2256.0,Hyaluronic Acid
214,2020-12-24,2323.0,Hyaluronic Acid
215,2020-12-25,2358.0,Hyaluronic Acid
216,2020-12-26,2484.0,Hyaluronic Acid
217,2020-12-27,2055.0,Hyaluronic Acid
218,2020-12-28,1736.0,Hyaluronic Acid
219,2020-12-29,1823.0,Hyaluronic Acid
220,2020-12-30,1856.0,Hyaluronic Acid
221,2020-12-31,1694.0,Hyaluronic Acid
222,2021-01-01,1817.0,Hyaluronic Acid
223,2021-01-02,1689.0,Hyaluronic Acid
