,date,value,name_B086JZM9TS
0,2020-10-17,1541.0,Craft & Sewing Supplies Storage
1,2020-10-18,1541.0,Craft & Sewing Supplies Storage
2,2020-10-19,1487.0,Craft & Sewing Supplies Storage
3,2020-10-20,1487.0,Craft & Sewing Supplies Storage
4,2020-10-21,4934.0,Craft & Sewing Supplies Storage
5,2020-10-22,4934.0,Craft & Sewing Supplies Storage
6,2020-10-23,4934.0,Craft & Sewing Supplies Storage
7,2020-10-24,6416.0,Craft & Sewing Supplies Storage
8,2020-10-25,8851.0,Craft & Sewing Supplies Storage
9,2020-10-26,8851.0,Craft & Sewing Supplies Storage
10,2020-10-27,9392.0,Craft & Sewing Supplies Storage
11,2020-10-28,6923.0,Craft & Sewing Supplies Storage
12,2020-10-29,8388.0,Craft & Sewing Supplies Storage
13,2020-10-30,6708.0,Craft & Sewing Supplies Storage
14,2020-10-31,6503.0,Craft & Sewing Supplies Storage
15,2020-11-01,5046.0,Craft & Sewing Supplies Storage
16,2020-11-02,5046.0,Craft & Sewing Supplies Storage
17,2020-11-03,5046.0,Craft & Sewing Supplies Storage
18,2020-11-04,5046.0,Craft & Sewing Supplies Storage
19,2020-11-05,4912.0,Craft & Sewing Supplies Storage
20,2020-11-06,4912.0,Craft & Sewing Supplies Storage
21,2020-11-07,4912.0,Craft & Sewing Supplies Storage
22,2020-11-08,5676.0,Craft & Sewing Supplies Storage
23,2020-11-09,5676.0,Craft & Sewing Supplies Storage
24,2020-11-10,5676.0,Craft & Sewing Supplies Storage
25,2020-11-11,2656.0,Craft & Sewing Supplies Storage
26,2020-11-12,2173.0,Craft & Sewing Supplies Storage
27,2020-11-13,2173.0,Craft & Sewing Supplies Storage
28,2020-11-14,1757.0,Craft & Sewing Supplies Storage
29,2020-11-15,1757.0,Craft & Sewing Supplies Storage
30,2020-11-16,1646.0,Craft & Sewing Supplies Storage
31,2020-11-17,1869.0,Craft & Sewing Supplies Storage
32,2020-11-18,1869.0,Craft & Sewing Supplies Storage
33,2020-11-19,1729.0,Craft & Sewing Supplies Storage
34,2020-11-20,1729.0,Craft & Sewing Supplies Storage
35,2020-11-21,1729.0,Craft & Sewing Supplies Storage
36,2020-11-22,1792.0,Craft & Sewing Supplies Storage
