,date,value,name_B07NHRXLP2
0,2020-05-25,543.0,Saw Palmetto
1,2020-05-26,543.0,Saw Palmetto
2,2020-05-27,586.0,Saw Palmetto
3,2020-05-28,586.0,Saw Palmetto
4,2020-05-29,533.0,Saw Palmetto
5,2020-05-30,533.0,Saw Palmetto
6,2020-05-31,583.0,Saw Palmetto
7,2020-06-01,583.0,Saw Palmetto
8,2020-06-02,530.0,Saw Palmetto
9,2020-06-03,516.0,Saw Palmetto
10,2020-06-04,516.0,Saw Palmetto
11,2020-06-05,516.0,Saw Palmetto
12,2020-06-06,505.0,Saw Palmetto
13,2020-06-07,590.0,Saw Palmetto
14,2020-06-08,590.0,Saw Palmetto
15,2020-06-09,505.0,Saw Palmetto
16,2020-06-10,505.0,Saw Palmetto
17,2020-06-11,505.0,Saw Palmetto
18,2020-06-12,490.0,Saw Palmetto
19,2020-06-13,490.0,Saw Palmetto
20,2020-06-14,527.0,Saw Palmetto
21,2020-06-15,527.0,Saw Palmetto
22,2020-06-16,527.0,Saw Palmetto
23,2020-06-17,570.0,Saw Palmetto
24,2020-06-18,500.0,Saw Palmetto
25,2020-06-19,505.0,Saw Palmetto
26,2020-06-20,505.0,Saw Palmetto
27,2020-06-21,505.0,Saw Palmetto
28,2020-06-22,557.0,Saw Palmetto
29,2020-06-23,613.0,Saw Palmetto
30,2020-06-24,613.0,Saw Palmetto
31,2020-06-25,663.0,Saw Palmetto
32,2020-06-26,663.0,Saw Palmetto
33,2020-06-27,533.0,Saw Palmetto
34,2020-06-28,533.0,Saw Palmetto
35,2020-06-29,544.0,Saw Palmetto
36,2020-06-30,546.0,Saw Palmetto
37,2020-07-01,483.0,Saw Palmetto
38,2020-07-02,566.0,Saw Palmetto
39,2020-07-03,529.0,Saw Palmetto
40,2020-07-04,529.0,Saw Palmetto
41,2020-07-05,529.0,Saw Palmetto
42,2020-07-06,605.0,Saw Palmetto
43,2020-07-07,605.0,Saw Palmetto
44,2020-07-08,539.0,Saw Palmetto
45,2020-07-09,586.0,Saw Palmetto
46,2020-07-10,586.0,Saw Palmetto
47,2020-07-11,596.0,Saw Palmetto
48,2020-07-12,644.0,Saw Palmetto
49,2020-07-13,644.0,Saw Palmetto
50,2020-07-14,616.0,Saw Palmetto
51,2020-07-15,576.0,Saw Palmetto
52,2020-07-16,576.0,Saw Palmetto
53,2020-07-17,567.0,Saw Palmetto
54,2020-07-18,567.0,Saw Palmetto
55,2020-07-19,592.0,Saw Palmetto
56,2020-07-20,592.0,Saw Palmetto
57,2020-07-21,534.0,Saw Palmetto
58,2020-07-22,534.0,Saw Palmetto
59,2020-07-23,534.0,Saw Palmetto
60,2020-07-24,537.0,Saw Palmetto
61,2020-07-25,557.0,Saw Palmetto
62,2020-07-26,556.0,Saw Palmetto
63,2020-07-27,521.0,Saw Palmetto
64,2020-07-28,521.0,Saw Palmetto
65,2020-07-29,617.0,Saw Palmetto
66,2020-07-30,617.0,Saw Palmetto
67,2020-07-31,617.0,Saw Palmetto
68,2020-08-01,533.0,Saw Palmetto
69,2020-08-02,584.0,Saw Palmetto
70,2020-08-03,584.0,Saw Palmetto
71,2020-08-04,536.0,Saw Palmetto
72,2020-08-05,530.0,Saw Palmetto
73,2020-08-06,530.0,Saw Palmetto
74,2020-08-07,530.0,Saw Palmetto
75,2020-08-08,590.0,Saw Palmetto
76,2020-08-09,590.0,Saw Palmetto
77,2020-08-10,533.0,Saw Palmetto
78,2020-08-11,559.0,Saw Palmetto
79,2020-08-12,559.0,Saw Palmetto
80,2020-08-13,506.0,Saw Palmetto
81,2020-08-14,483.0,Saw Palmetto
82,2020-08-15,610.0,Saw Palmetto
83,2020-08-16,610.0,Saw Palmetto
84,2020-08-17,610.0,Saw Palmetto
85,2020-08-18,831.0,Saw Palmetto
86,2020-08-19,831.0,Saw Palmetto
87,2020-08-20,677.0,Saw Palmetto
88,2020-08-21,677.0,Saw Palmetto
89,2020-08-22,711.0,Saw Palmetto
90,2020-08-23,711.0,Saw Palmetto
91,2020-08-24,878.0,Saw Palmetto
92,2020-08-25,878.0,Saw Palmetto
93,2020-08-26,735.0,Saw Palmetto
94,2020-08-27,735.0,Saw Palmetto
95,2020-08-28,757.0,Saw Palmetto
96,2020-08-29,768.0,Saw Palmetto
97,2020-08-30,768.0,Saw Palmetto
98,2020-08-31,768.0,Saw Palmetto
99,2020-09-01,874.0,Saw Palmetto
100,2020-09-02,874.0,Saw Palmetto
101,2020-09-03,677.0,Saw Palmetto
102,2020-09-04,677.0,Saw Palmetto
103,2020-09-05,677.0,Saw Palmetto
104,2020-09-06,802.0,Saw Palmetto
105,2020-09-07,802.0,Saw Palmetto
106,2020-09-08,759.0,Saw Palmetto
107,2020-09-09,777.0,Saw Palmetto
108,2020-09-10,777.0,Saw Palmetto
109,2020-09-11,811.0,Saw Palmetto
110,2020-09-12,811.0,Saw Palmetto
111,2020-09-13,811.0,Saw Palmetto
112,2020-09-14,894.0,Saw Palmetto
113,2020-09-15,894.0,Saw Palmetto
114,2020-09-16,820.0,Saw Palmetto
115,2020-09-17,844.0,Saw Palmetto
116,2020-09-18,844.0,Saw Palmetto
117,2020-09-19,844.0,Saw Palmetto
118,2020-09-20,910.0,Saw Palmetto
119,2020-09-21,835.0,Saw Palmetto
120,2020-09-22,835.0,Saw Palmetto
121,2020-09-23,835.0,Saw Palmetto
122,2020-09-24,914.0,Saw Palmetto
123,2020-09-25,868.0,Saw Palmetto
124,2020-09-26,868.0,Saw Palmetto
125,2020-09-27,868.0,Saw Palmetto
126,2020-09-28,1181.0,Saw Palmetto
127,2020-09-29,1181.0,Saw Palmetto
128,2020-09-30,1082.0,Saw Palmetto
129,2020-10-01,997.0,Saw Palmetto
130,2020-10-02,997.0,Saw Palmetto
131,2020-10-03,1010.0,Saw Palmetto
132,2020-10-04,1010.0,Saw Palmetto
133,2020-10-05,1010.0,Saw Palmetto
134,2020-10-06,1057.0,Saw Palmetto
135,2020-10-07,1057.0,Saw Palmetto
136,2020-10-08,910.0,Saw Palmetto
137,2020-10-09,870.0,Saw Palmetto
138,2020-10-10,855.0,Saw Palmetto
139,2020-10-11,855.0,Saw Palmetto
140,2020-10-12,855.0,Saw Palmetto
141,2020-10-13,1018.0,Saw Palmetto
142,2020-10-14,1018.0,Saw Palmetto
143,2020-10-15,1332.0,Saw Palmetto
144,2020-10-16,1238.0,Saw Palmetto
145,2020-10-17,1150.0,Saw Palmetto
146,2020-10-18,1150.0,Saw Palmetto
147,2020-10-19,1150.0,Saw Palmetto
148,2020-10-20,1066.0,Saw Palmetto
149,2020-10-21,1066.0,Saw Palmetto
150,2020-10-22,1032.0,Saw Palmetto
151,2020-10-23,1032.0,Saw Palmetto
152,2020-10-24,1032.0,Saw Palmetto
153,2020-10-25,1054.0,Saw Palmetto
154,2020-10-26,1054.0,Saw Palmetto
155,2020-10-27,1054.0,Saw Palmetto
156,2020-10-28,1118.0,Saw Palmetto
157,2020-10-29,1118.0,Saw Palmetto
158,2020-10-30,1118.0,Saw Palmetto
159,2020-10-31,1049.0,Saw Palmetto
160,2020-11-01,1049.0,Saw Palmetto
161,2020-11-02,1181.0,Saw Palmetto
162,2020-11-03,1207.0,Saw Palmetto
