,date,value,name_B07S47Z4S2
0,2019-05-23,16879.0,Countertop Soap Dispensers
1,2019-05-24,26017.0,Countertop Soap Dispensers
2,2019-05-25,29637.0,Countertop Soap Dispensers
3,2019-05-26,17190.0,Countertop Soap Dispensers
4,2019-05-27,14624.0,Countertop Soap Dispensers
5,2019-05-28,17547.0,Countertop Soap Dispensers
6,2019-05-29,16809.0,Countertop Soap Dispensers
7,2019-05-30,18482.0,Countertop Soap Dispensers
8,2019-05-31,16243.0,Countertop Soap Dispensers
9,2019-06-01,15239.0,Countertop Soap Dispensers
10,2019-06-02,10451.0,Countertop Soap Dispensers
11,2019-06-03,10316.0,Countertop Soap Dispensers
12,2019-06-04,13556.0,Countertop Soap Dispensers
13,2019-06-05,12061.0,Countertop Soap Dispensers
14,2019-06-06,15511.0,Countertop Soap Dispensers
15,2019-06-07,18140.0,Countertop Soap Dispensers
16,2019-06-08,22290.0,Countertop Soap Dispensers
17,2019-06-09,14929.0,Countertop Soap Dispensers
18,2019-06-10,14334.0,Countertop Soap Dispensers
19,2019-06-11,15099.0,Countertop Soap Dispensers
20,2019-06-12,15440.0,Countertop Soap Dispensers
21,2019-06-13,21564.0,Countertop Soap Dispensers
22,2019-06-14,23739.0,Countertop Soap Dispensers
23,2019-06-15,20764.0,Countertop Soap Dispensers
24,2019-06-16,13035.0,Countertop Soap Dispensers
25,2019-06-17,18532.0,Countertop Soap Dispensers
26,2019-06-18,18643.0,Countertop Soap Dispensers
27,2019-06-19,24240.0,Countertop Soap Dispensers
28,2019-06-20,15956.0,Countertop Soap Dispensers
29,2019-06-21,16066.0,Countertop Soap Dispensers
30,2019-06-22,21125.0,Countertop Soap Dispensers
31,2019-06-23,11790.0,Countertop Soap Dispensers
32,2019-06-24,9141.0,Countertop Soap Dispensers
33,2019-06-25,13817.0,Countertop Soap Dispensers
34,2019-06-26,17716.0,Countertop Soap Dispensers
35,2019-06-27,12498.0,Countertop Soap Dispensers
36,2019-06-28,15923.0,Countertop Soap Dispensers
37,2019-06-29,12993.0,Countertop Soap Dispensers
38,2019-06-30,8516.0,Countertop Soap Dispensers
39,2019-07-01,11324.0,Countertop Soap Dispensers
40,2019-07-02,11733.0,Countertop Soap Dispensers
41,2019-07-03,14722.0,Countertop Soap Dispensers
42,2019-07-04,12541.0,Countertop Soap Dispensers
43,2019-07-05,12541.0,Countertop Soap Dispensers
44,2019-07-06,10356.0,Countertop Soap Dispensers
45,2019-07-07,11083.0,Countertop Soap Dispensers
46,2019-07-08,9740.0,Countertop Soap Dispensers
47,2019-07-09,14717.0,Countertop Soap Dispensers
48,2019-07-10,16684.0,Countertop Soap Dispensers
49,2019-07-11,10670.0,Countertop Soap Dispensers
50,2019-07-12,10642.0,Countertop Soap Dispensers
51,2019-07-13,13677.0,Countertop Soap Dispensers
52,2019-07-14,14456.0,Countertop Soap Dispensers
53,2019-07-15,13958.0,Countertop Soap Dispensers
54,2019-07-16,10548.0,Countertop Soap Dispensers
55,2019-07-17,8803.0,Countertop Soap Dispensers
56,2019-07-18,10163.0,Countertop Soap Dispensers
57,2019-07-19,13355.0,Countertop Soap Dispensers
58,2019-07-20,11050.0,Countertop Soap Dispensers
59,2019-07-21,14872.0,Countertop Soap Dispensers
60,2019-07-22,10252.0,Countertop Soap Dispensers
61,2019-07-23,10252.0,Countertop Soap Dispensers
62,2019-07-24,13748.0,Countertop Soap Dispensers
63,2019-07-25,9898.0,Countertop Soap Dispensers
64,2019-07-26,11001.0,Countertop Soap Dispensers
65,2019-07-27,11887.0,Countertop Soap Dispensers
66,2019-07-28,10365.0,Countertop Soap Dispensers
67,2019-07-29,10889.0,Countertop Soap Dispensers
68,2019-07-30,10889.0,Countertop Soap Dispensers
69,2019-07-31,16374.0,Countertop Soap Dispensers
70,2019-08-01,17122.0,Countertop Soap Dispensers
71,2019-08-02,23558.0,Countertop Soap Dispensers
72,2019-08-03,17481.0,Countertop Soap Dispensers
73,2019-08-04,16579.0,Countertop Soap Dispensers
74,2019-08-05,15772.0,Countertop Soap Dispensers
75,2019-08-06,17407.0,Countertop Soap Dispensers
76,2019-08-07,14996.0,Countertop Soap Dispensers
77,2019-08-08,17236.0,Countertop Soap Dispensers
78,2019-08-09,11481.0,Countertop Soap Dispensers
79,2019-08-10,8838.0,Countertop Soap Dispensers
80,2019-08-11,10371.0,Countertop Soap Dispensers
81,2019-08-12,10454.0,Countertop Soap Dispensers
82,2019-08-13,12289.0,Countertop Soap Dispensers
83,2019-08-14,9524.0,Countertop Soap Dispensers
84,2019-08-15,9524.0,Countertop Soap Dispensers
85,2019-08-16,11939.0,Countertop Soap Dispensers
86,2019-08-17,14078.0,Countertop Soap Dispensers
87,2019-08-18,17428.0,Countertop Soap Dispensers
88,2019-08-19,12327.0,Countertop Soap Dispensers
89,2019-08-20,11714.0,Countertop Soap Dispensers
90,2019-08-21,17121.0,Countertop Soap Dispensers
91,2019-08-22,17121.0,Countertop Soap Dispensers
92,2019-08-23,22895.0,Countertop Soap Dispensers
93,2019-08-24,14249.0,Countertop Soap Dispensers
94,2019-08-25,19843.0,Countertop Soap Dispensers
95,2019-08-26,15419.0,Countertop Soap Dispensers
96,2019-08-27,15419.0,Countertop Soap Dispensers
97,2019-08-28,14283.0,Countertop Soap Dispensers
98,2019-08-29,16439.0,Countertop Soap Dispensers
99,2019-08-30,20571.0,Countertop Soap Dispensers
100,2019-08-31,14887.0,Countertop Soap Dispensers
101,2019-09-01,13597.0,Countertop Soap Dispensers
102,2019-09-02,16062.0,Countertop Soap Dispensers
103,2019-09-03,14953.0,Countertop Soap Dispensers
104,2019-09-04,20957.0,Countertop Soap Dispensers
105,2019-09-05,27577.0,Countertop Soap Dispensers
106,2019-09-06,42955.0,Countertop Soap Dispensers
107,2019-09-07,36887.0,Countertop Soap Dispensers
108,2019-09-08,58427.0,Countertop Soap Dispensers
109,2019-09-09,61276.0,Countertop Soap Dispensers
110,2019-09-10,61276.0,Countertop Soap Dispensers
111,2019-09-11,29487.0,Countertop Soap Dispensers
112,2019-09-12,33193.0,Countertop Soap Dispensers
113,2019-09-13,32033.0,Countertop Soap Dispensers
114,2019-09-14,16646.0,Countertop Soap Dispensers
115,2019-09-15,16757.0,Countertop Soap Dispensers
116,2019-09-16,22561.0,Countertop Soap Dispensers
117,2019-09-17,21654.0,Countertop Soap Dispensers
118,2019-09-18,21654.0,Countertop Soap Dispensers
119,2019-09-19,23814.0,Countertop Soap Dispensers
120,2019-09-20,23814.0,Countertop Soap Dispensers
121,2019-09-21,19583.0,Countertop Soap Dispensers
122,2019-09-22,16124.0,Countertop Soap Dispensers
123,2019-09-23,15497.0,Countertop Soap Dispensers
124,2019-09-24,20349.0,Countertop Soap Dispensers
125,2019-09-25,20349.0,Countertop Soap Dispensers
126,2019-09-26,16367.0,Countertop Soap Dispensers
127,2019-09-27,21292.0,Countertop Soap Dispensers
128,2019-09-28,22843.0,Countertop Soap Dispensers
129,2019-09-29,22843.0,Countertop Soap Dispensers
130,2019-09-30,31237.0,Countertop Soap Dispensers
131,2019-10-01,18679.0,Countertop Soap Dispensers
132,2019-10-02,19573.0,Countertop Soap Dispensers
133,2019-10-03,23986.0,Countertop Soap Dispensers
134,2019-10-04,31276.0,Countertop Soap Dispensers
135,2019-10-05,31276.0,Countertop Soap Dispensers
136,2019-10-06,19192.0,Countertop Soap Dispensers
137,2019-10-07,24624.0,Countertop Soap Dispensers
138,2019-10-08,24624.0,Countertop Soap Dispensers
139,2019-10-09,24624.0,Countertop Soap Dispensers
140,2019-10-10,21929.0,Countertop Soap Dispensers
141,2019-10-11,21929.0,Countertop Soap Dispensers
142,2019-10-12,21929.0,Countertop Soap Dispensers
143,2019-10-13,25803.0,Countertop Soap Dispensers
144,2019-10-14,19809.0,Countertop Soap Dispensers
145,2019-10-15,21604.0,Countertop Soap Dispensers
146,2019-10-16,21220.0,Countertop Soap Dispensers
147,2019-10-17,21220.0,Countertop Soap Dispensers
148,2019-10-18,21220.0,Countertop Soap Dispensers
149,2019-10-19,21220.0,Countertop Soap Dispensers
150,2019-10-20,23277.0,Countertop Soap Dispensers
151,2019-10-21,20324.0,Countertop Soap Dispensers
152,2019-10-22,27038.0,Countertop Soap Dispensers
153,2019-10-23,30150.0,Countertop Soap Dispensers
154,2019-10-24,19102.0,Countertop Soap Dispensers
