,date,value,name_B0854BLRVV
0,2020-02-26,3999.0,Home Fragrance Accessories
1,2020-02-27,5149.0,Home Fragrance Accessories
2,2020-02-28,3972.0,Home Fragrance Accessories
3,2020-02-29,3972.0,Home Fragrance Accessories
4,2020-03-01,4025.0,Home Fragrance Accessories
5,2020-03-02,4333.0,Home Fragrance Accessories
6,2020-03-03,4814.0,Home Fragrance Accessories
7,2020-03-04,4732.0,Home Fragrance Accessories
8,2020-03-05,4732.0,Home Fragrance Accessories
9,2020-03-06,4387.0,Home Fragrance Accessories
10,2020-03-07,4387.0,Home Fragrance Accessories
11,2020-03-08,3585.0,Home Fragrance Accessories
12,2020-03-09,4367.0,Home Fragrance Accessories
13,2020-03-10,4367.0,Home Fragrance Accessories
14,2020-03-11,2889.0,Home Fragrance Accessories
15,2020-03-12,2889.0,Home Fragrance Accessories
16,2020-03-13,3014.0,Home Fragrance Accessories
17,2020-03-14,2128.0,Home Fragrance Accessories
18,2020-03-15,1857.0,Home Fragrance Accessories
19,2020-03-16,1857.0,Home Fragrance Accessories
20,2020-03-17,2454.0,Home Fragrance Accessories
21,2020-03-18,2454.0,Home Fragrance Accessories
22,2020-03-19,2454.0,Home Fragrance Accessories
23,2020-03-20,2060.0,Home Fragrance Accessories
24,2020-03-21,2060.0,Home Fragrance Accessories
25,2020-03-22,2290.0,Home Fragrance Accessories
26,2020-03-23,2290.0,Home Fragrance Accessories
27,2020-03-24,2354.0,Home Fragrance Accessories
28,2020-03-25,2389.0,Home Fragrance Accessories
29,2020-03-26,2389.0,Home Fragrance Accessories
30,2020-03-27,2389.0,Home Fragrance Accessories
31,2020-03-28,3491.0,Home Fragrance Accessories
32,2020-03-29,3491.0,Home Fragrance Accessories
33,2020-03-30,3207.0,Home Fragrance Accessories
34,2020-03-31,3066.0,Home Fragrance Accessories
35,2020-04-01,3066.0,Home Fragrance Accessories
36,2020-04-02,3066.0,Home Fragrance Accessories
37,2020-04-03,4131.0,Home Fragrance Accessories
38,2020-04-04,4131.0,Home Fragrance Accessories
39,2020-04-05,3158.0,Home Fragrance Accessories
40,2020-04-06,3158.0,Home Fragrance Accessories
41,2020-04-07,4121.0,Home Fragrance Accessories
42,2020-04-08,4121.0,Home Fragrance Accessories
43,2020-04-09,4121.0,Home Fragrance Accessories
44,2020-04-10,4021.0,Home Fragrance Accessories
45,2020-04-11,4660.0,Home Fragrance Accessories
46,2020-04-12,4784.0,Home Fragrance Accessories
47,2020-04-13,4784.0,Home Fragrance Accessories
48,2020-04-14,4784.0,Home Fragrance Accessories
49,2020-04-15,4403.0,Home Fragrance Accessories
50,2020-04-16,4770.0,Home Fragrance Accessories
51,2020-04-17,3566.0,Home Fragrance Accessories
52,2020-04-18,4069.0,Home Fragrance Accessories
53,2020-04-19,3938.0,Home Fragrance Accessories
54,2020-04-20,4802.0,Home Fragrance Accessories
55,2020-04-21,4315.0,Home Fragrance Accessories
56,2020-04-22,4689.0,Home Fragrance Accessories
57,2020-04-23,4601.0,Home Fragrance Accessories
