,date,value,name_B08YRHYZDM
0,2021-03-16,20755.0,Toy Vehicles
1,2021-03-17,13647.0,Toy Vehicles
2,2021-03-18,13647.0,Toy Vehicles
3,2021-03-19,13647.0,Toy Vehicles
4,2021-03-20,18422.0,Toy Vehicles
5,2021-03-21,18422.0,Toy Vehicles
6,2021-03-22,18422.0,Toy Vehicles
7,2021-03-23,22047.0,Toy Vehicles
8,2021-03-24,22047.0,Toy Vehicles
9,2021-03-25,22047.0,Toy Vehicles
10,2021-03-26,28128.0,Toy Vehicles
11,2021-03-27,28128.0,Toy Vehicles
12,2021-03-28,28128.0,Toy Vehicles
13,2021-03-29,26896.0,Toy Vehicles
14,2021-03-30,33657.0,Toy Vehicles
15,2021-03-31,33657.0,Toy Vehicles
16,2021-04-01,33657.0,Toy Vehicles
17,2021-04-02,33657.0,Toy Vehicles
18,2021-04-03,33657.0,Toy Vehicles
19,2021-04-04,24157.0,Toy Vehicles
20,2021-04-05,24157.0,Toy Vehicles
21,2021-04-06,23649.0,Toy Vehicles
22,2021-04-07,26971.0,Toy Vehicles
23,2021-04-08,26971.0,Toy Vehicles
24,2021-04-09,24817.0,Toy Vehicles
25,2021-04-10,27471.0,Toy Vehicles
26,2021-04-11,27471.0,Toy Vehicles
27,2021-04-12,27471.0,Toy Vehicles
28,2021-04-13,15876.0,Toy Vehicles
29,2021-04-14,15876.0,Toy Vehicles
30,2021-04-15,15876.0,Toy Vehicles
31,2021-04-16,15876.0,Toy Vehicles
32,2021-04-17,23633.0,Toy Vehicles
33,2021-04-18,23633.0,Toy Vehicles
34,2021-04-19,23633.0,Toy Vehicles
35,2021-04-20,27413.0,Toy Vehicles
36,2021-04-21,24325.0,Toy Vehicles
37,2021-04-22,24325.0,Toy Vehicles
38,2021-04-23,24325.0,Toy Vehicles
39,2021-04-24,26730.0,Toy Vehicles
40,2021-04-25,26730.0,Toy Vehicles
41,2021-04-26,26730.0,Toy Vehicles
42,2021-04-27,12475.0,Toy Vehicles
43,2021-04-28,26595.0,Toy Vehicles
44,2021-04-29,26595.0,Toy Vehicles
45,2021-04-30,26595.0,Toy Vehicles
46,2021-05-01,22104.0,Toy Vehicles
47,2021-05-02,22104.0,Toy Vehicles
48,2021-05-03,22104.0,Toy Vehicles
49,2021-05-04,17852.0,Toy Vehicles
50,2021-05-05,17852.0,Toy Vehicles
51,2021-05-06,18533.0,Toy Vehicles
52,2021-05-07,25830.0,Toy Vehicles
53,2021-05-08,25830.0,Toy Vehicles
54,2021-05-09,24439.0,Toy Vehicles
55,2021-05-10,24439.0,Toy Vehicles
56,2021-05-11,24439.0,Toy Vehicles
57,2021-05-12,39736.0,Toy Vehicles
58,2021-05-13,39736.0,Toy Vehicles
59,2021-05-14,36924.0,Toy Vehicles
60,2021-05-15,43961.0,Toy Vehicles
61,2021-05-16,43961.0,Toy Vehicles
62,2021-05-17,13542.0,Toy Vehicles
63,2021-05-18,13542.0,Toy Vehicles
64,2021-05-19,13542.0,Toy Vehicles
65,2021-05-20,14049.0,Toy Vehicles
66,2021-05-21,14049.0,Toy Vehicles
67,2021-05-22,14049.0,Toy Vehicles
68,2021-05-23,14049.0,Toy Vehicles
69,2021-05-24,16295.0,Toy Vehicles
70,2021-05-25,16295.0,Toy Vehicles
71,2021-05-26,18595.0,Toy Vehicles
72,2021-05-27,18595.0,Toy Vehicles
73,2021-05-28,18595.0,Toy Vehicles
74,2021-05-29,18595.0,Toy Vehicles
75,2021-05-30,26362.0,Toy Vehicles
76,2021-05-31,26362.0,Toy Vehicles
77,2021-06-01,26362.0,Toy Vehicles
78,2021-06-02,26362.0,Toy Vehicles
79,2021-06-03,24354.0,Toy Vehicles
80,2021-06-04,27720.0,Toy Vehicles
81,2021-06-05,27720.0,Toy Vehicles
82,2021-06-06,20907.0,Toy Vehicles
83,2021-06-07,14339.0,Toy Vehicles
84,2021-06-08,22798.0,Toy Vehicles
85,2021-06-09,22798.0,Toy Vehicles
86,2021-06-10,19074.0,Toy Vehicles
87,2021-06-11,19074.0,Toy Vehicles
88,2021-06-12,19074.0,Toy Vehicles
89,2021-06-13,18407.0,Toy Vehicles
90,2021-06-14,24904.0,Toy Vehicles
91,2021-06-15,16734.0,Toy Vehicles
92,2021-06-16,16734.0,Toy Vehicles
93,2021-06-17,16734.0,Toy Vehicles
94,2021-06-18,17335.0,Toy Vehicles
95,2021-06-19,17335.0,Toy Vehicles
96,2021-06-20,17335.0,Toy Vehicles
97,2021-06-21,21249.0,Toy Vehicles
98,2021-06-22,10228.0,Toy Vehicles
99,2021-06-23,10228.0,Toy Vehicles
100,2021-06-24,10228.0,Toy Vehicles
101,2021-06-25,16146.0,Toy Vehicles
102,2021-06-26,16146.0,Toy Vehicles
103,2021-06-27,18897.0,Toy Vehicles
104,2021-06-28,25076.0,Toy Vehicles
105,2021-06-29,25076.0,Toy Vehicles
106,2021-06-30,31362.0,Toy Vehicles
107,2021-07-01,31362.0,Toy Vehicles
108,2021-07-02,31362.0,Toy Vehicles
109,2021-07-03,19551.0,Toy Vehicles
110,2021-07-04,14876.0,Toy Vehicles
111,2021-07-05,14876.0,Toy Vehicles
112,2021-07-06,21642.0,Toy Vehicles
113,2021-07-07,21642.0,Toy Vehicles
114,2021-07-08,21642.0,Toy Vehicles
115,2021-07-09,17759.0,Toy Vehicles
116,2021-07-10,18125.0,Toy Vehicles
