,date,value,name_B07X5MTF4F
0,2020-05-24,11856.0,Detox & Cleanse
1,2020-05-25,11856.0,Detox & Cleanse
2,2020-05-26,11856.0,Detox & Cleanse
3,2020-05-27,11856.0,Detox & Cleanse
4,2020-05-28,11835.0,Detox & Cleanse
5,2020-05-29,11835.0,Detox & Cleanse
6,2020-05-30,11835.0,Detox & Cleanse
7,2020-05-31,11835.0,Detox & Cleanse
8,2020-06-01,11835.0,Detox & Cleanse
9,2020-06-02,13986.0,Detox & Cleanse
10,2020-06-03,13986.0,Detox & Cleanse
11,2020-06-04,13986.0,Detox & Cleanse
12,2020-06-05,17050.0,Detox & Cleanse
13,2020-06-06,17050.0,Detox & Cleanse
14,2020-06-07,17050.0,Detox & Cleanse
15,2020-06-08,11889.0,Detox & Cleanse
16,2020-06-09,11889.0,Detox & Cleanse
17,2020-06-10,14731.0,Detox & Cleanse
18,2020-06-11,14731.0,Detox & Cleanse
19,2020-06-12,14731.0,Detox & Cleanse
20,2020-06-13,14731.0,Detox & Cleanse
21,2020-06-14,15226.0,Detox & Cleanse
22,2020-06-15,12964.0,Detox & Cleanse
23,2020-06-16,15920.0,Detox & Cleanse
24,2020-06-17,15346.0,Detox & Cleanse
25,2020-06-18,15346.0,Detox & Cleanse
26,2020-06-19,15346.0,Detox & Cleanse
27,2020-06-20,16366.0,Detox & Cleanse
28,2020-06-21,16366.0,Detox & Cleanse
29,2020-06-22,16366.0,Detox & Cleanse
30,2020-06-23,13328.0,Detox & Cleanse
31,2020-06-24,13328.0,Detox & Cleanse
32,2020-06-25,15736.0,Detox & Cleanse
33,2020-06-26,15736.0,Detox & Cleanse
34,2020-06-27,15736.0,Detox & Cleanse
35,2020-06-28,15736.0,Detox & Cleanse
36,2020-06-29,13590.0,Detox & Cleanse
37,2020-06-30,13590.0,Detox & Cleanse
38,2020-07-01,13590.0,Detox & Cleanse
39,2020-07-02,13590.0,Detox & Cleanse
40,2020-07-03,13590.0,Detox & Cleanse
41,2020-07-04,13590.0,Detox & Cleanse
42,2020-07-05,13590.0,Detox & Cleanse
43,2020-07-06,13590.0,Detox & Cleanse
44,2020-07-07,14948.0,Detox & Cleanse
45,2020-07-08,14948.0,Detox & Cleanse
46,2020-07-09,14948.0,Detox & Cleanse
47,2020-07-10,14948.0,Detox & Cleanse
48,2020-07-11,11617.0,Detox & Cleanse
49,2020-07-12,11617.0,Detox & Cleanse
50,2020-07-13,11617.0,Detox & Cleanse
51,2020-07-14,11617.0,Detox & Cleanse
52,2020-07-15,13800.0,Detox & Cleanse
53,2020-07-16,13800.0,Detox & Cleanse
54,2020-07-17,13800.0,Detox & Cleanse
55,2020-07-18,16225.0,Detox & Cleanse
56,2020-07-19,16225.0,Detox & Cleanse
57,2020-07-20,16225.0,Detox & Cleanse
58,2020-07-21,16394.0,Detox & Cleanse
59,2020-07-22,16394.0,Detox & Cleanse
60,2020-07-23,16394.0,Detox & Cleanse
61,2020-07-24,16394.0,Detox & Cleanse
62,2020-07-25,14986.0,Detox & Cleanse
63,2020-07-26,14986.0,Detox & Cleanse
64,2020-07-27,13768.0,Detox & Cleanse
65,2020-07-28,13768.0,Detox & Cleanse
66,2020-07-29,13768.0,Detox & Cleanse
67,2020-07-30,13768.0,Detox & Cleanse
