,date,value,name_B0791DCM8F
0,2020-05-26,313.0,Canvas Boards & Panels
1,2020-05-27,313.0,Canvas Boards & Panels
2,2020-05-28,313.0,Canvas Boards & Panels
3,2020-05-29,236.0,Canvas Boards & Panels
4,2020-05-30,236.0,Canvas Boards & Panels
5,2020-05-31,236.0,Canvas Boards & Panels
6,2020-06-01,249.0,Canvas Boards & Panels
7,2020-06-02,249.0,Canvas Boards & Panels
8,2020-06-03,572.0,Canvas Boards & Panels
9,2020-06-04,738.0,Canvas Boards & Panels
10,2020-06-05,738.0,Canvas Boards & Panels
11,2020-06-06,738.0,Canvas Boards & Panels
12,2020-06-07,2586.0,Canvas Boards & Panels
13,2020-06-08,2586.0,Canvas Boards & Panels
14,2020-06-09,2586.0,Canvas Boards & Panels
15,2020-06-10,2586.0,Canvas Boards & Panels
16,2020-06-11,4416.0,Canvas Boards & Panels
17,2020-06-12,4037.0,Canvas Boards & Panels
18,2020-06-13,4037.0,Canvas Boards & Panels
19,2020-06-14,4037.0,Canvas Boards & Panels
20,2020-06-15,5293.0,Canvas Boards & Panels
21,2020-06-16,5293.0,Canvas Boards & Panels
22,2020-06-17,5293.0,Canvas Boards & Panels
23,2020-06-18,5293.0,Canvas Boards & Panels
24,2020-06-19,5293.0,Canvas Boards & Panels
25,2020-06-20,5293.0,Canvas Boards & Panels
26,2020-06-21,722.0,Canvas Boards & Panels
27,2020-06-22,722.0,Canvas Boards & Panels
28,2020-06-23,722.0,Canvas Boards & Panels
29,2020-06-24,472.0,Canvas Boards & Panels
30,2020-06-25,472.0,Canvas Boards & Panels
31,2020-06-26,472.0,Canvas Boards & Panels
32,2020-06-27,472.0,Canvas Boards & Panels
33,2020-06-28,386.0,Canvas Boards & Panels
34,2020-06-29,386.0,Canvas Boards & Panels
35,2020-06-30,392.0,Canvas Boards & Panels
36,2020-07-01,353.0,Canvas Boards & Panels
37,2020-07-02,318.0,Canvas Boards & Panels
38,2020-07-03,433.0,Canvas Boards & Panels
39,2020-07-04,433.0,Canvas Boards & Panels
40,2020-07-05,433.0,Canvas Boards & Panels
41,2020-07-06,417.0,Canvas Boards & Panels
42,2020-07-07,417.0,Canvas Boards & Panels
43,2020-07-08,541.0,Canvas Boards & Panels
44,2020-07-09,541.0,Canvas Boards & Panels
45,2020-07-10,541.0,Canvas Boards & Panels
46,2020-07-11,360.0,Canvas Boards & Panels
47,2020-07-12,360.0,Canvas Boards & Panels
48,2020-07-13,400.0,Canvas Boards & Panels
49,2020-07-14,451.0,Canvas Boards & Panels
50,2020-07-15,451.0,Canvas Boards & Panels
51,2020-07-16,451.0,Canvas Boards & Panels
52,2020-07-17,451.0,Canvas Boards & Panels
53,2020-07-18,451.0,Canvas Boards & Panels
54,2020-07-19,467.0,Canvas Boards & Panels
55,2020-07-20,417.0,Canvas Boards & Panels
56,2020-07-21,417.0,Canvas Boards & Panels
57,2020-07-22,417.0,Canvas Boards & Panels
58,2020-07-23,398.0,Canvas Boards & Panels
59,2020-07-24,398.0,Canvas Boards & Panels
60,2020-07-25,398.0,Canvas Boards & Panels
61,2020-07-26,488.0,Canvas Boards & Panels
62,2020-07-27,488.0,Canvas Boards & Panels
63,2020-07-28,488.0,Canvas Boards & Panels
64,2020-07-29,431.0,Canvas Boards & Panels
65,2020-07-30,367.0,Canvas Boards & Panels
66,2020-07-31,367.0,Canvas Boards & Panels
67,2020-08-01,367.0,Canvas Boards & Panels
68,2020-08-02,367.0,Canvas Boards & Panels
69,2020-08-03,470.0,Canvas Boards & Panels
70,2020-08-04,470.0,Canvas Boards & Panels
71,2020-08-05,470.0,Canvas Boards & Panels
72,2020-08-06,427.0,Canvas Boards & Panels
73,2020-08-07,427.0,Canvas Boards & Panels
74,2020-08-08,403.0,Canvas Boards & Panels
75,2020-08-09,403.0,Canvas Boards & Panels
76,2020-08-10,403.0,Canvas Boards & Panels
