,date,value,name_B07Z69HJRJ
167,2021-01-06,12386.0,Balloons
168,2021-01-07,17766.0,Balloons
169,2021-01-08,15776.0,Balloons
170,2021-01-09,15776.0,Balloons
171,2021-01-10,15517.0,Balloons
172,2021-01-11,15517.0,Balloons
173,2021-01-12,15517.0,Balloons
174,2021-01-13,11495.0,Balloons
175,2021-01-14,11495.0,Balloons
176,2021-01-15,11495.0,Balloons
177,2021-01-16,11495.0,Balloons
178,2021-01-17,11495.0,Balloons
179,2021-01-18,20740.0,Balloons
180,2021-01-19,21859.0,Balloons
181,2021-01-20,17137.0,Balloons
182,2021-01-21,16410.0,Balloons
183,2021-01-22,16410.0,Balloons
184,2021-01-23,16410.0,Balloons
185,2021-01-24,31372.0,Balloons
186,2021-01-25,32367.0,Balloons
187,2021-01-26,32740.0,Balloons
188,2021-01-27,21228.0,Balloons
189,2021-01-28,21228.0,Balloons
190,2021-01-29,21228.0,Balloons
191,2021-01-30,21228.0,Balloons
192,2021-01-31,21228.0,Balloons
193,2021-02-01,21228.0,Balloons
194,2021-02-02,21891.0,Balloons
195,2021-02-03,35361.0,Balloons
196,2021-02-04,27950.0,Balloons
197,2021-02-05,27950.0,Balloons
198,2021-02-06,30500.0,Balloons
199,2021-02-07,30500.0,Balloons
200,2021-02-08,30500.0,Balloons
201,2021-02-09,30500.0,Balloons
202,2021-02-10,17792.0,Balloons
203,2021-02-11,17792.0,Balloons
204,2021-02-12,17792.0,Balloons
205,2021-02-13,17792.0,Balloons
206,2021-02-14,17792.0,Balloons
207,2021-02-15,25442.0,Balloons
208,2021-02-16,25442.0,Balloons
209,2021-02-17,25442.0,Balloons
210,2021-02-18,18227.0,Balloons
211,2021-02-19,18227.0,Balloons
212,2021-02-20,18227.0,Balloons
213,2021-02-21,18227.0,Balloons
214,2021-02-22,28576.0,Balloons
215,2021-02-23,28576.0,Balloons
216,2021-02-24,28576.0,Balloons
217,2021-02-25,28576.0,Balloons
218,2021-02-26,22527.0,Balloons
219,2021-02-27,22527.0,Balloons
220,2021-02-28,27802.0,Balloons
221,2021-03-01,27802.0,Balloons
222,2021-03-02,19255.0,Balloons
223,2021-03-03,19255.0,Balloons
224,2021-03-04,19255.0,Balloons
225,2021-03-05,22108.0,Balloons
226,2021-03-06,22108.0,Balloons
227,2021-03-07,22108.0,Balloons
228,2021-03-08,19203.0,Balloons
229,2021-03-09,19203.0,Balloons
230,2021-03-10,11681.0,Balloons
231,2021-03-11,11681.0,Balloons
232,2021-03-12,9410.0,Balloons
233,2021-03-13,14012.0,Balloons
234,2021-03-14,14012.0,Balloons
235,2021-03-15,16117.0,Balloons
236,2021-03-16,16117.0,Balloons
237,2021-03-17,16117.0,Balloons
238,2021-03-18,15834.0,Balloons
239,2021-03-19,14876.0,Balloons
240,2021-03-20,14876.0,Balloons
241,2021-03-21,14876.0,Balloons
242,2021-03-22,12586.0,Balloons
243,2021-03-23,9832.0,Balloons
244,2021-03-24,9832.0,Balloons
245,2021-03-25,11127.0,Balloons
246,2021-03-26,8654.0,Balloons
247,2021-03-27,8654.0,Balloons
248,2021-03-28,8654.0,Balloons
249,2021-03-29,15655.0,Balloons
250,2021-03-30,14723.0,Balloons
251,2021-03-31,19338.0,Balloons
252,2021-04-01,19338.0,Balloons
253,2021-04-02,19338.0,Balloons
254,2021-04-03,19322.0,Balloons
255,2021-04-04,19322.0,Balloons
256,2021-04-05,19322.0,Balloons
257,2021-04-06,25467.0,Balloons
258,2021-04-07,14311.0,Balloons
259,2021-04-08,19737.0,Balloons
260,2021-04-09,17022.0,Balloons
261,2021-04-10,17230.0,Balloons
262,2021-04-11,17230.0,Balloons
263,2021-04-12,8230.0,Balloons
264,2021-04-13,5766.0,Balloons
265,2021-04-14,6172.0,Balloons
266,2021-04-15,6268.0,Balloons
267,2021-04-16,8460.0,Balloons
