,date,value,name_B08BJV88N3
0,2020-06-21,1241.0,Gloves
1,2020-06-22,1038.0,Gloves
2,2020-06-23,961.0,Gloves
3,2020-06-24,1034.0,Gloves
4,2020-06-25,677.0,Gloves
5,2020-06-26,470.0,Gloves
6,2020-06-27,476.0,Gloves
7,2020-06-28,599.0,Gloves
8,2020-06-29,762.0,Gloves
9,2020-06-30,719.0,Gloves
10,2020-07-01,973.0,Gloves
11,2020-07-02,907.0,Gloves
12,2020-07-03,907.0,Gloves
13,2020-07-04,907.0,Gloves
14,2020-07-05,682.0,Gloves
15,2020-07-06,1229.0,Gloves
16,2020-07-07,1126.0,Gloves
17,2020-07-08,859.0,Gloves
18,2020-07-09,1323.0,Gloves
19,2020-07-10,1778.0,Gloves
20,2020-07-11,2068.0,Gloves
21,2020-07-12,2694.0,Gloves
22,2020-07-13,2807.0,Gloves
23,2020-07-14,2431.0,Gloves
24,2020-07-15,2554.0,Gloves
25,2020-07-16,1891.0,Gloves
26,2020-07-17,1128.0,Gloves
27,2020-07-18,1333.0,Gloves
28,2020-07-19,1446.0,Gloves
29,2020-07-20,1397.0,Gloves
30,2020-07-21,1491.0,Gloves
31,2020-07-22,1643.0,Gloves
32,2020-07-23,1886.0,Gloves
33,2020-07-24,1993.0,Gloves
34,2020-07-25,2371.0,Gloves
35,2020-07-26,3622.0,Gloves
36,2020-07-27,4162.0,Gloves
37,2020-07-28,3710.0,Gloves
38,2020-07-29,3710.0,Gloves
39,2020-07-30,3650.0,Gloves
40,2020-07-31,3940.0,Gloves
41,2020-08-01,3238.0,Gloves
42,2020-08-02,4570.0,Gloves
43,2020-08-03,5513.0,Gloves
44,2020-08-04,5501.0,Gloves
45,2020-08-05,5600.0,Gloves
46,2020-08-06,3523.0,Gloves
47,2020-08-07,3245.0,Gloves
48,2020-08-08,3202.0,Gloves
49,2020-08-09,2976.0,Gloves
50,2020-08-10,3125.0,Gloves
51,2020-08-11,3332.0,Gloves
52,2020-08-12,3599.0,Gloves
53,2020-08-13,3080.0,Gloves
54,2020-08-14,2934.0,Gloves
55,2020-08-15,3432.0,Gloves
56,2020-08-16,3373.0,Gloves
57,2020-08-17,3315.0,Gloves
58,2020-08-18,3159.0,Gloves
