,date,value,name_B07TZGF2H1
0,2019-08-12,781784.0,Tablecloths
1,2019-08-13,916431.0,Tablecloths
2,2019-08-14,1066833.0,Tablecloths
3,2019-08-15,1263845.0,Tablecloths
4,2019-08-16,1405981.0,Tablecloths
5,2019-08-17,1531609.0,Tablecloths
6,2019-08-18,1652320.0,Tablecloths
7,2019-08-19,1729513.0,Tablecloths
8,2019-08-20,1816385.0,Tablecloths
9,2019-08-21,1908445.0,Tablecloths
10,2019-08-22,1966877.0,Tablecloths
11,2019-08-23,2050844.0,Tablecloths
12,2019-08-24,2127716.0,Tablecloths
13,2019-08-25,2153348.0,Tablecloths
14,2019-08-26,547316.0,Tablecloths
15,2019-08-27,716807.0,Tablecloths
16,2019-08-28,855690.0,Tablecloths
17,2019-08-29,900812.0,Tablecloths
18,2019-08-30,374786.0,Tablecloths
19,2019-08-31,533932.0,Tablecloths
20,2019-09-01,668079.0,Tablecloths
21,2019-09-02,772666.0,Tablecloths
22,2019-09-03,888438.0,Tablecloths
23,2019-09-04,917897.0,Tablecloths
24,2019-09-05,917897.0,Tablecloths
25,2019-09-06,917897.0,Tablecloths
26,2019-09-07,376441.0,Tablecloths
27,2019-09-08,564051.0,Tablecloths
28,2019-09-09,564051.0,Tablecloths
29,2019-09-10,564051.0,Tablecloths
30,2019-09-11,564051.0,Tablecloths
31,2019-09-12,564051.0,Tablecloths
32,2019-09-13,564051.0,Tablecloths
33,2019-09-14,564051.0,Tablecloths
34,2019-09-15,564051.0,Tablecloths
35,2019-09-16,564051.0,Tablecloths
36,2019-09-17,564051.0,Tablecloths
37,2019-09-18,564051.0,Tablecloths
38,2019-09-19,564051.0,Tablecloths
39,2019-09-20,564051.0,Tablecloths
40,2019-09-21,564051.0,Tablecloths
41,2019-09-22,564051.0,Tablecloths
42,2019-09-23,564051.0,Tablecloths
43,2019-09-24,564051.0,Tablecloths
44,2019-09-25,564051.0,Tablecloths
45,2019-09-26,564051.0,Tablecloths
46,2019-09-27,564051.0,Tablecloths
47,2019-09-28,564051.0,Tablecloths
48,2019-09-29,624215.0,Tablecloths
49,2019-09-30,624215.0,Tablecloths
50,2019-10-01,532396.0,Tablecloths
51,2019-10-02,532396.0,Tablecloths
52,2019-10-03,532396.0,Tablecloths
53,2019-10-04,532396.0,Tablecloths
54,2019-10-05,532396.0,Tablecloths
55,2019-10-06,217158.0,Tablecloths
56,2019-10-07,217158.0,Tablecloths
57,2019-10-08,217158.0,Tablecloths
58,2019-10-09,217158.0,Tablecloths
59,2019-10-10,217158.0,Tablecloths
60,2019-10-11,161188.0,Tablecloths
61,2019-10-12,161188.0,Tablecloths
62,2019-10-13,161188.0,Tablecloths
63,2019-10-14,630702.0,Tablecloths
64,2019-10-15,630702.0,Tablecloths
65,2019-10-16,630702.0,Tablecloths
66,2019-10-17,363804.0,Tablecloths
67,2019-10-18,363804.0,Tablecloths
68,2019-10-19,668816.0,Tablecloths
69,2019-10-20,668816.0,Tablecloths
70,2019-10-21,668816.0,Tablecloths
71,2019-10-22,896488.0,Tablecloths
72,2019-10-23,896488.0,Tablecloths
73,2019-10-24,525882.0,Tablecloths
74,2019-10-25,525882.0,Tablecloths
75,2019-10-26,525882.0,Tablecloths
76,2019-10-27,525882.0,Tablecloths
77,2019-10-28,869098.0,Tablecloths
78,2019-10-29,869098.0,Tablecloths
79,2019-10-30,433447.0,Tablecloths
80,2019-10-31,433447.0,Tablecloths
81,2019-11-01,433447.0,Tablecloths
82,2019-11-02,793735.0,Tablecloths
83,2019-11-03,793735.0,Tablecloths
84,2019-11-04,611067.0,Tablecloths
85,2019-11-05,226186.0,Tablecloths
86,2019-11-06,256809.0,Tablecloths
87,2019-11-07,256809.0,Tablecloths
88,2019-11-08,256809.0,Tablecloths
89,2019-11-09,256809.0,Tablecloths
90,2019-11-10,256809.0,Tablecloths
91,2019-11-11,256809.0,Tablecloths
92,2019-11-12,256809.0,Tablecloths
93,2019-11-13,256809.0,Tablecloths
94,2019-11-14,256809.0,Tablecloths
95,2019-11-15,256809.0,Tablecloths
96,2019-11-16,256809.0,Tablecloths
97,2019-11-17,186530.0,Tablecloths
98,2019-11-18,186530.0,Tablecloths
99,2019-11-19,186530.0,Tablecloths
100,2019-11-20,186530.0,Tablecloths
101,2019-11-21,186530.0,Tablecloths
102,2019-11-22,186530.0,Tablecloths
103,2019-11-23,186530.0,Tablecloths
104,2019-11-24,186530.0,Tablecloths
105,2019-11-25,186530.0,Tablecloths
106,2019-11-26,284450.0,Tablecloths
107,2019-11-27,284450.0,Tablecloths
108,2019-11-28,284450.0,Tablecloths
109,2019-11-29,284450.0,Tablecloths
110,2019-11-30,284450.0,Tablecloths
111,2019-12-01,284450.0,Tablecloths
112,2019-12-02,293248.0,Tablecloths
113,2019-12-03,293248.0,Tablecloths
114,2019-12-04,293248.0,Tablecloths
115,2019-12-05,293248.0,Tablecloths
116,2019-12-06,293248.0,Tablecloths
117,2019-12-07,293248.0,Tablecloths
118,2019-12-08,293248.0,Tablecloths
119,2019-12-09,293248.0,Tablecloths
120,2019-12-10,293248.0,Tablecloths
121,2019-12-11,293248.0,Tablecloths
122,2019-12-12,293248.0,Tablecloths
123,2019-12-13,694721.0,Tablecloths
124,2019-12-14,694721.0,Tablecloths
125,2019-12-15,694721.0,Tablecloths
126,2019-12-16,694721.0,Tablecloths
127,2019-12-17,694721.0,Tablecloths
128,2019-12-18,694721.0,Tablecloths
129,2019-12-19,694721.0,Tablecloths
130,2019-12-20,694721.0,Tablecloths
131,2019-12-21,694721.0,Tablecloths
132,2019-12-22,295418.0,Tablecloths
133,2019-12-23,295418.0,Tablecloths
134,2019-12-24,295418.0,Tablecloths
135,2019-12-25,295418.0,Tablecloths
136,2019-12-26,295418.0,Tablecloths
137,2019-12-27,295418.0,Tablecloths
138,2019-12-28,295418.0,Tablecloths
139,2019-12-29,295418.0,Tablecloths
140,2019-12-30,295418.0,Tablecloths
141,2019-12-31,295418.0,Tablecloths
142,2020-01-01,295418.0,Tablecloths
143,2020-01-02,436982.0,Tablecloths
144,2020-01-03,436982.0,Tablecloths
145,2020-01-04,436982.0,Tablecloths
146,2020-01-05,436982.0,Tablecloths
147,2020-01-06,436982.0,Tablecloths
148,2020-01-07,436982.0,Tablecloths
149,2020-01-08,436982.0,Tablecloths
150,2020-01-09,436982.0,Tablecloths
151,2020-01-10,206877.0,Tablecloths
152,2020-01-11,206877.0,Tablecloths
153,2020-01-12,206877.0,Tablecloths
154,2020-01-13,206877.0,Tablecloths
