,date,value,name_B08WRM615X
0,2021-02-28,9408.0,Business Card Holders
1,2021-03-01,9408.0,Business Card Holders
2,2021-03-02,9408.0,Business Card Holders
3,2021-03-03,9408.0,Business Card Holders
4,2021-03-04,9408.0,Business Card Holders
5,2021-03-05,9408.0,Business Card Holders
6,2021-03-06,8475.0,Business Card Holders
7,2021-03-07,8475.0,Business Card Holders
8,2021-03-08,8475.0,Business Card Holders
9,2021-03-09,10207.0,Business Card Holders
10,2021-03-10,10207.0,Business Card Holders
11,2021-03-11,10207.0,Business Card Holders
12,2021-03-12,10207.0,Business Card Holders
13,2021-03-13,10207.0,Business Card Holders
14,2021-03-14,10207.0,Business Card Holders
15,2021-03-15,7938.0,Business Card Holders
16,2021-03-16,7938.0,Business Card Holders
17,2021-03-17,7938.0,Business Card Holders
18,2021-03-18,11297.0,Business Card Holders
19,2021-03-19,12453.0,Business Card Holders
20,2021-03-20,12453.0,Business Card Holders
21,2021-03-21,12453.0,Business Card Holders
22,2021-03-22,12453.0,Business Card Holders
23,2021-03-23,12453.0,Business Card Holders
24,2021-03-24,12453.0,Business Card Holders
25,2021-03-25,12453.0,Business Card Holders
26,2021-03-26,12453.0,Business Card Holders
27,2021-03-27,12453.0,Business Card Holders
28,2021-03-28,11266.0,Business Card Holders
29,2021-03-29,11266.0,Business Card Holders
30,2021-03-30,8734.0,Business Card Holders
31,2021-03-31,12995.0,Business Card Holders
32,2021-04-01,12995.0,Business Card Holders
33,2021-04-02,12995.0,Business Card Holders
34,2021-04-03,10885.0,Business Card Holders
35,2021-04-04,10885.0,Business Card Holders
36,2021-04-05,10885.0,Business Card Holders
37,2021-04-06,10885.0,Business Card Holders
38,2021-04-07,9790.0,Business Card Holders
39,2021-04-08,9790.0,Business Card Holders
40,2021-04-09,9790.0,Business Card Holders
41,2021-04-10,9790.0,Business Card Holders
42,2021-04-11,9790.0,Business Card Holders
43,2021-04-12,9790.0,Business Card Holders
44,2021-04-13,9110.0,Business Card Holders
45,2021-04-14,9110.0,Business Card Holders
46,2021-04-15,9110.0,Business Card Holders
47,2021-04-16,7255.0,Business Card Holders
48,2021-04-17,7255.0,Business Card Holders
49,2021-04-18,7255.0,Business Card Holders
50,2021-04-19,7255.0,Business Card Holders
51,2021-04-20,7255.0,Business Card Holders
52,2021-04-21,7255.0,Business Card Holders
53,2021-04-22,7255.0,Business Card Holders
54,2021-04-23,7329.0,Business Card Holders
55,2021-04-24,7329.0,Business Card Holders
56,2021-04-25,11209.0,Business Card Holders
57,2021-04-26,11209.0,Business Card Holders
58,2021-04-27,11209.0,Business Card Holders
59,2021-04-28,11209.0,Business Card Holders
60,2021-04-29,11209.0,Business Card Holders
61,2021-04-30,11209.0,Business Card Holders
62,2021-05-01,11209.0,Business Card Holders
63,2021-05-02,11209.0,Business Card Holders
64,2021-05-03,11491.0,Business Card Holders
65,2021-05-04,11583.0,Business Card Holders
66,2021-05-05,11583.0,Business Card Holders
67,2021-05-06,11583.0,Business Card Holders
68,2021-05-07,6365.0,Business Card Holders
69,2021-05-08,6365.0,Business Card Holders
70,2021-05-09,6365.0,Business Card Holders
71,2021-05-10,6365.0,Business Card Holders
72,2021-05-11,4485.0,Business Card Holders
73,2021-05-12,4485.0,Business Card Holders
74,2021-05-13,4485.0,Business Card Holders
75,2021-05-14,5468.0,Business Card Holders
76,2021-05-15,5468.0,Business Card Holders
77,2021-05-16,5468.0,Business Card Holders
78,2021-05-17,6701.0,Business Card Holders
79,2021-05-18,6701.0,Business Card Holders
80,2021-05-19,6701.0,Business Card Holders
81,2021-05-20,6402.0,Business Card Holders
82,2021-05-21,6402.0,Business Card Holders
83,2021-05-22,6402.0,Business Card Holders
84,2021-05-23,6402.0,Business Card Holders
85,2021-05-24,6402.0,Business Card Holders
86,2021-05-25,6843.0,Business Card Holders
87,2021-05-26,6843.0,Business Card Holders
88,2021-05-27,5264.0,Business Card Holders
89,2021-05-28,5264.0,Business Card Holders
90,2021-05-29,5264.0,Business Card Holders
91,2021-05-30,5264.0,Business Card Holders
92,2021-05-31,7877.0,Business Card Holders
93,2021-06-01,7877.0,Business Card Holders
94,2021-06-02,7877.0,Business Card Holders
95,2021-06-03,7877.0,Business Card Holders
96,2021-06-04,6793.0,Business Card Holders
97,2021-06-05,6793.0,Business Card Holders
98,2021-06-06,6793.0,Business Card Holders
99,2021-06-07,6793.0,Business Card Holders
100,2021-06-08,5961.0,Business Card Holders
101,2021-06-09,5961.0,Business Card Holders
102,2021-06-10,5961.0,Business Card Holders
103,2021-06-11,5961.0,Business Card Holders
104,2021-06-12,6895.0,Business Card Holders
105,2021-06-13,6895.0,Business Card Holders
106,2021-06-14,6895.0,Business Card Holders
107,2021-06-15,6895.0,Business Card Holders
108,2021-06-16,6895.0,Business Card Holders
