,date,value,name_B06XT193GC
176,2019-01-04,3829.0,Planters
177,2019-01-05,4145.0,Planters
178,2019-01-06,2680.0,Planters
179,2019-01-07,2297.0,Planters
180,2019-01-08,3230.0,Planters
181,2019-01-09,2719.0,Planters
182,2019-01-10,2828.0,Planters
183,2019-01-11,3990.0,Planters
184,2019-01-12,4458.0,Planters
185,2019-01-13,3915.0,Planters
186,2019-01-14,3899.0,Planters
187,2019-01-15,3899.0,Planters
188,2019-01-16,-1.0,Planters
189,2019-01-17,-1.0,Planters
190,2019-01-18,-1.0,Planters
191,2019-01-19,-1.0,Planters
192,2019-01-20,-1.0,Planters
193,2019-01-21,-1.0,Planters
194,2019-01-22,-1.0,Planters
195,2019-01-23,-1.0,Planters
196,2019-01-24,-1.0,Planters
197,2019-01-25,-1.0,Planters
198,2019-01-26,-1.0,Planters
199,2019-01-27,-1.0,Planters
200,2019-01-28,-1.0,Planters
201,2019-01-29,-1.0,Planters
202,2019-01-30,-1.0,Planters
203,2019-01-31,-1.0,Planters
204,2019-02-01,-1.0,Planters
205,2019-02-02,-1.0,Planters
206,2019-02-03,-1.0,Planters
207,2019-02-04,-1.0,Planters
208,2019-02-05,-1.0,Planters
209,2019-02-06,-1.0,Planters
210,2019-02-07,-1.0,Planters
211,2019-02-08,-1.0,Planters
212,2019-02-09,-1.0,Planters
213,2019-02-10,-1.0,Planters
214,2019-02-11,-1.0,Planters
215,2019-02-12,-1.0,Planters
216,2019-02-13,-1.0,Planters
217,2019-02-14,-1.0,Planters
218,2019-02-15,-1.0,Planters
219,2019-02-16,-1.0,Planters
220,2019-02-17,-1.0,Planters
221,2019-02-18,-1.0,Planters
222,2019-02-19,-1.0,Planters
223,2019-02-20,-1.0,Planters
224,2019-02-21,-1.0,Planters
225,2019-02-22,-1.0,Planters
226,2019-02-23,-1.0,Planters
227,2019-02-24,-1.0,Planters
228,2019-02-25,-1.0,Planters
229,2019-02-26,-1.0,Planters
230,2019-02-27,-1.0,Planters
231,2019-02-28,-1.0,Planters
232,2019-03-01,-1.0,Planters
233,2019-03-02,-1.0,Planters
234,2019-03-03,-1.0,Planters
235,2019-03-04,-1.0,Planters
236,2019-03-05,-1.0,Planters
237,2019-03-06,-1.0,Planters
238,2019-03-07,-1.0,Planters
239,2019-03-08,-1.0,Planters
240,2019-03-09,-1.0,Planters
241,2019-03-10,-1.0,Planters
242,2019-03-11,-1.0,Planters
243,2019-03-12,-1.0,Planters
244,2019-03-13,-1.0,Planters
245,2019-03-14,-1.0,Planters
246,2019-03-15,-1.0,Planters
247,2019-03-16,-1.0,Planters
248,2019-03-17,-1.0,Planters
249,2019-03-18,-1.0,Planters
250,2019-03-19,-1.0,Planters
251,2019-03-20,-1.0,Planters
252,2019-03-21,-1.0,Planters
253,2019-03-22,-1.0,Planters
254,2019-03-23,-1.0,Planters
255,2019-03-24,-1.0,Planters
256,2019-03-25,-1.0,Planters
257,2019-03-26,-1.0,Planters
258,2019-03-27,-1.0,Planters
259,2019-03-28,-1.0,Planters
260,2019-03-29,-1.0,Planters
261,2019-03-30,-1.0,Planters
262,2019-03-31,-1.0,Planters
263,2019-04-01,-1.0,Planters
264,2019-04-02,-1.0,Planters
265,2019-04-03,-1.0,Planters
266,2019-04-04,-1.0,Planters
267,2019-04-05,-1.0,Planters
268,2019-04-06,-1.0,Planters
269,2019-04-07,-1.0,Planters
270,2019-04-08,-1.0,Planters
271,2019-04-09,-1.0,Planters
272,2019-04-10,-1.0,Planters
273,2019-04-11,-1.0,Planters
274,2019-04-12,-1.0,Planters
275,2019-04-13,-1.0,Planters
276,2019-04-14,-1.0,Planters
277,2019-04-15,-1.0,Planters
278,2019-04-16,-1.0,Planters
279,2019-04-17,-1.0,Planters
280,2019-04-18,-1.0,Planters
281,2019-04-19,-1.0,Planters
282,2019-04-20,-1.0,Planters
283,2019-04-21,-1.0,Planters
284,2019-04-22,-1.0,Planters
285,2019-04-23,-1.0,Planters
286,2019-04-24,-1.0,Planters
287,2019-04-25,-1.0,Planters
288,2019-04-26,-1.0,Planters
289,2019-04-27,-1.0,Planters
290,2019-04-28,-1.0,Planters
291,2019-04-29,-1.0,Planters
292,2019-04-30,-1.0,Planters
293,2019-05-01,-1.0,Planters
294,2019-05-02,-1.0,Planters
295,2019-05-03,-1.0,Planters
296,2019-05-04,-1.0,Planters
297,2019-05-05,-1.0,Planters
298,2019-05-06,-1.0,Planters
299,2019-05-07,-1.0,Planters
300,2019-05-08,-1.0,Planters
301,2019-05-09,-1.0,Planters
302,2019-05-10,-1.0,Planters
303,2019-05-11,-1.0,Planters
304,2019-05-12,-1.0,Planters
305,2019-05-13,-1.0,Planters
306,2019-05-14,-1.0,Planters
307,2019-05-15,-1.0,Planters
308,2019-05-16,-1.0,Planters
309,2019-05-17,-1.0,Planters
310,2019-05-18,-1.0,Planters
311,2019-05-19,-1.0,Planters
312,2019-05-20,-1.0,Planters
313,2019-05-21,-1.0,Planters
314,2019-05-22,-1.0,Planters
315,2019-05-23,-1.0,Planters
316,2019-05-24,-1.0,Planters
317,2019-05-25,-1.0,Planters
318,2019-05-26,-1.0,Planters
319,2019-05-27,-1.0,Planters
320,2019-05-28,-1.0,Planters
321,2019-05-29,-1.0,Planters
322,2019-05-30,-1.0,Planters
323,2019-05-31,-1.0,Planters
324,2019-06-01,-1.0,Planters
325,2019-06-02,-1.0,Planters
326,2019-06-03,-1.0,Planters
327,2019-06-04,-1.0,Planters
328,2019-06-05,-1.0,Planters
329,2019-06-06,-1.0,Planters
330,2019-06-07,-1.0,Planters
331,2019-06-08,-1.0,Planters
332,2019-06-09,-1.0,Planters
333,2019-06-10,-1.0,Planters
334,2019-06-11,-1.0,Planters
335,2019-06-12,-1.0,Planters
336,2019-06-13,-1.0,Planters
337,2019-06-14,-1.0,Planters
338,2019-06-15,-1.0,Planters
339,2019-06-16,-1.0,Planters
340,2019-06-17,-1.0,Planters
341,2019-06-18,-1.0,Planters
342,2019-06-19,-1.0,Planters
343,2019-06-20,-1.0,Planters
344,2019-06-21,-1.0,Planters
345,2019-06-22,-1.0,Planters
346,2019-06-23,-1.0,Planters
347,2019-06-24,-1.0,Planters
348,2019-06-25,-1.0,Planters
349,2019-06-26,-1.0,Planters
350,2019-06-27,-1.0,Planters
351,2019-06-28,-1.0,Planters
352,2019-06-29,-1.0,Planters
353,2019-06-30,-1.0,Planters
354,2019-07-01,-1.0,Planters
355,2019-07-02,-1.0,Planters
356,2019-07-03,-1.0,Planters
357,2019-07-04,-1.0,Planters
358,2019-07-05,-1.0,Planters
359,2019-07-06,-1.0,Planters
360,2019-07-07,-1.0,Planters
361,2019-07-08,-1.0,Planters
362,2019-07-09,-1.0,Planters
363,2019-07-10,-1.0,Planters
364,2019-07-11,-1.0,Planters
365,2019-07-12,-1.0,Planters
366,2019-07-13,-1.0,Planters
367,2019-07-14,-1.0,Planters
368,2019-07-15,-1.0,Planters
369,2019-07-16,-1.0,Planters
370,2019-07-17,-1.0,Planters
371,2019-07-18,-1.0,Planters
372,2019-07-19,-1.0,Planters
373,2019-07-20,-1.0,Planters
374,2019-07-21,-1.0,Planters
375,2019-07-22,-1.0,Planters
376,2019-07-23,-1.0,Planters
377,2019-07-24,-1.0,Planters
378,2019-07-25,-1.0,Planters
379,2019-07-26,-1.0,Planters
380,2019-07-27,-1.0,Planters
381,2019-07-28,-1.0,Planters
382,2019-07-29,-1.0,Planters
383,2019-07-30,-1.0,Planters
384,2019-07-31,-1.0,Planters
385,2019-08-01,-1.0,Planters
386,2019-08-02,-1.0,Planters
387,2019-08-03,-1.0,Planters
388,2019-08-04,-1.0,Planters
389,2019-08-05,-1.0,Planters
390,2019-08-06,-1.0,Planters
391,2019-08-07,-1.0,Planters
392,2019-08-08,-1.0,Planters
393,2019-08-09,-1.0,Planters
394,2019-08-10,-1.0,Planters
395,2019-08-11,-1.0,Planters
396,2019-08-12,-1.0,Planters
397,2019-08-13,-1.0,Planters
398,2019-08-14,-1.0,Planters
399,2019-08-15,-1.0,Planters
400,2019-08-16,-1.0,Planters
401,2019-08-17,-1.0,Planters
402,2019-08-18,-1.0,Planters
403,2019-08-19,-1.0,Planters
404,2019-08-20,-1.0,Planters
405,2019-08-21,-1.0,Planters
406,2019-08-22,-1.0,Planters
407,2019-08-23,-1.0,Planters
408,2019-08-24,-1.0,Planters
409,2019-08-25,-1.0,Planters
410,2019-08-26,-1.0,Planters
411,2019-08-27,-1.0,Planters
412,2019-08-28,-1.0,Planters
413,2019-08-29,-1.0,Planters
414,2019-08-30,-1.0,Planters
415,2019-08-31,-1.0,Planters
416,2019-09-01,-1.0,Planters
417,2019-09-02,-1.0,Planters
418,2019-09-03,-1.0,Planters
419,2019-09-04,-1.0,Planters
420,2019-09-05,-1.0,Planters
