,date,value,name_B083HBZ9FZ
0,2020-05-25,4971.0,Albums
1,2020-05-26,4971.0,Albums
2,2020-05-27,4777.0,Albums
3,2020-05-28,4149.0,Albums
4,2020-05-29,5523.0,Albums
5,2020-05-30,5523.0,Albums
6,2020-05-31,3810.0,Albums
7,2020-06-01,3810.0,Albums
8,2020-06-02,3810.0,Albums
9,2020-06-03,3853.0,Albums
10,2020-06-04,3853.0,Albums
11,2020-06-05,4740.0,Albums
12,2020-06-06,4740.0,Albums
13,2020-06-07,5591.0,Albums
14,2020-06-08,3657.0,Albums
15,2020-06-09,3892.0,Albums
16,2020-06-10,3419.0,Albums
17,2020-06-11,3419.0,Albums
18,2020-06-12,3419.0,Albums
19,2020-06-13,3756.0,Albums
20,2020-06-14,3756.0,Albums
21,2020-06-15,3143.0,Albums
22,2020-06-16,3143.0,Albums
23,2020-06-17,2824.0,Albums
24,2020-06-18,2824.0,Albums
25,2020-06-19,2824.0,Albums
26,2020-06-20,3202.0,Albums
27,2020-06-21,3202.0,Albums
28,2020-06-22,3202.0,Albums
29,2020-06-23,3097.0,Albums
30,2020-06-24,3097.0,Albums
31,2020-06-25,3097.0,Albums
32,2020-06-26,3097.0,Albums
33,2020-06-27,3671.0,Albums
34,2020-06-28,3228.0,Albums
35,2020-06-29,2335.0,Albums
36,2020-06-30,2335.0,Albums
37,2020-07-01,3675.0,Albums
38,2020-07-02,3675.0,Albums
39,2020-07-03,3675.0,Albums
40,2020-07-04,3675.0,Albums
41,2020-07-05,3130.0,Albums
42,2020-07-06,3130.0,Albums
43,2020-07-07,3130.0,Albums
44,2020-07-08,3118.0,Albums
45,2020-07-09,2570.0,Albums
46,2020-07-10,2570.0,Albums
47,2020-07-11,2570.0,Albums
48,2020-07-12,3376.0,Albums
49,2020-07-13,2430.0,Albums
50,2020-07-14,2430.0,Albums
51,2020-07-15,2430.0,Albums
52,2020-07-16,3196.0,Albums
53,2020-07-17,3196.0,Albums
54,2020-07-18,3196.0,Albums
55,2020-07-19,3196.0,Albums
56,2020-07-20,3335.0,Albums
57,2020-07-21,3335.0,Albums
58,2020-07-22,3744.0,Albums
59,2020-07-23,3170.0,Albums
60,2020-07-24,3170.0,Albums
61,2020-07-25,3170.0,Albums
62,2020-07-26,4160.0,Albums
63,2020-07-27,4160.0,Albums
64,2020-07-28,4599.0,Albums
65,2020-07-29,4599.0,Albums
66,2020-07-30,3153.0,Albums
67,2020-07-31,3153.0,Albums
68,2020-08-01,5022.0,Albums
69,2020-08-02,5022.0,Albums
70,2020-08-03,4032.0,Albums
71,2020-08-04,3886.0,Albums
72,2020-08-05,3475.0,Albums
73,2020-08-06,3475.0,Albums
74,2020-08-07,3475.0,Albums
75,2020-08-08,6025.0,Albums
76,2020-08-09,6025.0,Albums
77,2020-08-10,6678.0,Albums
78,2020-08-11,6432.0,Albums
79,2020-08-12,6370.0,Albums
