,date,value,name_B08GZMFM4N
0,2020-09-14,3435.0,Mouthwash
1,2020-09-15,2671.0,Mouthwash
2,2020-09-16,2730.0,Mouthwash
3,2020-09-17,2769.0,Mouthwash
4,2020-09-18,2660.0,Mouthwash
5,2020-09-19,2514.0,Mouthwash
6,2020-09-20,2890.0,Mouthwash
7,2020-09-21,3036.0,Mouthwash
8,2020-09-22,2517.0,Mouthwash
9,2020-09-23,2782.0,Mouthwash
10,2020-09-24,2888.0,Mouthwash
11,2020-09-25,2888.0,Mouthwash
12,2020-09-26,3252.0,Mouthwash
13,2020-09-27,3252.0,Mouthwash
14,2020-09-28,3131.0,Mouthwash
15,2020-09-29,3131.0,Mouthwash
16,2020-09-30,3131.0,Mouthwash
17,2020-10-01,3131.0,Mouthwash
18,2020-10-02,2643.0,Mouthwash
19,2020-10-03,2637.0,Mouthwash
20,2020-10-04,2565.0,Mouthwash
21,2020-10-05,2565.0,Mouthwash
22,2020-10-06,2585.0,Mouthwash
23,2020-10-07,2839.0,Mouthwash
24,2020-10-08,2480.0,Mouthwash
25,2020-10-09,2480.0,Mouthwash
26,2020-10-10,2480.0,Mouthwash
27,2020-10-11,2608.0,Mouthwash
28,2020-10-12,2608.0,Mouthwash
29,2020-10-13,2318.0,Mouthwash
30,2020-10-14,3130.0,Mouthwash
31,2020-10-15,3221.0,Mouthwash
32,2020-10-16,3221.0,Mouthwash
33,2020-10-17,3221.0,Mouthwash
34,2020-10-18,2492.0,Mouthwash
35,2020-10-19,2371.0,Mouthwash
36,2020-10-20,1887.0,Mouthwash
37,2020-10-21,1887.0,Mouthwash
38,2020-10-22,1531.0,Mouthwash
39,2020-10-23,1558.0,Mouthwash
40,2020-10-24,1608.0,Mouthwash
41,2020-10-25,1907.0,Mouthwash
42,2020-10-26,1795.0,Mouthwash
43,2020-10-27,1795.0,Mouthwash
44,2020-10-28,1972.0,Mouthwash
45,2020-10-29,1972.0,Mouthwash
46,2020-10-30,1972.0,Mouthwash
47,2020-10-31,1954.0,Mouthwash
48,2020-11-01,2223.0,Mouthwash
49,2020-11-02,2223.0,Mouthwash
50,2020-11-03,2339.0,Mouthwash
51,2020-11-04,2339.0,Mouthwash
52,2020-11-05,2268.0,Mouthwash
53,2020-11-06,2268.0,Mouthwash
54,2020-11-07,2268.0,Mouthwash
55,2020-11-08,2606.0,Mouthwash
56,2020-11-09,2388.0,Mouthwash
57,2020-11-10,2388.0,Mouthwash
58,2020-11-11,2840.0,Mouthwash
59,2020-11-12,2840.0,Mouthwash
60,2020-11-13,2840.0,Mouthwash
61,2020-11-14,2682.0,Mouthwash
62,2020-11-15,2682.0,Mouthwash
63,2020-11-16,2682.0,Mouthwash
64,2020-11-17,2769.0,Mouthwash
65,2020-11-18,2659.0,Mouthwash
66,2020-11-19,2659.0,Mouthwash
67,2020-11-20,2659.0,Mouthwash
68,2020-11-21,3322.0,Mouthwash
69,2020-11-22,3322.0,Mouthwash
70,2020-11-23,3506.0,Mouthwash
71,2020-11-24,3611.0,Mouthwash
72,2020-11-25,3281.0,Mouthwash
73,2020-11-26,3616.0,Mouthwash
74,2020-11-27,3616.0,Mouthwash
75,2020-11-28,4393.0,Mouthwash
76,2020-11-29,4393.0,Mouthwash
77,2020-11-30,4197.0,Mouthwash
78,2020-12-01,4448.0,Mouthwash
79,2020-12-02,4539.0,Mouthwash
80,2020-12-03,4539.0,Mouthwash
81,2020-12-04,4330.0,Mouthwash
82,2020-12-05,4330.0,Mouthwash
83,2020-12-06,3815.0,Mouthwash
84,2020-12-07,3815.0,Mouthwash
85,2020-12-08,3709.0,Mouthwash
86,2020-12-09,3709.0,Mouthwash
87,2020-12-10,2939.0,Mouthwash
88,2020-12-11,2939.0,Mouthwash
89,2020-12-12,3144.0,Mouthwash
90,2020-12-13,3144.0,Mouthwash
91,2020-12-14,3077.0,Mouthwash
92,2020-12-15,3451.0,Mouthwash
93,2020-12-16,3451.0,Mouthwash
94,2020-12-17,3451.0,Mouthwash
95,2020-12-18,3332.0,Mouthwash
96,2020-12-19,3332.0,Mouthwash
97,2020-12-20,3332.0,Mouthwash
98,2020-12-21,3791.0,Mouthwash
99,2020-12-22,3390.0,Mouthwash
100,2020-12-23,3937.0,Mouthwash
101,2020-12-24,3366.0,Mouthwash
102,2020-12-25,3366.0,Mouthwash
103,2020-12-26,3366.0,Mouthwash
104,2020-12-27,3832.0,Mouthwash
105,2020-12-28,3832.0,Mouthwash
106,2020-12-29,3832.0,Mouthwash
107,2020-12-30,4146.0,Mouthwash
108,2020-12-31,4146.0,Mouthwash
109,2021-01-01,4146.0,Mouthwash
110,2021-01-02,3869.0,Mouthwash
111,2021-01-03,3881.0,Mouthwash
112,2021-01-04,3881.0,Mouthwash
113,2021-01-05,3606.0,Mouthwash
114,2021-01-06,3879.0,Mouthwash
115,2021-01-07,3879.0,Mouthwash
116,2021-01-08,3672.0,Mouthwash
117,2021-01-09,3575.0,Mouthwash
118,2021-01-10,3575.0,Mouthwash
119,2021-01-11,3793.0,Mouthwash
120,2021-01-12,3845.0,Mouthwash
121,2021-01-13,3676.0,Mouthwash
122,2021-01-14,3369.0,Mouthwash
123,2021-01-15,3719.0,Mouthwash
124,2021-01-16,3719.0,Mouthwash
125,2021-01-17,3719.0,Mouthwash
126,2021-01-18,4003.0,Mouthwash
127,2021-01-19,4003.0,Mouthwash
128,2021-01-20,3775.0,Mouthwash
129,2021-01-21,3739.0,Mouthwash
130,2021-01-22,3928.0,Mouthwash
131,2021-01-23,3789.0,Mouthwash
132,2021-01-24,3789.0,Mouthwash
133,2021-01-25,3789.0,Mouthwash
134,2021-01-26,3564.0,Mouthwash
135,2021-01-27,3373.0,Mouthwash
136,2021-01-28,3481.0,Mouthwash
137,2021-01-29,3481.0,Mouthwash
138,2021-01-30,2755.0,Mouthwash
139,2021-01-31,2755.0,Mouthwash
140,2021-02-01,2407.0,Mouthwash
141,2021-02-02,2581.0,Mouthwash
142,2021-02-03,2500.0,Mouthwash
143,2021-02-04,2256.0,Mouthwash
144,2021-02-05,2405.0,Mouthwash
145,2021-02-06,2464.0,Mouthwash
146,2021-02-07,2461.0,Mouthwash
147,2021-02-08,2488.0,Mouthwash
148,2021-02-09,2543.0,Mouthwash
149,2021-02-10,2012.0,Mouthwash
150,2021-02-11,2012.0,Mouthwash
151,2021-02-12,2012.0,Mouthwash
152,2021-02-13,2012.0,Mouthwash
153,2021-02-14,2012.0,Mouthwash
154,2021-02-15,2012.0,Mouthwash
155,2021-02-16,2012.0,Mouthwash
156,2021-02-17,2012.0,Mouthwash
157,2021-02-18,2012.0,Mouthwash
158,2021-02-19,2012.0,Mouthwash
159,2021-02-20,2012.0,Mouthwash
160,2021-02-21,2012.0,Mouthwash
161,2021-02-22,2012.0,Mouthwash
162,2021-02-23,2012.0,Mouthwash
163,2021-02-24,2012.0,Mouthwash
164,2021-02-25,2012.0,Mouthwash
165,2021-02-26,2012.0,Mouthwash
166,2021-02-27,2012.0,Mouthwash
167,2021-02-28,2012.0,Mouthwash
168,2021-03-01,2012.0,Mouthwash
169,2021-03-02,2012.0,Mouthwash
170,2021-03-03,2012.0,Mouthwash
171,2021-03-04,2012.0,Mouthwash
